SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																						
#																									
#	OUTPUTNAME:	KEY:	PROFICIENCY:	TYPE:	COST:	WT:	WIELD:	SLOTS:	SIZE:	DAMAGE:	CRITRANGE:	CRITMULT:	EQMOD:	SOURCEPAGE:	SPROP:	ALTTYPE:	ALTDAMAGE:	ALTCRITRANGE:	ALTCRITMULT:	ALTEQMOD:	RANGE:	REACHMULT:			
Crossbow (Hand)			PROFICIENCY:WEAPON|Crossbow (Hand)	TYPE:Weapon.Ranged.Exotic.Piercing.Crossbow.Container	COST:100	WT:2			SIZE:M	DAMAGE:1d4	CRITRANGE:2	CRITMULT:x2	EQMOD:WOOD	SOURCEPAGE:PHB							RANGE:30		CONTAINS:UNLIM|Bolt|SpecificBolt		
Crossbow (Heavy/Repeating)			PROFICIENCY:WEAPON|Crossbow (Heavy/Repeating)	TYPE:Weapon.Ranged.Exotic.Piercing.Crossbow.Container	COST:400	WT:12			SIZE:M	DAMAGE:1d10	CRITRANGE:2	CRITMULT:x2	EQMOD:WOOD	SOURCEPAGE:PHB							RANGE:120		CONTAINS:UNLIM|RepeatingBolt|SpecificRepeatingBolt		
Crossbow (Light/Repeating)			PROFICIENCY:WEAPON|Crossbow (Light/Repeating)	TYPE:Weapon.Ranged.Exotic.Piercing.Crossbow.Container	COST:250	WT:6			SIZE:M	DAMAGE:1d8	CRITRANGE:2	CRITMULT:x2	EQMOD:WOOD	SOURCEPAGE:PHB							RANGE:80		CONTAINS:UNLIM|RepeatingBolt|SpecificRepeatingBolt		
Net			PROFICIENCY:WEAPON|Net	TYPE:Weapon.Ranged.Exotic.Net	COST:20	WT:6			SIZE:M				EQMOD:LEATHER	SOURCEPAGE:PHB							RANGE:10				
Shuriken			PROFICIENCY:WEAPON|Shuriken	TYPE:Weapon.Ranged.Exotic.Piercing.Shuriken	COST:1	WT:0.5			SIZE:M	DAMAGE:1d2	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL.THROWN_AMMO	SOURCEPAGE:PHB							RANGE:10	BASEQTY:5			
																									
# Arrows																									
Bolts (Crossbow/10)				TYPE:Ammunition.Standard.Bolt	COST:1	WT:1							EQMOD:STEEL.WOOD	SOURCEPAGE:PHB								BASEQTY:10	MODS:YES		
Bolt (Crossbow)				TYPE:Ammunition.Standard.Bolt	COST:0.1	WT:0.1							EQMOD:STEEL.WOOD	SOURCEPAGE:PHB									MODS:YES		
Bolts (Repeating Crossbow/5)				TYPE:Ammunition.Standard.RepeatingBolt	COST:1	WT:1							EQMOD:STEEL.WOOD	SOURCEPAGE:PHB								BASEQTY:5	MODS:YES		
Bolt (Repeating Crossbow)				TYPE:Ammunition.Standard.RepeatingBolt	COST:0.25	WT:0.25							EQMOD:STEEL.WOOD	SOURCEPAGE:PHB									MODS:YES		
Bullets (Sling/10)				TYPE:Ammunition.Standard.SlingStone	COST:0.1	WT:5							EQMOD:STEEL.WOOD	SOURCEPAGE:PHB								BASEQTY:10	MODS:YES		
Bullet (Sling)				TYPE:Ammunition.Standard.SlingStone	COST:0.01	WT:0.5							EQMOD:STEEL.WOOD	SOURCEPAGE:PHB									MODS:YES		
Arrows (20)				TYPE:Ammunition.Standard.Arrow	COST:1	WT:3							EQMOD:STEEL.WOOD	SOURCEPAGE:PHB								BASEQTY:20	MODS:YES		
Arrow				TYPE:Ammunition.Standard.Arrow	COST:0.05	WT:0.15							EQMOD:STEEL.WOOD	SOURCEPAGE:PHB									MODS:YES		
