SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Favored Enemy - Animal	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusAnimal	KEY:Favored Enemy ~ Animal	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusAnimal|0					BONUS:VAR|FavoredEnemyBonusAnimal|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusAnimal|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusAnimal																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Construct	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusConstruct	KEY:Favored Enemy ~ Construct	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusConstruct|0					BONUS:VAR|FavoredEnemyBonusConstruct|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusContruct|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusConstruct																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Dragon	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusDragon	KEY:Favored Enemy ~ Dragon	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusDragon|0					BONUS:VAR|FavoredEnemyBonusDragon|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusDragon|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusDragon																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Elemental	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusElemental	KEY:Favored Enemy ~ Elemental	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusElemental|0					BONUS:VAR|FavoredEnemyBonusElemental|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusElemental|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusElemental																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Fey	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusFey	KEY:Favored Enemy ~ Fey	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusFey|0					BONUS:VAR|FavoredEnemyBonusFey|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusFey|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusFey																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Giant	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusGiant	KEY:Favored Enemy ~ Giant	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusGiant|0					BONUS:VAR|FavoredEnemyBonusGiant|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusGiant|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusGiant																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Aquatic)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidAquatic	KEY:Favored Enemy ~ Humanoid ~ Aquatic	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidAquatic|0					BONUS:VAR|FavoredEnemyBonusHumanoidAquatic|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusAquatic|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidAquatic																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Dwarf)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidDwarf	KEY:Favored Enemy ~ Humanoid ~ Dwarf	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidDwarf|0					BONUS:VAR|FavoredEnemyBonusHumanoidDwarf|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidDwarf|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidDwarf																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Elf)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidElf	KEY:Favored Enemy ~ Humanoid ~ Elf	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidElf|0					BONUS:VAR|FavoredEnemyBonusHumanoidElf|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidElf|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidElf																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Goblinoid)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidGoblinoid	KEY:Favored Enemy ~ Humanoid ~ Goblinoid	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidGoblinoid|0					BONUS:VAR|FavoredEnemyBonusHumanoidGoblinoid|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidGoblin|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidGoblinoid																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Gnoll)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidGnoll	KEY:Favored Enemy ~ Humanoid ~ Gnoll	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidGnoll|0					BONUS:VAR|FavoredEnemyBonusHumanoidGnoll|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidGnoll|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidGnoll																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Gnome)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidGnome	KEY:Favored Enemy ~ Humanoid ~ Gnome	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidGnome|0					BONUS:VAR|FavoredEnemyBonusHumanoidGnome|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidGnome|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidGnome																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Halfling)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidHalfling	KEY:Favored Enemy ~ Humanoid ~ Halfling	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidHalfling|0					BONUS:VAR|FavoredEnemyBonusHumanoidHalfling|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidHalfling|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidHalfling																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Human)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidHuman	KEY:Favored Enemy ~ Humanoid ~ Human	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidHuman|0					BONUS:VAR|FavoredEnemyBonusHumanoidHuman|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidHuman|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidHuman																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Orc)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidOrc	KEY:Favored Enemy ~ Humanoid ~ Orc	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidOrc|0					BONUS:VAR|FavoredEnemyBonusHumanoidOrc|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidOrc|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidOrc																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Humanoid (Reptilian)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusHumanoidReptilian	KEY:Favored Enemy ~ Humanoid ~ Reptilian	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusHumanoidReptilian|0					BONUS:VAR|FavoredEnemyBonusHumanoidReptilian|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusHumanoidReptilian|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusHumanoidReptilian																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Magical Beast	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusMagicalBeast	KEY:Favored Enemy ~ Magical Beast	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusMagicalBeast|0					BONUS:VAR|FavoredEnemyBonusMagicalBeast|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusMagicalBeast|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusMagicalBeast																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Monstrous Humanoid	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusMonstrousHumanoid	KEY:Favored Enemy ~ Monstrous Humanoid	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusMonstrousHumanoid|0					BONUS:VAR|FavoredEnemyBonusMonstrousHumanoid|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusMounstousHumanoid|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusMonstrousHumanoid																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Ooze	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOoze	KEY:Favored Enemy ~ Ooze	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOoze|0					BONUS:VAR|FavoredEnemyBonusOoze|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOoze|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOoze																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Air)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderAir	KEY:Favored Enemy ~ Outsider ~ Air	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderAir|0					BONUS:VAR|FavoredEnemyBonusOutsiderAir|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderAir|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderAir																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Earth)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderEarth	KEY:Favored Enemy ~ Outsider ~ Earth	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderEarth|0					BONUS:VAR|FavoredEnemyBonusOutsiderEarth|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderEarth|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderEarth																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Fire)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderFire	KEY:Favored Enemy ~ Outsider ~ Fire	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderFire|0					BONUS:VAR|FavoredEnemyBonusOutsiderFire|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderFire|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderFire																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Water)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderWater	KEY:Favored Enemy ~ Outsider ~ Water	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderWater|0					BONUS:VAR|FavoredEnemyBonusOutsiderWater|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderWater|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderWater																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Lawful)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderLawful	KEY:Favored Enemy ~ Outsider ~ Lawful	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderLawful|0					BONUS:VAR|FavoredEnemyBonusOutsiderLawful|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderLawful|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderLawful																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Chaotic)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderChaotic	KEY:Favored Enemy ~ Outsider ~ Chaotic	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderChaotic|0					BONUS:VAR|FavoredEnemyBonusOutsiderChaotic|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderChaotic|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderChaotic																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Good)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderGood	KEY:Favored Enemy ~ Outsider ~ Good	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderGood|0					BONUS:VAR|FavoredEnemyBonusOutsiderGood|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderGood|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderGood																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Evil)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderEvil	KEY:Favored Enemy ~ Outsider ~ Evil	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderEvil|0					BONUS:VAR|FavoredEnemyBonusOutsiderEvil|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderEvil|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderEvil																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Outsider (Native)	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack.FavoredEnemyOutsider	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusOutsiderNative	KEY:Favored Enemy ~ Outsider ~ Native	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusOutsiderNative|0					BONUS:VAR|FavoredEnemyBonusOutsiderNative|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusOutsiderNative|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusOutsiderNative																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Plant	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusPlant	KEY:Favored Enemy ~ Plant	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusPlant|0					BONUS:VAR|FavoredEnemyBonusPlant|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusPlant|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusPlant																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusUndead	KEY:Favored Enemy ~ Undead	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusUndead|0					BONUS:VAR|FavoredEnemyBonusUndead|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusUndead|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusUndead																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Favored Enemy - Vermin	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.FavoredEnemy.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredEnemyBonusVermin	KEY:Favored Enemy ~ Vermin	PREVARGTEQ:RangerFavoredEnemyLVL,1			DEFINE:FavoredEnemyBonusVermin|0					BONUS:VAR|FavoredEnemyBonusVermin|FavoredEnemyBaseBonus	BONUS:VAR|FavoredEnemyBonusVermin|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|FavoredEnemyBonusVermin																																																																																																																																																																																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
###Block: Favored Enemy Bonuses																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
