SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																				
#																																							
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus														
Entangle				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Plants in a 40-ft-radius spread.	DURATION:1 minute/level	SAVEINFO:Reflex partial; see text	SPELLRES:No	DESC:Grasses, weeds, bushes, and even trees wrap, twist, and entwine about creatures in the area or those that enter the area, holding them fast and causing them to become entangled.	SOURCEPAGE:PHB																						
Enthrall				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Charm	DESCRIPTOR:Language-Dependent|Mind-Affecting|Sonic	CLASSES:Bard=2|Cleric=2	COMPS:V, S	CASTTIME:1 round	RANGE:Medium	TARGETAREA:Any number of creatures.	DURATION:1 hour or less	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:If you have the attention of a group of creatures, you can use this spell to hold them spellbound.	SOURCEPAGE:PHB																						
Entropic Shield				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:A magical field appears around you, glowing with a chaotic blast of multicolored hues.	SOURCEPAGE:PHB																						
Erase				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One scroll or two pages.	DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:Erase removes writings of either magical or mundane nature from a scroll or from one or two pages of paper, parchment, or similar surfaces.	SOURCEPAGE:PHB																						
Ethereal Jaunt				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=7|Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You become ethereal, along with your equipment.	SOURCEPAGE:PHB																						
Etherealness				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch; see text	TARGETAREA:You and one other touched creature/three levels	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:This spell functions like ethereal jaunt, except that you and other willing creatures joined by linked hands (along with their equipment) become ethereal.	SOURCEPAGE:PHB																						
Evard's Black Tentacles				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius spread.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell conjures a field of rubbery black tentacles, each 10 feet long. Material Component: A piece of tentacle from a giant octopus or a giant squid.	SOURCEPAGE:PHB																						
Expeditious Retreat				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:This spell increases your base land speed by 30 feet.	SOURCEPAGE:PHB							TEMPBONUS:PC|POSTMOVEADD|TYPE.Walk|30|TYPE=Enhancement															
Explosive Runes				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Force	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One touched object wighing no more than 10-lb.	DURATION:Permanent until discharged	SAVEINFO:See text	SPELLRES:No	DESC:You trace these mystic runes upon a book, map, scroll, or similar object bearing written information.	SOURCEPAGE:PHB																						
Eyebite				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Bard=6|Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:1 round/3 levels; see text	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Each round, you may target a single living creature, striking it with waves of evil power.	SOURCEPAGE:PHB																						
Fabricate				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:See text	RANGE:Close	TARGETAREA:Up to 10 cu ft/level; see text	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You convert material of one sort into a product that is of the same material. Material Component: The original material, which costs the same amount as the raw materials required to craft the item to be created.	SOURCEPAGE:PHB																						
Faerie Fire				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Light	CLASSES:Druid=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Creatures and objects within 5-ft-radius burst.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:A pale glow surrounds and outlines the subjects.	SOURCEPAGE:PHB																						
False Life				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level or until discharged; see text	SAVEINFO:None	SPELLRES:No	DESC:You harness the power of unlife to grant yourself a limited ability to avoid death. Material Component: A small amount of alcohol or distilled spirits, which you use to trace certain sigils on your body during casting. These sigils cannot be seen once the alcohol or spirits evaporate.	SOURCEPAGE:PHB							TEMPVALUE:MIN=1|MAX=20|TITLE=Add 1d10 +1 per caster level (max +10) HP	TEMPBONUS:PC|HP|CURRENTMAX|%CHOICE|TYPE=Temporary														
False Vision				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=5|Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:40-ft radius emanation.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Any divination (scrying) spell used to view anything within the area of this spell instead receives a false image (as the major image spell), as defined by you at the time of casting. Arcane Material Component: The ground dust of a piece of jade worth at least 250 gp, which is sprinkled into the air when the spell is cast.	SOURCEPAGE:PHB																						
Fear				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	CLASSES:Bard=3|Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:Cone-shaped burst.	DURATION:1 round/level or 1 round; see text	SAVEINFO:Will partial	SPELLRES:Yes	DESC:An invisible cone of terror causes each living creature in the area to become panicked unless it succeeds on a Will save. Material Component: Either the heart of a hen or a white feather.	SOURCEPAGE:PHB																						
Feather Fall				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V	CASTTIME:1 free action	RANGE:Close	TARGETAREA:One medium or smaller free-falling object or creature/level, no two of which may be more than 20-ft apart.	DURATION:Until landing or 1 round/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:The affected creatures or objects fall slowly, though faster than feathers typically do.	SOURCEPAGE:PHB																						
Feeblemind				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:If the target creature fails a Will saving throw, its Intelligence and Charisma scores each drop to 1, giving it roughly the intellect of a lizard. Material Component: A handful of clay, crystal, glass, or mineral spheres.	SOURCEPAGE:PHB							TEMPBONUS:ANYPC|STAT|INT|INTSCORE-1|TYPE=Temporary	TEMPBONUS:ANYPC|STAT|CHA|CHASCORE-1|TYPE=Temporary														
Find the Path				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=6|Cleric=6|Druid=6	COMPS:V, S, F	CASTTIME:3 rounds	RANGE:Personal or Touch	TARGETAREA:You or creature touched.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The recipient of this spell can find the shortest, most direct physical route to a specified destination, be it the way into or out of a locale.	SOURCEPAGE:PHB																						
Find Traps				TYPE:Spell	SCHOOL:Divination			CLASSES:Cleric=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You gain intuitive insight into the workings of traps.	SOURCEPAGE:PHB																						
Finger of Death				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death	CLASSES:Druid=8|Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:You can slay any one living creature within range.	SOURCEPAGE:PHB																						
Fire Seeds				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Fire	CLASSES:Druid=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Up to four touched acorns or up to eight touched holly berries.	DURATION:10 minutes/level or until used	SAVEINFO:None or Reflex half; see text	SPELLRES:No	DESC:Depending on the version of fire seeds you choose, you turn acorns into splash weapons that you or another character can throw, or you turn holly berries into bombs that you can detonate on command. Material Component: The acorns or holly berries.	SOURCEPAGE:PHB																						
Fire Shield			VARIANTS:Fire Shield|Warm Shield|Chill Shield	TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:See text	CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell wreathes you in flame and causes damage to each creature that attacks you in melee. Arcane Material Component: A bit of phosphorus for the warm shield; a live firefly or glowworm or the tail portions of four dead ones for the chill shield.	SOURCEPAGE:PHB																						
Fire Storm				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Cleric=8|Druid=7	COMPS:V, S	CASTTIME:1 round	RANGE:Medium	TARGETAREA:Two 10-ft cubes/level.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:When a fire storm spell is cast, the whole area is shot through with sheets of roaring flame.	SOURCEPAGE:PHB																						
Fire Trap				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Fire	CLASSES:Druid=2|Sorcerer=4|WizarD=4	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Touched object.	DURATION:Permanent until discharged	SAVEINFO:Reflex half; see text	SPELLRES:Yes	DESC:Fire trap creates a fiery explosion when an intruder opens the item that the trap protects. Material Component: A half-pound of gold dust (cost 25 gp) sprinkled on the warded object.	SOURCEPAGE:PHB																						
Fireball				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius spread.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A fireball spell is an explosion of flame that detonates with a low roar and deals 1d6 points of fire damage per caster level (maximum 10d6) to every creature within the area. Material Component: A tiny ball of bat guano and sulfur.	SOURCEPAGE:PHB																						
Flame Arrow				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Fire	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Fifty projectiles, all of which must be in contact with each other at the time of casting.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You turn ammunition (such as arrows, bolts, shuriken, and stones) into fiery projectiles. Material Component: A drop of oil and a small piece of flint.	SOURCEPAGE:PHB																						
Flame Blade				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Druid=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:Sword-like beam.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:A 3-foot-long, blazing beam of red-hot fire springs forth from your hand.	SOURCEPAGE:PHB																						
Flame Strike				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Cleric=5|Druid=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cylinder (10-ft radius, 40-ft high)	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A flame strike produces a vertical column of divine fire roaring downward.	SOURCEPAGE:PHB																						
Flaming Sphere				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Druid=2|Sorcerer=2|WizarD=2	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft-diameter sphere.	DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:A burning globe of fire rolls in whichever direction you point and burns those it strikes. Arcane Material Component: A bit of tallow, a pinch of brimstone, and a dusting of powdered iron.	SOURCEPAGE:PHB																						
Flare				TYPE:Spell.WizardBaseCantrip	SCHOOL:Evocation		DESCRIPTOR:Light	CLASSES:Bard=0|Druid=0|Sorcerer=0|Wizard=0	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Burst of light	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This cantrip creates a burst of light.	SOURCEPAGE:PHB																						
Flesh to Stone				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:The subject, along with all its carried gear, turns into a mindless, inert statue. Material Component: Lime, water, and earth.	SOURCEPAGE:PHB																						
Fly				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject can fly at a speed of 60 feet (or 40 feet if it wears medium or heavy armor, or if it carries a medium or heavy load). Arcane Focus: A wing feather from any bird.	SOURCEPAGE:PHB							TEMPBONUS:ANYPC|MOVEADD|TYPE.Fly|60	TEMPBONUS:ANYPC|MOVEADD|TYPE.Fly|-20|PREVARGTEQ:ENCUMBRANCE,1,var("COUNT[EQTYPE.ARMOR.EQUIPPED.IS.MEDIUM]"),1,var("COUNT[EQTYPE.ARMOR.EQUIPPED.IS.HEAVY]"),1														
Fog Cloud				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Druid=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spreads in 20-ft. radius, 20 ft. High.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:A bank of fog billows out from the point you designate.	SOURCEPAGE:PHB																						
Forbiddance				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=6	COMPS:V, S, M, DF	CASTTIME:6 rouds	RANGE:Medium	TARGETAREA:60-ft cube/level	DURATION:Permanent	SAVEINFO:See text	SPELLRES:Yes	DESC:Forbiddance seals an area against all planar travel into or within it. Material Component: A sprinkling of holy water and rare incenses worth at least 1,500 gp, plus 1,500 gp per 60-foot cube. If a password is desired, this requires the burning of additional rare incenses worth at least 1,000 gp, plus 1,000 gp per 60-foot cube.	SOURCEPAGE:PHB		COST:3025																				
Forcecage				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Barred cage (20-ft cube) or windowless cell (10-ft cube).	DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:This powerful spell brings into being an immobile, invisible cubical prison composed of either bars of force or solid walls of force (your choice). Material Component: Ruby dust worth 1,500 gp, which is tossed into the air and disappears when you cast the spell.	SOURCEPAGE:PHB		COST:1500																				
Foresight				TYPE:Spell	SCHOOL:Divination			CLASSES:Druid=9|Sorcerer=9|Wizard=9	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal or Touch	TARGETAREA:See text.	DURATION:10 minutes/level	SAVEINFO:None or Will negates (harmless); see text	SPELLRES:Yes	DESC:This spell grants you a powerful sixth sense in relation to yourself or another. Arcane Material Component: A hummingbird's feather.	SOURCEPAGE:PHB						TEMPDESC:Grants AC and Reflex bonus	TEMPBONUS:PC|SAVE|Reflex|2|TYPE=Insight	TEMPBONUS:PC|COMBAT|AC|2|TYPE=Insight														
Fox's Cunning				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The transmuted creature becomes smarter. Arcane Material Component: A few hairs, or a pinch of dung, from a fox.	SOURCEPAGE:PHB						TEMPDESC:Grants INT bonus	TEMPBONUS:ANYPC|STAT|INT|4|TYPE=Enhancement															
Fox's Cunning (Mass)	OUTPUTNAME:Fox's Cunning, Mass			TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=6|Sorcerer=6|Wizard=6	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which can be more than 30 ft apart.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell functions like fox's cunning, except that it affects multiple creatures.	SOURCEPAGE:PHB						TEMPDESC:Grants INT bonus	TEMPBONUS:ANYPC|STAT|INT|4|TYPE=Enhancement															
Freedom				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject is freed from spells and effects that restrict its movement, including binding, entangle, grappling, imprisonment, maze, paralysis, petrification, pinning, sleep, slow, stunning, temporal stasis, and web.	SOURCEPAGE:PHB																						
Freedom of Movement				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=4|Cleric=4|Druid=4|Ranger=4	COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:Personal or Touch	TARGETAREA:You or creature touched.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell enables you or a creature you touch to move and attack normally for the duration of the spell, even under the influence of magic that usually impedes movement, such as paralysis, solid fog, slow, and web. Material Component: A leather thong, bound around the arm or a similar appendage.	SOURCEPAGE:PHB																						
Gaseous Form				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=3|Sorcerer=3|Wizard=3	COMPS:S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing corporeal creature touched.	DURATION:2 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:The subject and all its gear become insubstantial, misty, and translucent. Arcane Material Component: A bit of gauze and a wisp of smoke.	SOURCEPAGE:PHB																						
Gate			VARIANTS:Planar Travel|Calling Creatures	TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Calling		CLASSES:Cleric=9|Sorcerer=9|Wizard=9	COMPS:V, S, XP	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:See text.	DURATION:Instantaneous or Concentration (up to 1 round/level); See text	SAVEINFO:None	SPELLRES:No	DESC:Casting a gate spell has two effects. XP Cost: 1,000 XP (only for the calling creatures function).	SOURCEPAGE:PHB			XPCOST:1000																			
Geas/Quest				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Language-Dependent|Mind-Affecting	CLASSES:Bard=6|Cleric=6|Sorcerer=6|Wizard=6	COMPS:V	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One living creature.	DURATION:1 day/level or until discharged	SAVEINFO:Will negates	SPELLRES:No	DESC:This spell functions similarly to lesser geas, except that it affects a creature of any HD and allows no saving throw.	SOURCEPAGE:PHB																						
Geas (Lesser)	OUTPUTNAME:Geas, Lesser			TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Language-Dependent|Mind-Affecting	CLASSES:Bard=3|Sorcerer=4|Wizard=4	COMPS:V	CASTTIME:1 round	RANGE:Close	TARGETAREA:One living creature of 7HD or less.	DURATION:1 day/level or until discharged	SAVEINFO:Will negates	SPELLRES:Yes	DESC:A lesser geas places a magical command on a creature to carry out some service or to refrain from some action or course of activity, as desired by you.	SOURCEPAGE:PHB																						
Gentle Repose				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=2|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Corpse touched.	DURATION:1 day/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:You preserve the remains of a dead creature so that they do not decay. Arcane Material Component: A pinch of salt, and a copper piece for each eye the corpse has (or had).	SOURCEPAGE:PHB		COST:0.02																				
Ghost Sound				TYPE:Spell.WizardBaseCantrip	SCHOOL:Illusion	SUBSCHOOL:Figment		CLASSES:Bard=0|Sorcerer=0|Wizard=0	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Illusory Sound.	DURATION:1 round/level	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:No	DESC:Ghost sound allows you to create a volume of sound that rises, recedes, approaches, or remains at a fixed place. Material Component: A bit of wool or a small lump of wax.	SOURCEPAGE:PHB																						
Ghoul Touch				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living humanoid touched.	DURATION:1d6+2 rounds	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Imbuing you with negative energy, this spell allows you to paralyze a single living humanoid for the duration of the spell with a successful melee touch attack. Material Component: A small scrap of cloth taken from clothing worn by a ghoul, or a pinch of earth from a ghoul's lair.	SOURCEPAGE:PHB																						
Giant Vermin				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Druid=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to 3 vermin, no two of which can be more than 30-ft apart.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:You turn three normal-sized centipedes, two normal-sized spiders, or a single normal-sized scorpion into larger forms.	SOURCEPAGE:PHB																						
Glibness				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=3	COMPS:S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Your speech becomes fluent and more believable.	SOURCEPAGE:PHB																						
Glitterdust				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Creatures and objects within 10-ft-radius spread.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:No	DESC:A cloud of golden particles covers everyone and everything in the area, causing creatures to become blinded and visibly outlining invisible things for the duration of the spell. Material Component: Ground mica.	SOURCEPAGE:PHB							TEMPBONUS:ANYPC|SKILL|Hide|-40|TYPE=Temporary															
Globe of Invulnerability				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:10-ft-radius spherical emanation, centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like lesser globe of invulnerability, except that it also excludes 4th-level spells and spell-like effects.	SOURCEPAGE:PHB																						
Globe of Invulnerability (Lesser)	OUTPUTNAME:Globe of Invulnerability, Lesser			TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:10-ft-radius spherical emanation, centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:An immobile, faintly shimmering magical sphere surrounds you and excludes all spell effects of 3rd level or lower. Material Component: A glass or crystal bead that shatters at the expiration of the spell.	SOURCEPAGE:PHB																						
Glyph of Warding			VARIANTS:Blast Glyph|Spell Glyph	TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=3	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Object touched or up to 5-sq-ft/level	DURATION:Permanent until discharged	SAVEINFO:See text (object)	SPELLRES:Yes	DESC:This powerful inscription harms those who enter, pass, or open the warded area or object. Material Component: You trace the glyph with incense, which must first be sprinkled with powdered diamond worth at least 200 gp.	SOURCEPAGE:PHB		COST:200																				
Glyph of Warding (Greater)	OUTPUTNAME:Glyph of Warding, Greater		VARIANTS:Blast Glyph|Spell Glyph	TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=3	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Object touched or up to 5-sq-ft/level	DURATION:Permanent until discharged	SAVEINFO:See text (object)	SPELLRES:Yes	DESC:This spell functions like glyph of warding, except that a greater blast glyph deals up to 10d8 points of damage, and a greater spell glyph can store a spell of 6th level or lower.	SOURCEPAGE:PHB		COST:400																				
Goodberry				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:2d4 fresh berries touched.	DURATION:1 day/level	SAVEINFO:None	SPELLRES:Yes	DESC:Casting goodberry upon a handful of freshly picked berries makes 2d4 of them magical.	SOURCEPAGE:PHB																						
Good Hope				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature/level, no two of which may be more than 30-ft apart.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell instills powerful hope in the subjects.	SOURCEPAGE:PHB							TEMPBONUS:ANYPC|SAVE|ALL|2|TYPE=Morale	TEMPBONUS:ANYPC|COMBAT|TOHIT,DAMAGE.Melee,DAMAGE.Ranged|2|TYPE=Morale	TEMPBONUS:ANYPC|SKILL|ALL|2|TYPE=Morale													
Grease				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One object or a 10-ft square.	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:A grease spell covers a solid surface with a layer of slippery grease. Material Component: A bit of pork rind or butter.	SOURCEPAGE:PHB																						
