SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Bonus Languages	CATEGORY:Special Ability	TYPE:ClassFeatures.ClericClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A cleric's bonus language options include Celestial, Abyssal, and Infernal (the languages of good, chaotic evil, and lawful evil outsiders, respectively). These choices are in addition to the bonus languages available to the character because of his race (see Race and Languages, page 12, and the Speak Language skill, Page 82).	KEY:Cleric ~ Bonus Languages																		TEMPLATE:Cleric ~ Bonus Languages								SORTKEY:Class_Cleric	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Druids are proficient with the following weapons: club, dagger, dart, quarterstaff, scimitar, sickle, shortspear, sling, and spear. They are also proficient with all natural attacks (claw, bite, and so forth) of any form they assume with wild shape (see below). Druids are proficient with light and medium armor but are prohibited from wearing metal armor thus, they may wear only padded, leather, or hide armor. (A druid may also wear wooden armor that has been altered by the ironwood spell so that it functions as though it were steel. See the ironwood spell description, page 246) Druids are proficient with shields (except tower shields) but must use only wooden ones. A druid who wears prohibited armor or carries a prohibited shield is unable to cast druid spells or use any of her supernatural or spelllike class abilities while doing so and for 24 hours thereafter.	KEY:Druid ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfDruid	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A druid casts divine spells (the same type of spells available to the cleric, paladin, and ranger), which are drawn from the druid spell list (page 189). Her alignment may restrict her from casting certain spells opposed to her moral or ethical beliefs see Chaotic, Evil, Good, and Lawful Spells, below. A druid must choose and prepare her spells in advance (see below).	KEY:Druid ~ Spells																										SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Spontaneous Casting	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A druid can channel stored spell energy into summoning spells that she hasn't prepared ahead of time. She can "lose" a prepared spell in order to cast any summon nature's ally spell of the same level or lower. For example, a druid who has prepared repel vermin (a 4th-level spell) may lose repel vermin in order to cast summon nature's ally IV (also a 4th-level spell).	KEY:Druid ~ Spontaneous Casting																		ABILITY:Special Ability|VIRTUAL|Spontaneous casting ~ Summon Nature's Ally spells|!PREABILITY:1,CATEGORY=ACF,TYPE.DruidSpontaneousCasting								SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Bonus Languages	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A druid's bonus language options include Sylvan, the language of woodland creatures. This choice is in addition to the bonus languages available to the character because of her race (see Race and Languages, page 12, and the Speak Language skill, page 82). A druid also knows Druidic, a secret language known only to druids, which she learns upon becoming a 1st-level druid. Druidic is a free language for a druid that is, she knows it in addition to her regular allotment of languages and it doesn't take up a language slot. Druids are forbidden to teach this language to nondruids. Druidic has its own alphabet.	KEY:Druid ~ Bonus Languages																		TEMPLATE:Druid ~ Bonus Languages								SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Animal Companion	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A druid may begin play with an animal companion selected from the following list: badger, camel, dire rat, dog, riding dog, eagle, hawk, horse (light or heavy), owl, pony, snake (Small or Medium viper), or wolf. If the DM's campaign takes place wholly or partly in an aquatic environment, the DM may add the following creatures to the druid's list of options: crocodile, porpoise, Medium shark, and squid. This animal is a loyal companion that accompanies the druid on her adventures as appropriate for its kind.	KEY:Druid ~ Animal Companion									BONUS:VAR|AnimalCompanionLVL|DruidLVL									ABILITY:Internal|AUTOMATIC|Animal Companion (Base)								SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Nature Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A druid gains a +2 bonus on Knowledge (nature) and Survival checks.	KEY:Druid ~ Nature Sense									BONUS:SKILL|Knowledge (Nature),Survival|2																	SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Wild Empathy	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A druid can use body language, vocalizations, and demeanor to improve the attitude of an animal (such as a bear or a monitor lizard). This ability functions just like a Diplomacy check made to improve the attitude of a person (see Chapter 4: Skills). The druid rolls 1d20 and adds her druid level and her Charisma modifier to determine the wild empathy check result. The typical domestic animal has a starting attitude of indifferent, while wild animals are usually unfriendly. To use wild empathy, the druid and the animal must be able to study each other, which means that they must be within 30 feet of one another under normal conditions. Generally, influencing an animal in this way takes 1 minute but, as with influencing people, it might take more or less time. A druid can also use this ability to influence a magical beast with an Intelligence score of 1 or 2 (such as a basilisk or a girallon), but she takes a -4 penalty on the check.	KEY:Druid ~ Wild Empathy									BONUS:VAR|WildEmpathyBonus|DruidLVL									ABILITY:Special Ability|AUTOMATIC|Wild Empathy								SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Woodland Stride	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 2nd level, a druid may move through any sort of undergrowth (such as natural thorns, briars, overgrown areas, and similar terrain) at her normal speed and without taking damage or suffering any other impairment. However, thorns, briars, and overgrown areas that have been magically manipulated to impede motion still affect her.	KEY:Druid ~ Woodland Stride																										SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Trackless Step	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 3rd level, a druid leaves no trail in natural surroundings and cannot be tracked. She may choose to leave a trail if so desired.	KEY:Druid ~ Trackless Step																										SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Resist Nature's Lure	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 4th level, a druid gains a +4 bonus on saving throws against the spell-like abilities of fey (such as dryads, pixies, and sprites).	KEY:Druid ~ Resist Nature's Lure																										SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Wild Shape	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level, a druid gains the ability to turn herself into any Small or Medium animal and back again once per day. Her options for new forms include all creatures with the animal type. This ability functions like the polymorph spell, except as noted here. The effect lasts for 1 hour per druid level, or until she changes back. Changing form (to animal or back) is a standard action and doesn't provoke an attack of opportunity. The form chosen must be that of an animal the druid is familiar with.  A druid loses her ability to speak while in animal form because she is limited to the sounds that a normal, untrained animal can make, but she can communicate normally with other animals of the same general grouping as her new form. (The normal sound a wild parrot makes is a squawk, so changing to this form does not permit speech.) A druid can use this ability more times per day at 6th, 7th, 10th, 14th, and 18th level, as noted on Table: The Druid. In addition, she gains the ability to take the shape of a Large animal at 8th level, a Tiny animal at 11th level, and a Huge animal at 15th level. The new form's Hit Dice can't exceed the character's druid level. At 12th level, a druid becomes able to use wild shape to change into a plant creature with the same size restrictions as for animal forms. (A druid can't use this ability to take the form of a plant that isn't a creature.) At 16th level, a druid becomes able to use wild shape to change into a Small, Medium, or Large elemental (air, earth, fire, or water) once per day. These elemental forms are in addition to her normal wild shape usage. In addition to the normal effects of wild shape, the druid gains all the elemental's extraordinary, supernatural, and spell-like abilities. She also gains the elemental's feats for as long as she maintains the wild shape, but she retains her own creature type. At 18th level, a druid becomes able to assume elemental form twice per day, and at 20th level she can do so three times per day. At 20th level, a druid may use this wild shape ability to change into a Huge elemental.	KEY:Druid ~ Wild Shape				DEFINE:DruidWildShapeLVL|0					BONUS:VAR|DruidWildShapeLVL|DruidLVL	BONUS:VAR|WildShapeDuration|DruidWildShapeLVL	BONUS:VAR|WildShapeTimes|1|PREVARGTEQ:DruidWildShapeLVL,5	BONUS:VAR|WildShapeTimes|1|PREVARGTEQ:DruidWildShapeLVL,6	BONUS:VAR|WildShapeTimes|1|PREVARGTEQ:DruidWildShapeLVL,7	BONUS:VAR|WildShapeTimes|1|PREVARGTEQ:DruidWildShapeLVL,10	BONUS:VAR|WildShapeTimes|1|PREVARGTEQ:DruidWildShapeLVL,14	BONUS:VAR|WildShapeTimes|1|PREVARGTEQ:DruidWildShapeLVL,18	BONUS:VAR|WildShapeElementalTimes|1|PREVARGTEQ:DruidWildShapeLVL,16	ABILITY:Special Ability|AUTOMATIC|Wild Shape	BONUS:VAR|WildShapeElementalTimes|1|PREVARGTEQ:DruidWildShapeLVL,18	BONUS:VAR|WildShapeElementalTimes|1|PREVARGTEQ:DruidWildShapeLVL,20	BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DruidWildShapeLVL,5	BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DruidWildShapeLVL,8	BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DruidWildShapeLVL,11	BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DruidWildShapeLVL,12	BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DruidWildShapeLVL,15	SORTKEY:Class_Druid	SOURCEPAGE:PHB	BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DruidWildShapeLVL,16	BONUS:VAR|WildShapeProgression|1|PREVARGTEQ:DruidWildShapeLVL,20
Venom Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 9th level, a druid gains immunity to all poisons.	KEY:Druid ~ Venom Immunity																		ABILITY:Special Ability|AUTOMATIC|Immunity To Poison								SORTKEY:Class_Druid	SOURCEPAGE:PHB		
A Thousand Faces	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 13th level, a druid gains the ability to change her appearance at will, as if using the disguise se lf spell, see Errata, but only while in her normal form.	KEY:Druid ~ A Thousand Faces																										SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Timeless Body	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:After attaining 15th level, a druid no longer takes ability score penalties for aging (see Table 6-5: Aging Effects, page 109) and cannot be magically aged. Any penalties she may have already incurred, however, remain in place. Bonuses still accrue, and the druid still dies of old age when her time is up.	KEY:Druid ~ Timeless Body																		TEMPLATE:Druid ~ Timeless Body								SORTKEY:Class_Druid	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.FighterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A fighter is proficient with all simple and martial weapons and with all armor (heavy, medium, and light) and shields (including tower shields).	KEY:Fighter ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProfTower	ABILITY:Internal|AUTOMATIC|Fighter Qualify					SORTKEY:Class_Fighter	SOURCEPAGE:PHB		
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.FighterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a fighter gets a bonus combat-oriented feat in addition to the feat that any 1st-level character gets and the bonus feat granted to a human character. The fighter gains an additional bonus feat at 2nd level and every two fighter levels thereafter (4th, 6th, 8th, 10th, 12th, 14th, 16th, 18th, and 20th). These bonus feats must be drawn from the feats noted as fighter bonus feats on Table 5-1: Feats (page 90). A fighter must still meet all prerequisites for a bonus feat, including ability score and base attack bonus minimums. (See Chapter 5: Feats for descriptions of feats and their prerequisites.) These bonus feats are in addition to the feat that a character of any class gets from advancing levels (see Table 3-2: Experience and Level-Dependent Benefits, page 22). A fighter is not limited to the list of fighter bonus feats when choosing these feats.	KEY:Fighter ~ Bonus Feats				DEFINE:FighterBonusFeats|0					BONUS:VAR|FighterBonusFeats|1+(FighterLVL/2)	BONUS:ABILITYPOOL|Fighter Feat|FighterBonusFeats																SORTKEY:Class_Fighter	SOURCEPAGE:PHB		
Fighter Qualify	CATEGORY:Internal	BONUS:VAR|WeaponSpecializationQualifyLVL,GreaterWeaponFocusQualifyLVL,GreaterWeaponSpecializationQualifyLVL|FighterLVL	BONUS:VAR|WeaponSpecializationQualify|1|PREVARGTEQ:WeaponSpecializationQualifyLVL,4	BONUS:VAR|GreaterWeaponFocusQualify|1|PREVARGTEQ:GreaterWeaponFocusQualifyLVL,8	BONUS:VAR|GreaterWeaponSpecializationQualify|1|PREVARGTEQ:GreaterWeaponSpecializationQualifyLVL,12																													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Monks are proficient with certain basic peasant weapons and some special weapons that are part of monk training. The weapons with which a monk is proficient are club, crossbow (light or heavy), dagger, handaxe, javelin, kama, nunchaku, quarterstaff, sai, shuriken, siangham, and sling. (See Chapter 7: Equipment for descriptions of these weapons.) Monks are not proficient with any armor or shields in fact, many of the monk's special powers require unfettered movement. When wearing armor, using a shield, or carrying a medium or heavy load, a monk loses her AC bonus, as well as her fast movement and flurry of blows abilities.	KEY:Monk ~ Weapon and Armor Proficiency								BONUS:VAR|MonkUnarmedDamageLVL|MonkLVL	BONUS:VAR|MonkUnarmedDamageProgression|(min(5,MonkUnarmedDamageLVL/4))									ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMonk	ABILITY:Internal|AUTOMATIC|Unarmed Damage							SORTKEY:Class_Monk	SOURCEPAGE:PHB		
AC Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A monk is highly trained at dodging blows, and she has a sixth sense that lets her avoid even unanticipated attacks. When unarmored and unencumbered, the monk adds her Wisdom bonus (if any) to her AC. In addition, a monk gains a +1 bonus to AC at 5th level. This bonus increases by 1 for every five monk levels thereafter (+2 at 10th, +3 at 15th, and +4 at 20th level). These bonuses to AC apply even against touch attacks or when the monk is flat-footed. She loses these bonuses when she is immobilized or helpless, when she wears any armor, when she carries a shield, or when she carries a medium or heavy load.	KEY:Monk ~ AC Bonus				DEFINE:MonkACBonus|0	DEFINE:MonkACStatBonus|0	DEFINE:MonkACLVLBonus|0			BONUS:COMBAT|AC|MonkACBonus|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0	BONUS:VAR|MonkACBonus|MonkACStatBonus+(MonkACLVLBonus/5)	BONUS:VAR|MonkACStatBonus|max(WIS,0)	BONUS:VAR|MonkACLVLBonus|MonkLVL|TYPE=Class														SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Flurry of Blows	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When unarmored, a monk may strike with a flurry of blows at the expense of accuracy. When doing so, she may make one extra attack in a round at her highest base attack bonus, but this attack takes a -2 penalty, as does each other attack made that round. The resulting modified base attack bonuses are shown in the Flurry of Blows Attack Bonus column on Table 3-10: The Monk. This penalty applies for 1 round, so it also affects attacks of opportunity the monk might make before her next action. When a monk reaches 5th level, the penalty lessens to -1, and at 9th level it disappears. A monk must use a full attack action (see page 143) to strike with a flurry of blows.	KEY:Monk ~ Flurry of Blows									BONUS:VAR|FlurryOfBlowLVL,StunningFistLVL|MonkLVL	BONUS:VAR|FlurryOfBlowsAttacks|1	BONUS:VAR|FlurryOfBlowsAttacks|1|PREVARGTEQ:FlurryOfBlowsLVL,11	BONUS:VAR|FlurryOfBlowsPenaltyLVL|FlurryOfBlowsLVL	BONUS:VAR|FlurryOfBlowsPenalty|2|TYPE=NoStack|PREVARLTEQ:FlurryOfBlowsPenaltyLVL,4	BONUS:VAR|FlurryOfBlowsPenalty|1|TYPE=NoStack|PREVARLTEQ:FlurryOfBlowsPenaltyLVL,8				ABILITY:Special Ability|AUTOMATIC|Flurry Of Blows	AUTO:EQUIP|Flurry of Blows							SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Greater Flurry	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Monk ~ Greater Flurry									BONUS:VAR|GreaterFlurry|1|PREVARGTEQ:GreaterFlurryLVL,11	BONUS:VAR|GreaterFlurryLVL|FlurryLVL																SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Unarmed Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Monks are highly trained in fighting unarmed, giving them considerable advantages when doing so. At 1st level, a monk gains Improved Unarmed Strike as a bonus feat. A monk's attacks may be with either fist interchangeably or even from elbows, knees, and feet. This means that a monk may even make unarmed strikes with her hands full. There is no such thing as an off-hand attack for a monk striking unarmed. A monk may thus apply her full Strength bonus on damage rolls for all her unarmed strikes. Usually a monk's unarmed strikes deal lethal damage, but she can choose to deal nonlethal damage instead with no penalty on her attack roll. She has the same choice to deal lethal or nonlethal damage while grappling. A monk's unarmed strike is treated both as a manufactured weapon and a natural weapon for the purpose of spells and effects that enhance or improve either manufactured weapons or natural weapons (such as the magic fang and magic weapon spells). A monk also deals more damage with her unarmed strikes than a normal person would, as shown on Table 3-10: The Monk. The unarmed damage on Table 3-10 is for Medium monks. A Small monk deals less damage than the amount given there with her unarmed attacks, while a Large monk deals more damage see Table: Small or Large Monk Unarmed Damage.	KEY:Monk ~ Unarmed Strike																		ABILITY:FEAT|AUTOMATIC|Improved Unarmed Strike								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a monk may select either Improved Grapple or Stunning Fist as a bonus feat. At 2nd level, she may select either Combat Reflexes or Deflect Arrows as a bonus feat. At 6th level, she may select either Improved Disarm or Improved Trip as a bonus feat. (See Chapter 5: Feats for descriptions.) A monk need not have any of the prerequisites normally required for these feats to select them.	KEY:Monk ~ Bonus Feat				DEFINE:MonkBonusFeatLVL|0					BONUS:VAR|MonkBonusFeatLVL|MonkLVL	BONUS:ABILITYPOOL|Monk Feat LVL 1|1|PREVARGTEQ:MonkBonusFeatLVL,1	BONUS:ABILITYPOOL|Monk Feat LVL 2|1|PREVARGTEQ:MonkBonusFeatLVL,2	BONUS:ABILITYPOOL|Monk Feat LVL 6|1|PREVARGTEQ:MonkBonusFeatLVL,6														SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary.Evasion	VISIBLE:YES	DESC:A monk of 2nd level or higher can avoid even magical and unusual attacks with great agility. If she makes a successful Reflex saving throw against an attack that normally deals half damage on a successful save (such as a red dragon's fiery breath or a fireball), she instead takes no damage. Evasion can be used only if a monk is wearing light armor or no armor. A helpless monk (such as one who is unconscious or paralysed) does not gain the benefit of evasion.	KEY:Monk ~ Evasion																										SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Fast Movement	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a monk gains an enhancement bonus to her speed, as shown on Table 3-10. A monk in armor (even light armor) or carrying a medium or heavy load loses this extra speed.	KEY:Monk ~ Fast Movement				DEFINE:MonkFastMovement|0	DEFINE:MonkFastMovementLVL|0				BONUS:MOVEADD|TYPE=Walk|MonkFastMovement|TYPE=Enhancement	BONUS:VAR|MonkFastMovement|floor(MonkFastMovementLVL/3)*10|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0	BONUS:VAR|MonkFastMovementLVL|MonkLVL															SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Still Mind	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A monk of 3rd level or higher gains a +2 bonus on saving throws against spells and effects from the school of enchantment, since her meditation and training improve her resistance to mind-affecting attacks.	KEY:Monk ~ Still Mind									BONUS:VAR|EnchantmentResistanceBonus|2									ABILITY:Special Ability|AUTOMATIC|Resistance To Enchantment|Still Mind								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Ki Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 4th level, a monk's unarmed attacks are empowered with ki. Her unarmed attacks are treated as magic weapons for the purpose of dealing damage to creatures with damage reduction (see Damage Reduction, page 291 of the Dungeon Master's Guide). Ki strike improves with the character's monk level. At 10th level, her unarmed attacks are also treated as lawful weapons for the purpose of dealing damage to creatures with damage reduction. At 16th level, her unarmed attacks are treated as adamantine weapons for the purpose of dealing damage to creatures with damage reduction and bypassing hardness (see Smashing an Object, page 165).	KEY:Monk ~ Ki Strike				DEFINE:MonkKiStrikeLVL|0					BONUS:VAR|KiStrikeMagic|1|PREVARGTEQ:MonkLVL,1	BONUS:VAR|KiStrikeLawful|1|PREVARGTEQ:MonkLVL,10	BONUS:VAR|KiStrikeAdamantine|1|PREVARGTEQ:MonkLVL,16							ABILITY:Special Ability|AUTOMATIC|Ki Strike								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Slow Fall	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level or higher, a monk within arm's reach of a wall can use it to slow her descent. When first using this ability, she takes damage as if the fall were 20 feet shorter than it actually is. The monk's ability to slow her fall (that is, to reduce the effective distance of the fall when next to a wall) improves with her monk level until at 20th level she can use a nearby wall to slow her descent and fall any distance without harm. See the Special column on Table 3-10 for details.	KEY:Monk ~ Slow Fall	DESC:%1 Feet|SlowFallDistance|PREVARLT:MonkSlowFallLVL,20			DEFINE:MonkSlowFallLVL|0	DEFINE:SlowFallDistance|0				BONUS:VAR|SlowFallDistance|(SlowFallLVL/2)*10																	SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Purity of Body	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, a monk gains control over her body's immune system. She gains immunity to all diseases except for supernatural and magical diseases (such as mummy rot and Lycanthropy).	KEY:Monk ~ Purity of Body																										SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Wholeness of Body	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 7th level or higher, a monk can heal her own wounds. She can heal a number of hit points of damage equal to twice her current monk level each day, and she can spread this healing out among several uses.	KEY:Monk ~ Wholeness of Body	DESC:%1 hp/day|WholenessBody			DEFINE:WholenessBody|0					BONUS:VAR|WholenessBody|MonkLVL*2																	SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Improved Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary.Evasion	VISIBLE:YES	DESC:At 9th level, a monk's evasion ability improves. She still takes no damage on a successful Reflex saving throw against attacks such as a dragon's breath weapon or a fireball, but henceforth she takes only half damage on a failed save. A helpless monk (such as one who is unconscious or paralysed) does not gain the benefit of improved evasion.	KEY:Monk ~ Improved Evasion																										SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Diamond Body	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 11th level, a monk is in such firm control of her own metabolism that she gains immunity to poisons of all kinds.	KEY:Monk ~ Diamond Body																		ABILITY:Special Ability|AUTOMATIC|Immunity To Poison								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Abundant Step	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 12th level or higher, a monk can slip magically between spaces, as if using the spell dimension door, once per day. Her caster level for this effect is one-half her monk level (rounded down).	KEY:Monk ~ Abundant Step																		SPELLS:Innate|TIMES=1|CASTERLEVEL=MonkLVL/2|Dimension Door								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Diamond Soul	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 13th level, a monk gains spell resistance equal to her current monk level + 10. In order to affect the monk with a spell, a spellcaster must get a result on a caster level check (1d20 + caster level see Spell Resistance, page 177) that equals or exceeds the monk's spell resistance.	KEY:Monk ~ Diamond Soul				DEFINE:DiamondSoulSR|0					BONUS:VAR|DiamondSoulSR|10+MonkLVL									SR:DiamondSoulSR								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Quivering Palm	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Starting at 15th level, a monk can set up vibrations within the body of another creature that can thereafter be fatal if the monk so desires. She can use this quivering palm attack once a week, and she must announce her intent before making her attack roll. Constructs, oozes, plants, undead, incorporeal creatures, and creatures immune to critical hits cannot be affected. Otherwise, if the monk strikes successfully and the target takes damage from the blow, the quivering palm attack succeeds. Thereafter the monk can try to slay the victim at any later time, as long as the attempt is made within a number of days equal to her monk level. To make such an attempt, the monk merely wills the target to die (a free action), and unless the target makes a Fortitude saving throw (DC 10 + 1/2 the monk's level + the monk's Wis modifier, Will DC %1), it dies. If the saving throw is successful, the target is no longer in danger from that particular quivering palm attack, but it may still be affected by another one at a later time.|QuiveringPalmDC	KEY:Monk ~ Quivering Palm				DEFINE:QuiveringPalmDC|0					BONUS:VAR|QuiveringPalmDC|10+(MonkLVL/2)+WIS	BONUS:VAR|QuiveringPalmDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Quivering Palm)								ABILITY:Ability Focus|AUTOMATIC|Quivering Palm								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Timeless Body	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Upon attaining 17th level, a monk no longer takes penalties to her ability scores for aging and cannot be magically aged. Any such penalties that she has already taken, however, remain in place. Bonuses still accrue, and the monk still dies of old age when her time is up.	KEY:Monk ~ Timeless Body																		TEMPLATE:Monk ~ Timeless Body								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Tongue of the Sun and Moon	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A monk of 17th level or higher can speak with any living creature.	KEY:Monk ~ Tongue of the Sun and Moon																										SORTKEY:Class_Monk	SOURCEPAGE:PHB		
