SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																															
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Woodworking|var("SKILL.Craft (Woodworking).MISC")	BONUS:SKILLRANK|Craft ~ Woodworking|skillinfo("TOTALRANK", "Craft (Woodworking)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ Act|var("SKILL.Perform (Act).MISC")	BONUS:SKILLRANK|Perform ~ Act|skillinfo("TOTALRANK", "Perform (Act)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ Comedy|var("SKILL.Perform (Comedy).MISC")	BONUS:SKILLRANK|Perform ~ Comedy|skillinfo("TOTALRANK", "Perform (Comedy)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ Dance|var("SKILL.Perform (Dance).MISC")	BONUS:SKILLRANK|Perform ~ Dance|skillinfo("TOTALRANK", "Perform (Dance)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ Keyboard Instruments|var("SKILL.Perform (Keyboard Instruments).MISC")	BONUS:SKILLRANK|Perform ~ Keyboard Instruments|skillinfo("TOTALRANK", "Perform (Keyboard Instruments)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ Oratory|var("SKILL.Perform (Oratory).MISC")	BONUS:SKILLRANK|Perform ~ Oratory|skillinfo("TOTALRANK", "Perform (Oratory)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ Percussion Instruments|var("SKILL.Perform (Percussion Instruments).MISC")	BONUS:SKILLRANK|Perform ~ Percussion Instruments|skillinfo("TOTALRANK", "Perform (Percussion Instruments)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ String Instruments|var("SKILL.Perform (String Instruments).MISC")	BONUS:SKILLRANK|Perform ~ String Instruments|skillinfo("TOTALRANK", "Perform (String Instruments)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ Wind Instruments|var("SKILL.Perform (Wind Instruments).MISC")	BONUS:SKILLRANK|Perform ~ Wind Instruments|skillinfo("TOTALRANK", "Perform (Wind Instruments)")																																									
Perform (Untrained).MOD								BONUS:SKILL|Perform ~ Sing|var("SKILL.Perform (Sing).MISC")	BONUS:SKILLRANK|Perform ~ Sing|skillinfo("TOTALRANK", "Perform (Sing)")																																									
																																																		
# Referenced by equipment																																																		
Craft (Blacksmithing)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Intelligence.Craft.Craft (Blacksmithing)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Blacksmithing)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=BlacksmithingTools																																										
Craft (Blacksmithing)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:SkillDisplay		VISIBLE:EXPORT	KEY:Craft ~ Blacksmithing	CLASSES:ALL	PREMULT:1,[PREVARNEQ:var("SKILL.Craft (Blacksmithing).MISC"),var("SKILL.Craft (Untrained).MISC")],[PREVARGTEQ:skillinfo("TOTALRANK","Craft (Blacksmithing)"),1]																																									
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Blacksmithing|var("SKILL.Craft (Blacksmithing).MISC")	BONUS:SKILLRANK|Craft ~ Blacksmithing|skillinfo("TOTALRANK", "Craft (Blacksmithing)")																																									
Craft (Carpentry)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Intelligence.Craft.Craft (Carpentry)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Carpentry)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=CarpentryTools																																										
Craft (Carpentry)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:SkillDisplay		VISIBLE:EXPORT	KEY:Craft ~ Carpentry	CLASSES:ALL	PREMULT:1,[PREVARNEQ:var("SKILL.Craft (Carpentry).MISC"),var("SKILL.Craft (Untrained).MISC")],[PREVARGTEQ:skillinfo("TOTALRANK","Craft (Carpentry)"),1]																																									
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Carpentry|var("SKILL.Craft (Carpentry).MISC")	BONUS:SKILLRANK|Craft ~ Carpentry|skillinfo("TOTALRANK", "Craft (Carpentry)")																																									
Craft (Leatherworking)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Intelligence.Craft.Craft (Leatherworking)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Leatherworking)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=LeatherworkingTools																																										
Craft (Leatherworking)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:SkillDisplay		VISIBLE:EXPORT	KEY:Craft ~ Leatherworking	CLASSES:ALL	PREMULT:1,[PREVARNEQ:var("SKILL.Craft (Leatherworking).MISC"),var("SKILL.Craft (Untrained).MISC")],[PREVARGTEQ:skillinfo("TOTALRANK","Craft (Leatherworking)"),1]																																									
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Leatherworking|var("SKILL.Craft (Leatherworking).MISC")	BONUS:SKILLRANK|Craft ~ Leatherworking|skillinfo("TOTALRANK", "Craft (Leatherworking)")																																									
Craft (Painting)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Intelligence.Craft.Craft (Painting)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Painting)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=PaintingTools																																										
Craft (Painting)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:SkillDisplay		VISIBLE:EXPORT	KEY:Craft ~ Painting	CLASSES:ALL	PREMULT:1,[PREVARNEQ:var("SKILL.Craft (Painting).MISC"),var("SKILL.Craft (Untrained).MISC")],[PREVARGTEQ:skillinfo("TOTALRANK","Craft (Painting)"),1]																																									
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Painting|var("SKILL.Craft (Painting).MISC")	BONUS:SKILLRANK|Craft ~ Painting|skillinfo("TOTALRANK", "Craft (Painting)")																																									
Craft (Pottery)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Intelligence.Craft.Craft (Pottery)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Pottery)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=PotteryTools																																										
Craft (Pottery)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:SkillDisplay		VISIBLE:EXPORT	KEY:Craft ~ Pottery	CLASSES:ALL	PREMULT:1,[PREVARNEQ:var("SKILL.Craft (Pottery).MISC"),var("SKILL.Craft (Untrained).MISC")],[PREVARGTEQ:skillinfo("TOTALRANK","Craft (Pottery)"),1]																																									
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Pottery|var("SKILL.Craft (Pottery).MISC")	BONUS:SKILLRANK|Craft ~ Pottery|skillinfo("TOTALRANK", "Craft (Pottery)")																																									
Craft (Sculpting)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Intelligence.Craft.Craft (Sculpting)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Sculpting)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=SculptingTools																																										
Craft (Sculpting)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:SkillDisplay		VISIBLE:EXPORT	KEY:Craft ~ Sculpting	CLASSES:ALL	PREMULT:1,[PREVARNEQ:var("SKILL.Craft (Sculpting).MISC"),var("SKILL.Craft (Untrained).MISC")],[PREVARGTEQ:skillinfo("TOTALRANK","Craft (Sculpting)"),1]																																									
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Sculpting|var("SKILL.Craft (Sculpting).MISC")	BONUS:SKILLRANK|Craft ~ Sculpting|skillinfo("TOTALRANK", "Craft (Sculpting)")																																									
Craft (Shipmaking)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Intelligence.Craft.Craft (Shipmaking)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Shipmaking)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=ShipmakingTools																																										
Craft (Shipmaking)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:SkillDisplay		VISIBLE:EXPORT	KEY:Craft ~ Shipmaking	CLASSES:ALL	PREMULT:1,[PREVARNEQ:var("SKILL.Craft (Shipmaking).MISC"),var("SKILL.Craft (Untrained).MISC")],[PREVARGTEQ:skillinfo("TOTALRANK","Craft (Shipmaking)"),1]																																									
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Shipmaking|var("SKILL.Craft (Shipmaking).MISC")	BONUS:SKILLRANK|Craft ~ Shipmaking|skillinfo("TOTALRANK", "Craft (Shipmaking)")																																									
Craft (Stonemasonry)	USEUNTRAINED:NO		KEYSTAT:INT	TYPE:Intelligence.Craft.Craft (Stonemasonry)	SOURCEPAGE:PHB	VISIBLE:DISPLAY	TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used	TEMPBONUS:PC|SKILL|Craft (Stonemasonry)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=StonemasonryTools																																										
Craft (Stonemasonry)	USEUNTRAINED:YES		KEYSTAT:INT	TYPE:SkillDisplay		VISIBLE:EXPORT	KEY:Craft ~ Stonemasonry	CLASSES:ALL	PREMULT:1,[PREVARNEQ:var("SKILL.Craft (Stonemasonry).MISC"),var("SKILL.Craft (Untrained).MISC")],[PREVARGTEQ:skillinfo("TOTALRANK","Craft (Stonemasonry)"),1]																																									
Craft (Untrained).MOD								BONUS:SKILL|Craft ~ Stonemasonry|var("SKILL.Craft (Stonemasonry).MISC")	BONUS:SKILLRANK|Craft ~ Stonemasonry|skillinfo("TOTALRANK", "Craft (Stonemasonry)")																																									
