SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																				
#																						
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property														
Dread	KEY:DREAD_A	TYPE:Ammunition	PLUS:7	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+4 its normal enhancement bonus and does +4d6 bonus damage vs. %CHOICE. On critical hit target is destroyed and turned to dust (Fort DC 27).	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:BANE_A	CHOOSE:STRING|Aberrations|Animals|Constructs|Dragons|Elementals|Fey|Giants|Humanoids (aquatic)|Humanoids (dwarf)|Humanoids (elf)|Humanoids (gnoll)|Humanoids (gnome)|Humanoids (goblinoid)|Humanoids (halfling)|Humanoids (human)|Humanoids (reptilian)|Humanoids (orc)|Magical beasts|Monstrous humanoids|Oozes|Outsiders (air)|Outsiders (chaotic)|Outsiders (earth)|Outsiders (evil)|Outsiders (fire)|Outsiders (good)|Outsiders (lawful)|Outsiders (water)|Plants|Undead|Vermin|TITLE=Designated Foe				
Dread	KEY:DREAD_M	TYPE:Weapon.Melee.Thrown	PLUS:7	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+4 its normal enhancement bonus and does +4d6 bonus damage vs. %CHOICE. On critical hit target is destroyed and turned to dust (Fort DC 27).	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:BANE_R	CHOOSE:STRING|Aberrations|Animals|Constructs|Dragons|Elementals|Fey|Giants|Humanoids (aquatic)|Humanoids (dwarf)|Humanoids (elf)|Humanoids (gnoll)|Humanoids (gnome)|Humanoids (goblinoid)|Humanoids (halfling)|Humanoids (human)|Humanoids (reptilian)|Humanoids (orc)|Magical beasts|Monstrous humanoids|Oozes|Outsiders (air)|Outsiders (chaotic)|Outsiders (earth)|Outsiders (evil)|Outsiders (fire)|Outsiders (good)|Outsiders (lawful)|Outsiders (water)|Plants|Undead|Vermin|TITLE=Designated Foe				
Dread	KEY:DREAD_R	TYPE:Weapon.Ranged	PLUS:7	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+4 its normal enhancement bonus and does +4d6 bonus damage vs. %CHOICE bestowed on ammunition. On critical hit target is destroyed and turned to dust (Fort DC 27).	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:BANE_M	CHOOSE:STRING|Aberrations|Animals|Constructs|Dragons|Elementals|Fey|Giants|Humanoids (aquatic)|Humanoids (dwarf)|Humanoids (elf)|Humanoids (gnoll)|Humanoids (gnome)|Humanoids (goblinoid)|Humanoids (halfling)|Humanoids (human)|Humanoids (reptilian)|Humanoids (orc)|Magical beasts|Monstrous humanoids|Oozes|Outsiders (air)|Outsiders (chaotic)|Outsiders (earth)|Outsiders (evil)|Outsiders (fire)|Outsiders (good)|Outsiders (lawful)|Outsiders (water)|Plants|Undead|Vermin|TITLE=Designated Foe				
BANE_A.MOD																	REPLACES:DREAD_A					
BANE_R.MOD																	REPLACES:DREAD_R					
BANE_M.MOD																	REPLACES:DREAD_M					
Everdancing	KEY:EVERDANCE	TYPE:Weapon.Melee	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Can be loosed to attack on its own as free action.	PRETYPE:2,Enhancement,Wepon	PRETYPE:1,Melee	!PRETYPE:1,Thrown							ASSIGNTOALL:YES	REPLACES:DANCE					
DANCE.MOD																	REPLACES:EVERDANCE					
Fiery Blast	KEY:FLM_BLAST_A	TYPE:Ammunition	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Fire damage. On a critical hit deals +%d6 additional Fire damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:FLM_A,FLM_BURST_A					
Fiery Blast	KEY:FLM_BLAST_M	TYPE:Weapon.Melee.Thrown	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Fire damage. On a critical hit deals +%d6 additional Fire damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:FLM_M,FLM_BURST_M					
Fiery Blast	KEY:FLM_BLAST_R	TYPE:Weapon.Ranged	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Fire damage bestowed on ammunition. On a critical hit deals +%d6 additional Fire damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:FLM_R,FLM_BURST_R					
FLM_A.MOD																	REPLACES:FLM_BURST_A,FLM_BLAST_A					
FLM_R.MOD																	REPLACES:FLM_BURST_R,FLM_BLAST_R					
FLM_M.MOD																	REPLACES:FLM_BURST_M,FLM_BLAST_M					
FLM_BURST_A.MOD																	REPLACES:FLM_A,FLM_BLAST_A					
FLM_BURST_R.MOD																	REPLACES:FLM_R,FLM_BLAST_R					
FLM_BURST_M.MOD																	REPLACES:FLM_M,FLM_BLAST_M					
Holy Power	KEY:HOLY_POWER_A	TYPE:Ammunition	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Good aligned. +3d6 Holy damage and 1 negative level. On a critical hit deals +%d6 additional Holy damage and additional %2 negative levels|3*CRITMULT-1|CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:HOLY_A	BONUS:VAR|NegativeLevels|3|PREALIGN:LE,NE,CE				
Holy Power	KEY:HOLY_POWER_M	TYPE:Weapon.Melee.Thrown	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Good aligned. +3d6 Holy damage. On a critical hit deals +%d6 additional Holy damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:HOLY_R	BONUS:VAR|NegativeLevels|3|PREALIGN:LE,NE,CE				
Holy Power	KEY:HOLY_POWER_R	TYPE:Weapon.Ranged	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Good Aligned. +3d6 Holy damage bestowed on ammunition. On a critical hit deals +%d6 additional Holy damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:HOLY_M	BONUS:VAR|NegativeLevels|3|PREALIGN:LE,NE,CE				
HOLY_A.MOD																	REPLACES:HOLY_POWER_A					
HOLY_R.MOD																	REPLACES:HOLY_POWER_R					
HOLY_M.MOD																	REPLACES:HOLY_POWER_M					
Icy Blast	KEY:FROST_BLAST_A	TYPE:Ammunition	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Cold damage. On a critical hit deals +%d6 additional Cold damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:FROST_A,FROST_BURST_A					
Icy Blast	KEY:FROST_BLAST_M	TYPE:Weapon.Melee.Thrown	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Cold damage. On a critical hit deals +%d6 additional Cold damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:FROST_M,FROST_BURST_M					
Icy Blast	KEY:FROST_BLAST_R	TYPE:Weapon.Ranged	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Cold damage bestowed on ammunition. On a critical hit deals +%d6 additional Cold damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:FROST_R,FROST_BURST_R					
FROST_A.MOD																	REPLACES:FROST_BURST_A,FROST_BLAST_A					
FROST_R.MOD																	REPLACES:FROST_BURST_R,FROST_BLAST_R					
FROST_M.MOD																	REPLACES:FROST_BURST_M,FROST_BLAST_M					
FROST_BURST_A.MOD																	REPLACES:FROST_A,FROST_BLAST_A					
FROST_BURST_R.MOD																	REPLACES:FROST_R,FROST_BLAST_R					
FROST_BURST_M.MOD																	REPLACES:FROST_M,FROST_BLAST_M					
Axiomatic Power	KEY:LAW_POWER_A	TYPE:Ammunition	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Lawful aligned. +3d6 Lawful damage and 1 negative level. On a critical hit deals +%d6 additional Lawful damage and additional %2 negative levels|3*CRITMULT-1|CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:LAW_A	BONUS:VAR|NegativeLevels|3|PREALIGN:LE,NE,CE				
Axiomatic Power	KEY:LAW_POWER_M	TYPE:Weapon.Melee.Thrown	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Lawful aligned. +3d6 Lawful damage. On a critical hit deals +%d6 additional Lawful damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:LAW_R	BONUS:VAR|NegativeLevels|3|PREALIGN:LE,NE,CE				
Axiomatic Power	KEY:LAW_POWER_R	TYPE:Weapon.Ranged	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Lawful Aligned. +3d6 Lawful damage bestowed on ammunition. On a critical hit deals +%d6 additional Lawful damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:LAW_M	BONUS:VAR|NegativeLevels|3|PREALIGN:LE,NE,CE				
LAW_A.MOD																	REPLACES:LAW_POWER_A					
LAW_R.MOD																	REPLACES:LAW_POWER_R					
LAW_M.MOD																	REPLACES:LAW_POWER_M					
Electricity Blast	KEY:SHOCK_BLAST_A	TYPE:Ammunition	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Electricity damage. On a critical hit deals +%d6 additional Electricity damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:SHOCK_A,SHOCK_BURST_A					
Electricity Blast	KEY:SHOCK_BLAST_M	TYPE:Weapon.Melee.Thrown	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Electricity damage. On a critical hit deals +%d6 additional Electricity damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:SHOCK_M,SHOCK_BURST_M					
Electricity Blast	KEY:SHOCK_BLAST_R	TYPE:Weapon.Ranged	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Electricity damage bestowed on ammunition. On a critical hit deals +%d6 additional Electricity damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:SHOCK_R,SHOCK_BURST_R					
SHOCK_A.MOD																	REPLACES:SHOCK_BURST_A,SHOCK_BLAST_A					
SHOCK_R.MOD																	REPLACES:SHOCK_BURST_R,SHOCK_BLAST_R					
SHOCK_M.MOD																	REPLACES:SHOCK_BURST_M,SHOCK_BLAST_M					
SHOCK_BURST_A.MOD																	REPLACES:SHOCK_A,SHOCK_BLAST_A					
SHOCK_BURST_R.MOD																	REPLACES:SHOCK_R,SHOCK_BLAST_R					
SHOCK_BURST_M.MOD																	REPLACES:SHOCK_M,SHOCK_BLAST_M					
Mighty Disruption	KEY:DISRUPT_MIGHT_M	TYPE:Weapon.Melee.Thrown	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Undead hit must make Will save (DC 21) or be destroyed.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,Bludgeoning							ASSIGNTOALL:NO	REPLACES:DISRUPT_M					
DISRUPT_M.MOD																	REPLACES:DISRUPT_MIGHT_M					
Sonic Blast	KEY:SONIC_BLAST_A	TYPE:Ammunition	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Sonic damage. On a critical hit deals +%d6 additional Sonic damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:SONIC_A,SONIC_BURST_A					
Sonic Blast	KEY:SONIC_BLAST_M	TYPE:Weapon.Melee.Thrown	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Sonic damage. On a critical hit deals +%d6 additional Sonic damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:SONIC_M,SONIC_BURST_M					
Sonic Blast	KEY:SONIC_BLAST_R	TYPE:Weapon.Ranged	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:+3d6 Sonic damage bestowed on ammunition. On a critical hit deals +%d6 additional Sonic damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:SONIC_R,SONIC_BURST_R					
SONIC_A.MOD																	REPLACES:SONIC_BURST_A,SONIC_BLAST_A					
SONIC_R.MOD																	REPLACES:SONIC_BURST_R,SONIC_BLAST_R					
SONIC_M.MOD																	REPLACES:SONIC_BURST_M,SONIC_BLAST_M					
SONIC_BURST_A.MOD																	REPLACES:SONIC_A,SONIC_BLAST_A					
SONIC_BURST_R.MOD																	REPLACES:SONIC_R,SONIC_BLAST_R					
SONIC_BURST_M.MOD																	REPLACES:SONIC_M,SONIC_BLAST_M					
Triple-Throw	KEY:TRIPLE_THROW_A	TYPE:Ammunition	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:creates two duplicates of itself when thrown. Both the original and the duplicate weapons attack separately (at the same attack bonus).	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:SONIC_A,SONIC_BURST_A					
Triple-Throw	KEY:TRIPLE_THROW_M	TYPE:Weapon.Melee.Thrown	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:creates two duplicates of itself when thrown. Both the original and the duplicate weapons attack separately (at the same attack bonus).	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Thrown								ASSIGNTOALL:NO						
Unerring Accuracy	KEY:UNERRING_ACCURACY_R	TYPE:Weapon.Ranged	PLUS:6	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Ranged attacks made with this weapon negates the AC bonus granted by any cover short of total cover. The weapon's ranged attacks also ignore any miss chance from concealment	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO						
Unholy Power	KEY:UNHOLY_POWER_A	TYPE:Ammunition	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Good aligned. +3d6 Unholy damage and 1 negative level. On a critical hit deals +%d6 additional Unholy damage and additional %2 negative levels|3*CRITMULT-1|CRITMULT-1	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:UNHOLY_A	BONUS:VAR|NegativeLevels|3|PREALIGN:LG,NG,CG				
Unholy Power	KEY:UNHOLY_POWER_M	TYPE:Weapon.Melee.Thrown	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Good aligned. +3d6 Unholy damage. On a critical hit deals +%d6 additional Unholy damage|3*CRITMULT-1	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:UNHOLY_R	BONUS:VAR|NegativeLevels|3|PREALIGN:LG,NG,CG				
Unholy Power	KEY:UNHOLY_POWER_R	TYPE:Weapon.Ranged	PLUS:8	VISIBLE:QUALIFY	SOURCEPAGE:ELH	SPROP:Good Aligned. +3d6 Unholy damage bestowed on ammunition. On a critical hit deals +%d6 additional Unholy damage|3*CRITMULT-1	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:UNHOLY_M	BONUS:VAR|NegativeLevels|3|PREALIGN:LG,NG,CG				
UNHOLY_A.MOD																	REPLACES:UNHOLY_POWER_A					
UNHOLY_R.MOD																	REPLACES:UNHOLY_POWER_R					
UNHOLY_M.MOD																	REPLACES:UNHOLY_POWER_M					
