SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
																																													
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.CerebremancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Cerebremancers gain no proficiency with any weapon or armor.	KEY:Cerebremancer ~ Weapon and Armor Proficiency																										SORTKEY:Class_Cerebremancer	SOURCEPAGE:EPH													
Spells per Day/Power Known	CATEGORY:Special Ability	TYPE:ClassFeatures.CerebremancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:When a new cerebremancer level is attained, the character gains new spells per day as if he had also attained a level in any one arcane spellcasting class he belonged to before he added the prestige class. He gains additional power points per day and access to new powers as if he had also gained a level in any one manifesting class he belonged to previously. He does not, however, gain any other benefi t a character of either class would have gained (bonus metamagic, metapsionic, or item creation feats, psicrystal special abilities, and so on). This essentially means that he adds the level of cerebremancer to the level of whatever other arcane spellcasting class and manifesting class the character has, then determines spells per day, caster level, power points per day, powers known, and manifester level accordingly. If a character had more than one arcane spellcasting class or more than one manifesting class before he became a cerebremancer, he must decide to which class he adds each level of cerebremancer for purpose of determining spells per day, caster level, power points per day, powers known, and manifester level.	KEY:Cerebremancer ~ Spells per Day/Power Known																										SORTKEY:Class_Cerebremancer	SOURCEPAGE:EPH													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Elocaters are profi cient with all simple and martial weapons and with light armor.	KEY:Elocater ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Power Known	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At every level indicated on the table, the character gains additional power points per day and access to new powers as if she had also gained a level in whatever manifesting class she belonged to before she added the prestige class. She does not, however, gain any other benefi t a character of that class would have gained (bonus feats, metapsionic or item creation feats, psicrystal special abilities, and so on). This essentially means that she adds the level of elocater to the level of whatever manifesting class the character has, then determines power points per day, powers known, and manifester level accordingly. If a character had more than one manifesting class before she became an elocater, she must decide to which class she adds the new level of elocater for the purpose of determining power points per day, powers known, and manifester level.	KEY:Elocater ~ Power Known																										SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Scorn Earth	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 1st level, an elocater's feet lift from the ground. From now on, she can fl oat a foot above the ground. Instead of walking she glides along, unconcerned with the hard earth or diffi cult terrain. While she remains within 1 foot of a fl at surface of any solid or liquid, she can take normal actions and make normal attacks, and can move at her normal speed (she can even "run" at four times her normal speed). However, at distances higher than 1 foot above any surface, her speed diminishes to 10 feet per round. While she remains within 1 foot of a surface, she can make melee and ranged attacks normally, but if she moves any higher, she incurs the penalties on melee and ranged attack rolls as if she were the subject of the psionic levitate power (see the levitate spell description, page 248 of the Player's Handbook).	KEY:Elocater ~ Scorn Earth																										SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Sidestep Charge	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, an elocater gains Sidestep Charge (see page 51) as a bonus feat, even if she does not meet the prerequisites. If the character already has this feat, she gains no benefit.	KEY:Elocater ~ Sidestep Charge																		ABILITY:FEAT|AUTOMATIC|Sidestep Charge								SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Opportunistic Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 2nd level, an elocater's hyperawareness of spatial relations gives her an instinctive view of the battlefield, which allows her to make a cunning attack against distracted opponents. The elocater gains a +2 insight bonus on her attack roll and her damage roll (if the attack hits) for the first attack she makes against an opponent that has been dealt damage in melee by another character since the elocater's last action. At 5th level the insight bonus increases to +4, and at 8th level the insight bonus increases to +6.	KEY:Elocater ~ Opportunistic Strike				DEFINE:OpportunisticStrikeBonus|0					BONUS:VAR|OpportunisticStrikeBonus|(((ElocatorLVL+1)/3)*2)																	SORTKEY:Class_Elocater	SOURCEPAGE:EPH	ASPECT:NAME|Opportunistic Strike +%1|OpportunisticStrikeBonus												
Dimension Step	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An elocater of 3rd level or higher can slip psionically between spaces as if using the psionic dimension door power, once per day. The elocater cannot bring any other creatures with her. Her manifester level for this effect is equal to her elocater level.	KEY:Elocater ~ Dimension Step																		SPELLS:Innate|TIMES=1|CASTERLEVEL=ElocatorLVL|Dimension Door (Psionic)								SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Flanker	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An elocater of 4th level or higher can flank enemies from seemingly impossible angles. She can designate any adjacent square as the square from which flanking against an ally is determined (including the square where she stands, as normal). She can designate the square at the beginning of her turn or at any time during her turn. The designated square remains her effective square for flanking until she is no longer adjacent to it or until she chooses a different square (at the start of one of her turns). The character can even choose a square that is impassable or occupied.	KEY:Elocater ~ Flanker																										SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Transporter	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 6th level, an elocater learns both psionic teleport and psionic plane shift. These powers are in addition to any powers the elocater normally learns by advancing a level. The elocater treats these powers as if they were 3rd-level powers on her class list. This means, among other things, that manifesting these powers costs 5 power points. (If the character does not have a high enough manifester level to manifest 3rd-level powers, such as might be the case for some psychic warriors who qualify for this class, the character cannot manifest these powers until she has attained the required manifester level).	KEY:Elocater ~ Transporter									BONUS:ABILITYPOOL|Elocator Transporter|1																	SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
# Transporter ~ Class	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Elocater ~ Transporter ~ Class									BONUS:SPELLKNOWN|CLASS=%LIST;LEVEL=3|2					STACK:NO	MULT:YES	CHOOSE:CLASS|SPELLTYPE=Psionic		SPELLLEVEL:CLASS|%LIST=3|Plane Shift (Psionic),Teleport (Psionic)								SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Transporter ~ Class	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Elocater ~ Transporter ~ Class									BONUS:SPELLKNOWN|TYPE=Psionic;LEVEL=3|2									SPELLLEVEL:CLASS|SPELLCASTER.Psionic=3|Plane Shift (Psionic),Teleport (Psionic)								SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Capricious Step	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, an elocater can take an extra 5-foot step in any round when she doesn't perform any other movement (except for the fi rst 5-foot step). Like the first, the second 5-foot step does not provoke attacks of opportunity. The character can take the extra 5-foot step immediately after taking the first, or wait until the end of her other actions for the round. In all other ways, the rules for taking a 5-foot step apply, as described on page 144 of the Player's Handbook.	KEY:Elocater ~ Capricious Step																										SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Dimensional Spring Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An elocater of 9th level or higher can use her dimension step ability in conjunction with her Spring Attack feat once per day. This ability can be used only against opponents within 60 feet to which the elocater has line of sight. She can dimension step up to the target, use Spring Attack, and then use dimension step to return to her starting point. (When she uses this ability, the total distance she can travel before and after the attack is not limited by her speed.) The use of this ability counts as her use of the dimension step ability on that day (and this ability is not available during a day when she has already used dimension step).	KEY:Elocater ~ Dimensional Spring Attack																										SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Accelerated Action	CATEGORY:Special Ability	TYPE:ClassFeatures.ElocaterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:When she attains 10th level, an elocater can accelerate herself and thereby take more actions than normal. An elocater can accelerate herself for a total of 5 rounds per day. She can choose to parcel out her accelerated actions in 1-round increments. (This effect is not cumulative with similar effects that provide additional actions, such as schism or a haste spell-and in fact an elocater can't take an accelerated action if affected by these or similar effects). If she makes a full attack while accelerated, an elocater can make one extra attack with any weapon she is holding. The attack is made using her full base attack bonus, plus any modifiers appropriate to the situation. If the elocater uses her accelerated action to move, she gains an enhancement bonus to her speed of +30 feet. The elocater can use her accelerated action to manifest a power, as long as she has not already manifested a power in the current round and the one she wants to manifest has a manifesting time of 1 standard action or shorter. While accelerated, she gains a +2 dodge bonus on attack rolls and Reflex saves and a +2 dodge bonus to Armor Class. Any condition that makes her lose her Dexterity bonus to Armor Class (if any) also makes her lose these dodge bonuses.	KEY:Elocater ~ Accelerated Action																										SORTKEY:Class_Elocater	SOURCEPAGE:EPH													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.FistOfZuokenClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Fists of Zuoken gain no proficiency with any weapon or armor.	KEY:Fist of Zuoken ~ Weapon and Armor Proficiency																										SORTKEY:Class_Fist_Of_Zuoken	SOURCEPAGE:EPH													
Power Points per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.FistOfZuokenClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Fist of Zuoken can manifest powers. His ability to manifest powers is limited by the power points he has available. His base daily allotment of power points is given on Table 6-3: The Fist of Zuoken. In addition, he receives bonus power points per day if he has a high Wisdom score (see Table 2-1: Ability Modifiers and Bonus Power Points). His race may also provide bonus power points per day, as may certain feats and items. If a Fist of Zuoken has power points from a different class, those points are pooled together and usable to manifest powers from either class. Bonus power points from having a high ability score can be gained only for the character's highest psionic class.	KEY:Fist of Zuoken ~ Power Points per Day									BONUS:VAR|FistOfZuokenML|FistOfZuokenLVL									ABILITY:Internal|AUTOMATIC|Fist of Zuoken Caster Support								SORTKEY:Class_Fist_Of_Zuoken	SOURCEPAGE:EPH													
Monk Abilities	CATEGORY:Special Ability	TYPE:ClassFeatures.FistOfZuokenClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A Fist of Zuoken's class levels stack with his monk levels for the purpose of determining his unarmed damage and bonuses to Armor Class and unarmored speed. His class levels do not apply to other monk abilities such as fl urry of blows, slow fall, and so on.	KEY:Fist of Zuoken ~ Monk Abilities									BONUS:VAR|MonkACLVLBonus|FistOfZuokenLVL	BONUS:VAR|MonkFastMovementLVL|FistOfZuokenLVL	BONUS:UDAM|CLASS.Monk|FistOfZuokenLVL															SORTKEY:Class_Fist_Of_Zuoken	SOURCEPAGE:EPH													
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.FistOfZuokenClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 5th and 10th level, a Fist of Zuoken can take any psionic feat from the psionic feats described in Chapter 3 as a bonus feat. He must still meet the prerequisites for the feat.	KEY:Fist of Zuoken ~ Bonus Feats				DEFINE:FistOfZuokenBonusFeats|0					BONUS:VAR|FistOfZuokenBonusFeats|FistOfZuokenLVL/5	BONUS:ABILITYPOOL|Fist of Zuoken Feat|FistOfZuokenBonusFeats																SORTKEY:Class_Fist_Of_Zuoken	SOURCEPAGE:EPH													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Illithid slayers are proficient with all simple and martial weapons and with all types of armor.	KEY:Illithid Slayer ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy							SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Power Known	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 2nd level, an illithid slayer gains additional power points per day and access to new powers as if she had also gained a level in whatever manifesting class she belonged to before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (bonus feats, metapsionic or item creation feats, psicrystal special abilities, and so on). This essentially means that she adds the level of illithid slayer to the level of whatever manifesting class the character has, then determines power points per day, powers known, and manifester level accordingly. If a character had more than one manifesting class before she became an illithid slayer, she must decide to which class she adds the new level of illithid slayer for the purpose of determining power points per day, powers known, and manifester level. If the character did not belong to a manifesting class before taking this prestige class (for example, if she was a soulknife or a ranger with the Wild Talent feat), she does not gain manifesting levels.	KEY:Illithid Slayer ~ Power Known																										SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Favored Enemy (Illithid)	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When she enters the class, an illithid slayer formally declares illithids and illithid kin (such as neothelids; see page 204) as the enemy she detests above all others. Due to her extensive study of her foes and training in the proper techniques for combating them, she gains a +2 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against illithids. Likewise, she gets a +2 bonus on weapon damage rolls against creatures of this kind. At 4th level the bonuses increase to +4, at 7th level to +6, and at 10th level to +8.	KEY:Illithid Slayer ~ Favored Enemy				DEFINE:IllithidSlayerFavoredEnemyLVL|0					BONUS:VAR|IllithidSlayerFavoredEnemyLVL|IllithidSlayerLVL	BONUS:VAR|FavoredEnemyCount|1	BONUS:VAR|FavoredEnemyBonusCount|(IllithidSlayerFavoredEnemyLVL+2)/3	BONUS:VAR|FavoredEnemyBaseBonus|2|TYPE=Base						ABILITY:Special Ability|AUTOMATIC|Favored Enemy								SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Illithid Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An illithid slayer can sense the presence of illithids within 60 feet of herself, even if they are hidden by darkness or walls, but she cannot discern their exact location.	KEY:Illithid Slayer ~ Illithid Sense																										SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Brain Nausea	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, a slayer gains a constant defensive ability somewhat similar to the aversion power. Any creature that attempts to eat the slayer's brain must succeed on a Will save (DC %1 , 15 + slayer's class level) or become disinclined to do so for 24 hours thereafter. A creature that fails this save may take any action it desires except extracting the slayer's brain (but does not realize it is being so affected). This ability is active even if the slayer is unconscious, stunned, or otherwise helpless.|BrainNauseaDC	KEY:Illithid Slayer ~ Brain Nausea				DEFINE:BrainNauseaDC|0					BONUS:VAR|BrainNauseaDC|15+IllithidSlayerLVL																	SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Lucid Buffer	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, an illithid slayer becomes especially skilled at resisting mental attacks. She gains a +4 competence bonus on saving throws against all compulsions and mind-affecting effects. This ability is active even if the illithid slayer is unconscious, stunned, or otherwise helpless.	KEY:Illithid Slayer ~ Lucid Buffer									BONUS:VAR|MindAffectingResistanceBonus|4|TYPE=Competence	BONUS:VAR|CompulsionResistanceBonus|4|TYPE=Competence								ABILITY:Special Ability|AUTOMATIC|Resistance To Mind-Affecting|Resistance To Compulsion								SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Cerebral Blind	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:After reaching 6th level, an illithid slayer is protected from all devices, powers, and spells that reveal location. This ability protects against information gathering by clairsentience powers or effects that reveal location. The ability even foils bend reality, limited wish, miracle, reality revision, and wish when they are used to gain information about the slayer's location (however, metafaculty can pierce this protective barrier). In the case of remote viewing or scrying that scans an area an illithid slayer is in, the effect works, but the slayer simply isn't detected. Remote viewing or scrying attempts that are targeted specifi cally at an illithid slayer do not work. This ability is active as long as the slayer is psionically focused.	KEY:Illithid Slayer ~ Cerebral Blind																										SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Breach Power Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An illithid slayer of 8th level or higher can enhance her weapon with psionic might. Each successful melee attack (or ranged attack if the target is within 30 feet) she makes with her weapon against a creature with power resistance temporarily reduces its power resistance by 1. Unless the creature is slain, its lost power resistance returns all at once 12 hours later. This ability is active as long as the slayer is psionically focused.	KEY:Illithid Slayer ~ Breach Power Resistance																										SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Cerebral Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:On reaching 9th level, an illithid slayer gains protection from all devices, powers, and spells that infl uence the mind. This ability shields her against almost all mind-affecting powers and effects (though the slayer can selectively allow powers or spells to affect her). The ability even foils bend reality, limited wish, miracle, reality revision, and wish when they are used to mentally infl uence an illithid slayer. This ability is active as long as the illithid slayer is psionically focused.	KEY:Illithid Slayer ~ Cerebral Immunity																										SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Blast Feedback	CATEGORY:Special Ability	TYPE:ClassFeatures.IllithidSlayerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 10th level, an illithid slayer becomes able to turn an illithid's favorite attack against itself. If a slayer makes her saving throw when attacked with mind blast, the mind blast rebounds upon the attacker! Only the original attacker is targeted in the rebound effect. If the original attacker fails a Will saving throw (DC equal to that of the original attack), the attacker is affected normally by the mind blast.	KEY:Illithid Slayer ~ Blast Feedback																										SORTKEY:Class_Illithid_Slayer	SOURCEPAGE:EPH													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Metaminds gain no proficiency with any weapon or armor.	KEY:Metamind ~ Weapon and Armor Proficiency																										SORTKEY:Class_Metamind	SOURCEPAGE:EPH													
Power Known	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At every even-numbered level, a metamind gains additional power points per day and access to new powers as if he had also gained a level in whatever manifesting class he belonged to before he added the prestige class. He does not, however, gain any other benefi t a character of that class would have gained (bonus feats, metapsionic or item creation feats, and so on). This essentially means that he adds the level of metamind to the level of whatever manifesting class the character has, then determines power points per day, powers known, and manifester level accordingly. If a character had more than one manifesting class before he became a metamind, he must decide to which class he adds the new level of metamind for the purpose of determining power points per day, powers known, and manifester level.	KEY:Metamind ~ Power Known																										SORTKEY:Class_Metamind	SOURCEPAGE:EPH													
Free Manifesting	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality.PsiLike	VISIBLE:YES	DESC:At 1st level, a metamind can manifest any 1st-level power he knows for free (without spending power points) three times per day. At higher levels, a metamind gains the ability to freely manifest additional higher-level powers: three 2nd-level powers per day at 3rd level; one 3rd-level power per day at 5th level; one 4th-level power per day at 7th level; and one 5th-level power per day at 9th level. This benefi t applies only to the power point cost of an unaugmented power. Points spent to augment a power and an experience point cost (if any) must be paid as normal.	KEY:Metamind ~ Free Manifesting																		ABILITY:Special Ability|AUTOMATIC|Metamind ~ Free Manifesting ~ 1	ABILITY:Special Ability|AUTOMATIC|Metamind ~ Free Manifesting ~ 2|PREVARGTEQ:MetamindLVL,3	ABILITY:Special Ability|AUTOMATIC|Metamind ~ Free Manifesting ~ 3|PREVARGTEQ:MetamindLVL,5	ABILITY:Special Ability|AUTOMATIC|Metamind ~ Free Manifesting ~ 4|PREVARGTEQ:MetamindLVL,7	ABILITY:Special Ability|AUTOMATIC|Metamind ~ Free Manifesting ~ 5|PREVARGTEQ:MetamindLVL,9				SORTKEY:Class_Metamind	SOURCEPAGE:EPH													
Free Manifesting 1	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Metamind ~ Free Manifesting ~ 1				DEFINE:FreeManifesting1Times|0					BONUS:VAR|FreeManifesting1Times|3																	SORTKEY:Class_Metamind	SOURCEPAGE:EPH	ASPECT:NAME|Free Manifesting 1st %1/day|FreeManifesting1Times												
Free Manifesting 2	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Metamind ~ Free Manifesting ~ 2				DEFINE:FreeManifesting2Times|0					BONUS:VAR|FreeManifesting2Times|3																	SORTKEY:Class_Metamind	SOURCEPAGE:EPH	ASPECT:NAME|Free Manifesting 2nd %1/day|FreeManifesting2Times												
Free Manifesting 3	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Metamind ~ Free Manifesting ~ 3				DEFINE:FreeManifesting3Times|0					BONUS:VAR|FreeManifesting3Times|1																	SORTKEY:Class_Metamind	SOURCEPAGE:EPH	ASPECT:NAME|Free Manifesting 3rd %1/day|FreeManifesting3Times												
Free Manifesting 4	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Metamind ~ Free Manifesting ~ 4				DEFINE:FreeManifesting4Times|0					BONUS:VAR|FreeManifesting4Times|1																	SORTKEY:Class_Metamind	SOURCEPAGE:EPH	ASPECT:NAME|Free Manifesting 4th %1/day|FreeManifesting4Times												
Free Manifesting 5	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Metamind ~ Free Manifesting ~ 5				DEFINE:FreeManifesting5Times|0					BONUS:VAR|FreeManifesting5Times|1																	SORTKEY:Class_Metamind	SOURCEPAGE:EPH	ASPECT:NAME|Free Manifesting 5th %1/day|FreeManifesting5Times												
Cognizance Psicrystal	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a metamind masters the trick of storing excess power points in a psicrystal. The psicrystal is now treated as a cognizance crystal (see page 167) capable of storing 5 power points, in addition to its psicrystal abilities. At every even-numbered level, a metamind becomes able to store an additional 2 power points in his psicrystal, to a maximum of 11 points at 8th level.	KEY:Metamind ~ Cognizance Psicrystal																										SORTKEY:Class_Metamind	SOURCEPAGE:EPH													
Font of Power	CATEGORY:Special Ability	TYPE:ClassFeatures.MetamindClassFeatures.SpecialQuality.PsiLike	VISIBLE:YES	DESC:A 10th-level meta mind can act as a living cognizance crystal, producing seemingly endless power points once per day, for up to 1 minute. His eyes shine like tiny stars, and faint illumination seems to beam out of his mouth and the end of each of his fi ngers. While so empowered, he can manifest any of his powers without drawing from his power point reserve. He fi nds the power points he needs welling up within his own body. If a metamind using this ability enters a metaconcert (see metaconcert, page 115), his power point reserve is accessed normally for the purpose of his contributing to the pool.	KEY:Metamind ~ Font of Power																										SORTKEY:Class_Metamind	SOURCEPAGE:EPH													
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionUncarnateClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Psion uncarnates gain no proficiency with any weapon or armor.	KEY:Psion Uncarnate ~ Weapon and Armor Proficiency																										SORTKEY:Class_Psion_Uncarnate	SOURCEPAGE:EPH													
Power Known	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionUncarnateClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At every level indicated on Table 6-6, a psion uncarnate gains additional power points per day and access to new powers as if he had also gained a level in whatever manifesting class he belonged to before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (bonus feats, metapsionic or item creation feats, psicrystal special abilities, and so on). This essentially means that he adds the level of psion uncarnate to the level of whatever manifesting class the character has, then determines power points per day, powers known, and manifester level accordingly. If a character had more than one manifesting class before he became a psion uncarnate, he must decide to which class he adds the new level of psion uncarnate for the purpose of determining power points per day, powers known, and manifester level.	KEY:Psion Uncarnate ~ Power Known																										SORTKEY:Class_Psion_Uncarnate	SOURCEPAGE:EPH													
Incorporeal Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionUncarnateClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 1st level, a psion uncarnate can make up to three melee touch attacks per day that each deal 1d6 points of damage if they hit. The character's Strength modifi er is not applied to this attack, but it is effective against incorporeal creatures (and against corporeal creatures while the psion uncarnate is incorporeal) The character's hand and arm seem to become slightly translucent when he makes these attacks. A miss still counts as a use of the ability. While uncarnate (see below), a psion uncarnate can make melee touch attacks at will that do not count against his uses of this ability. For every four levels higher than 1st the psion uncarnate attains, the damage on these attacks increases by 1d6 points.	KEY:Psion Uncarnate ~ Incorporeal Touch				DEFINE:IncorporeatTouchTimes|0					BONUS:VAR|IncorporealTouchTimes|3									ABILITY:Special Ability|AUTOMATIC|Psion Uncarnate ~ Incorporeal Touch ~ 1|PREVARGTEQ:PsionUncarnateLVL,1	ABILITY:Special Ability|AUTOMATIC|Psion Uncarnate ~ Incorporeal Touch ~ 2|PREVARGTEQ:PsionUncarnateLVL,5	ABILITY:Special Ability|AUTOMATIC|Psion Uncarnate ~ Incorporeal Touch ~ 3|PREVARGTEQ:PsionUncarnateLVL,9						SORTKEY:Class_Psion_Uncarnate	SOURCEPAGE:EPH													
Incorporeal Touch ~ 1	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionUncarnateClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion Uncarnate ~ Incorporeal Touch ~ 1																		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,1d6								SORTKEY:Class_Psion_Uncarnate	SOURCEPAGE:EPH													
Incorporeal Touch ~ 2	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionUncarnateClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion Uncarnate ~ Incorporeal Touch ~ 2																		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,2d6								SORTKEY:Class_Psion_Uncarnate	SOURCEPAGE:EPH													
Incorporeal Touch ~ 3	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionUncarnateClassFeatures.SpecialQuality	VISIBLE:DISPLAY		KEY:Psion Uncarnate ~ Incorporeal Touch ~ 3																		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,3d6								SORTKEY:Class_Psion_Uncarnate	SOURCEPAGE:EPH													
Uncarnate Armor	CATEGORY:Special Ability	TYPE:ClassFeatures.PsionUncarnateClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A psion uncarnate wearing armor (or using inertial armor or a similar effect) gets his armor bonus to AC even when he becomes incorporeal (see Shed Body, below). However, unlike other incorporeal creatures, a psion uncarnate does not gain a deflection bonus to Armor Class from his Charisma modifier. This ability works even if the armor being worn becomes incorporeal (such as through the use of the assume equipment ability described below).	KEY:Psion Uncarnate ~ Uncarnate Armor																										SORTKEY:Class_Psion_Uncarnate	SOURCEPAGE:EPH													
