SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
#																								
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST:	DESC:	Bonus	Bonus
Daze		KEY:Daze (Psionic)		TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1	COMPS:Ma, Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature that has 4 HD or less.	DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every additional power point you spend, this power can affect a target that has Hit Dice equal to 4 + the additional points.		
Death Urge				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Psion=4|Wilder=4	COMPS:Me	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.	DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: For every 4 additional power points you spend, this power's save DC increases by 2 and its duration increases by 1 round.		
Deceleration				TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psion=1|Wilder=1	COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One Medium or smaller creature.	DURATION:1 minute/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, this power can affect a target one size category larger.		
Decerebrate				TYPE:Power	SCHOOL:Psychoportation	SUBSCHOOL:Teleportation		CLASSES:Psion=7|Wilder=7	COMPS:Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13.		
Déjà Vu				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1	COMPS:Me	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		
Demoralize				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1	COMPS:Me, Ol	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:30-ft-radius spread centered on you.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, this power's range and the radius of its area both increase by 5 feet, and the power's save DC increases by 1.		
Destiny Dissonance				TYPE:Power	SCHOOL:Clairsentience				COMPS:Ma, Me	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Detect Hostile Intent				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=2|Wilder=2|Psychic Warrior=2	COMPS:Ol	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:30-ft-radius emanation centered on you.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Detect Psionics				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Au, Vi	CASTTIME:1 standard action	RANGE:60-ft.	TARGETAREA:Cone-shaped emanation centered on you.	DURATION:Concentration, up to 1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Detect Remote Viewing				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=4|Wilder=4	COMPS:Me, Vi	CASTTIME:1 standard action	RANGE:40-ft.	TARGETAREA:40-ft radius emanation centered on you.	DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Detect Teleportation				TYPE:Power	SCHOOL:Clairsentience				COMPS:Vi	CASTTIME:1 standard action	RANGE:40-ft.	TARGETAREA:40-ft radius emanation centered on you.	DURATION:Concentration, up to 1 minute	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: If you spend 2 additional power points, this power's range increases to Medium (100 ft. + 10 ft./level).		
Dimension Door		KEY:Dimension Door (Psionic)		TYPE:Power	SCHOOL:Psychoportation	SUBSCHOOL:Teleportation		CLASSES:Psion=4|Wilder=4|Psychic Warrior=4	COMPS:Vi	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:You and touched objects or touched willing creatures.	DURATION:Instantaneous	SAVEINFO:None and Will negates (object); see text	SPELLRES:No and Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: If you spend 6 additional power points, you can manifest this power as a move action.		
Dimension Slide				TYPE:Power	SCHOOL:Psychoportation	SUBSCHOOL:Teleportation		CLASSES:Psychic Warrior=3	COMPS:Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You; see text.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: If you spend 4 additional power points, you can manifest this power as a move action.		
Dimension Swap				TYPE:Power	SCHOOL:Psychoportation	SUBSCHOOL:Teleportation		CLASSES:Psychic Warrior=2	COMPS:Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You and one ally in range, or two allies in range; see text.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Special: A psychic warrior can manifest this power to swap positions with an ally, but not to swap the positions of two allies. Augment: For every 2 additional power points you spend, this power can affect a target one size category larger.		
Dimensional Anchor		KEY:Dimensional Anchor (Psionic)		TYPE:Power	SCHOOL:Psychoportation				COMPS:Au	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.	DURATION:1 minute/level	SAVEINFO:None (object)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Disable				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1	COMPS:Vi	CASTTIME:1 standard action	RANGE:20-ft.	TARGETAREA:Cone-shaped emanation centered on you.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, this power's range increases by 5 feet and its save DC increases by 1. In addition, for every additional power point you spend to increase the range and the save DC, this power can affect targets that have Hit Dice equal to 4 + the number of additional points.		
Disintegrate		KEY:Disintegrate (Psionic)		TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psion=6|Wilder=6	COMPS:Au, Ma, Vi	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.	DURATION:Instantaneous	SAVEINFO:Fortitude partial (object)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11. Augment: For every additional power point you spend, the damage this power deals to a subject that fails its saving throw increases by 2d6 points. Augmenting this power does not change the amount of damage the target takes if it succeeds on its saving throw.		
Dismissal		KEY:Dismissal (Psionic)		TYPE:Power	SCHOOL:Psychoportation				COMPS:Au	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One extraplanar creature.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Dismiss Ectoplasm				TYPE:Power	SCHOOL:Metacreativity			CLASSES:Psion=3|Wilder=3	COMPS:Au, Vi	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Will negates; See text	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Dispel Psionics				TYPE:Power	SCHOOL:Psychokinesis			CLASSES:Psion=3|Wilder=3	COMPS:Vi	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One manifester, creature or object; or 20-ft-radius burst	DURATION:Instantaneous or 1d4 rounds; see text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every additional power point you spend, the bonus on your dispel check increases by 2 (to a maximum bonus of +20 for a 5-point expenditure).		
Dispelling Buffer				TYPE:Power	SCHOOL:Psychokinesis			CLASSES:Psychic Warrior=6	COMPS:Ma, Ol	CASTTIME:1 standard action	RANGE:Personal or Close	TARGETAREA:You or one willing creature or one object (object weighing up to 100 lb/level)	DURATION:1 hour/level	SAVEINFO:None (harmless, object)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11. Special: When a psychic warrior manifests this power, the range is personal and the target is the manifester.		
Dissipating Touch				TYPE:Power	SCHOOL:Psychoportation	SUBSCHOOL:Teleportation		CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Au, Vi	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature or object touched.	DURATION:Instantaneous	SAVEINFO:None (object)	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every additional power point you spend, this power's damage increases by 1d6 points.		
Dissolving Touch				TYPE:Power	SCHOOL:Psychometabolism		DESCRIPTOR:Acid	CLASSES:Psychic Warrior=2	COMPS:Vi	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature or object touched.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every 2 additional power points you spend, this power's damage increases by 1d6 points.		
Dissolving Weapon				TYPE:Power	SCHOOL:Psychometabolism		DESCRIPTOR:Acid	CLASSES:Psychic Warrior=2	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:One held weapon; see text.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Distract				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Concentration, up to 1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Divert Teleport				TYPE:Power	SCHOOL:Psychoportation	SUBSCHOOL:Teleportation		CLASSES:Psion=7|Wilder=7	COMPS:Vi	CASTTIME:1 immediate action	RANGE:Medium	TARGETAREA:A circle, centered on you, with a radius of 50.ft + 10-ft/level.	DURATION:10 minutes/level	SAVEINFO:Will negates (foils diversion)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13.		
Divination		KEY:Divination (Psionic)		TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=4|Wilder=4	COMPS:Ma, Vi	CASTTIME:10 minutes	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Dominate		KEY:Dominate (Psionic)		TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting		COMPS:Me	CASTTIME:1 round	RANGE:Medium	TARGETAREA:One humanoid.	DURATION:Concentration	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: You can augment this power in one or more of the following ways. &nl;1. If you spend 2 additional power points, this power can also affect an animal, fey, giant, magical beast, or monstrous humanoid. &nl;2. If you spend 4 additional power points, this power can also affect an aberration, dragon, elemental, or outsider in addition to the creature types mentioned above. &nl;3. For every 2 additional power points you spend, this power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power. &nl;In addition, for every 2 additional power points you spend to achieve any of these effects, this power's save DC increases by 1. For example, if you spend 8 additional power points (4 to affect an aberration and 4 to affect two additional creatures), this power's save DC increases by 4.		
Dream Travel				TYPE:Power	SCHOOL:Psychoportation				COMPS:Vi	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and touched creature or creatures (up to 1/level)	DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13. Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		
Duodimensional Claw				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=3	COMPS:Ma	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Ecto Protection				TYPE:Power	SCHOOL:Metacreativity			CLASSES:Psion=1|Wilder=1	COMPS:Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:An astral construct you manifest.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, your bonus on manifester level checks to protect your astral construct increases by 1, and your astral construct's bonus on its saving throw to resist dismiss ectoplasm increases by 1.		
Ectoplasmic Cocoon				TYPE:Power	SCHOOL:Metacreativity				COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One Medium or smaller creature.	DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: You can augment this power in one or both of the following ways. &nl;1. For every 2 additional power points you spend, this power's save DC increases by 1. &nl;2. For every 2 additional power points you spend, this power can affect a target one size category larger.		
Ectoplasmic Cocoon (Mass)	OUTPUTNAME:Ectoplasmic Cocoon, Mass			TYPE:Power	SCHOOL:Metacreativity				COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius burst.	DURATION:1 hour/level	SAVEINFO:Reflex negates	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13. Augment: For every 2 additional power points you spend, the radius of this power's area increases by 5 feet.		
Ectoplasmic Form				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=3	COMPS:Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Ectoplasmic Shambler				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psion=5|Wilder=5	COMPS:Au, Ma, Ol	CASTTIME:1 round	RANGE:Long	TARGETAREA:One ectoplasmatic manifestation of a size equal to ten 10-ft cubes.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9.		
Ego Whip				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=2|Wilder=2	COMPS:Au	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Will half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every 4 additional power points you spend, this power's Charisma damage increases by 1d4 points and its save DC increases by 2.		
Elfsight				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=2|Wilder=2|Psychic Warrior=1	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Psion/Wilder 3, Psychic Warrior 1.		
Empathic Feedback				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=4|Wilder=4|Psychic Warrior=3	COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Psion/Wilder 7, Psychic Warrior 5. Augment: For every additional power point you spend, this power's damage potential increases by 1 point. For example, if a psychic warrior spends 8 points to manifest this power, her attacker takes damage equal to the amount it dealt to her or 8 points, whichever is less.		
Empathic Transfer				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=2	COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing creature touched.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every additional power point you spend, you can heal an additional 2d10 points of damage (to a maximum of 10d10 points per manifestation).		
Empathic Transfer (Hostile)	OUTPUTNAME:Empathic Transfer, Hostile			TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psychic Warrior=3	COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Will half	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: You can augment this power in one or both of the following ways. &nl;1. For every additional power point you spend, you can transfer an additional 10 points of damage (maximum 90 points per manifestation). &nl;2. If you spend 6 additional power points, this power affects all creatures in a 20-foot- adius spread centered on you.		
Empathy				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1	COMPS:Me	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:30-ft-radius spread centered on you.	DURATION:Concentration, up to 1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: You can augment this power in one or both of the following ways. &nl;1. For every additional power point you spend, this power's range and the radius of its area increases by 5 feet. &nl;2. If you spend 2 additional power points, this power's maximum duration increases to 1 hour/level.		
Empty Mind				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Au	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, the bonus on your Will saves increases by 1.		
Energy Adaptation				TYPE:Power	SCHOOL:Psychometabolism		DESCRIPTOR:See text	CLASSES:Psion=4|Wilder=4|Psychic Warrior=4	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: If you spend 4 additional power points, you can manifest this power as an immediate action.		
Energy Adaptation (Specified)			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychometabolism		DESCRIPTOR:See text	CLASSES:Psion=2|Wilder=2|Psychic Warrior=2	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: If you spend 4 additional power points, you can manifest this power as an immediate action.		
Energy Ball			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text		COMPS:Au	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius spread.	DURATION:Instantaneous	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: For every additional power point you spend, this power's damage increases by one die (d6). For each extra two dice of damage, this power's save DC increases by 1.		
Energy Bolt			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text	CLASSES:Psion=3|Wilder=3	COMPS:Au	CASTTIME:1 standard action	RANGE:120-ft.	TARGETAREA:120-ft line.	DURATION:Instantaneous	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every additional power point you spend, this power's damage increases by one die (d6). For each extra two dice of damage, this power's save DC increases by 1.		
Energy Burst			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text	CLASSES:Psion=3|Wilder=3	COMPS:Au	CASTTIME:1 standard action	RANGE:40-ft.	TARGETAREA:40-ft radius burst centered on you.	DURATION:Instantaneous	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every additional power point you spend, this power's damage increases by one die (d6). For each extra two dice of damage, this power's save DC increases by 1.		
Energy Cone			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text		COMPS:Au	CASTTIME:1 standard action	RANGE:60-ft.	TARGETAREA:Cone-shaped spread.	DURATION:Instantaneous	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every additional power point you spend, this power's damage increases by one die (d6). For each extra two dice of damage, this power's save DC increases by 1.		
Energy Conversion				TYPE:Power	SCHOOL:Psychometabolism		DESCRIPTOR:See text	CLASSES:Psion=7|Wilder=7	COMPS:Me	CASTTIME:1 standard action	RANGE:Personal and Close	TARGETAREA:Ray; see text.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13.		
Energy Current			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text		COMPS:Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Any two creatures no more that 15-ft apart.	DURATION:Concentration, up to 1 round/level	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. Augment: You can augment this power in one or both of the following ways. &nl;1. For every additional power point you spend, this power's damage increases by one die (d6). For each extra two dice of damage, this power's save DC increases by 1. &nl;2. For every 4 additional power points you spend, this power can affect an additional secondary target. Any additional secondary target cannot be more than 15 feet from another target of the power.		
Energy Missile			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text		COMPS:Au	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to five creatures or objects, no two targets can be more than 15-ft apart.	DURATION:Instantaneous	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every additional power point you spend, this power's damage increases by one die (d6) and its save DC increases by 1.		
Energy Push			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text	CLASSES:Psion=2|Wilder=2	COMPS:Au, Vi	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.	DURATION:Instantaneous	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every 2 additional power points you spend, this power's damage increases by one die (d6) and its save DC increases by 1. The damage increase applies to both the initial blast and any damage from impact with an object.		
Energy Ray			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text	CLASSES:Psion=1|Wilder=1	COMPS:Au	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every additional power point you spend, this power's damage increases by one die (d6).		
Energy Retort			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text	CLASSES:Psion=3|Wilder=3	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal and Close	TARGETAREA:You and creature or object attacking you; see text.	DURATION:1 minute/level	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every additional power point you spend, this power's duration increases by 1 minute.		
Energy Stun			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text	CLASSES:Psion=2|Wilder=2	COMPS:Au	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every additional power point you spend, this power's damage increases by one die (d6) and its save DC increases by 1.		
Energy Wall			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation	DESCRIPTOR:See text	CLASSES:Psion=3|Wilder=3	COMPS:Au	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:An opaque sheet of energy up to 20-ft long/level or a ring of energy with a radius of up to 5-ft/2 levels.	DURATION:Concentration + 1 round/level	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Energy Wave			VARIANTS:Acid|Cold|Electricity|Fire|Sonic	TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:See text	CLASSES:Psion=7|Wilder=7	COMPS:Au	CASTTIME:1 standard action	RANGE:120-ft.	TARGETAREA:Cone-shaped spread.	DURATION:Instantaneous	SAVEINFO:Reflex half or Fortitude half; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13. Augment: For every additional power point you spend, this power's damage increases by one die (d6). For each extra two dice of damage, this power's save DC increases by 1.		
Entangling Ectoplasm				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psion=1|Wilder=1	COMPS:Ma, Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One Medium or smaller creature.	DURATION:5 round	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, this power can affect a target one size category larger.		
Eradicate Invisibility				TYPE:Power	SCHOOL:Psychokinesis			CLASSES:Psion=3|Wilder=3	COMPS:Vi	CASTTIME:1 standard action	RANGE:50-ft.	TARGETAREA:You and all invisible creatures and objects in a 50-ft-radius burst centered on you.	DURATION:Instantaneous	SAVEINFO:Reflex negates	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every additional power point you spend, this power's range and the radius of the burst in which it functions both increase by 5 feet.		
