SOURCELONG:Gozzilioni Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-03																																
																																			
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier	SOURCEPAGE:	Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus									
Trap Poison - Redek Vine Extract	KEY:TRAP_POISON_ARVE		TYPE:Trap	COST:30000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|5					SPROP:Trap Poison - Redek Vine Extract	DEFINE:TrapCR|0															
Trap Poison - Redek Vine Extract	KEY:TRAP_POISON_RVE		TYPE:Trap	COST:1500	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|5					SPROP:Trap Poison - Redek Vine Extract	DEFINE:TrapCR|0															
Trap Poison - Rill Leaf	KEY:TRAP_POISON_ARIL		TYPE:Trap	COST:2400	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Rill Leaf	DEFINE:TrapCR|0															
Trap Poison - Rill Leaf	KEY:TRAP_POISON_RIL		TYPE:Trap	COST:120	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Rill Leaf	DEFINE:TrapCR|0															
Trap Poison - Shreef Oil	KEY:TRAP_POISON_ASHR		TYPE:Trap	COST:2000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|1					SPROP:Trap Poison - Shreef Oil	DEFINE:TrapCR|0															
Trap Poison - Shreef Oil	KEY:TRAP_POISON_SHR		TYPE:Trap	COST:100	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|1					SPROP:Trap Poison - Shreef Oil	DEFINE:TrapCR|0															
Trap Poison - Vapid Leaf Extract	KEY:TRAP_POISON_AVAP		TYPE:Trap	COST:5000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|5					SPROP:Trap Poison - Vapid Leaf Extract	DEFINE:TrapCR|0															
Trap Poison - Vapid Leaf Extract	KEY:TRAP_POISON_VAP		TYPE:Trap	COST:250	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|5					SPROP:Trap Poison - Vapid Leaf Extract	DEFINE:TrapCR|0															
Trap Poison - Aboleth Oil	KEY:TRAP_POISON_AABO		TYPE:Trap	COST:50000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Aboleth Oil	DEFINE:TrapCR|0															
Trap Poison - Aboleth Oil	KEY:TRAP_POISON_ABO		TYPE:Trap	COST:2500	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Aboleth Oil	DEFINE:TrapCR|0															
Trap Poison - Anemis	KEY:TRAP_POISON_AANE		TYPE:Trap	COST:15000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|5					SPROP:Trap Poison - Anemis	DEFINE:TrapCR|0															
Trap Poison - Anemis	KEY:TRAP_POISON_ANE		TYPE:Trap	COST:750	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|5					SPROP:Trap Poison - Anemis	DEFINE:TrapCR|0															
Trap Poison - Crippling Vine	KEY:TRAP_POISON_ACRP		TYPE:Trap	COST:3600	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Crippling Vine	DEFINE:TrapCR|0															
Trap Poison - Crippling Vine	KEY:TRAP_POISON_CRP		TYPE:Trap	COST:180	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Crippling Vine	DEFINE:TrapCR|0															
Trap Poison - Horror Weed Extract	KEY:TRAP_POISON_AHWE		TYPE:Trap	COST:12000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|6					SPROP:Trap Poison - Horror Weed Extract	DEFINE:TrapCR|0															
Trap Poison - Horror Weed Extract	KEY:TRAP_POISON_HWE		TYPE:Trap	COST:600	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|6					SPROP:Trap Poison - Horror Weed Extract	DEFINE:TrapCR|0															
Trap Poison - Mesmer Paste	KEY:TRAP_POISON_AMSM		TYPE:Trap	COST:6000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Mesmer Paste	DEFINE:TrapCR|0															
Trap Poison - Mesmer Paste	KEY:TRAP_POISON_MSM		TYPE:Trap	COST:300	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Mesmer Paste	DEFINE:TrapCR|0															
Trap Poison - Sleeping Weed	KEY:TRAP_POISON_ASLP		TYPE:Trap	COST:10000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Sleeping Weed	DEFINE:TrapCR|0															
Trap Poison - Sleeping Weed	KEY:TRAP_POISON_SLP		TYPE:Trap	COST:500	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Sleeping Weed	DEFINE:TrapCR|0															
Trap Poison - Thever Paste	KEY:TRAP_POISON_ATHP		TYPE:Trap	COST:30000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Thever Paste	DEFINE:TrapCR|0															
Trap Poison - Thever Paste	KEY:TRAP_POISON_THP		TYPE:Trap	COST:1500	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Thever Paste	DEFINE:TrapCR|0															
Trap Poison - Wraith Sheen	KEY:TRAP_POISON_AWRT		TYPE:Trap	COST:3000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Wraith Sheen	DEFINE:TrapCR|0															
Trap Poison - Wraith Sheen	KEY:TRAP_POISON_WRT		TYPE:Trap	COST:150	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Weaith Sheen	DEFINE:TrapCR|0															
Trap Poison - Asabi Mist	KEY:TRAP_POISON_AASA		TYPE:Trap	COST:20000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Asabi Mist	DEFINE:TrapCR|0															
Trap Poison - Asabi Mist	KEY:TRAP_POISON_ASA		TYPE:Trap	COST:1000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|3					SPROP:Trap Poison - Asabi Mist	DEFINE:TrapCR|0															
Trap Poison - Brain Dust	KEY:TRAP_POISON_ABRN		TYPE:Trap	COST:26000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Brain Dust	DEFINE:TrapCR|0															
Trap Poison - Brain Dust	KEY:TRAP_POISON_BRN		TYPE:Trap	COST:1300	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|2					SPROP:Trap Poison - Brain Dust	DEFINE:TrapCR|0															
