SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Training	CATEGORY:Special Ability	TYPE:GlyptodonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Small and Medium humanoids such as neanderthals, goblinoids, and orcs sometimes use glyptodons as mounts or pack animals. They are particularly useful as archery platforms on a battlefi eld, as their gait is slow and steady. Training a glyptodon requires six weeks of work and a successful DC 25 Handle Animal check. Riding a glyptodon requires an exotic saddle that includes a prod that a glyptodon can feel through its armor. A glyptodon can fight while carrying a rider, but the rider cannot also attack unless he or she succeeds on a Ride check.	KEY:Glyptodon ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:Fro		
																																		
Race Traits ~ Megaloceros	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MegalocerosRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																														
Improved Grab	CATEGORY:Special Ability	TYPE:MegalocerosRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the creature must hit a Medium or smaller opponent with its gore attack. If it gets a hold, the megaloceros scoops up the opponent with its antlers and can toss it aside.	KEY:Megaloceros ~ Improved Grab																											SOURCEPAGE:Fro		
Stampede	CATEGORY:Special Ability	TYPE:MegalocerosRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A frightened herd of megaloceroses may fl ee as a group in a random direction (but always away from the perceived source of danger). They literally run over anything of Large or smaller size that gets in their way, dealing 1d12 points of damage for each five megaloceroses in the herd (DC %1 Reflex save half).|StampedeDC	KEY:Megaloceros ~ Stampede				DEFINE:StampedeDC|0					BONUS:VAR|StampedeDC|DefaultDCStr	BONUS:VAR|StampedeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stampede)								ABILITY:Ability Focus|AUTOMATIC|Stampede									SOURCEPAGE:Fro		
Toss	CATEGORY:Special Ability	TYPE:MegalocerosRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A megaloceros can vigorously shake any creature caught in its horns and fl ing it in a random direction. Resolve the toss as a bull rush maneuver (+9 check modifier), except that there is no attack of opportunity, since the megaloceros has already grabbed its foe when it tries to toss the victim. The megaloceros does not need to move with its foe in order to throw its foe more than 5 feet. If the tossed victim beats the megaloceros's Strength check, he remains in his current square with no ill effects and is not grappled any longer. Tossed victims take impact damage on landing as if they had fallen a distance equal to the distance they were tossed.	KEY:Megaloceros ~ Toss																											SOURCEPAGE:Fro		
Scent	CATEGORY:Special Ability	TYPE:MegalocerosRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A megaloceros can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Megaloceros ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro		
Training	CATEGORY:Special Ability	TYPE:MegalocerosRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Small and Medium humanoids such as neanderthals, snow elves, human druids, and gnomes sometimes use megaloceroses as mounts; Midgard dwarves use them as pack animals. Their speed and height are particularly useful for scouts and reconnaissance of all kinds. Their gait is fast, jarring, and prone to sudden shifts in direction. Training a megaloceros requires four weeks and a successful DC 20 Handle Animal check. Riding a megaloceros requires an exotic saddle. A megaloceros can fi ght while carrying a rider, but the rider cannot also attack unless he or she succeeds on a Ride check.	KEY:Megaloceros ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:Fro		
																																		
Race Traits ~ Smilodon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SmilodonRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																														
Augmented Critical	CATEGORY:Special Ability	TYPE:SmilodonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A saber-toothed tiger deals triple damage if it scores a critical hit with its bite attack.	KEY:Smilodon ~ Augmented Critical									BONUS:WEAPONPROF=Bite|CRITMULTADD|1																		SOURCEPAGE:Fro		
Improved Grab	CATEGORY:Special Ability	TYPE:SmilodonRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the sabertoothed tiger must hit with a bite or a claw attack. It can then attempt to start a grapple as a free action without provoking attacks of opportunity. If it wins the grapple check, it establishes a hold and can rake.	KEY:Smilodon ~ Improved Grab																											SOURCEPAGE:Fro		
Pounce	CATEGORY:Special Ability	TYPE:SmilodonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a saber-toothed tiger charges a foe, it can make a full attack, including two rake attacks.	KEY:Smilodon ~ Pounce																											SOURCEPAGE:Fro		
Rake	CATEGORY:Special Ability	TYPE:SmilodonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A saber-toothed tiger gains two additional claw attacks against grappled foes or foes it pounces on (attack bonus +10, damage 1d6+3). Rake attacks are not subject to the normal -4 penalty for attacking with a natural weapon in a grapple.	KEY:Smilodon ~ Rake																		NATURALATTACKS:Rake,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6	BONUS:WEAPONPROF=Rake|DAMAGE|-STR/2								SOURCEPAGE:Fro		
Scent	CATEGORY:Special Ability	TYPE:SmilodonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A saber-toothed tiger can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Smilodon ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:SmilodonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Skills: Saber-toothed tigers gain a +4 racial bonus on Balance, Hide, and Move Silently checks. *In forest terrain, their Hide bonus improves to +8.	KEY:Smilodon ~ Skills									BONUS:SKILL|Balance,Hide,Move Silently|4|TYPE=Racial	BONUS:SITUATION|Hide=Forested area|8|TYPE=Racial																	SOURCEPAGE:Fro		
																																		
Race Traits ~ Wolly Mammoth	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=WollyMammothRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																														
Improved Grab	CATEGORY:Special Ability	TYPE:WollyMammothRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a woolly mammoth must hit a Large or smaller foe with a gore attack. If it gets a hold, it tosses its opponent.	KEY:Wolly Mammoth ~ Improved Grab																											SOURCEPAGE:Fro		
Toss	CATEGORY:Special Ability	TYPE:WollyMammothRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Woolly mammoths vigorously shake any creature caught in their tusks and fl ing it in a random direction. Resolve the toss as a bull rush maneuver (+20 check modifier), except that there is no attack of opportunity, since the woolly mammoth has already grabbed its foe when it tries to toss the victim. The woolly mammoth does not need to move with its foe in order to throw its foe more than 5 feet. If the tossed victim beats the woolly mammoth's bull rush check, he remains in his current square with no ill effects and is not grappled any longer. Tossed victims take impact damage on landing as if they had fallen a distance equal to the distance they were tossed.	KEY:Wolly Mammoth ~ Toss																											SOURCEPAGE:Fro		
Trample	CATEGORY:Special Ability	TYPE:WollyMammothRaceTrait.SpecialAttack.Extraordinary.Trample	VISIBLE:YES	DESC:As a full-round action, a woolly mammoth can move up to twice its speed and literally run over Large or smaller creatures. This attack deals 2d8+18 points of damage. Trampled opponents can make attacks of opportunity against the woolly mammoth at a -4 penalty. If they do not make attacks of opportunity, trampled opponents can attempt DC %1 Reflex saves for half damage. The save DC is Strength-based.|TrampleDC	KEY:Wolly Mammoth ~ Trample				DEFINE:TrampleDC|0					BONUS:VAR|TrampleDC|DefaultDCStr	BONUS:VAR|TrampleDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Trample)	BONUS:VAR|TrampleDice|2	BONUS:VAR|TrampleDieSize|8|TYPE=Base	BONUS:VAR|TrampleDamage|-STR/2					ABILITY:Ability Focus|AUTOMATIC|Trample									SOURCEPAGE:Fro		
Scent	CATEGORY:Special Ability	TYPE:WollyMammothRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A woolly mammoth can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Wolly Mammoth ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro		
Training	CATEGORY:Special Ability	TYPE:WollyMammothRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Giants and humanoids such as frost folk, humans, and ogres sometimes use woolly mammoths as mounts or pack animals. Training a woolly mammoth must begin with a young animal; adults rarely cooperate and will starve themselves rather than submit to training. Training a young woolly mammoth requires six weeks and a successful DC 25 Handle Animal check. Riding a woolly mammoth requires an exotic saddle or howdah, which includes a prod that the animal can feel through its fur and its thick hide. A woolly mammoth can fight while carrying a rider, but the rider cannot also attack except with a lance or a missile weapon.	KEY:Wolly Mammoth ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:Fro		
																																		
Race Traits ~ Zeuglodon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ZeuglodonRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																														
Stunning Strike	CATEGORY:Special Ability	TYPE:ZeuglodonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any creature struck with a critical hit by a zeuglodon's tail slam must make a DC %1 Fortitude saving throw or be stunned for 2d4 rounds by the force of the blow. The save DC is Strength-based.|StunningStrikeDC	KEY:Zeuglodon ~ Stunning Strike				DEFINE:StunningStrikeDC|0					BONUS:VAR|StunningStrikeDC|DefaultDCStr	BONUS:VAR|StunningStrikeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stunning Strike)								ABILITY:Ability Focus|AUTOMATIC|Stunning Strike									SOURCEPAGE:Fro		
Blindsight	CATEGORY:Special Ability	TYPE:ZeuglodonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Zeuglodons can "see" by emitting highfrequency sounds, inaudible to most other creatures, that allow them to locate objects and creatures within 120 feet. A silence spell negates this and forces the creature to rely on its vision, which is approximately as good as a human's.	KEY:Zeuglodon ~ Blindsight									BONUS:VAR|BlindsightRange|120|TYPE=Base																		SOURCEPAGE:Fro		
Hold Breath	CATEGORY:Special Ability	TYPE:ZeuglodonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A zeuglodon can hold its breath for a number of rounds equal to 8 x its Constitution score before it risks drowning.	KEY:Zeuglodon ~ Hold Breath																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:ZeuglodonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A zeuglodon has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line. *A zeuglodon has a +4 racial bonus on Spot and Listen checks. These bonuses are lost if its blindsight is negated.	KEY:Zeuglodon ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial	BONUS:SKILL|Spot,Listen|4|TYPE=Racial																			
																																		
Race Traits ~ Dwarf (Midgard)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DwarfMidgardRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|AdvancementByClass|1	AUTO:LANG|Dwarven|Celestial																												
Curse	CATEGORY:Special Ability	TYPE:DwarfMidgardRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per year as a standard action, a Midgard dwarf can lay a powerful curse on someone who has wronged him (usually by stealing from him, injuring him, or killing a close relation). This functions like bestow curse (DC %1, CL 20th), except that the range is unlimited, and the spell is dismissible. The save DC is Wisdom-based. The dwarf must be able to see or describe his target (for example, "the thief who took my gold, wherever he is" or "the one who killed Snorri") and the target must be guilty of the injury the dwarf specifi es. Dwarves on the brink of falling in battle have been known to forego an attack in order to curse the enemy who is about to defeat them. A dwarf can sometimes be persuaded to lift his curse with an offer of weregild-money to compensate the dwarf for the injury or wrong he suffered. Generally, this requires at least 1,000 gold pieces.	KEY:Dwarf (Midgard) ~ Curse				DEFINE:CurseDC|0					BONUS:VAR|CurseDC|DefaultDCCha	BONUS:VAR|CurseDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Curse)								ABILITY:Ability Focus|AUTOMATIC|Curse									SOURCEPAGE:Fro		
Alternate Form	CATEGORY:Special Ability	TYPE:DwarfMidgardRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Midgard dwarves have the ability to assume the form of one specific animal of Small or smaller size-typically a badger, otter, raven, or weasel. A Midgard dwarf can shift between its humanoid and animal form as a standard action. This ability works much like the polymorph spell, except that the Midgard dwarf is limited to the one specifi c animal he knows how to turn into, and he does not regain hit points for changing form.	KEY:Dwarf (Midgard) ~ Alternate Form																											SOURCEPAGE:Fro		
Dwarven Blood	CATEGORY:Special Ability	TYPE:DwarfMidgardRaceTrait.SpecialQuality	VISIBLE:YES	DESC:For all effects related to race, a Midgard dwarf is considered a dwarf.	KEY:Dwarf (Midgard) ~ Dwarven Blood									BONUS:VAR|HasDwarfBlood|1|TYPE=Racial																		SOURCEPAGE:Fro		
Master Smith	CATEGORY:Special Ability	TYPE:DwarfMidgardRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Midgard dwarves gain Craft Magic Arms and Armor, Craft Wondrous Item, and Forge Ring as bonus feats. They are considered to possess the prerequisites necessary to craft any magic item of those types, even if they do not otherwise meet the requirements or have the ability to cast the necessary spells.	KEY:Dwarf (Midgard) ~ Master Smith																		ABILITY:FEAT|AUTOMATIC|Craft Magic Arms and Armor|Craft Wondrous Item|Forge Ring									SOURCEPAGE:Fro		
																																		
Race Traits ~ Elemental Weird (Ice Weird)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ElementalWeirdIceWeirdRaceTrait|Elemental Weird Subtraits			AUTO:LANG|Aquan|Auran|Common|Ice Weird								BONUS:COMBAT|AC|2|TYPE=Insight																				
Chill	CATEGORY:Special Ability	TYPE:ElementalWeirdIceWeirdRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:In addition to its normal slam damage, an ice weird deals an extra 1d6 points of cold damage with a successful melee attack.	KEY:Elemental Weird (Ice Weird) ~ Chill																											SOURCEPAGE:Fro		
Elemental Command	CATEGORY:Special Ability	TYPE:ElementalWeirdIceWeirdRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An ice weird can attempt to gain control over any elemental with the cold or water subtype within 100 feet. The elemental must make a successful DC %1 Will save or succumb to the ice weird's control. An elemental that saves against this attack is immune to that weird's elemental command ability for 24 hours. A weird has no limit to the number of elementals it can control. The save DC is Charisma-based. Once under the weird's command, an elemental serves the ice weird until either it or the weird dies, until the weird dismisses it, or until the duration for its summoning expires. It obeys the ice weird explicitly, even if ordered to attack the being who originally summoned it. The weird does not need to concentrate to maintain control over any elemental it commands.|ElementalCommandDC	KEY:Elemental Weird (Ice Weird) ~ Elemental Command				DEFINE:ElementalCommandDC|0					BONUS:VAR|ElementalCommandDC|DefaultDCCha	BONUS:VAR|ElementalCommandDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Elemental Command)								ABILITY:Ability Focus|AUTOMATIC|Elemental Command									SOURCEPAGE:Fro		
Spells	CATEGORY:Special Ability	TYPE:ElementalWeirdIceWeirdRaceTrait.SpecialAttack	VISIBLE:YES	DESC:An ice weird can cast arcane spells and divine spells from the Chaos, Cold, and Law domains as an 18thlevel sorcerer.	KEY:Elemental Weird (Ice Weird) ~ Spells																											SOURCEPAGE:Fro		
Summon Elementals	CATEGORY:Special Ability	TYPE:ElementalWeirdIceWeirdRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Three times per day, an ice weird can summon forth water elementals from its elemental ice pool. It can choose to summon 3 Huge, 2 greater, or 1 elder elemental through this portal. This functions like summon monster IX, caster level 20th.	KEY:Elemental Weird (Ice Weird) ~ Summon Elementals																		SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Summon Monster IX									SOURCEPAGE:Fro		
Heat Sense	CATEGORY:Special Ability	TYPE:ElementalWeirdIceWeirdRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An ice weird can automatically sense heat sources within 60 feet, as the spell detect fire. It senses only the presence or absence of heat, but if it chooses to use a standard action to concentrate on this ability, it can establish the number and location of heat auras and the strength of each in the second and third rounds of concentration. Invisible creatures whose location is pinpointed by heat sense still have total concealment from an ice weird.	KEY:Elemental Weird (Ice Weird) ~ Heat Sense																											SOURCEPAGE:Fro		
Ice Matery	CATEGORY:Special Ability	TYPE:ElementalWeirdIceWeirdRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ice weird gains a +1 bonus on attack and damage rolls if its foe is touching ice.	KEY:Elemental Weird (Ice Weird) ~ Ice Mastery																											SOURCEPAGE:Fro		
Regeneration	CATEGORY:Special Ability	TYPE:ElementalWeirdIceWeirdRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ice weird takes normal damage from fire and cold iron weapons. Attack forms that don't deal hit point damage ignore regeneration.	KEY:Elemental Weird (Ice Weird) ~ Regeneration									BONUS:VAR|RegenerationRate|10|TYPE=Base																		SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:ElementalWeirdIceWeirdRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An ice weird has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Elemental Weird (Ice Weird) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Elemental Weird (Snow Weird)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ElementalWeirdSnowWeirdRaceTrait|Elemental Weird Subtraits			AUTO:LANG|Aquan|Auran|Common|Ice Weird								BONUS:COMBAT|AC|2|TYPE=Insight	BONUS:VAR|FlightManeuverability|5|TYPE=Base																			
Chill	CATEGORY:Special Ability	TYPE:ElementalWeirdSnowWeirdRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:In addition to its normal slam damage, a snow weird deals an extra 1d6 points of cold damage with a successful melee attack.	KEY:Elemental Weird (Snow Weird) ~ Chill																											SOURCEPAGE:Fro		
Elemental Command	CATEGORY:Special Ability	TYPE:ElementalWeirdSnowWeirdRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A snow weird can attempt to gain control over any elemental with the cold or air subtype within 100 feet. The elemental must make a successful DC %1 Will save or succumb to the snow weird's control. An elemental that saves against this attack is immune to that weird's elemental command ability for 24 hours. A weird has no limit to the number of elementals it can control. The save DC is Charisma-based. Once under the weird's command, an elemental serves the snow weird until either it or the weird dies, until the weird dismisses it, or until the duration for its summoning expires. It obeys the snow weird explicitly, even if ordered to attack the being who originally summoned it. The weird does not need to concentrate to maintain control over any elemental it commands.|ElementalCommandDC	KEY:Elemental Weird (Snow Weird) ~ Elemental Command				DEFINE:ElementalCommandDC|0					BONUS:VAR|ElementalCommandDC|DefaultDCCha	BONUS:VAR|ElementalCommandDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Elemental Command)								ABILITY:Ability Focus|AUTOMATIC|Elemental Command									SOURCEPAGE:Fro		
Spells	CATEGORY:Special Ability	TYPE:ElementalWeirdSnowWeirdRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A snow weird can cast arcane spells and divine spells from the Air and Cold domains as an 18th-level sorcerer.	KEY:Elemental Weird (Snow Weird) ~ Spells																											SOURCEPAGE:Fro		
Summon Elementals	CATEGORY:Special Ability	TYPE:ElementalWeirdSnowWeirdRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Three times per day, a snow weird can summon forth air elementals from its elemental snow pool. It can choose to summon 3 Huge, 2 greater, or 1 elder elemental through this portal. This functions like summon monster IX, caster level 20th.	KEY:Elemental Weird (Snow Weird) ~ Summon Elementals																		SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Summon Monster IX									SOURCEPAGE:Fro		
Heat Sense	CATEGORY:Special Ability	TYPE:ElementalWeirdSnowWeirdRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A snow weird can automatically sense heat sources within 60 feet, as the spell detect fire. It senses only the presence or absence of heat, but if it chooses to use a standard action to concentrate on this ability, it can establish the number and location of heat auras and the strength of each in the second and third rounds of concentration. Invisible creatures whose location is pinpointed by heat sense still have total concealment from a snow weird.	KEY:Elemental Weird (Snow Weird) ~ Heat Sense																											SOURCEPAGE:Fro		
Regeneration	CATEGORY:Special Ability	TYPE:ElementalWeirdSnowWeirdRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A snow weird takes normal damage from fire and cold iron weapons. Attack forms that don't deal hit point damage ignore regeneration.	KEY:Elemental Weird (Snow Weird) ~ Regeneration									BONUS:VAR|RegenerationRate|10|TYPE=Base																		SOURCEPAGE:Fro		
Snow Matery	CATEGORY:Special Ability	TYPE:ElementalWeirdSnowWeirdRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A snow weird gains a +1 bonus on attack and damage rolls if its foe is touching snow.	KEY:Elemental Weird (Snow Weird) ~ Snow Mastery																											SOURCEPAGE:Fro		
																																		
Race Traits ~ Entombed	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=EntombedRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base		AUTO:LANG|Common																												
Create Spawn	CATEGORY:Special Ability	TYPE:EntombedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any humanoid slain by an entombed becomes an entombed in 1d4 rounds, provided it is encased in ice (see Immure, below). Spawn are under the command of the entombed that created them and remain enslaved until its death. They do not possess any of the abilities they had in life.	KEY:Entombed ~ Create Spawn																											SOURCEPAGE:Fro		
Freeze	CATEGORY:Special Ability	TYPE:EntombedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An entombed can drain the heat from a living creature. On a successful grapple check, the entombed deals 2d4 points of Dexterity damage to a grappled foe (Fortitude save DC %1 half ). This is a supernatural cold effect. The save DC is Charisma-based.|FreezeDC	KEY:Entombed ~ Freeze				DEFINE:FreezeDC|0					BONUS:VAR|FreezeDC|DefaultDCCha	BONUS:VAR|FreezeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Freeze)								ABILITY:Ability Focus|AUTOMATIC|Freeze									SOURCEPAGE:Fro		
Icy Touch	CATEGORY:Special Ability	TYPE:EntombedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An entombed deals an additional 2d6 points of cold damage with each successful slam attack. On its turn, it deals 2d6 points of cold damage per round to any creature it grapples.	KEY:Entombed ~ Icy Touch																											SOURCEPAGE:Fro		
Immure	CATEGORY:Special Ability	TYPE:EntombedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, an entombed that begins its turn with a hold on its opponent can attempt to drag a grappled creature under the ice, trapping it in a layer of ice and eventually creating another one of its own kind. The entombed must win an opposed grapple check; if it succeeds, it can move up to half its speed, dragging its grappled foe with it. If it has pinned its foe, the entombed gets a +4 bonus on this check. If the entombed successfully drags its foe into solid ice, the victim is immediately immobilized and cannot move or take any actions other than purely mental ones. He may be subject to drowning (although he can hold his breath before he enters the ice). As a full-round action, an entombed victim within 5 feet of the ice's surface can attempt a DC %1 Strength check to break out. If he is more than 5 feet deep in the ice, a successful check does not free him, but gives him enough space to take physical actions that he could otherwise take while grappled, such as attempting to draw a light weapon, cast a spell, or attack the ice with a light weapon and try to carve his way out. An entombed often chooses to continue attacking a victim immured in the ice, since the ice does not prevent its own movement or attacks.|ImmureDC	KEY:Entombed ~ Immure				DEFINE:ImmureDC|0					BONUS:VAR|ImmureDC|DefaultDCStr	BONUS:VAR|ImmureDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Immure)								ABILITY:Ability Focus|AUTOMATIC|Immure									SOURCEPAGE:Fro		
Improved Grab	CATEGORY:Special Ability	TYPE:EntombedRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, an entombed must hit a Large or smaller opponent with its slam attack. It can then attempt to start a grapple as a free action without provoking attacks of opportunity. If it wins the grapple check, it establishes a hold, deals damage with its icy touch, and immediately uses its freeze ability. In subsequent rounds it continues to deal damage with its icy touch and can freeze again, or attempt to use its immure ability.	KEY:Entombed ~ Improved Grab																											SOURCEPAGE:Fro		
Ice Glide	CATEGORY:Special Ability	TYPE:EntombedRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An entombed can glide through ice, snow, or slush as easily as a fi sh swims through water. Its burrowing leaves behind no tunnel or hole, and its passage does not create any ripples or other signs of its presence. An entombed often fi ghts from the cover of an ice sheet or snow field in much the same way that an incorporeal creature can use a wall or fl oor for cover. An entombed attacking a creature outside the ice or snow in which it is hiding gains the benefit of cover.	KEY:Entombed ~ Ice Glide																											SOURCEPAGE:Fro		
Tremorsense	CATEGORY:Special Ability	TYPE:EntombedRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An entombed can automatically sense the location of anything within 60 feet that is in contact with the ground (or ice or snow on top of the ground).	KEY:Entombed ~ Tremorsense									BONUS:VAR|TremorsenseVisionRange|60|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Genie (Qorrashi)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Genie Subtraits|TYPE=GenieQorrashiRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base		AUTO:LANG|Auran|Celestial|Common|Ignan																												
Natural Weapon	CATEGORY:Special Ability	TYPE:GenieQorrashiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A qorrashi's natural weapons, as well as any weapons it wields, are treated as lawful-aligned for the purpose of overcoming damage reduction.	KEY:Genie (Qorrashi) ~ Natural Weapon																											SOURCEPAGE:Fro		
Chill	CATEGORY:Special Ability	TYPE:GenieQorrashiRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:In addition to its normal slam damage, a qorrashi deals an extra 1d6 points of cold damage with a successful melee attack.	KEY:Genie (Qorrashi) ~ Chill																											SOURCEPAGE:Fro		
Frostbite	CATEGORY:Special Ability	TYPE:GenieQorrashiRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A creature that sustains any cold damage from a qorrashi's melee attacks must make a DC %1 Fortitude save or become frostbitten. Creatures suffering from frostbite are fatigued (cannot run or charge; -2 penalty to Strength and Dexterity). These penalties end when the cold damage is healed by any means. The save DC is Constitution-based.|FrostbiteDC	KEY:Genie (Qorrashi) ~ Frostbite				DEFINE:FrostbiteDC|0					BONUS:VAR|FrostbiteDC|DefaultDCCon	BONUS:VAR|FrostbiteDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frostbite)								ABILITY:Ability Focus|AUTOMATIC|Frostbite									SOURCEPAGE:Fro		
