SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																							
																										
#																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus	
Ice Darts				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Bard=2|Sorcerer,Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more ice darts.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Icicle missiles deal 2d4 damage, half of which is cold.	SOURCEPAGE:Fro									
Ice Rift				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Cleric=6|Druid=6|Sorcerer,Wizard=6	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:40-ft radius spread.	DURATION:1 round	SAVEINFO:See text	SPELLRES:No	DESC:Intense quake shakes 40-ft radius spread of ice.	SOURCEPAGE:Fro						DESC:Arcane Material Component: A bit of earth and a pinch of snow.			
Ice Shape				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=5	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Ice touched, up to 10 cu ft + 1 cu ft/level	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Sculpts ice into any shape.	SOURCEPAGE:Fro						DESC:Arcane Material Component: Slush, which must be spread into roughly the desired shape of the ice object and then touched to the ice while the verbal component is uttered.			
Ice Shield				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Druid=5|Sorcerer,Wizard=4	COMPS:V, S, M, Coldfire	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject gains damage reduction 15/-.	SOURCEPAGE:Fro		COST:250				DESC:Material Component: A pinch of sleet. Coldfire Component: Five ounces of coldfire.			
Ice Ship				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer,Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Creates ship of ice.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates ice runner or ice galleon.	SOURCEPAGE:Fro		COST:200				DESC:Material Component: A small glass model of a ship worth at least 200 gp.			
Ice Skate				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:While on ice, your speed increases by 60-ft.	SOURCEPAGE:Fro									
Ice Slick				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Cleric=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 20-ft square.	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Creates a 20-ft square of slippery ice.	SOURCEPAGE:Fro									
Ice to Flesh				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer,Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One frozen creature or a cylinder of ice from 1-ft to 3-ft in diameter and up to 10-ft long.	DURATION:Instantaneous	SAVEINFO:Fortitude negates (object)	SPELLRES:Yes	DESC:Restores frozen creature.	SOURCEPAGE:Fro						DESC:Material Component: A cube of ice and a drop of blood.			
Ice Web				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=4	COMPS:V, S, Coldfire	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Webs of coldfire in a 20-ft radius spread.	DURATION:10 minutes/level	SAVEINFO:Reflex negates; See text	SPELLRES:No	DESC:Creates webs of coldfire that entangle and deal 1d6 frostburn damage/round.	SOURCEPAGE:Fro						DESC:Coldfire Component: Two ounces of coldfire			
Iceberg				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=9	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:60-ft radius.	DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Block of ice falls from sky, dealing 20d6 damage and burying subjects.	SOURCEPAGE:Fro									
Icicle				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 10-ft square section of ceiling or doorframe.	DURATION:Until discharged	SAVEINFO:See text	SPELLRES:Yes	DESC:Magical trap hangs from ceiling, dealing 4d6 damage when triggered.	SOURCEPAGE:Fro									
Ivory Flesh				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=1|Druid=1|Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Flesh turns white, granting +5 circumstance bonus on Hide checks in snow and ice.	SOURCEPAGE:Fro									
Leomund's Tiny Igloo				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:5 ft	TARGETAREA:5-ft radius sphere, with 1-in thick wall/level centered on your location.	DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Creates igloo that lasts for 2 hours/level.	SOURCEPAGE:Fro						DESC:Material Component: A small dollop of seal fat or caribou fat.			
Mantle of Icy Soul				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=6|Druid=5	COMPS:V, S, M, XP	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Gives subject the cold subtype.	SOURCEPAGE:Fro			XPCOST:2000			DESC:Material Component: A handful of ice or snow that must be pressed to the target's body. XP Cost: 2,000.			
Meld into Ice				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3|Druid=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You and your gear merge with ice.	SOURCEPAGE:Fro									
Mindfrost				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Deals 5d6 cold damage, 1d4 Int damage.	SOURCEPAGE:Fro						DESC:Material Component: A small stone covered in frost.			
Move Snow and Ice				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold|Ice	CLASSES:Druid=6|Sorcerer,Wizard=6	COMPS:V, S, M	CASTTIME:See text	RANGE:Long	TARGETAREA:Snow or ice in an anrea up to 750-ft square and up to 10-ft deep.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Digs trenches and builds hills in ice and snow.	SOURCEPAGE:Fro						DESC:Material Component: A mixture of snow and ice in a small bag, and an iron blade.			
Numbing Sphere				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Druid=2|Sorcerer,Wizard=2	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft diameter sphere	DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Creates rolling ball of intense cold that deals 1d6 cold damage plus 1d4 Dex damage, last 1 round/level.	SOURCEPAGE:Fro						DESC:Arcane Material Component: A bit of sponge and a drop of water.			
Obedient Avalanche				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft.-radius avalanche of snow, centered anywhere within range; see text	DURATION:Instantaneous	SAVEINFO:Reflex half; see text	SPELLRES:No	DESC:You summon an avalanche of snow out of a rift in midair, burying your foes and sending them to a frosty death.	SOURCEPAGE:Fro									
Obscuring Snow				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Air|Cold	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Cloud spreads in 30-ft radius from you, 30-ft high.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Obscures sight in a 30-ft radius around the caster.	SOURCEPAGE:Fro									
Pass through Ice				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=5|Druid=5	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/level	SAVEINFO:See text (harmless)	SPELLRES:Yes	DESC:Subject can pass through ice or snow like water.	SOURCEPAGE:Fro									
Rise Ice Forest				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Druid=7	COMPS:V, S, DF, Frostfell	CASTTIME:1 full round	RANGE:Long	TARGETAREA:20-ft square of snow/level.	DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Conjures trees of ice.	SOURCEPAGE:Fro									
Shivering Touch				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=3|Sorcerer,Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Touch deals 3d6 Dex damage.	SOURCEPAGE:Fro									
Shivering Touch (Lesser)				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=1|Sorcerer,Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Touch deals 1d6 Dex damage.	SOURCEPAGE:Fro									
Snow Walk				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2|Ranger=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature/level touched	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Increase your speed and walk effortlessly on top of snow without leaving tracks or scent.	SOURCEPAGE:Fro									
Snow Wave				TYPE:Spell	SCHOOL:Conjuration		DESCRIPTOR:Cold	CLASSES:Druid=6	COMPS:V, S	CASTTIME:1 full round	RANGE:30 ft.	TARGETAREA:Cone-shaped burst	DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:Knocks creatures prone and deals 4d6 crushing damage and 1d6 cold damage.	SOURCEPAGE:Fro									
Snowdrift				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Druid=1|Sorcerer,Wizard=1	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Snow toucehed, up to 10 cu ft + 1 cu ft/level	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Forms existing snow into another shape.	SOURCEPAGE:Fro						DESC:Arcane Material Component: A pinch of white flour.			
Snowsight				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Normal vision in winter weather conditions.	SOURCEPAGE:Fro									
Snowsong				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=6	COMPS:V	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:30-ft radius centered on you	DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Musical snowfall aids allies in within 30-ft and hinders enemy spellcasters.	SOURCEPAGE:Fro									
Summon Giants				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Cleric=8	COMPS:V, S, F/DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One or more summoned creatures.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summos outsider giants to fight for you.	SOURCEPAGE:Fro						DESC:Focus: A lock of hair from a giant of the desired kind.			
Suppress Flame				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=6	COMPS:V, S, Coldfire	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:10-ft cube/level	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Reduces damage and illumination from fire.	SOURCEPAGE:Fro						DESC:Coldfire Component: Ten ounces of coldfire.			
Thaw				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth|Fire	CLASSES:Druid=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:10-ft cube/level	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Transforms one 10-ft cube/level of everfrost, slush, snow and ice.	SOURCEPAGE:Fro									
Thin Air				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:30-ft radius emanation.	DURATION:1 minute/level	SAVEINFO:Fortitude negates	SPELLRES:No	DESC:Creatures suffer from altitude sickness.	SOURCEPAGE:Fro									
Wall of Coldfire				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Druid=5|Sorcerer,Wizard=4	COMPS:V, S, Coldfire	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Opaque sheet or a ring of coldfire with a radius of up to 5 ft per 2 levels; either form 20 ft high.	DURATION:Concentration + 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Deals 2d4 of cold damage out to 10-ft and 1d4 out to 20-ft. Passing through wall deals 2d6 frostburn damage +1/level.	SOURCEPAGE:Fro						DESC:Coldfire Component: Three ounces of coldfire.			
Waves of Cold				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Cold	CLASSES:Sorcerer,Wizard=6	COMPS:V, S, Coldfire	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone-shaped burst	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Fire creatures become shaken and cold creatures lose immunity to cold.	SOURCEPAGE:Fro						DESC:Coldfire Component: Two ounces of coldfire.			
Whiteout				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	CLASSES:Druid=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Cloud centered on target spreads 120-ft and is 20-ft high.	DURATION:1 hour/level	SAVEINFO:None; See text	SPELLRES:No	DESC:Snow and wind obscure sight; creatures affected may become lost.	SOURCEPAGE:Fro									
Winter's Embrace				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Cleric=4|Druid=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject takes 1d8 damage/round; can cause fatigue.	SOURCEPAGE:Fro									
Zone of Glacial Cold				TYPE:Spell	SCHOOL:Conjuration		DESCRIPTOR:Cold	CLASSES:Druid=2|Ranger=2|Sorcerer,Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius.	DURATION:1 round/level	SAVEINFO:Fortitude half	SPELLRES:No	DESC:Deals 1d6 cold damage to all creatures in area.	SOURCEPAGE:Fro						DESC:Arcane Material Component: A snowball.			
																										
###Block: Class Spell List																										
Cause Fear.MOD	CLASSES:Disciple of Thrym=1																									
Corrupt Weapon.MOD	CLASSES:Disciple of Thrym=1																									
Detect fire.MOD	CLASSES:Disciple of Thrym=1																									
Divine Favor.MOD	CLASSES:Disciple of Thrym=1																									
Doom.MOD	CLASSES:Disciple of Thrym=1																									
Ease of Breath.MOD	CLASSES:Disciple of Thrym=1																									
Frostburn (Lesser).MOD	CLASSES:Disciple of Thrym=1																									
Magic Weapon.MOD	CLASSES:Disciple of Thrym=1																									
Obscuring Mist.MOD	CLASSES:Disciple of Thrym=1																									
Protection from Good.MOD	CLASSES:Disciple of Thrym=1																									
Protection from Law.MOD	CLASSES:Disciple of Thrym=1																									
Shivering Touch (Lesser).MOD	CLASSES:Disciple of Thrym=1																									
Blood Snow.MOD	CLASSES:Disciple of Thrym=2																									
Bull's Strength.MOD	CLASSES:Disciple of Thrym=2																									
Chill Metal.MOD	CLASSES:Disciple of Thrym=2																									
Conjure Ice Object.MOD	CLASSES:Disciple of Thrym=2																									
Eagle's Splendor.MOD	CLASSES:Disciple of Thrym=2																									
Fog Cloud.MOD	CLASSES:Disciple of Thrym=2																									
Frost Weapon.MOD	CLASSES:Disciple of Thrym=2																									
Zone of Glacial cold.MOD	CLASSES:Disciple of Thrym=2																									
Binding Snow.MOD	CLASSES:Disciple of Thrym=3																									
Ice Shape.MOD	CLASSES:Disciple of Thrym=3																									
Aura of Cold (Lesser).MOD	CLASSES:Disciple of Thrym=3																									
Meld into Ice.MOD	CLASSES:Disciple of Thrym=3																									
Shivering touch.MOD	CLASSES:Disciple of Thrym=3																									
Sleet Storm.MOD	CLASSES:Disciple of Thrym=3																									
Boreal Wind.MOD	CLASSES:Disciple of Thrym=4																									
Glacial globe of Invulnerability.MOD	CLASSES:Disciple of Thrym=4																									
Frostburn.MOD	CLASSES:Disciple of Thrym=4																									
Hibernal Healing.MOD	CLASSES:Disciple of Thrym=4																									
Summon Giants.MOD	CLASSES:Disciple of Thrym=4																									
Dispel Fire.MOD	CLASSES:Disciple of Thrym=5																									
Dispel Good.MOD	CLASSES:Disciple of Thrym=5																									
Dispel Law.MOD	CLASSES:Disciple of Thrym=5																									
Entomb.MOD	CLASSES:Disciple of Thrym=5																									
Frostbite.MOD	CLASSES:Disciple of Thrym=5																									
Ice Storm.MOD	CLASSES:Disciple of Thrym=5																									
Stoneskin.MOD	CLASSES:Disciple of Thrym=5																									
Wall of Ice.MOD	CLASSES:Disciple of Thrym=5																									
# .MOD	CLASSES:Disciple of Thrym=5																									
