SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																																																													
																																																																
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								MONCSKILL:	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	CR:	SOURCEPAGE:	Innate Spells
Urskan			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Cold	MONSTERCLASS:Magical Beast:5	MOVE:Walk,40,Swim,40	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Urskan			BONUS:STAT|STR|14	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Balance|Climb|Craft (Armorsmithing)|Hide|Intimidate|Listen|Spot|Survival|Swim	CR:5			LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Urskan Stats																														
Vodyanoi			STARTFEATS:1	SIZE:M	TYPE:Fey	RACETYPE:Fey	RACESUBTYPE:Aquatic	MONSTERCLASS:Fey:5	MOVE:Walk,30,Swim,40	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Vodyanoi	SR:16		BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4		MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Knowledge (Nature)|Listen|Move Silently|Spot|Survival|Swim	CR:3		HITDICEADVANCEMENT:10	LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Vodyanoi Stats																														
Winterspawn			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:12	MOVE:Walk,40	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Winterspawn			BONUS:STAT|STR|14	BONUS:STAT|DEX|10		BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Appraise|Craft (Iceworking)|Diplomacy|Hide|Intimidate|Listen|Ride|Sense Motive|Spot	CR:9		HITDICEADVANCEMENT:24		LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Winterspawn Stats																														
Yeti			STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Cold	MONSTERCLASS:Monstrous Humanoid:4	MOVE:Walk,40,Clmb,20	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yeti			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2		MONCSKILL:Climb|Hide|Listen|Move Silently|Spot|Survival	CR:3		HITDICEADVANCEMENT:9,12	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Yeti Stats																														
Yeti (Abominable)			STARTFEATS:1	SIZE:H	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Cold	MONSTERCLASS:Monstrous Humanoid:10	MOVE:Walk,40,Clmb,20	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yeti (Abominable)			BONUS:STAT|STR|18	BONUS:STAT|DEX|4	BONUS:STAT|CON|12		BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2	MONCSKILL:Climb|Hide|Listen|Move Silently|Spot|Survival	CR:7			LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Yeti (Abominable) Stats																														
Yuki-On-Na			STARTFEATS:1	SIZE:M	TYPE:Fey	RACETYPE:Fey	RACESUBTYPE:Cold	MONSTERCLASS:Fey:8	MOVE:Walk,30	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,0				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Yuki-On-Na				BONUS:STAT|DEX|2		BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Listen|Move Silently|Perform (Dance)|Spot	CR:4		HITDICEADVANCEMENT:16	LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Yuki-On-Na Stats																														
Animal (Caribou)			STARTFEATS:1	SIZE:M	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:2	MOVE:Walk,40	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Animal (Caribou)			BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-6	MONCSKILL:Listen|Spot	CR:1/3	KIT:1|TN	HITDICEADVANCEMENT:4,6		LEGS:4	HANDS:0	SOURCEPAGE:Fro	KIT:1|Animal (Caribou) Stats																														
Animal (Arctic Fox)			STARTFEATS:1	SIZE:S	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:1	MOVE:Walk,40	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Animal (Arctic Fox)			BONUS:STAT|STR|-4	BONUS:STAT|DEX|6	BONUS:STAT|CON|-2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Hide|Listen|Spot	CR:1/4	KIT:1|TN			LEGS:4	HANDS:0	SOURCEPAGE:Fro	KIT:1|Animal (Arctic Fox) Stats																														
Animal (Sea Otter)			STARTFEATS:1	SIZE:M	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:2	MOVE:Walk,30,Swim,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Animal (Sea Otter)			BONUS:STAT|STR|2	BONUS:STAT|DEX|4		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Listen|Spot|Swim	CR:1/3	KIT:1|TN	HITDICEADVANCEMENT:4		LEGS:0	HANDS:0	SOURCEPAGE:Fro	KIT:1|Animal (Sea Otter) Stats																														
Animal (Penguin)			STARTFEATS:1	SIZE:T	TYPE:Animal	RACETYPE:Animal		mONSTERCLASS:Animal:1	MOVE:Walk,10,Swim,40	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d2				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Animal (Penguin)			BONUS:STAT|STR|-8	BONUS:STAT|DEX|-2		BONUS:STAT|INT|-8		BONUS:STAT|CHA|-4	MONCSKILL:Listen|Spot|Swim	CR:1/6	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Animal (Penguin) Stats																														
Animal (Seal)			STARTFEATS:1	SIZE:M	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:2	MOVE:Walk,20,Swim,40	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Animal (Seal)			BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Listen|Spot|Swim	CR:1/3	KIT:1|TN	HITDICEADVANCEMENT:4,6		LEGS:0	HANDS:0	SOURCEPAGE:Fro	KIT:1|Animal (Seal) Stats																														
Animal (Walrus)			STARTFEATS:1	SIZE:L	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:5	MOVE:Walk,10,Swim,30	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Animal (Walrus)			BONUS:STAT|STR|6	BONUS:STAT|DEX|-2	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Listen|Spot|Swim	CR:2	KIT:1|TN	HITDICEADVANCEMENT:9		LEGS:0	HANDS:0	SOURCEPAGE:Fro	KIT:1|Animal (Walrus) Stats																														
																																																																
###Block: Companions																																																																
Animal (Leopard).COPY=Animal (Leopard)	KEY:Animal (Leopard (Snow))																																																															
Animal (Leopard (Snow)).MOD	OUTPUTNAME:Animal (Leopard (Snow))																																																															
																																																																
Animal (Hawk).COPY=Animal (Hawk)	KEY:Animal (Gyrfalcon)																																																															
Animal (Gyrfalcon).MOD	OUTPUTNAME:Animal (Gyrfalcon)																																																															
Animal (Rat).COPY=Animal (Rat)	KEY:Animal (Lemming)																																																															
Animal (Lemming).MOD	OUTPUTNAME:Animal (Lemming)																																																															
Animal (Owl).COPY=Animal (Owl)	KEY:Animal (Owl (Snow))																																																															
Animal (Owl (Snow)).MOD	OUTPUTNAME:Animal (Owl (Snow))																																																															
Animal (Raven).COPY=Animal (Raven)	KEY:Animal (Puffin)																																																															
Animal (Puffin).MOD	OUTPUTNAME:Animal (Puffin)																																																															
