SOURCELONG:Gozzilioni Manual of the Planes	SOURCESHORT:MotP	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-09
																																	
###Block: Proficiencies																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Favored Plane ~ Positive	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusPositive	KEY:Favored Plane ~ Positive				DEFINE:FavoredPlaneBonusPositive|0					BONUS:VAR|FavoredPlaneBonusPositive|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusPositive
Favored Plane ~ Negative	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusNegative	KEY:Favored Plane ~ Negative				DEFINE:FavoredPlaneBonusNegative|0					BONUS:VAR|FavoredPlaneBonusNegative|FavoredPlaneBaseBonus																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusNegative
Abyss	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Abyss	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Abyss								BONUS:VAR|FavoredPlaneBonusAbyss|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Acheron	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Acheron	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Acheron								BONUS:VAR|FavoredPlaneBonusAcheron|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Arborea	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Arborea	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Arborea								BONUS:VAR|FavoredPlaneBonusArborea|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Arcadia	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Arcadia	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Arcadia								BONUS:VAR|FavoredPlaneBonusArcadia|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Baator	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Baator	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Baator								BONUS:VAR|FavoredPlaneBonusBaator|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Beastland	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Beastland	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Beastland								BONUS:VAR|FavoredPlaneBonusBeastland|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Bytopia	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Bytopia	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Bytopia								BONUS:VAR|FavoredPlaneBonusBytopia|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Carceri	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Carceri	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Carceri								BONUS:VAR|FavoredPlaneBonusCarceri|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Elysium	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Elysium	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Elysium								BONUS:VAR|FavoredPlaneBonusElysium|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Gehenna	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Gehenna	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Gehenna								BONUS:VAR|FavoredPlaneBonusGehenna|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Hades	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Hades	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Hades								BONUS:VAR|FavoredPlaneBonusHades|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Mechanus	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Mechanus	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Mechanus								BONUS:VAR|FavoredPlaneBonusMechanus|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Mount Celestia	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ MountCelestia	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ MountCelestia								BONUS:VAR|FavoredPlaneBonusMountCelestia|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Pandemonium	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Pandemonium	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Pandemonium								BONUS:VAR|FavoredPlaneBonusPandemonium|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Ysgard	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Ysgard	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Ysgard								BONUS:VAR|FavoredPlaneBonusYsgard|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Fire	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Fire	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Fire								BONUS:VAR|FavoredPlaneBonusFire|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Air	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Air	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Air								BONUS:VAR|FavoredPlaneBonusAir|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Earth	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Earth	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Earth								BONUS:VAR|FavoredPlaneBonusEarth|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Water	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Water	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Water								BONUS:VAR|FavoredPlaneBonusWater|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Positive	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Positive	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Positive								BONUS:VAR|FavoredPlaneBonusPositive|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Negative	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Negative	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Negative								BONUS:VAR|FavoredPlaneBonusNegative|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
See Invisibility	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The planar champion has the ability to see invisibility at will, as per the spell cast by a 5th livel sorcerer.	KEY:Planar Champion ~ See Invisibility				DEFINE:SeeInvisibilityLVL|0					BONUS:VAR|SeeInvisibilityLVL|5									SPELLS:Class|TIMES=ATWILL|CASTERLEVEL=SeeInvisibilityLVL|See Invisibility								SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Attack Ethereal	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A planar champion of 3rd level or higher can transform her weapon into a material force effect at will, enabling her to attack creatures on the Ethereal Plane. The planar champion begins and ends this ability as a free action, but must use it on a melee weapon she has Weapon Specialization in.	KEY:Planar Champion ~ Attack Ethereal																										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Planar Survival	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, a planar champion becomes attuned to the nature of the planes he visits and personally immune to their natural planar effects. Any effect that would be negated by the Avoid Planar Effects spell is negated by the planar survival ability as well.	KEY:Planar Champion ~ Planar Survival																										SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Ethereal Jaunt	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Planar Champion ~ Ethereal Jaunt				DEFINE:EtherealJauntTimes|0	DEFINE:EtherealJauntLVL|0				BONUS:VAR|EtherealJauntTimes|3	BONUS:VAR|EtherealJauntLVL|13								SPELLS:Class|TIMES=EtherealJauntTimes|CASTERLEVEL=EtherealJauntLVL|Ethereal Jaunt								SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Rip Portal	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:%1/day, a planar champion of 7th level or higher can rip a portal through the Astral Plane to another plane of existence.|RipPortalTimes	KEY:Planar Champion ~ Rip Portal				DEFINE:RipPortalTimes|0					BONUS:VAR|RipPortalTimes|1																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Sunder Portal	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:%1/day, a planar champion of 8th level or higher has the ability to seal a dimensional gate or portal by severing the connection to the destination. She may do with a successful level check (DC 5 + the caster level of the gate or portal). The Gate spell is destroyed as if dispelled, while portals are suppressed for 1d6 days.	KEY:Planar Champion ~ Sunder Portal				DEFINE:SunderPortalTimes|0					BONUS:VAR|SunderPortalTimes|1																	SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP	
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES		KEY:Planar Champion ~ Damage Reduction																		DR:10/Magic								SORTKEY:Class_Planar_Champion	SOURCEPAGE:MotP3.5upd	
Plane Shift	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Planeshifter ~ Plane Shift				DEFINE:PlaneShiftLVL|0	DEFINE:PlaneShiftTimes|0				BONUS:VAR|PlaneShiftLVL|TL	BONUS:VAR|PlaneShiftTimes|1								SPELLS:Class|TIMES=PlaneShiftlTimes|CASTERLEVEL=PlaneShiftLVL|Plane Shift								SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
Analyze Portal	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 2nd level, a planeshifter gains the ability to use Analyze Portal as a spell-like ability. He may do this %1/day. This ability otherwise functions as the spell cast by a sorcerer of a level equal to the planeshifter's highest caster level.|AnalyzePortalTimes	KEY:Planeshifter ~ Analyze Portal					DEFINE:AnalyzePortalTimes|0				BONUS:VAR|PlaneShiftTimes|PlaneshifterLVL																	SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
Planar Survival	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a planeshifter becomes attuned to the nature of the planes he visits and personally immune to their natural planar effects. Any effect that would be negated by the Avoid Planar Effects spell is negated by the planar survival ability as well.	KEY:Planeshifter ~ Planar Survival																										SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
Morphic Stability	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, a planeshifter gains the ability to impose his will on his surroundings to a limited extent. On planes with the highly morphic trait or the magically morphic trait (like Shadow plane), the terrain stabilizes around the planeshifter. The planeshifter automatically calms the terrain within a radius of 40 feet.	KEY:Planeshifter ~ Morphic Stability																										SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP3.5upd	
Grant Planar Survival	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A planeshifter of 5th level or higher can extend the planar survival ability by touch to a number of others equal to %1. Once granted, the survival ability lasts for 24 hours.|GrantPlanarSurvivalCount	KEY:Planeshifter ~ Grant Planar Survival				DEFINE:GrantPlanarSurvivalCount|0					BONUS:VAR|GrantPlanarSurvivalCount|PlaneshifterLVL																	SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
Control Planar Flux	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 6th level, a planeshifter gains an intuitive understanding of how creatures interact with the planes they're on, and he can exploit small changes in the barriers between planes. The planeshifter's caster level is considered four levels higher when casting Dimensional Anchor and Dismissal spells.	KEY:Planeshifter ~ Control Planar Flux									BONUS:CASTERLEVEL|SPELL.Dimensional Anchor|4	BONUS:CASTERLEVEL|SPELL.Dismissal|4																SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
Telepathy	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A planeshifter of 7th level or higher can communicate telepathically with any creature within 100 feet that can speak a language.	KEY:Planeshifter ~ Telepathy									BONUS:VAR|TelepathyRange|100																	SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
Plane Shift ~ At will	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Planeshifter ~ Plane Shift ~ At will				DEFINE:PlaneShiftLVL|0					BONUS:VAR|PlaneShiftLVL|TL									SPELLS:Class|TIMES=ATWILL|CASTERLEVEL=PlaneShiftLVL|Plane Shift								SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
Planar Area Swap	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 9th level, a planeshifter gains the ability to move sections of the landscape from one plane to another. A spherical area of up to a 100-foot radius per planeshifter level, centered on the planeshifter, may be so moved.	KEY:Planeshifter ~ Planar Area Swap																										SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
Demiplane Seed	CATEGORY:Special Ability	TYPE:ClassFeatures.PlaneshifterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The demiplane seed is a small pocket dimension grown by a planeshifter who has reached 10th level. This pocket dimension is often used as a base of operation. A planeshifter can own only one demiplane at a time, and cannot construct a new one unless all portals to the old one are destroyed. The planeshifter must have a single flawless gemstone of at least 1,000 gp value and work on the demiplane for 100 consecutive days, for 8 hours per day.	KEY:Planeshifter ~ Demiplane Seed																										SORTKEY:Class_Planeshifter	SOURCEPAGE:MotP	
