SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08																													
College of Lore	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.Bard Subclass.SpecialQuality	VISIBLE:YES	DESC:Bards of the College of Lore collect spells and secrets from diverse sources, such as scholarly tomes, mystical rites, and peasant tales. The college's members gather in libraries and universities to share their lore with one another. They also meet at festivals or affairs of state, where they can expose corruption, unravel lies, and poke fun at self-important figures of authority.	KEY:Bard Subclass ~ College of Lore																		ABILITY:Bard Class Feature|AUTOMATIC|College of Lore ~ Bonus Proficiencies|PREVAREQ:BardLVL,3	ABILITY:Bard Class Feature|AUTOMATIC|College of Lore ~ Cutting Words|PREVAREQ:BardLVL,3	ABILITY:Bard Class Feature|AUTOMATIC|College of Lore ~ Magical Discoveries|PREVAREQ:BardLVL,6	ABILITY:Bard Class Feature|AUTOMATIC|College of Lore ~ Peerless Skill|PREVAREQ:BardLVL,14					SORTKEY:Class_Bard_01e3	SOURCEPAGE:PHB
College of Valor	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.Bard Subclass.SpecialQuality	VISIBLE:YES	DESC:Bards of the College of Valor are daring storytellers whose tales preserve the memory of the great heroes of the past. These Bards sing the deeds of the mighty in vaulted halls or to crowds gathered around great bonfires. They travel to witness great events firsthand and to ensure that the memory of these events doesn't pass away. With their songs, they inspire new generations to reach the same heights of accomplishment as the heroes of old.	KEY:Bard Subclass ~ College of Valor																		ABILITY:Bard Class Feature|AUTOMATIC|College of Valor ~ Combat Inspiration|PREVAREQ:BardLVL,3	ABILITY:Bard Class Feature|AUTOMATIC|College of Valor ~ Martial Training|PREVAREQ:BardLVL,3	ABILITY:Bard Class Feature|AUTOMATIC|College of Valor ~ Extra Attack|PREVAREQ:BardLVL,6	ABILITY:Bard Class Feature|AUTOMATIC|College of Valor ~ Battle Magic|PREVAREQ:BardLVL,14					SORTKEY:Class_Bard_01e4	SOURCEPAGE:PHB
																																
Dazzling Footwork	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Dance.SpecialQuality	VISIBLE:YES	DESC:While you aren't wearing armor or wielding a Shield, you gain the following benefits. &nl; Dance Virtuoso. You have Advantage on any Charisma (Performance) check you make that involves you dancing. &nl; Unarmored Defense. Your base Armor Class equals 10 plus your Dexterity and Charisma modifiers. &nl; Agile Strikes. When you expend a use of your Bardic Inspiration as part of an action, a Bonus Action, or a Reaction, you can make one Unarmed Strike as part of that action, Bonus Action, or Reaction. &nl; Bardic Damage. You can use Dexterity instead of Strength for the attack rolls of your Unarmed Strikes. When you deal damage with an Unarmed Strike, you can deal Bludgeoning damage equal to a roll of your Bardic Inspiration die plus your Dexterity modifier, instead of the strike's normal damage. This roll doesn't expend the die.	KEY:College of Dance ~ Dazzling Footwork									BONUS:COMBAT|TOHIT.Bard,DAMAGE.Bard|(-STR)+max(DEX,STR)|TYPE=Ability	BONUS:COMBAT|TOHIT.Unarmed,DAMAGE.Unarmed|(-STR)+max(DEX,STR)|TYPE=Ability	BONUS:WEAPONPROF=Unarmed Strike (Bard)|DAMAGESIZE|-3	BONUS:WEAPONPROF=Unarmed Strike (Bard)|DAMAGESIZE|1|PREVARGTEQ:BardLVL,8	BONUS:WEAPONPROF=Unarmed Strike (Bard)|DAMAGESIZE|1|PREVARGTEQ:BardLVL,10	BONUS:WEAPONPROF=Unarmed Strike (Bard)|DAMAGESIZE|1|PREVARGTEQ:BardLVL,15												SORTKEY:Class_Bard_01e1a	SOURCEPAGE:PHB
Inspiring Movement	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Dance.SpecialQuality	VISIBLE:YES	DESC:When an enemy you can see ends its turn within 5 feet of you, you can take a Reaction and expend one use of your Bardic Inspiration to move up to half your Speed. Then one ally of your choice within 30 feet of you can also move up to half their Speed using their Reaction. &nl; None of this feature's movement provokes Opportunity Attacks	KEY:College of Dance ~ Inspiring Movement																										SORTKEY:Class_Bard_01e1b	SOURCEPAGE:PHB
Tandem Footwork	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Dance.SpecialQuality	VISIBLE:YES	DESC:When you roll Initiative, you can expend one use of your Bardic Inspiration if you don't have the Incapacitated condition. When you do so, roll your Bardic Inspiration die; you and each ally within 30 feet of you who can see or hear you gains a bonus to Initiative equal to the number rolled.	KEY:College of Dance ~ Tandem Footwork																										SORTKEY:Class_Bard_01e1c	SOURCEPAGE:PHB
Leading Evasion	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Dance.SpecialQuality.Evasion	VISIBLE:YES	DESC:When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw and only half damage if you fail. If any creatures within 5 feet of you are making the same Dexterity saving throw, you can share this benefit with them for that save. &nl; You can't use this feature if you have the Incapacitated condition.	KEY:College of Dance ~ Leading Evasion																										SORTKEY:Class_Bard_01e1d	SOURCEPAGE:PHB
																																
Beguiling Magic	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Glamour.SpecialQuality	VISIBLE:YES	DESC:You always have the Charm Person and Mirror Image spells prepared. In addition, immediately after you cast an Enchantment or Illusion spell using a spell slot, you can cause a creature you can see within 60 feet of yourself to make a Wisdom saving throw against your spell save DC. On a failed save, the target has the Charmed or Frightened condition (your choice) for 1 minute. The target repeats the save at the end of each of its turns, ending the effect on itself on a Success. Once you use this benefit, you can't use it again until you finish a Long Rest. You can also restore your use of it by expending one use of your Bardic Inspiration (no action required).	KEY:College of Glamour ~ Beguiling Magic																		SPELLS:Beguiling Magic|TIMES=ATWILL|CASTERLEVEL=BardLVL|Charm Person,SpellDC_CHA|Mirror Image								SORTKEY:Class_Bard_01e2a	SOURCEPAGE:PHB
Mantle of Inspiration	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Glamour.SpecialQuality	VISIBLE:YES	DESC:You can weave fey magic into a song or dance to fill others with vigor. As a Bonus Action, you can expend a use of Bardic Inspiration, rolling a Bardic Inspiration die. When you do so, choose a number of other creatures within 60 feet of yourself, up to a number equal to your Charisma modifier (minimum of one creature). Each of those creatures gains a number of Temporary Hit Points equal to two times the number rolled on the Bardic Inspiration die, and then each can use its Reaction to move up to its Speed without provoking Opportunity Attacks.	KEY:College of Glamour ~ Mantle of Inspiration																										SORTKEY:Class_Bard_01e2b	SOURCEPAGE:PHB
Mantle of Majesty	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Glamour.SpecialQuality	VISIBLE:YES	DESC:You always have the Command spell prepared. As a Bonus Action, you cast Command without expending a spell slot, and you take on an unearthly appearance for 1 minute or until your Conce. ' ration ends. During this time, you can cast Command as a Bonus Action without expending a spell .lot. Any creature Charmed by you automatically fails its saving throw against the Command you cast with this feature. &nl; Once you use this feature, you can't use it again until you finish a Long Rest. You can also restore your use of it by expending a level 3+ spell slot (no action required).	KEY:College of Glamour ~ Mantle of Majesty																		SPELLS:Mantle of Majesty|TIMES=ATWILL|CASTERLEVEL=BardLVL|Command,SpellDC_CHA								SORTKEY:Class_Bard_01e2c	SOURCEPAGE:PHB
Unbreakable Majesty	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Glamour.SpecialQuality	VISIBLE:YES	DESC:As a Bonus Action, you can assume a magically majestic presence for 1 minute or until you have the Incapacitated condition. For the duration, whenever any creature hits you with an attack roll for the first time on a turn, the attacker must succeed on a Charisma saving throw against your spell save DC, or the attack misses instead, as the creature recoils from your majesty. Once you assume this majestic presence, you can't do so again until you finish a Short or Long Rest.	KEY:College of Glamour ~ Unbreakable Majesty																										SORTKEY:Class_Bard_01e2d	SOURCEPAGE:PHB
																																
Bonus Proficiencies	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Lore.SpecialQuality	VISIBLE:YES	DESC:You gain proficiency with three skills of your choice.	KEY:College of Lore ~ Bonus Proficiencies									BONUS:VAR|POOL_Skill_Proficiency|3																	SORTKEY:Class_Bard_01e3a	SOURCEPAGE:PHB
Cutting Words	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Lore.SpecialQuality	VISIBLE:YES	DESC:You learn to use your wit to supernaturally distract, confuse, and otherwise sap the confidence and competence of others. When a creature that you can see within 60 feet of yourself makes a damage roll or succeeds on an ability check or attack roll, you can take a Reaction to expend one use of your Bardic Inspiration; roll your Bardic Inspiration die, and subtract the number rolled from the creature's roll, reducing the damage or potentially turning the success into a failure.	KEY:College of Lore ~ Cutting Words																										SORTKEY:Class_Bard_01e3b	SOURCEPAGE:PHB
Magical Discoveries	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Lore.SpecialQuality	VISIBLE:YES	DESC:You learn two spells of your choice. These spells can come from the Cleric, Druid, or Wizard spell list or any combination thereof (see a class's section for its spell list). A spell you choose must be a cantrip or a spell for which you have spell slots, as shown in the Bard Features table.	KEY:College of Lore ~ Magical Discoveries									BONUS:VAR|POOL_Bard_Magical_Discovery|2*((BardLVL>=6))																	SORTKEY:Class_Bard_01e3c	SOURCEPAGE:PHB
Peerless Skill	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Lore.SpecialQuality	VISIBLE:YES	DESC:When you make an ability check or attack roll and fail, you can expend one use of Bardic Inspiration; roll the Bardic Inspiration die, and add the number rolled to the d20, potentially turning a failure into a success. On a failure, the Bardic Inspiration isn't expended.	KEY:College of Lore ~ Peerless Skill																											SOURCEPAGE:PHB
																																
Combat Inspiration	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Valor.SpecialQuality	VISIBLE:YES	DESC:You can use your wit to turn the tide of battle. A creature that has a Bardic Inspiration die from you can use it for one of the following efFects. &nl; Defense. When the creature is hit by an attack roll, that creature can use its Reaction to roll the Bardic Inspiration die and add the number rolled to its AC against that attack, potentially causing the attack to miss. &nl; Offense. Immediately after the creature hits a target with an attack roll, the creature can roll the Bardic Inspiration die and add the number rolled to the attack's damage against the target.	KEY:College of Valor ~ Combat Inspiration																										SORTKEY:Class_Bard_01e4a	SOURCEPAGE:PHB
Martial Training	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Valor.SpecialQuality	VISIBLE:YES	DESC:You gain proficiency with Martial weapons and training with Medium armor and Shields. In addition, you can use a Simple or Martial weapon as a Spellcasting Focus to cast spells from your Bard spell list.	KEY:College of Valor ~ Martial Training																		ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial							SORTKEY:Class_Bard_01e4b	SOURCEPAGE:PHB
Extra Attack	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Valor.SpecialQuality	VISIBLE:YES	DESC:You can attack twice instead of once whenever you take the Attack action on your turn. In addition, you can cast one of your cantrips that has a casting time of an action in place of one of those attacks.	KEY:College of Valor ~ Extra Attack																		ABILITY:Internal|AUTOMATIC|Extra Attack ~ 1								SORTKEY:Class_Bard_01e4c	SOURCEPAGE:PHB
Battle Magic	CATEGORY:Special Ability	TYPE:Bard Class Feature.Class Feature.College of Valor.SpecialQuality	VISIBLE:YES	DESC:After you cast a spell that has a casting time of an action, you can make one attack with a weapon as a Bonus Action.	KEY:College of Valor ~ Battle Magic																										SORTKEY:Class_Bard_01e4d	SOURCEPAGE:PHB
																																
# Magical Discoveries / Cleric																																
Guidance	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Guidance	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Guidance									SOURCEPAGE:PHB
Light	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Light	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Light									SOURCEPAGE:PHB
Mending	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Mending	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Mending									SOURCEPAGE:PHB
Resistance	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Resistance	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Resistance									SOURCEPAGE:PHB
Sacred Flame	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Sacred Flame	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Sacred Flame									SOURCEPAGE:PHB
Spare the Dying	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Spare the Dying	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Spare the Dying									SOURCEPAGE:PHB
Thaumaturgy	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Thaumaturgy	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Thaumaturgy									SOURCEPAGE:PHB
Toll the Dead	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Toll the Dead	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Toll the Dead									SOURCEPAGE:PHB
Word of Radiance	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Word of Radiance	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Word of Radiance									SOURCEPAGE:PHB
Bane	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Bane	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Bane									SOURCEPAGE:PHB
Bless	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Bless	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Bless									
Command	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Command	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Command									SOURCEPAGE:PHB
Create or Destroy Water	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Create or Destroy Water	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Create or Destroy Water									SOURCEPAGE:PHB
Cure Wounds	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Cure Wounds	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Cure Wounds									SOURCEPAGE:PHB
Detect Evil and Good	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Detect Evil and Good	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Detect Evil and Good									SOURCEPAGE:PHB
Detect Magic	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Detect Magic	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Detect Magic									SOURCEPAGE:PHB
Detect Poison and Disease	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Detect Poison and Disease	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Detect Poison and Disease									SOURCEPAGE:PHB
Guiding Bolt	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Guiding Bolt	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Guiding Bolt									SOURCEPAGE:PHB
Healing Word	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Healing Word	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Healing Word									SOURCEPAGE:PHB
Inflict Wounds	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Inflict Wounds	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Inflict Wounds									SOURCEPAGE:PHB
Protection from Evil and Good	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Protection from Evil and Good	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Protection from Evil and Good									SOURCEPAGE:PHB
Purify Food and Drink	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Purify Food and Drink	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Purify Food and Drink									SOURCEPAGE:PHB
Sanctuary	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Sanctuary	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Sanctuary									SOURCEPAGE:PHB
Shield of Faith	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Shield of Faith	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Shield of Faith									SOURCEPAGE:PHB
Aid	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Aid	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Aid									SOURCEPAGE:PHB
Augury	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Augury	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Augury									SOURCEPAGE:PHB
Blindness/Deafness	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Blindness/Deafness	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Blindness/Deafness									SOURCEPAGE:PHB
Calm Emotions	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Calm Emotions	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Calm Emotions									SOURCEPAGE:PHB
Continual Flame	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Continual Flame	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Continual Flame									SOURCEPAGE:PHB
Enhance Ability	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Enhance Ability	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Enhance Ability									SOURCEPAGE:PHB
Find Traps	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Find Traps	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Find Traps									SOURCEPAGE:PHB
Gentle Repose	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Gentle Repose	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Gentle Repose									SOURCEPAGE:PHB
Hold Person	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Hold Person	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Hold Person									SOURCEPAGE:PHB
Lesser Restoration	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Lesser Restoration	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Lesser Restoration									SOURCEPAGE:PHB
Locate Object	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Locate Object	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Locate Object									SOURCEPAGE:PHB
Prayer of Healing	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Prayer of Healing	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Prayer of Healing									SOURCEPAGE:PHB
Protection from Poison	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Protection from Poison	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Protection from Poison									SOURCEPAGE:PHB
Silence	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Silence	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Silence									SOURCEPAGE:PHB
Spiritual Weapon	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Spiritual Weapon	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Spiritual Weapon									SOURCEPAGE:PHB
Warding Bond	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Warding Bond	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Warding Bond									SOURCEPAGE:PHB
Zone of Truth	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Zone of Truth	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Zone of Truth									SOURCEPAGE:PHB
Animate Dead	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Animate Dead	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Animate Dead									SOURCEPAGE:PHB
Aura of Vitality	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Aura of Vitality	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Aura of Vitality									SOURCEPAGE:PHB
Beacon of Hope	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Beacon of Hope	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Beacon of Hope									SOURCEPAGE:PHB
Bestow Curse	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Bestow Curse	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Bestow Curse									SOURCEPAGE:PHB
Clairvoyance	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Clairvoyance	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Clairvoyance									SOURCEPAGE:PHB
Create Food and Water	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Create Food and Water	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Create Food and Water									SOURCEPAGE:PHB
Daylight	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Daylight	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Daylight									SOURCEPAGE:PHB
Dispel Magic	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Dispel Magic	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Dispel Magic									SOURCEPAGE:PHB
Feign Death	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Feign Death	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Feign Death									SOURCEPAGE:PHB
Glyph of Warding	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Glyph of Warding	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Glyph of Warding									SOURCEPAGE:PHB
Magic Circle	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Magic Circle	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Magic Circle									SOURCEPAGE:PHB
Mass Healing Word	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Mass Healing Word	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Mass Healing Word									SOURCEPAGE:PHB
Meld into Stone	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Meld into Stone	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Meld into Stone									SOURCEPAGE:PHB
Protection from Energy	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Protection from Energy	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Protection from Energy									SOURCEPAGE:PHB
Remove Curse	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Remove Curse	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Remove Curse									SOURCEPAGE:PHB
Revivify	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Revivify	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Revivify									SOURCEPAGE:PHB
Sending	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Sending	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Sending									SOURCEPAGE:PHB
Speak with Dead	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Speak with Dead	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Speak with Dead									SOURCEPAGE:PHB
Spirit Guardians	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Spirit Guardians	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Spirit Guardians									SOURCEPAGE:PHB
Tongues	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Tongues	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Tongues									SOURCEPAGE:PHB
Water Walk	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Water Walk	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Water Walk									SOURCEPAGE:PHB
Aura of Life	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Aura of Life	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Aura of Life									SOURCEPAGE:PHB
Aura of Purity	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Aura of Purity	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Aura of Purity									SOURCEPAGE:PHB
Banishment	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Banishment	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Banishment									SOURCEPAGE:PHB
Control Water	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Control Water	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Control Water									SOURCEPAGE:PHB
Death Ward	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Death Ward	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Death Ward									SOURCEPAGE:PHB
Divination	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Divination	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Divination									SOURCEPAGE:PHB
Freedom of Movement	CATEGORY:Internal	TYPE:Bard Magical Discoveries			KEY:Bard Magical Discoveries ~ Freedom of Movement	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Freedom of Movement									SOURCEPAGE:PHB
