SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																							
#																										
#Block:Spells	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus	
Spell Vulnerability				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature.	DURATION:1 minute/level	SAVEINFO:Fortitude negates; see text.	SPELLRES:No	DESC:Reduce target creature's spell resistance by 1 per caster level (max reduction 15).	SOURCEPAGE:PH									
Summon Babau Demon				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaos|Evil	CLASSES:Cleric=6	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned babau demon.	DURATION:Concentration, up to 1 round/level plus 1 round	SAVEINFO:None	SPELLRES:No	DESC:Summon a babau demon to follow your commands.	SOURCEPAGE:PH									
Summon Bearded Devil				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil|Law	CLASSES:Cleric=4	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned bearded devil.	DURATION:Concentration, up to 1 round/level plus 1 round	SAVEINFO:None	SPELLRES:No	DESC:Summon a bearded devil to follow your commands.	SOURCEPAGE:PH									
Summon Bralani Eladrin				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaos|Good	CLASSES:Cleric=5	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned bralani eladrin.	DURATION:Concentration, up to 1 round/level plus 1 round	SAVEINFO:None	SPELLRES:No	DESC:Summon a bralani eladrin to follow your commands.	SOURCEPAGE:PH									
Summon Elementite Swarm				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:See text	CLASSES:Druid=4	COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned elementite swarm.	DURATION:Concentration, up to 1 round/level plus 1 round	SAVEINFO:None	SPELLRES:No	DESC:Summon an elementite swarm to follow your commands.	SOURCEPAGE:PH									
Summon Elysian Thrush				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Good	CLASSES:Bard=2|Cleric=2	COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:One called Elysian Thrush.	DURATION:8 hours	SAVEINFO:None	SPELLRES:No	DESC:Summon an Elysian thrush, which accelerates natural healing.	SOURCEPAGE:PH									
Summon Greater Elemental				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:See text	CLASSES:Druid=6	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned elemental.	DURATION:Concentration, up to 1 round/level plus 1 round	SAVEINFO:None	SPELLRES:No	DESC:Summon a greater elemental to follow your commands.	SOURCEPAGE:PH									
Summon Hound Archon				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Good|Law	CLASSES:Cleric=4	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One summoned hound archon	DURATION:Concentration, up to 1 round/level plus 1 round	SAVEINFO:None	SPELLRES:No	DESC:Summon a hound archon to follow your commands.	SOURCEPAGE:PH									
Touchstone Lightning				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Electricity	CLASSES:Druid=4|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One or more rays of electricity.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Use your Planar Touchstone granted higher-order abilities to fuel damaging rays.	SOURCEPAGE:PH									
Unholy Storm				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil|Water	CLASSES:Blackguard=4|Cleric=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:20-ft. radius, centered on you.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Evil-aligned rain falls in 20-ft. Radius. Material Component: A flask of unholy water.	SOURCEPAGE:PH									
Wall of Gears				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Wall of moving gears whose area fills one 5-ft. square/2 levels; see text.	DURATION:1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:Creates wall of moving gears that deals 1d6 damage/2 levels to creatures within 10 ft. Material Component: A small gear.	SOURCEPAGE:PH									
																										
#Block:Epic Spells																										
Channel Celestial Paragon (Manahth)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 28.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Erathaol)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 42.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Domiel)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 44.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Kharash)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 46.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Barachiel)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 46.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Pistis Sophia)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 46.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Vhara)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 48.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Bharrai)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 54.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Sathia)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 56.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Gwynharwyf)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 58.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Raziel)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 64.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Faerinaal)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 66.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Sealtiel)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 70.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Morwel)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 70.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Zaphkiel)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 70.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
Channel Celestial Paragon (Talisid)				TYPE:Epic	SCHOOL:Transmutation		DESCRIPTOR:Good	CLASSES:Epic Spells (Arcane/CHA),Epic Spells (Arcane/INT),Epic Spells (Arcane/WIS),Epic Spells (Divine/CHA),Epic Spells (Divine/INT),Epic Spells (Divine/WIS)=10	COMPS:V, S, F, Abstinence, Sacrifice	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:You and 3-5 willing creatures and 1 willing celestial.	DURATION:20 rounds	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By means of this mighty epic spell, you channel the power of a celestial paragon through you body and at least 3 (but no more than 5) of your allies. Focus: You must have a major artifact of good alignment, such as the Regalia of Good (see Chapter 6 for a description of this item). Abstinence Component: You and each willing participant must abstain from intoxicants and stimulants for one week before casting this spell. You and each willing participant must not be the subject of any other spell at the time you cast this spell. You and each willing participant must not be suffering from any ability damage, ability drain, or energy drain at the time you cast this spell, including the effects of any previously cast sanctified spell. Sacrifice: You and each willing participant in the spell each lose one experience level. Spellcraft DC 76.	SOURCEPAGE:BoVD p. 122	PREABILITY:1,CATEGORY=FEAT,Epic Spellcasting								
#																										
#Block:.MOD	CLASS:.CLEARALL																									
#																										
#Block:Spell List																										
Charm Person.MOD	CLASSES:Fatemaker=1																									
Disguise Self.MOD	CLASSES:Fatemaker=1																									
Expeditious Retreat.MOD	CLASSES:Fatemaker=1																									
Sanctuary.MOD	CLASSES:Fatemaker=1																									
True Strike.MOD	CLASSES:Fatemaker=1																									
Bear's Endurance.MOD	CLASSES:Fatemaker=2																									
Bull's Strength.MOD	CLASSES:Fatemaker=2																									
Cat's Grace.MOD	CLASSES:Fatemaker=2																									
Darkvision.MOD	CLASSES:Fatemaker=2																									
Daze Monster.MOD	CLASSES:Fatemaker=2																									
Eagle's Splendor.MOD	CLASSES:Fatemaker=2																									
Fox's Cunning.MOD	CLASSES:Fatemaker=2																									
Invisibility.MOD	CLASSES:Fatemaker=2																									
Owl's Wisdom.MOD	CLASSES:Fatemaker=2																									
Resist Energy.MOD	CLASSES:Fatemaker=2																									
Spider Climb.MOD	CLASSES:Fatemaker=2																									
Haste.MOD	CLASSES:Fatemaker=3																									
Protection from Energy.MOD	CLASSES:Fatemaker=3																									
Nondetection.MOD	CLASSES:Fatemaker=3																									
Suggestion.MOD	CLASSES:Fatemaker=3																									
Tongues.MOD	CLASSES:Fatemaker=3																									
Charm Monster.MOD	CLASSES:Fatemaker=4																									
Neutralize Poison.MOD	CLASSES:Fatemaker=4																									
Remove Curse.MOD	CLASSES:Fatemaker=4																									
Restoration.MOD	CLASSES:Fatemaker=4																									
Stoneskin.MOD	CLASSES:Fatemaker=4																									
#Block:Alternate Rules																										
