SOURCELONG:Core Ruleset	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																																																																																																																																																																																																																																																																																																					
Immunity To Ability Drain	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Ability Drain.			SERVESAS:ABILITY=Special Ability|Immunity To Intelligence Drain|Immunity To Charisma Drain	ASPECT:Immunity|Ability Drain																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Ability Drain	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Ability Drain-based effects.																												SOURCEPAGE:UA																																																																																																																																																																																																																																																																																							

Resistance To Disease	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:DiseaseResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Disease Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Disease,Vulnerability To Disease													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Disease Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Disease	DESC:You get a +%1 bonus on Fort saving throws against Disease.|DiseaseResistanceBonus	ASPECT:Resistance|Disease	ASPECT:Ability Benefit|%1|DiseaseResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Disease	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Disease damage	SERVESAS:ABILITY=Special Ability|Immunity To Non Magical Disease			ASPECT:Immunity|Disease																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Disease	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Disease.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Non Magical Disease	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are immune to non magical disease.				ASPECT:Immunity|Non Magical Disease																									SOURCEPAGE:CW

Resistance To Fatigue	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:FatigueResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Fatigue Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Fatigue,Vulnerability To Fatigue													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Fatigue Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Fatigue	DESC:You get a +%1 bonus on Fort saving throws against Fatigue.|FatigueResistanceBonus	ASPECT:Resistance|Fatigue	ASPECT:Ability Benefit|%1|FatigueResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Fatigue	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You can never be fatigued.				ASPECT:Immunity|Fatigue																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Fatigue	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to fatigue.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Rust	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:RustResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Rust Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Rust,Vulnerability To Rust													SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Resistance To Rust Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Rust	DESC:You get a +%1 bonus on saving throws against Rust-based effects.|RustResistanceBonus	ASPECT:Resistance|Rust	ASPECT:Ability Benefit|%1|RustResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Rust	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to rust attacks.				ASPECT:Immunity|Rust																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																						
Vulnerability To Rust	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Rust-based effects.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							

Resistance To Fear	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:FearResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Fear Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Fear,Vulnerability To Fear													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Fear Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Fear	DESC:You get a +%1 bonus on Will saving throws against Fear.|FearResistanceBonus	ASPECT:Resistance|Fear	ASPECT:Ability Benefit|%1|FearResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Fear	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Fear damage				ASPECT:Immunity|Fear																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Fear	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Fear.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Language-Dependent	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO		SERVESAS:ABILITY=Special Ability|Resistance To Charm			DEFINE:LanguageDependentResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Language-Dependent Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Language-Dependent,Vulnerability To Language-Dependent													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Language-Dependent Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Language-Dependent	DESC:You get a +%1 bonus on all saving throws against Language-Dependent.|LanguageDependentResistanceBonus	ASPECT:Resistance|Language-Dependent	ASPECT:Ability Benefit|%1|LanguageDependentResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Language-Dependent	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Language-Dependent effects.		SERVESAS:ABILITY=Special Ability|Immunity To Charm|Immunity To Compulsion|Immunity To Phantasm|Immunity To Pattern|Immunity To Morale		ASPECT:Immunity|Language-Dependent																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Language-Dependent	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Language-Dependent.	SERVESAS:ABILITY=Special Ability|Vulnerability To Charm																											SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Mind-Affecting	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO		SERVESAS:ABILITY=Special Ability|Resistance To Charm			DEFINE:MindAffectingResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Mind-Affecting Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Mind-Affecting,Vulnerability To Mind-Affecting													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Mind-Affecting Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Mind-Affecting	DESC:You get a +%1 bonus on all saving throws against Mind-Affecting.|MindAffectingResistanceBonus	ASPECT:Resistance|Mind-Affecting	ASPECT:Ability Benefit|%1|MindAffectingResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Mind-Affecting	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Mind-Affecting effects.		SERVESAS:ABILITY=Special Ability|Immunity To Charm|Immunity To Compulsion|Immunity To Phantasm|Immunity To Pattern|Immunity To Morale		ASPECT:Immunity|Mind-Affecting																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Mind-Affecting	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Mind-Affecting.	SERVESAS:ABILITY=Special Ability|Vulnerability To Charm																											SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Charm	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:CharmResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Charm Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Charm,Vulnerability To Charm													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Charm Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Charm	DESC:You get a +%1 bonus on all saving throws against Charm.|CharmResistanceBonus	ASPECT:Resistance|Charm	ASPECT:Ability Benefit|%1|CharmResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Charm	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Charm effects.		SERVESAS:ABILITY=Special Ability|Immunity To Charm|Immunity To Compulsion|Immunity To Phantasm|Immunity To Pattern|Immunity To Morale		ASPECT:Immunity|Charm																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Charm	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Charm.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Compulsion	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:CompulsionResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Compulsion Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Compulsion,Vulnerability To Compulsion													SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																							
Resistance To Compulsion Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Compulsion	DESC:You get a +%1 bonus on Fort saving throws against Compulsions.|CompulsionResistanceBonus	ASPECT:Resistance|Compulsion	ASPECT:Ability Benefit|%1|CompulsionResistanceBonus																									SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																							
Immunity To Compulsion	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Compulsion effects.				ASPECT:Immunity|Compulsion																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Compulsion	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Compulsion.																												SOURCEPAGE:EPH																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Immunity To Phantasm	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Phantasm effects.				ASPECT:Immunity|Phantasm																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Immunity To Pattern	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Pattern effects.				ASPECT:Immunity|Pattern																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Immunity To Morale	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Morale effects.				ASPECT:Immunity|Morale																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						

Resistance To Energy Drain	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:EnergyDrainResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Energy Drain Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Energy Drain,Vulnerability To Energy Drain													SOURCEPAGE:FF																																																																																																																																																																																																																																																																																							
Resistance To Energy Drain Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Energy Drain	DESC:You get a +%1 bonus on saving throws against Energy Drain-based effects.|EnergyDrainResistanceBonus	ASPECT:Resistance|EnergyDrain	ASPECT:Ability Benefit|%1|EnergyDrainResistanceBonus																									SOURCEPAGE:FF																																																																																																																																																																																																																																																																																							
Immunity To Energy Drain	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Energy Drain.				ASPECT:Immunity|Energy Drain																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Energy Drain	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Energy Drain-based effects.																												SOURCEPAGE:FF																																																																																																																																																																																																																																																																																							

Resistance To Death Effects	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:DeathEffectsResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Death Effects Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Death Effects,Vulnerability To Death Effects													SOURCEPAGE:BoED																																																																																																																																																																																																																																																																																							
Resistance To Death Effects Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Death Effects	DESC:You get a +%1 bonus on saving throws against Death Effects-based effects.|DeathEffectsResistanceBonus	ASPECT:Resistance|DeathEffects	ASPECT:Ability Benefit|%1|DeathEffectsResistanceBonus																									SOURCEPAGE:BoED																																																																																																																																																																																																																																																																																							
Immunity To Death Effects	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Death effects.				ASPECT:Immunity|Death Effects																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Death Effects	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Death Effects-based effects.																												SOURCEPAGE:BoED																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Paralysis	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:ParalysisResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Paralysis Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Paralysis,Vulnerability To Paralysis													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Paralysis Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Paralysis	DESC:You get a +%1 bonus on Fort saving throws against Paralysis.|ParalysisResistanceBonus	ASPECT:Resistance|Paralysis	ASPECT:Ability Benefit|%1|ParalysisResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Paralysis	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You can never be paralysed.				ASPECT:Immunity|Paralysis																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Paralysis	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Paralysis.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Poison	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:PoisonResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Poison Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Poison,Vulnerability To Poison													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Poison Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Poison	DESC:You get a +%1 bonus on Fort saving throws against poison.|PoisonResistanceBonus	ASPECT:Resistance|Poison	ASPECT:Ability Benefit|%1|PoisonResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Poison	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take poison damage				ASPECT:Immunity|Poison																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Poison	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to poison.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							

Immunity To Transmutation	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to Polymorph, Petrification or any other kind of effect that alters your form.		SERVESAS:ABILITY=Special Ability|Immunity To Petrification|Immunity to Polymorph		ASPECT:Immunity|Transmutation																									SOURCEPAGE:DaD

Resistance To Petrification	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:PetrificationResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Petrification Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Petrification,Vulnerability To Petrification													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Petrification Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Petrification	DESC:You get a +%1 bonus on Fort saving throws against Petrification.|PetrificationResistanceBonus	ASPECT:Resistance|Petrification	ASPECT:Ability Benefit|%1|PetrificationResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Petrification	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You can never be petrified.				ASPECT:Immunity|Petrification																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Petrification	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Petrification.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							

Resistance To Polymorph	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:PolymorphResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Polymorph Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Polymorph,Vulnerability To Polymorph													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Polymorph Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Polymorph	DESC:You get a +%1 bonus on Fort saving throws against Polymorph.|PolymorphResistanceBonus	ASPECT:Resistance|Polymorph	ASPECT:Ability Benefit|%1|PolymorphResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Polymorph	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You can never be polymorphed.				ASPECT:Immunity|Polymorph																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Polymorph	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Polymorph.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							

Resistance To Stunning	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:StunningResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Stunning Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Stunning,Vulnerability To Stunning													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																							
Resistance To Stunning Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Stunning	DESC:You get a +%1 bonus on Fort saving throws against Stunning.|StunningResistanceBonus	ASPECT:Resistance|Stunning	ASPECT:Ability Benefit|%1|StunningResistanceBonus																									SOURCEPAGE:UA																																																																																																																																																																																																																																																																																							
Immunity To Stunning	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You can never be stunned.				ASPECT:Immunity|Stunning																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Stunning	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Stunning.																												SOURCEPAGE:UA																																																																																																																																																																																																																																																																																							

#Immunities against spell effect																																																																																																																																																																																																																																																																																																																							
Resistance To Disintegration	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:DisintegrationResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Disintegration Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Disintegration,Vulnerability To Disintegration													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Disintegration Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Disintegration	DESC:You get a +%1 bonus on saving throws against Disintegration effects.|DisintegrationResistanceBonus	ASPECT:Resistance|Disintegration	ASPECT:Ability Benefit|%1|DisintegrationResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Disintegration	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are immune to Disintegration effects.				ASPECT:Immunity|Disintegration																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Disintegration	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Disintegration effects.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Hold	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:HoldResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Hold Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Hold,Vulnerability To Hold													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Hold Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Hold	DESC:You get a +%1 bonus on saving throws against Hold effects.|HoldResistanceBonus	ASPECT:Resistance|Hold	ASPECT:Ability Benefit|%1|HoldResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Hold	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are immune to Hold effects.				ASPECT:Immunity|Hold																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Hold	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Hold effects.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
