SOURCELONG:Manual of the Planes 3.0	SOURCESHORT:MotP30	SOURCEWEB:http://www.gozzilioni.net																																
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Favored Plane - Far Realm	CATEGORY:Special Ability	TYPE:ClassFeatures.PlanarChampionClassFeatures.FavoredPlane.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against a native of this plane. Likewise, he gets a +%1 bonus on weapon damage rolls against such creatures.|FavoredPlaneBonusFar Realm	KEY:Favored Plane ~ Far Realm	PREVARGTEQ:PlanarChampionFavoredPlaneLVL,1			DEFINE:FavoredPlaneBonusFar Realm|0					BONUS:VAR|FavoredPlaneBonusFar Realm|FavoredPlaneBaseBonus	BONUS:VAR|FavoredPlaneBonusFar Realm|ImprovedFavoredPlaneBonus																		SOURCEPAGE:MotP30	ASPECT:Ability Benefit|+%1|FavoredPlaneBonusFar Realm
																																		
###Block: Favored Plane Bonuses																																		
Ethereal	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Ethereal	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Ethereal								BONUS:VAR|FavoredPlaneBonusEthereal|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Astral	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Astral	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Astral								BONUS:VAR|FavoredPlaneBonusAstral|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Shadow	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Shadow	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Shadow								BONUS:VAR|FavoredPlaneBonusShadow|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Air	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Air	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Air								BONUS:VAR|FavoredPlaneBonusAir|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Earth	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Earth	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Earth								BONUS:VAR|FavoredPlaneBonusEarth|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Fire	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Fire	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Fire								BONUS:VAR|FavoredPlaneBonusFire|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Water	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Water	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Water								BONUS:VAR|FavoredPlaneBonusWater|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Positive	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Positive	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Positive								BONUS:VAR|FavoredPlaneBonusPositive|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Negative	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Negative	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Negative								BONUS:VAR|FavoredPlaneBonusNegative|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Celestia	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Celestia	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Celestia								BONUS:VAR|FavoredPlaneBonusCelestia|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Bytopia	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Bytopia	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Bytopia								BONUS:VAR|FavoredPlaneBonusBytopia|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Elysium	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Elysium	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Elysium								BONUS:VAR|FavoredPlaneBonusElysium|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Beastlands	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Beastlands	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Beastlands								BONUS:VAR|FavoredPlaneBonusBeastlands|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Arborea	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Arborea	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Arborea								BONUS:VAR|FavoredPlaneBonusArborea|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Ysgard	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Ysgard	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Ysgard								BONUS:VAR|FavoredPlaneBonusYsgard|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Limbo	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Limbo	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Limbo								BONUS:VAR|FavoredPlaneBonusLimbo|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Pandemonium	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Pandemonium	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Pandemonium								BONUS:VAR|FavoredPlaneBonusPandemonium|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Abyss	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Abyss	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Abyss								BONUS:VAR|FavoredPlaneBonusAbyss|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Carceri	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Carceri	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Carceri								BONUS:VAR|FavoredPlaneBonusCarceri|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Hades	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Hades	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Hades								BONUS:VAR|FavoredPlaneBonusHades|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Gehenna	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Gehenna	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Gehenna								BONUS:VAR|FavoredPlaneBonusGehenna|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Baator	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Baator	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Baator								BONUS:VAR|FavoredPlaneBonusBaator|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Acheron	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Acheron	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Acheron								BONUS:VAR|FavoredPlaneBonusAcheron|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Mechanus	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Mechanus	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Mechanus								BONUS:VAR|FavoredPlaneBonusMechanus|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Arcadia	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Arcadia	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Arcadia								BONUS:VAR|FavoredPlaneBonusArcadia|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Outlands	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Outlands	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Outlands								BONUS:VAR|FavoredPlaneBonusOutlands|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
Sigil	CATEGORY:Special Ability	TYPE:FavoredPlaneBonus	VISIBLE:DISPLAY		KEY:Favored Plane Bonus ~ Sigil	PREABILITY:1,CATEGORY=Special Ability,Favored Plane ~ Sigil								BONUS:VAR|FavoredPlaneBonusSigil|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:MotP30		
