SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10																							
																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	DESC:	Bonus	Bonus	
Flesh Ripper				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil	CLASSES:Cleric=3	COMPS:V, S, Undead, Fiend	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Black claw deals 1d8 damage/level and critical hits deal bleeding wounds.	SOURCEPAGE:BoVD									
Forbidden Speech				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	CLASSES:Corrupt=5	COMPS:V, S, Corrupt	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:1 living creature	DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject cannot speek about a certain topic. Corrupt:1d6 STR damage.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Strength damage.			
Glimpse of Truth				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Evil	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, Drug	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 hour	SAVEINFO:None	SPELLRES:No	DESC:Caster gets an answer to a yes-or-no question. Drug: Mordayn Vapor	SOURCEPAGE:BoVD						DESC:Drug Component: Mordayn vapor.			
Graz'zt's Long Grasp				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's hand flies from her arm to make grapple attacks.	SOURCEPAGE:BoVD									
Grim Revenge				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, Undead	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Tears hand from target, dealing 6d6 damage, then hand attacks target.	SOURCEPAGE:BoVD									
Gutwrench				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death|Evil	CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, Undead	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Kills subject and gives caster 4d6 temporary hit points and +4 STR.	SOURCEPAGE:BoVD									
Heartache				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	CLASSES:Cleric=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject helpless for 1 round.	SOURCEPAGE:BoVD									
Heartclutch				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Cleric=5	COMPS:V, S, Disease	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:The heart of one creature	DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Subject dies in 1d3 rounds or take 3d6 damage +1/level.	SOURCEPAGE:BoVD						DESC:Disease Component: Soul rot.			
Hell's Power				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Blackguard=3|Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, M, Devil	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +2 AC and +1 to existing DR.	SOURCEPAGE:BoVD						DESC:Material Component:The heart of an elf child.			
Hellfire				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil		COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft.-radius spread	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Explosion of brimstone deals 3d6 damage in 5-ft radius.	SOURCEPAGE:BoVD									
Hellfire Storm				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft.-radius spread	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Explosion of brimstone deals 5d6 damage in 20-ft radius.	SOURCEPAGE:BoVD									
Identify Transgressor				TYPE:Spell	SCHOOL:Divination		DESCRIPTOR:Evil	CLASSES:Cleric=4	COMPS:V, S, Drug, Location	CASTTIME:10 minutes	RANGE:Personal	TARGETAREA:Caster	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Caster learns the identity of one person. Drug: Vodare. Location: an area under the effect of a Desecrate or Unhallw spell.	SOURCEPAGE:BoVD						DESC:Drug Component: Vodare. Location Component: An area under the effect of a desecrate or unhallow spell.			
Impotent Possessor				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One possessing creature	DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject that can possess creatures is rendered powerless.	SOURCEPAGE:BoVD									
Imprison Possessor				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One possessing creature and its host	DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject that can possess creatures is trapped in current body.	SOURCEPAGE:BoVD									
Imprison Soul				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=7	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:No	DESC:Traps soul in a small object, and victim takes 1d4 CON damage/day.	SOURCEPAGE:BoVD						DESC:Material Component: A portion of the target's body (a fingernail, a strand of hair, or some other small part). Focus: A Tiny or smaller object to be the receptacle for the subject's soul.			
Lahm's Finger Darts				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Corrupt=2	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to five creatures, no two of which can be more than 15 ft. apart	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Caster's fingers become projectiles that deal 1d4 DEX damage.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1 point of Strength damage per dart, plus the loss of one finger per dart. A hand with one or no fingers is useless.			
Liquid Pain				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, F	CASTTIME:1 day	RANGE:Touch	TARGETAREA:One living creature.	DURATION:Permanent	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Extracts one dose of liquid pain from tortured victim.	SOURCEPAGE:BoVD						DESC:Focus: A jar, vial, or other container for the liquid pain.			
Love's Pain				TYPE:Spell	SCHOOL:Evocation			CLASSES:Corrupt=3	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Deals 1d6 damage/2 levels to subject's dearest loved one.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Intelligence damage.			
Masochism				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil	CLASSES:Assassin=3|Blackguard=3|Cleric=3|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:For every 10 hp damage caster takes, he gains +1 on attacks, saves and checks.	SOURCEPAGE:BoVD						DESC:Material Component: A leather strap that has been soaked in the caster's blood.			
Mindrape				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Caster learns everything subject knows and can alter its memory or knowledge.	SOURCEPAGE:BoVD									
Mirror Sending				TYPE:Spell	SCHOOL:Evocation			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, F	CASTTIME:See text	RANGE:See text	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:Caster sends her image to a mirror and can see and speak through it.	SOURCEPAGE:BoVD						DESC:Focus: A mirror of finely wrought and highly polished silver costing not less than 1,000 gp. The mirror must be at least 2 feet by 4 feet.			
Morality Undone				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	CLASSES:Bard=5|Cleric=5|Corrupt=4	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One nonevil creature	DURATION:10 min/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject becomes evil.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: A powdered holy symbol.			
Nether Trail				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=1|Wizard=1	COMPS:S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:A trail 20-ft long/level	DURATION:10 min/level	SAVEINFO:Will negates	SPELLRES:No	DESC:Creates a trail compelling evil orders to follow	SOURCEPAGE:BoVD						DESC:Material Component: A urine-soaked holy symbol, which crumbles into the powder that creates the nether trail.			
No Light				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=1|Cleric=0|Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft.-radius spread	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Prevents normal light from illuminating.	SOURCEPAGE:BoVD									
Pestilence				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=8|Druid=7	COMPS:V, S, Disease	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject gains a disease as do all who touch him.	SOURCEPAGE:BoVD						DESC:Disease: any disease			
Phantasmal Thief				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One object	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Creates an unseen force that steals from others.	SOURCEPAGE:BoVD						DESC:Material Component: A spool of green thread.			
Plague of Nightmares				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	CLASSES:Corrupt=8	COMPS:V, S, F, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature.	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject takes 1d4 CON damage and does not heal.	SOURCEPAGE:BoVD						DESC:Focus: A fresh or preserved (still bloody) 1-ounce portion of another creature's flesh. Corruption Cost: 1d6 points of Strength damage, taken all at once at the end of each week.			
Power Leech				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Corrupt=5	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Caster drains subject's ability score 1 point/round and gains +1 bonus per point.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1 point of Wisdom drain.			
Pox				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Corrupt=6|Druid=6	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one living creature/level, no two of which can be more than 10 ft. apart	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:One creature/level take 1d4 CON drain.	SOURCEPAGE:BoVD									
Preserve Organ				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=0|Druid=0|Sorcerer=0|Wizard=0	COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One organ	DURATION:24 hours	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Protects one detached organ from decay for 24 hours.	SOURCEPAGE:BoVD									
Psychic Poison				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Evil	CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, M/DF	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:50-ft.-radius spread, or one single object or creature that can fit in that area	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Poisons those casting Divination or Mind-Affecting spells at object, creature or area.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: A bit of humanoid brain tissue.			
Rapture of Rupture				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Corrupt=7	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched per level	DURATION:Instantaneous	SAVEINFO:Fort half	SPELLRES:Yes	DESC:Subject takes 6d6 damage and is stunned, then takes 1d6 damage/round thereafter.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1 point of Strength damage per target touched.			
Reality Blind				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Evil|Mind-Affecting	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:Concentration (See text)	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject can take no actions and afterward does not heal naturally.	SOURCEPAGE:BoVD						DESC:Material Component: A 2-inch-diameter multicolored disk of paper or ribbon.			
Red Fester				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Corrupt=3	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject takes 1d6 STR damage and 1d4 CHA damage.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Strength damage.			
Resonating Resistance				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, Fiend	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Foes must check spell resistance twice against caster.	SOURCEPAGE:BoVD									
Rotting Curse of Urfestra				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Corrupt=3	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject takes 1d6 CON damage per hour.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Strength damage.			
Sacrificial Skill				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil	CLASSES:Assassin=2|Cleric=1|Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +5 bonus on Knowledge (Religion) checks made during sacrifice.	SOURCEPAGE:BoVD						DESC:Material Component: A lock of hair taken from an unwilling humanoid.			
Sadism				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil	CLASSES:Assassin=3|Blackguard=3|Cleric=3|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:For every 10 hp damage caster deals, he gains +1 on attacks, saves and checks.	SOURCEPAGE:BoVD						DESC:Material Component: A leather strap that has been soaked in human blood.			
Sap Strength				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil	CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject becomes exhausted.	SOURCEPAGE:BoVD						DESC:Material Component: A long needle and a tiny glass bottle.			
Seething Eyebane				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Acid|Evil	CLASSES:Corrupt=1	COMPS:V, S, Corrupt	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Fort negates; See text	SPELLRES:Yes	DESC:Subject is blinded and all within 5-ft take 1d6 damage.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Constitution damage.			
Serpent of Theggeron				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Corrupt=3	COMPS:S, Corrupt	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's arms become serpents with 10-ft reach, +10 attack and 1d8 damage plus poison.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Intelligence damage.			
Shriveling				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=3|Sorcerer=2|Wizard=2	COMPS:V, S, Disease	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Subject takes 1d4 damage/level.	SOURCEPAGE:BoVD						DESC:Disease Component: Soul rot.			
Slash Tongue				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Cleric=0|Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature with a tongue	DURATION:1 round	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject takes -1 penalty on attacks, saves and check for 1 round.	SOURCEPAGE:BoVD									
Slow Consumption				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=1|Sorcerer=2|Wizard=2	COMPS:V, S, Location	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One living creature	DURATION:Permanent	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Caster absorb health and sustenance from helpless subject.	SOURCEPAGE:BoVD						DESC:Location Component: An area under the effect of a desecrate or unhallow spell.			
Snare Astral Traveler				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=6|Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One astral creature	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Capture one astral creature and holds it motionless.	SOURCEPAGE:BoVD									
Song of Festering Death				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil	CLASSES:Bard=2	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature	DURATION:Concentration	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject takes 2d6 damage per round while caster concentrate.	SOURCEPAGE:BoVD									
Sorrow				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	CLASSES:Bard=1|Cleric=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject takes -3 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD						DESC:Material Component: A tear.	TEMPBONUS:ANYPC|COMBAT|TOHIT|-3|TYPE=Morale	TEMPBONUS:ANYPC|SAVE|ALL|-3|TYPE=Morale	TEMPBONUS:ANYPC|SKILL|ALL|-3|TYPE=Morale
Soul's Shackles				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Bard=5|Sorcerer=5|Wizard=5	COMPS:V, S, F, Location	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature	DURATION:Instantaneous	SAVEINFO:None; See text	SPELLRES:Yes	DESC:Imprisons soul of dead creture in talisman, from wich the caster can question it.	SOURCEPAGE:BoVD						DESC:Focus: The talisman that will be the receptacle for the soul. Location Component: An area under the effect of a desecrate or unhallow spell.			
Soul's Treasure Lost				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Fort negates (object)	SPELLRES:Yes	DESC:Disintegrates subject's most valuable object.	SOURCEPAGE:BoVD		COST:500				DESC:Material Component: A crushed ruby worth at least 500 gp.			
Spider Hand				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=1|Druid=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster's hand	DURATION:Concentration (up to 1 min/level)	SAVEINFO:None	SPELLRES:No	DESC:Caster's hand becomes a small monstrous spider.	SOURCEPAGE:BoVD									
Spider Legs				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Caster grows long spider legs that have a speed of 30-ft and move on vertical surfaces.	SOURCEPAGE:BoVD									
Spores of the Vrock				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Cleric=2	COMPS:V, S, M/DF	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:5-ft.-radius, centered on caster	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:All within 5-ft take 1d8 damage and 1d2 damage each round thereafter for 10 round.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: The feathers of an avian creature with an Intelligence score of at least 3 (a harpy, achaierai, or similar creature).			
Spread of Savagery				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil	CLASSES:Cleric=9	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Long	TARGETAREA:10-ft./level radius spread	DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creatures within 10-ft/level become hostile and savage.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: Three drops of brain fluid from a beast.			
Steal Life				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, Location	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living humanoid	DURATION:Concentration	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Caster drains 1 ability score point/round and becomes younger.	SOURCEPAGE:BoVD						DESC:Location Component: An area under the effect of a desecrate or unhallow spell.			
Stop Heart				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Assassin=4|Cleric=4|Sorcerer=5|Wizard=5	COMPS:S, Drug	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living humanoid or animal	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject drops to -8 hp immediately.	SOURCEPAGE:BoVD						DESC:Drug Component: Baccaran.			
Stunning Screech				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil|Sonic	CLASSES:Bard=3	COMPS:V, S, M, Drug	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:All creatures within range	DURATION:1 round	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:All within 30-ft are stunned for 1 round.	SOURCEPAGE:BoVD						DESC:Material Component: Feather of a large bird or a vrock. Drug Component:Mushroom powder.			
Stupor				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	CLASSES:Assassin=1|Cleric=1|Sorcerer=1|Wizard=1	COMPS:S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One helpless creature	DURATION:1 hour/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:One helpless subject is put in a state that allows him to be moved but take no other action.	SOURCEPAGE:BoVD						DESC:Material Component: A puffball mushroom.			
Suspend Disease				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=1|Druid=1|Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature	DURATION:24 hours	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Keeps disease from harming creature for 24 hours.	SOURCEPAGE:BoVD						DESC:Material Component: A drop of bile.			
Thousand Needles				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Cleric=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature	DURATION:1 min/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:Subject takes 2d6 damage and -4 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD						DESC:Material Component: A handful of needles, all of which have drawn blood.			
Tongue of Baalzebul				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Cleric=1	COMPS:V, S, M, Drug	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:Caster	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +2 bonus on Bluff , Diplomacy and Gather Information.	SOURCEPAGE:BoVD						DESC:Material Component: A tongue from any creature capable of speech. Drug Component: Mushroom powder.	TEMPBONUS:PC|SKILL|Bluff,Diplomacy,Gather Information|2|TYPE=Competence		
Tongue Serpents				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 hour/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Caster spits ount one Tiny viper/4 levels.	SOURCEPAGE:BoVD									
Tongue Tendrils				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Caster	DURATION:1 hour/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:Caster spits out tendrils that grapple.	SOURCEPAGE:BoVD						DESC:Material Component: A serpent's tongue.			
Touch of Juiblex				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Corrupt=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Subject turns to green slime in 4 rounds.	SOURCEPAGE:BoVD						DESC:Corruption Cost: 1d6 points of Strength damage.			
