SOURCELONG:Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																			
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page			
Alternate Form	CATEGORY:Special Ability	TYPE:LycanthropeRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A lycanthrope can shift into animal form as though using the polymorph spell on itself, though its gear is not affected, it does not regain hit points for changing form, and only the specific animal form indicated for the lycanthrope can be assumed. It does not assume the ability scores of the animal, but instead adds the animal's physical ability score modifiers to its own ability scores. A lycanthrope also can assume a bipedal hybrid form with prehensile hands and animalistic features.	KEY:Lycanthrope ~ Alternate Form																											SOURCEPAGE:MM1			
Lycanthrope Empathy	CATEGORY:Special Ability	TYPE:LycanthropeRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:In any form, lycanthropes can communicate and empathize with normal or dire animals of their animal form. This gives them a +4 racial bonus on checks when influencing the animal's attitude and allows the communication of simple concepts and (if the animal is friendly) commands, such as "friend", "foe", "flee", and "attack".	KEY:Lycanthrope ~ Lycanthrope Empathy																											SOURCEPAGE:MM1			
																																			
# Vampire Template																																			
Blood Drain	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A vampire can suck blood from a living victim with its fangs by making a successful grapple check. If it pins the foe, it drains blood, dealing 1d4 points of Constitution drain each round the pin is maintained. On each such successful attack, the vampire gains 5 temporary hit points.	KEY:Vampire ~ Blood Drain																											SOURCEPAGE:MM1			
Children of the Night	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Vampires command the lesser creatures of the world and once per day can call forth 1d6+1 rat swarms, 1d4+1 bat swarms, or a pack of 3d6 wolves as a standard action. (If the base creature is not terrestrial, this power might summon other creatures of similar power.) These creatures arrive in 2d6 rounds and serve the vampire for up to 1 hour.	KEY:Vampire ~ Children of the Night																											SOURCEPAGE:MM1			
Dominate	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A vampire can crush an opponent's will just by looking onto his or her eyes. This is similar to a gaze attack, except that the vampire must use a standard action, and those merely looking at it are not affected. Anyone the vampire targets must succeed on a Will save (DC %1) or fall instantly under the vampire's influence as though by a dominate person spell (caster level 12th). The ability has a range of 30 feet.	KEY:Vampire ~ Dominate				DEFINE:DominateDC|0					BONUS:VAR|DominateDC|VampireDC	BONUS:VAR|DominateDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Dominate)								ABILITY:Ability Focus|AUTOMATIC|Dominate									SOURCEPAGE:MM1			
Create Spawn	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A humanoid or monstrous humanoid slain by a vampire's energy drain rises as a vampire spawn (see the Vampire Spawn entry, page 253) 1d4 days after burial. If the vampire instead drains the victim's Constitution to 0 or lower, the victim returns as a spawn if it had 4 or less HD and as a vampire if it had 5 or more HD. In either case, the new vampire or spawn is under the command of the vampire that created it and remains enslaved until its master's destruction. At any given time a vampire may have enslaved spawn totaling no more than twice its own Hit Dice; any spawn it creates that would exceed this limit are created as free-willed vampires or vampire spawn. A vampire that is enslaved may create and enslave spawn of its own, so a master vampire can control a number of lesser vampires in this fashion. A vampire may voluntarily free an enslaved spawn in order to enslave a new spawn, but once freed, a vampire or vampire spawn cannot be enslaved again.	KEY:Vampire ~ Create Spawn																											SOURCEPAGE:MM1			
Energy Drain	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Living creatures hit by a vampire's slam attack (or any other natural weapon the vampire might possess) gain two negative levels. For each negative level bewtowed, the vampire gains 5 temporary hit points. A vampire can use its energy drain ability once per round.	KEY:Vampire ~ Energy Drain																											SOURCEPAGE:MM1			
Alternate Form	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A vampire can assume the shape of a bat, dire bat, wolf, or dire wolf as a standard action. This ability is similar to a polymorph spell cast by a 12th-level character, except that the vampire does not regain hit points for changing form and must choose from among the forms mentioned here. While in its alternate form, the vampire loses its natural slam attack and dominate ability, but it gains the natural weapons and extraordinary special attacks of its new form. It can remain in that form until it assumes another or until the next sunrise. (If the base creature is not terrestrial, this power might allow other forms).	KEY:Vampire ~ Alternate Form																											SOURCEPAGE:MM1			
Natural Weapons	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:A vampire's natural weapons are treated as magic weapons for the purpose of overcoming damage reduction.	KEY:Vampire ~ Natural Weapons																											SOURCEPAGE:MM1			
Fast Healing	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A vampire heals 5 points of damage each round so long as it has at least 1 hit point. If reduced to 0 hit points in combat, it automatically assumes gaseous form and attempts to escape. It must reach its coffin home within 2 hours or be utterly destroyed. (It can travel up to nine miles in 2 hours.) Any additional damage dealt to a vampire forced into gaseous form has no effect. Once at rest in its coffin, a vampire is helpless. It regains 1 hit point after 1 hour, then is no longer helpless and resumes healing at the rate of 5 hit points per round.	KEY:Vampire ~ Fast Healing																											SOURCEPAGE:MM1			
Gaseous Form	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As a standard action, a vampire can assume gaseous form at will as the spell (caster level 5th), but it can remain gaseous indefinitely and has a fly speed of 20 feet with perfect maneuverability.	KEY:Vampire ~ Gaseous Form																											SOURCEPAGE:MM1			
Spider Climb	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A vampire can climb sheer surfaces as though with a spider climb spell.	KEY:Vampire ~ Spider Climb																											SOURCEPAGE:MM1			
Turn Resistance	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A vampire has +4 turn resistance.	KEY:Vampire ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|4																		SOURCEPAGE:MM1			
Skills	CATEGORY:Special Ability	TYPE:VampireRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Vampires have a +8 racial bonus on Bluff, Hide, Listen, Move Silently, Search, Sense Motive, and Spot checks. Otherwise same as the base creature.	KEY:Vampire ~ Skills									BONUS:SKILL|Bluff,Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial																		SOURCEPAGE:MM1			
																																			
# Zombie Template
Single Actions Only	CATEGORY:Special Ability	TYPE:ZombieRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Zombies have poor reflexes and can perform only a single move action or attack action each round. A zombie can move up to its speed and attack in the same round, but only if it attempts a charge.	KEY:Zombie ~ Single Actions Only																											SOURCEPAGE:MM1			
