SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																														
Eye Rays	CATEGORY:Special Ability	TYPE:BeholderRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Each of a Veholder's small eyes can produce a magical ray once per round as a free action.	KEY:Beholder ~ Eye Rays																											SOURCEPAGE:MM																	
Flight	CATEGORY:Special Ability	TYPE:BeholderRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Beholder ~ Flight									BONUS:VAR|Maneuverability|4|TYPE=Racial																		SOURCEPAGE:MM																	
All-Around Vision	CATEGORY:Special Ability	TYPE:BeholderRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:can't be flanked.	KEY:Beholder ~ All-Around Vision									BONUS:SKILL|Spot,Search|4|TYPE=Racial																		SOURCEPAGE:MM																	
Antimagic Cone	CATEGORY:Special Ability	TYPE:TrueBeholderRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Beholder's central eye continually produces a 150-ft cone of antimagic.	KEY:Beholder ~ Antimagic Cone																											SOURCEPAGE:MM																	
Stunning Gaze	CATEGORY:Special Ability	TYPE:LesserBeholderRaceTrait.SpecialQuality.Supernatural.Gaze	VISIBLE:YES	DESC:Stun for 1 round, 30-feet radius. Will DC %1 negates.|DefaultDCCha	KEY:Beholder ~ Stunning Gaze																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Belker	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BelkerRaceTrait|Flight Maneuverability	AUTO:LANG|Auran										BONUS:VAR|Maneuverability|5|TYPE=Racial																																			
Smoke Claws	CATEGORY:Special Ability	TYPE:BelkerRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A belker in smoke form (see below) can engulf opponents by moving on top of them. It fills the air around one Medium or smaller opponent without provoking an attack of opportunity. The target must succeed on a DC %1 Fortitude save or inhale part of the creature. The save DC is Constitution-based. Smoke inside the victim solidifies into a claw and begins to rip at the surrounding organs, dealing 3d4 points of damage per round. An affected creature can attempt another Fortitude save each subsequent round to cough out the semivaporous menace.|SmokeClawsDC	KEY:Belker ~ Smoke Claws				DEFINE:SmokeClawsDC|0					BONUS:VAR|SmokeClawsDC|DefaultDCCon	BONUS:VAR|SmokeClawsDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Smoke Claws)								ABILITY:Ability Focus|AUTOMATIC|Smoke Claws									SOURCEPAGE:MM																	
Smoke Form	CATEGORY:Special Ability	TYPE:BelkerRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Most of the time a belker is more or less solid, but at will it can assume smoke form. It can switch forms once per round as a free action and can spend up to 20 rounds per day in smoke form. A belker in smoke form can fly at a speed of 50 feet (perfect). The ability is otherwise similar to a Gaseous Form spell (caster level 7th).	KEY:Belker ~ Smoke Form																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:BelkerRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Belkers have a +4 racial bonus on Move Silently checks.	KEY:Belker ~ Skills									BONUS:SKILL|Move Silently|4|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Blink Dog	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BlinkDogRaceTrait|Scent	AUTO:LANG|Blink Dog	ABILITY:FEAT|AUTOMATIC|Track																																												
Blink	CATEGORY:Special Ability	TYPE:BlinkDogRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A blink dog can use blink as the spell (caster level 8th), and can evoke or end the effect as a free action.	KEY:Blink Dog ~ Blink																											SOURCEPAGE:MM																	
Dimension Door	CATEGORY:Special Ability	TYPE:BlinkDogRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A blink dog can teleport, as dimension door (caster level 8th), once per round as a free action. The ability affects only the blink dog, which never appears within a solid object and can act immediately after teleporting.	KEY:Blink Dog ~ Dimension Door																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Bodak	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BodakRaceTrait	AUTO:LANG|Common																																													
Death Gaze	CATEGORY:Special Ability	TYPE:BodakRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Death, range 30 feet, Fortitude DC %1 negates. Humanoids who die from this attack are transformed into bodaks 24 hours later. The save DC is Charisma-based.|DeathGazeDC	KEY:Bodak ~ Death Gaze				DEFINE:DeathGazeDC|0					BONUS:VAR|DeathGazeDC|DefaultDCCha	BONUS:VAR|DeathGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Gaze)								ABILITY:Ability Focus|AUTOMATIC|Death Gaze									SOURCEPAGE:MM																	
Vulnerability To Sunlight	CATEGORY:Special Ability	TYPE:BodakRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Bodaks loathe sunlight, for its merest touch burns their impure flesh. Each round of exposure to the direct rays of the sun deals 1 point of damage to the creature.	KEY:Bodak ~ Vulnerability To Sunlight																		ABILITY:Special Ability|AUTOMATIC|Vulnerability To Sunlight									SOURCEPAGE:MM																	
																																																	
Bugbear	CATEGORY:Internal	TYPE:BugbearSubrace.BugbearBase			KEY:Bugbear																		TEMPLATE:Bugbear Base	ABILITY:Bugbear Race Trait|AUTOMATIC|Bugbear ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.BugbearSkills								SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:BugbearRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Bugbears have a +4 racial bonus on Move Silently checks.	KEY:Bugbear ~ Skills									BONUS:SKILL|Move Silently|4|TYPE=Racial																		SOURCEPAGE:MM																	
Bugbear Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:EXPORT	DESC:Bugbears have a +4 racial bonus on Move Silently checks.|PREABILITY:1,CATEGORY=Special Ability,Bugbear ~ Skills	KEY:Bugbear Racial Traits																											SOURCEPAGE:MM																	
Race Traits ~ Bugbear	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Bugbear Racial Traits	ABILITY:Bugbear Subrace|AUTOMATIC|Bugbear|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice																																													
																																																	
Race Traits ~ Bulette	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BuletteRaceTrait|Scent|Tremorsense																																														
Leap	CATEGORY:Special Ability	TYPE:BuletteRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A bulette can jump into the air during combat. This allows it to make four claw attacks instead of two, each with a +15 attack bonus, but it cannot bite.|LeapBaseAB	KEY:Bulette ~ Leap				DEFINE:LeapBaseAB|0					BONUS:VAR|LeapBaseAB|MagicalBeastLVL																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Carrion Crawler	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CarrionCrawlerRaceTrait|Scent	ABILITY:FEAT|AUTOMATIC|Alertness																																													
Paralysis	CATEGORY:Special Ability	TYPE:CarrionCrawlerRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Tentacle. Fort DC %1 or paralyzed for 2d4 rounds.|ParalysisDC	KEY:Carrion Crawler ~ Paralysis				DEFINE:ParalysisDC|0					BONUS:VAR|ParalysisDC|DefaultDCCon	BONUS:VAR|ParalysisDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralysis)								ABILITY:Ability Focus|AUTOMATIC|Paralysis									SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:CarrionCrawlerRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+8 racial bonus on Climb checks and can always choose to take 10 on Climb checks even if rushed od threatened.	KEY:Carrion Crawler ~ Skills									BONUS:SKILL|Climb|8|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Centaur	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait	AUTO:LANG|Sylvan|Elven										BONUS:VAR|RaceSizeIsLong|1																																			
																																																	
Race Traits ~ Chaos Beast	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ChaosBeastRaceTrait																																														
Natural Weapons	CATEGORY:Special Ability	TYPE:ChaosBeastRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A chaos beast's claw attacks, as well as any weapons it wields, are treated as chaotic-aligned for the purpose of overcoming damage reduction.	KEY:Chaos Beast ~ Natural Weapons																											SOURCEPAGE:MM																	
Corporeal Instability	CATEGORY:Special Ability	TYPE:ChaosBeastRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A blow from a chaos beast against a living creature can cause a terrible transformation. The creature must succeed on a DC %1 Fortitude save or become a spongy, amorphous mass. Unless the victim manages to control the effect (see below), its shape melts, flows, writhes, and boils. The save DC is Constitution-based. An affected creature is unable to hold or use any item. Clothing, armor, rings, and helmets become useless. Large items worn or carried-armor, backpacks, even shirts-hamper more than help, reducing the victim's Dexterity score by 4. Soft or misshapen feet and legs reduce speed to 10 feet or one-quarter normal, whichever is less. Searing pain courses along the nerves, so strong that the victim cannot act coherently. The victim cannot cast spells or use magic items, and it attacks blindly, unable to distinguish friend from foe (-4 penalty on attack rolls and a 50%% miss chance, regardless of the attack roll). Each round the victim spends in an amorphous state causes 1 point of Wisdom drain from mental shock. If the victim's Wisdom score falls to 0, it becomes a chaos beast. A victim can regain its own shape by taking a standard action to attempt a DC 15 Charisma check (this check DC does not vary for a chaos beast with different Hit Dice or ability scores). A success reestablishes the creature's normal form for 1 minute. On a failure, the victim can still repeat this check each round until successful. Corporeal instability is not a disease or a curse and so is hard to remove. A Shapechange or Stoneskin spell does not cure an afflicted creature but fixes its form for the duration of the spell. A Restoration or Greater Restoration spell removes the affliction (a separateRestoration is necessary to restore any drained points of Wisdom).|CorporealInstabilityDC	KEY:Chaos Beast ~ Corporeal Instability				DEFINE:CorporealInstabilityDC|0					BONUS:VAR|CorporealInstabilityDC|DefaultDCCon	BONUS:VAR|CorporealInstabilityDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Corporeal Instability)								ABILITY:Ability Focus|AUTOMATIC|Corporeal Instability									SOURCEPAGE:MM																	
Immunity To Transformation	CATEGORY:Special Ability	TYPE:ChaosBeastRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:No mortal magic can permanently affect or fix a chaos beast's form. Effects such as polymorphing or petrification force the creature into a new shape, but at the start of its next turn it immediately returns to its mutable form as a free action.	KEY:Chaos Beast ~ Immunity To Transformation																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Chimera	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ChimeraRaceTrait|Flight Maneuverability	AUTO:LANG|Draconic										BONUS:VAR|Maneuverability|2|TYPE=Racial	BONUS:ABILITYPOOL|Chimera Dragon Head|1																																		
Black	CATEGORY:Special Ability	TYPE:ChimeraDragonHead	VISIBLE:YES	DESC:Black Dragon Head	KEY:Chimera ~ Dragon Head ~ Black																		ABILITY:Special Ability|AUTOMATIC|Chimera ~ Breath Weapon ~ Black									SOURCEPAGE:MM																	
Blue	CATEGORY:Special Ability	TYPE:ChimeraDragonHead	VISIBLE:YES	DESC:Blue Dragon Head	KEY:Chimera ~ Dragon Head ~ Blue																		ABILITY:Special Ability|AUTOMATIC|Chimera ~ Breath Weapon ~ Blue									SOURCEPAGE:MM																	
Green	CATEGORY:Special Ability	TYPE:ChimeraDragonHead	VISIBLE:YES	DESC:Green Dragon Head	KEY:Chimera ~ Dragon Head ~ Green																		ABILITY:Special Ability|AUTOMATIC|Chimera ~ Breath Weapon ~ Green									SOURCEPAGE:MM																	
Red	CATEGORY:Special Ability	TYPE:ChimeraDragonHead	VISIBLE:YES	DESC:Red Dragon Head	KEY:Chimera ~ Dragon Head ~ Red																		ABILITY:Special Ability|AUTOMATIC|Chimera ~ Breath Weapon ~ Red									SOURCEPAGE:MM																	
White	CATEGORY:Special Ability	TYPE:ChimeraDragonHead	VISIBLE:YES	DESC:White Dragon Head	KEY:Chimera ~ Dragon Head ~ White																		ABILITY:Special Ability|AUTOMATIC|Chimera ~ Breath Weapon ~ White									SOURCEPAGE:MM																	
Breath Weapon	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:%1' Line of Acid %2d%3 acid Ref DC %4 half|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Chimera ~ Breath Weapon ~ Black									BONUS:VAR|BreathWeaponLine|40	BONUS:VAR|BreathWeaponDice|3	BONUS:VAR|BreathWeaponDamageDie|8	BONUS:VAR|BreathWeaponDC|DefaultDCCon															SOURCEPAGE:MM																	
Breath Weapon	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:%1' Line of Lightning %2d%3 electricity Ref DC %4 half|BreathWeaponLine|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Chimera ~ Breath Weapon ~ Blue									BONUS:VAR|BreathWeaponLine|40	BONUS:VAR|BreathWeaponDice|3	BONUS:VAR|BreathWeaponDamageDie|8	BONUS:VAR|BreathWeaponDC|DefaultDCCon															SOURCEPAGE:MM																	
Breath Weapon	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:%1' Cone of Gas %2d%3 acid Ref DC %4 half|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Chimera ~ Breath Weapon ~ Green									BONUS:VAR|BreathWeaponCone|20	BONUS:VAR|BreathWeaponDice|3	BONUS:VAR|BreathWeaponDamageDie|8	BONUS:VAR|BreathWeaponDC|DefaultDCCon															SOURCEPAGE:MM																	
Breath Weapon	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:%1' Cone of Fire %2d%3 fire Ref DC %4 half|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Chimera ~ Breath Weapon ~ Red									BONUS:VAR|BreathWeaponCone|20	BONUS:VAR|BreathWeaponDice|3	BONUS:VAR|BreathWeaponDamageDie|8	BONUS:VAR|BreathWeaponDC|DefaultDCCon															SOURCEPAGE:MM																	
Breath Weapon	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:%1' Cone of Cold %2d%3 cold Ref DC %4 half|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Chimera ~ Breath Weapon ~ White									BONUS:VAR|BreathWeaponCone|20	BONUS:VAR|BreathWeaponDice|3	BONUS:VAR|BreathWeaponDamageDie|8	BONUS:VAR|BreathWeaponDC|DefaultDCCon															SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:ChimeraRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A chimera's three heads give it a +2 racial bonus on Spot and Listen checks. *In areas of scrubland or brush, a chimera gains a +4 racial bonus on Hide checks.	KEY:Chimera ~ Skills									BONUS:SKILL|Listen,Spot|2|TYPE=Racial	BONUS:SITUATION|Hide=Brush area|4|TYPE=Racial	BONUS:SITUATION|Hide=Scrubland area|4|TYPE=Racial																SOURCEPAGE:MM																	
																																																	
Race Traits ~ Choker	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ChokerRaceTrait	AUTO:LANG|Undercommon	ABILITY:FEAT|AUTOMATIC|Improved Initiative																																												
Constrict	CATEGORY:Special Ability	TYPE:ChokerRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A choker deals 1d3+3 points of damage with a successful grapple check against a Large or smaller creature. Because it seizes its victim by the neck, a creature in the choker's grasp cannot speak or cast spells with verbal components.	KEY:Choker ~ Constrict																											SOURCEPAGE:MM																	
Improved Grab	CATEGORY:Special Ability	TYPE:ChokerRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, a choker must hit a Large or smaller opponent with a tentacle attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and can constrict. Chokers receive a +4 racial bonus on grapple checks, which is already included in the statistics block.	KEY:Choker ~ Improved Grab									BONUS:COMBAT|TOHIT.GRAPPLE|4|TYPE=Racial																		SOURCEPAGE:MM																	
Quickness	CATEGORY:Special Ability	TYPE:ChokerRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Although not particularly dexterous, a choker is supernaturally quick. It can take an extra standard action or move action during its turn each round.	KEY:Choker ~ Quickness																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:ChokerRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A chokers has a +8 racial bonus on Climb checks and can always choose to take 10 on Climb checks, even if rushed or threatened.	KEY:Choker ~ Skills									BONUS:SKILL|Climb|8|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Chuul	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ChuulRaceTrait	AUTO:LANG|Common																																													
Constrict	CATEGORY:Special Ability	TYPE:ChuulRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:On a successful grapple check, a chuul deals 3d6+5 points of damage.	KEY:Chuul ~ Constrict																											SOURCEPAGE:MM																	
Improved Grab	CATEGORY:Special Ability	TYPE:ChuulRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, a chuul must hit with a claw attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and can constrict or on its next turn transfer a grabbed opponent to its tentacles.	KEY:Chuul ~ Improved Grab																											SOURCEPAGE:MM																	
Paralytic Tentacles	CATEGORY:Special Ability	TYPE:ChuulRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A chuul can transfer grabbed victims from a claw to its tentacles as a move action. The tentacles grapple with the same strength as the claw but deal no damage. However, they exude a paralytic secretion. Anyone held in the tentacles must succeed on a DC %1 Fortitude save each round on the chuul's turn or be paralyzed for 6 rounds. The save DC is Constitution-based. While held in the tentacles, paralyzed or not, a victim automatically takes 1d8+2 points of damage each round from the creature's mandibles.|ParalyticTentaclesDC	KEY:Chuul ~ Paralytic Tentacles				DEFINE:ParalyticTentaclesDC|0					BONUS:VAR|ParalyticTentaclesDC|DefaultDCCon	BONUS:VAR|ParalyticTentaclesDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralytic Tentacles)								ABILITY:Ability Focus|AUTOMATIC|Paralytic Tentacles									SOURCEPAGE:MM																	
Amphibious	CATEGORY:Special Ability	TYPE:ChuulRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although chuuls are aquatic, they can survive indefinitely on land.	KEY:Chuul ~ Amphibious																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:ChuulRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A chuul has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Chuul ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid hazard|8|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Cloaker	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CloakerRaceTrait|Flight Maneuverability	AUTO:LANG|Undercommon										BONUS:VAR|Maneuverability|3|TYPE=Racial																																			
Moan	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A cloaker can emit a dangerous subsonic moan as a standard action. By changing the frequency, the cloaker can cause one of four effects. Cloakers are immune to these sonic, mindaffecting attacks. Unless otherwise specified, a creature that successfully saves against one of these effects cannot be affected by the same moan effect from the same cloaker for 24 hours. All save DCs for moan effects are Charisma-based.	KEY:Cloaker ~ Moan				DEFINE:MoanDC|0					BONUS:VAR|MoanDC|DefaultDCCha	BONUS:VAR|MoanDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Moan)								ABILITY:Ability Focus|AUTOMATIC|Moan									SOURCEPAGE:MM																	
Unnerve	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialAttack	VISIBLE:YES	DESC:Anyone within a 60-foot spread automatically takes a -2 penalty on attack and damage rolls. Those forced to hear the moan for more than 6 consecutive rounds must succeed on a DC %1 Will save or enter a trance, unable to attack or defend themselves until the moaning stops.|MoanDC	KEY:Cloaker ~ Moan ~ Unnerve																											SOURCEPAGE:MM																	
Fear	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialAttack	VISIBLE:YES	DESC:Anyone within a 30-foot spread must succeed on a DC 15 Will save or become panicked for 2 rounds.	KEY:Cloaker ~ Moan ~ Fear																											SOURCEPAGE:MM																	
Nausea	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialAttack	VISIBLE:YES	DESC:Anyone in a 30-foot cone must succeed on a DC %1 Fortitude save or be overcome by nausea and weakness. Affected characters fall prone and become nauseated for 1d4+1 Rounds.|MoanDC	KEY:Cloaker ~ Moan ~ Nausea																											SOURCEPAGE:MM																	
Stupor	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A single creature within 30 feet of the cloaker must succeed on a DC %1 Fortitude save or be affected as though by aHold Monster spell for 5 rounds. Even after a successful save, the creature must repeat the save if the cloaker uses this effect again.|MoanDC	KEY:Cloaker ~ Moan ~ Stupor																											SOURCEPAGE:MM																	
Engulf	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A cloaker can try to wrap a Medium or smaller creature in its body as a standard action. The cloaker attempts a grapple that does not provoke an attack of opportunity. If it wins the grapple check, it establishes a hold and bites the engulfed victim with a +4 bonus on its attack roll. It can still use its whiplike tail to strike at other targets. Attacks that hit an engulfing cloaker deal half their damage to the monster and half to the trapped victim.	KEY:Cloaker ~ Engulf																											SOURCEPAGE:MM																	
Shadow Shift	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A cloaker can manipulate shadows. This ability is effective only in shadowy areas and has three possible effects.	KEY:Cloaker ~ Shadow Shift																											SOURCEPAGE:MM																	
Obscure Vision	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialQuality	VISIBLE:YES	DESC:The cloaker gains concealment (20%% miss chance) for 1d4 rounds.	KEY:Cloaker ~ Shadow Shift ~ Obscure Vision																											SOURCEPAGE:MM																	
Dancing Light	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialQuality	VISIBLE:YES	DESC:This effect duplicates a Mirror Image spell (caster level 6th).	KEY:Cloaker ~ Shadow Shift ~ Dancing Light																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Mirror Image									SOURCEPAGE:MM																	
Silent Image	CATEGORY:Special Ability	TYPE:CloakerRaceTrait.SpecialQuality	VISIBLE:YES	DESC:This effect duplicates a Silent Image spell (DC 15, caster level 6th). The save DC is Charisma-based.	KEY:Cloaker ~ Shadow Shift ~ Silent Image																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Silent Image,DefaultDCCha									SOURCEPAGE:MM																	
																																																	
Race Traits ~ Cocktatrice	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CocktatriceRaceTrait|Flight Maneuverability		ABILITY:FEAT|AUTOMATIC|Weapon Finesse									BONUS:VAR|Maneuverability|4|TYPE=Racial																																			
Petrification	CATEGORY:Special Ability	TYPE:CocktatriceRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Creatures hit by a cockatrice's bite attack must succeed on a DC %1 Fortitude save or instantly turn to stone. The save DC is Constitution-based. Cockatrices have immunity to the petrification ability of other cockatrices, but other petrification attacks affect them normally (a medusa's gaze, gorgon's breath, a Flesh To Stone spell, or the like).|PetrificationDC	KEY:Cocktatrice ~ Petrification				DEFINE:PetrificationDC|0					BONUS:VAR|PetrificationDC|DefaultDCCon	BONUS:VAR|PetrificationDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Petrification)								ABILITY:Ability Focus|AUTOMATIC|Petrification									SOURCEPAGE:MM																	
																																																	
Race Traits ~ Couatl	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=CouatlRaceTrait|Flight Maneuverability	AUTO:LANG|Celestial|Common|Draconic	ABILITY:FEAT|AUTOMATIC|Eschew Materials									BONUS:VAR|Maneuverability|4|TYPE=Racial																																			
Constrict	CATEGORY:Special Ability	TYPE:CouatlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A couatl deals 2d8+6 points of damage with a successful grapple check.	KEY:Couatl ~ Constrict																											SOURCEPAGE:MM																	
Improved Grab	CATEGORY:Special Ability	TYPE:CouatlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, a couatl must hit a creature of up to two size categories larger with its bite attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and can constrict.	KEY:Couatl ~ Improved Grab																											SOURCEPAGE:MM																	
Poison	CATEGORY:Special Ability	TYPE:CouatlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 2d4 STR, secondary damage 4d4 Str.|PoisonDC	KEY:Couatl ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM																	
Psionics	CATEGORY:Special Ability	TYPE:CouatlRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Couatl ~ Psionics																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Detect Chaos|Detect Evil|Detect Good|Detect Law|Detect Thoughts,12+CHA|Invisibility|Plane Shift,17+CHA|Polymorph (Self Only)									SOURCEPAGE:MM																	
Spells	CATEGORY:Special Ability	TYPE:CouatlRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A couatl casts spells as a 9th-level sorcerer. It can choose its spells known from the sorcerer list, the cleric list, and from the lists for the Air, Good, and Law domains. The cleric spells and domain spells are considered arcane spells for a couatl, meaning that the creature does not need a divine focus to cast them.	KEY:Couatl ~ Spells																											SOURCEPAGE:MM																	
Ethereal Jaunt	CATEGORY:Special Ability	TYPE:CouatlRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This ability works like the Ethereal Jaunt spell (caster level 16th).	KEY:Couatl ~ Ethereal Jaunt																											SOURCEPAGE:MM																	
Telepathy	CATEGORY:Special Ability	TYPE:CouatlRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A couatl can communicate telepathically with any creature within %1 feet that has an Intelligence score. The creature can respond to the couatl if it wishes-no common language is needed.|TelepathyRange	KEY:Couatl ~ Telepathy				DEFINE:TelepathyRange|0					BONUS:VAR|TelepathyRange|90									ABILITY:Special Ability|VIRTUAL|Telepathy									SOURCEPAGE:MM																	
																																																	
