SOURCELONG:Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																															
Half-Celestial	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	PRESTAT:1,INT=4	PREALIGN:LG,NG,CG,LN,TN,CN	RACETYPE:Outsider	RACESUBTYPE:Native	MOVECLONE:Walk,Fly,*2	ABILITY:Special Ability|AUTOMATIC|Half-Celestial ~ Feathered Wings|Half-Celestial ~ Daylight|Half-Celestial ~ Smite Evil|Half-Celestial ~ Spell-Like Abilities|Immunity To Disease|Resistance to Acid|Resistance to Cold|Resistance to Electricity|Half-Celestial ~ Natural Weapons|Resistance To Poison	BONUS:VAR|Maneuverability|4|TYPE=Base	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus|10|TYPE=Resistance	DR:5/Magic|PREHD:MAX=11	DR:10/Magic|PREHD:MIN=12	DEFINE:HalfCelestialSR|0	BONUS:VAR|HalfCelestialSR|min(HD+10,35)	SR:HalfCelestialSR	BONUS:VAR|PoisonResistanceBonus|4|TYPE=Resistance	BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	BONUS:MISC|CR|1	BONUS:MISC|CR|1|PREHD:MIN=6	BONUS:MISC|CR|1|PREHD:MIN=11	KIT:1|LG|NG|CG	LEVELADJUSTMENT:4	TEMPLATE:CHOOSE:Bite ~ Claw (Fine)|Bite ~ Claw (Diminutive)|Bite ~ Claw (Tiny)|Bite ~ Claw (Small)|Bite ~ Claw (Medium)|Bite ~ Claw (Large)|Bite ~ Claw (Huge)|Bite ~ Claw (Gargantuan)|Bite ~ Claw (Colossal)		
Half-Dragon (Black)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|CE	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Black ~ Breath Weapon|Immunity To Acid																											
Half-Dragon (Blue)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|LE	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Blue ~ Breath Weapon|Immunity To Electricity																											
Half-Dragon (Green)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|LE	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Green ~ Breath Weapon|Immunity To Acid																											
Half-Dragon (Red)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|CE	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Red ~ Breath Weapon|Immunity To Fire																											
Half-Dragon (White)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|CE	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ White ~ Breath Weapon|Immunity To Cold																											
Half-Dragon (Brass)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|CG	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Brass ~ Breath Weapon|Immunity To Fire																											
Half-Dragon (Bronze)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|LG	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Bronze ~ Breath Weapon|Immunity To Electricity																											
Half-Dragon (Copper)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|CG	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Copper ~ Breath Weapon|Immunity To Acid																											
Half-Dragon (Gold)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|LG	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Gold ~ Breath Weapon|Immunity To Fire																											
Half-Dragon (Silver)	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	TEMPLATE:Half-Dragon	KIT:1|LG	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Silver ~ Breath Weapon|Immunity To Cold																											
Half-Dragon	VISIBLE:NO	RACETYPE:Dragon	HITDIE:%up1|CLASS.TYPE=Monster	TEMPLATE:CHOOSE:Half Dragon Wings ~ Normal|Half Dragon Wings ~ Fast	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK	TEMPLATE:CHOOSE:Bite ~ Claw (Fine)|Bite ~ Claw (Diminutive)|Bite ~ Claw (Tiny)|Bite ~ Claw (Small)|Bite ~ Claw (Medium)|Bite ~ Claw (Large)|Bite ~ Claw (Huge)|Bite ~ Claw (Gargantuan)|Bite ~ Claw (Colossal)	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep|Immunity To Paralysis	BONUS:STAT|STR|8	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|CHA|2	BONUS:MONSKILLPTS|LOCKNUMBER|6	CR:2	LEVELADJUSTMENT:3																		
Half Dragon Wings ~ Normal	VISIBLE:NO	!PREMOVE:1,Walk=60	PRESIZEGTEQ:L	BONUS:VAR|Maneuverability|3|TYPE=Base	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Wings	MOVECLONE:Walk,Fly,*2																												
Half Dragon Wings ~ Fast	VISIBLE:NO	PREMOVE:1,Walk=60	PRESIZEGTEQ:L	BONUS:VAR|Maneuverability|3|TYPE=Base	ABILITY:Special Ability|AUTOMATIC|Half-Dragon ~ Wings	MOVE:Fly,120																												
Half-Fiend	TYPE:Inherited	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead,RACETYPE=Construct	!PRERACE:1,RACESUBTYPE=Incorporeal	PRESTAT:1,INT=4	PREALIGN:LE,NE,CE,LN,TN,CN	RACETYPE:Outsider	RACESUBTYPE:Native	MOVECLONE:Walk,Fly,*1	ABILITY:Special Ability|AUTOMATIC|Half-Fiend ~ Bat Wings|Half-Fiend ~ Smite Good|Immunity To Poison|Resistance to Acid|Resistance To Cold|Resistance to Electricity|Resistance to Fire|Half-Fiend ~ Natural Weapons	BONUS:VAR|Maneuverability|3|TYPE=Base	BONUS:COMBAT|AC|1|TYPE=NaturalArmor.STACK	TEMPLATE:CHOOSE:Bite ~ Claw (Fine)|Bite ~ Claw (Diminutive)|Bite ~ Claw (Tiny)|Bite ~ Claw (Small)|Bite ~ Claw (Medium)|Bite ~ Claw (Large)|Bite ~ Claw (Huge)|Bite ~ Claw (Gargantuan)|Bite ~ Claw (Colossal)	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus|10|TYPE=Resistance	DR:5/Magic|PREHD:MAX=11	DR:10/Magic|PREHD:MIN=12	DEFINE:HalfFiendSR|0	BONUS:VAR|HalfFiendSR|min(HD+10,35)	SR:HalfFiendSR	BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|CHA|2	BONUS:MISC|CR|1	BONUS:MISC|CR|1|PREHD:MIN=5	BONUS:MISC|CR|1|PREHD:MIN=11	KIT:1|LE|NE|CE	LEVELADJUSTMENT:4				
Lich	TYPE:Acquired	VISIBLE:YES	PRERACE:1,RACETYPE=Humanoid	RACETYPE:Undead	HITDIE:12|CLASS.TYPE=Monster	BONUS:COMBAT|AC|5|TYPE=NaturalArmor	NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee,*1,0,SPROP=+1d8 Negative Energy Damage	DEFINE:LichDC|0	BONUS:VAR|LichDC|DefaultDCCha	ABILITY:Special Ability|AUTOMATIC|Lich ~ Fear Aura|Lich ~ Paralyzing Touch|Lich ~ Turn Resistance|Lich ~ Natural Weapons|Immunity To Cold|Immunity To Electricity|Immunity To Polymorph|Immunity To Mind-Affecting|Lich ~ Skills	DR:15/Bludgeoning and Magic	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	CR:2	BONUS:VAR|AdvancementByClass|1	LEVELADJUSTMENT:4																	
# Natural Lycanthrope	VISIBLE:YES	TYPE:Inherited	TEMPLATE:Lycanthrope	!PRETEMPLATE:1,Afflicted Lycanthrope	LEVELADJUSTMENT:3																													
# Afflicted Lycanthrope	VISIBLE:YES	TYPE:Acquired	TEMPLATE:Lycanthrope	!PRETEMPLATE:1,Natural Lycanthrope	LEVELADJUSTMENT:2																													
# Lycanthrope	VISIBLE:NO	PRERACE:1,RACETYPE=Giant,RACETYPE=Humanoid	RACESUBTYPE:Shapechange	TEMPLATE:CHOOSE:Lycanthrope ~ Bear|Lycanthrope ~ Boar|Lycanthrope ~ Rat|Lycanthrope ~ Tiger|Lycanthrope ~ Wolf|Lycanthrope ~ Dire Wolf|Lycanthrope ~ Dire Boar	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:HP|CURRENTMAX|(AnimalCon/2)*AnimalHD|!PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)	BONUS:STAT|WIS|2	BONUS:VAR|HasLowLightVision|1	ABILITY:Special Ability|AUTOMATIC|Lycanthrope ~ Alternate Form|Lycanthrope ~ Lycanthrope Empathy|Scent	BONUS:VAR|AdvancementByClass|1	ABILITY:FEAT|AUTOMATIC|Iron Will	DEFINE:NoTypeTraits|0	BONUS:VAR|NoTypeTraits|1	DEFINE:AnimalSize|0	DEFINE:AnimalHD|0	DEFINE:AnimalMove|0	DEFINE:AnimalAC|0	DEFINE:AnimalStr|0	DEFINE:AnimalDex|0	DEFINE:AnimalCon|0														
Lycanthrope	VISIBLE:YES	PRERACE:1,RACETYPE=Giant,RACETYPE=Humanoid	RACESUBTYPE:Shapechange		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK	BONUS:HP|CURRENTMAX|(AnimalCon/2)*AnimalHD|!PRETEMPLATE:1,Lycanthrope (Animal Form),Lycanthrope (Hybrid Form)	BONUS:STAT|WIS|2	BONUS:VAR|HasLowLightVision|1	ABILITY:Special Ability|AUTOMATIC|Lycanthrope ~ Alternate Form|Lycanthrope ~ Lycanthrope Empathy|Scent	BONUS:VAR|AdvancementByClass|1	ABILITY:FEAT|AUTOMATIC|Iron Will	DEFINE:NoTypeTraits|0	BONUS:VAR|NoTypeTraits|1	DEFINE:AnimalSize|0	DEFINE:AnimalHD|0	DEFINE:AnimalMove|0	DEFINE:AnimalAC|0	DEFINE:AnimalStr|0	DEFINE:AnimalDex|0	DEFINE:AnimalCon|0		BONUS:ABILITYPOOL|Lycanthrope Kind|1	BONUS:ABILITYPOOL|Lycanthrope Type|1											
Natural Lycanthrope	VISIBLE:NO	LEVELADJUSTMENT:3																																
Afflicted Lycanthrope	VISIBLE:NO	LEVELADJUSTMENT:2																																
Lycanthrope Bear	VISIBLE:NO	ADDLEVEL:Animal|6																																
Lycanthrope Boar	VISIBLE:NO	ADDLEVEL:Animal|3																																
Lycanthrope Rat	VISIBLE:NO	ADDLEVEL:Animal (Will)|1																																
Lycanthrope Tiger	VISIBLE:NO	ADDLEVEL:Animal|6																																
Lycanthrope Wolf	VISIBLE:NO	ADDLEVEL:Animal|2																																
Lycanthrope Dire Wolf	VISIBLE:NO	ADDLEVEL:Animal (Dire)|6																																
Lycanthrope Dire Boar	VISIBLE:NO	ADDLEVEL:Animal (Dire)|7																																
###TODO:Skeleton: How do I remove the base creature feats- And all skills- Subtype-																																		
Skeleton	TYPE:Acquired	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead	PRETEXT:Must have a skeletal system.	PREHD:MAX=20	RACETYPE:Undead	HITDIE:12	BONUS:COMBAT|AC|1|TYPE=NaturalArmor|PRESIZEEQ:S	BONUS:COMBAT|AC|2|TYPE=NaturalArmor|PRESIZEEQ:M	BONUS:COMBAT|AC|2|TYPE=NaturalArmor|PRESIZEEQ:L	BONUS:COMBAT|AC|3|TYPE=NaturalArmor|PRESIZEEQ:H	BONUS:COMBAT|AC|6|TYPE=NaturalArmor|PRESIZEEQ:G	BONUS:COMBAT|AC|10|TYPE=NaturalArmor|PRESIZEEQ:C	TEMPLATE:CHOOSE:Claw (Fine)|Claw (Diminutive)|Claw (Tiny)|Claw (Small)|Claw (Medium)|Claw (Large)|Claw (Huge)|Claw (Gargantuan)|Claw (Colossal)	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold	DR:5/Bludgeoning	BONUS:SAVE|BASE.Fortitude|HD/3	BONUS:SAVE|BASE.Reflex|HD/3	BONUS:SAVE|BASE.Will|HD/2+2	BONUS:STAT|DEX|2	DEFINESTAT:NONSTAT|CON	DEFINESTAT:NONSTAT|INT	DEFINESTAT:LOCK|WIS|10	DEFINESTAT:LOCK|CHA|1	ABILITY:FEAT|AUTOMATIC|Improved Initiative	BONUS:MISC|CR|1|PREHD:MIN=2	BONUS:MISC|CR|1|PREHD:MIN=4	BONUS:MISC|CR|1|PREHD:MIN=6	BONUS:MISC|CR|1|PREHD:MIN=8	BONUS:MISC|CR|1|PREHD:MIN=10	BONUS:MISC|CR|1|PREHD:MIN=12	BONUS:MISC|CR|1|PREHD:MIN=15	BONUS:MISC|CR|1|PREHD:MIN=18	KIT:1|NE
Vampire	TYPE:Acquired	VISIBLE:YES	PRERACE:1,RACETYPE=Humanoid,RACETYPE=Monstrous Humanoid	RACETYPE:Undead	HITDIE:12	BONUS:COMBAT|AC|6|TYPE=NaturalArmor.STACK	TEMPLATE:CHOOSE:Slam (Fine)|Slam (Diminutive)|Slam (Tiny)|Slam (Small)|Slam (Medium)|Slam (Large)|Slam (Huge)|Slam (Gargantuan)|Slam (Colossal)	DEFINE:VampireDC|0	BONUS:VAR|VampireDC|DefaultDCCha	ABILITY:Special Ability|AUTOMATIC|Vampire ~ Blood Drain|Vampire ~ Children of the Night|Vampire ~ Dominate|Vampire ~ Create Spawn|Vampire ~ Energy Drain|Vampire ~ Alternate Form|Vampire ~ Natural Weapons|Vampire ~ Gaseous Form|Resistance to Cold|Resistance to Electricity|Vampire ~ Spider Climb|Vampire ~ Turn Resistance|Vampire ~ Skills	DR:10/Silver and Magic	BONUS:VAR|FastHealing|5	BONUS:VAR|ColdResistanceBonus|10|TYPE=Resistance	BONUS:VAR|ElectricityResistanceBonus|10|TYPE=Resistance	BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	ABILITY:FEAT|AUTOMATIC|Alertness|Combat Reflexes|Dodge|Improved Initiative|Lightning Reflexes	CR:2	KIT:1|LE|NE|CE	LEVELADJUSTMENT:8	BONUS:VAR|AdvancementByClass|1										
###TODO:Zombie: How do I drop all the class level hit dice, take the racial hitdice and recalculate using d12s-																																		
Zombie	TYPE:Acquired	VISIBLE:YES	!PRERACE:1,RACETYPE=Undead	!PRERACE:1,RACESUBTYPE=Incorporeal	RACETYPE:Undead	PREHD:MAX=10	HITDIE:12	BONUS:VAR|Maneuverability|-5|PREMOVE:1,Fly=1	BONUS:COMBAT|AC|1|TYPE=NaturalArmor|PRESIZEEQ:S	BONUS:COMBAT|AC|2|TYPE=NaturalArmor|PRESIZEEQ:M	BONUS:COMBAT|AC|3|TYPE=NaturalArmor|PRESIZEEQ:L	BONUS:COMBAT|AC|4|TYPE=NaturalArmor|PRESIZEEQ:H	BONUS:COMBAT|AC|7|TYPE=NaturalArmor|PRESIZEEQ:G	BONUS:COMBAT|AC|11|TYPE=NaturalArmor|PRESIZEEQ:C	TEMPLATE:CHOOSE:Slam (Fine)|Slam (Diminutive)|Slam (Tiny)|Slam (Small)|Slam (Medium)|Slam (Large)|Slam (Huge)|Slam (Gargantuan)|Slam (Colossal)	ABILITY:Special Ability|AUTOMATIC|Zombie ~ Single Actions Only	BONUS:STAT|STR|2	BONUS:STAT|DEX|-2	DEFINESTAT:LOCK|WIS|10	DEFINESTAT:LOCK|CHA|1	BONUS:SAVE|BASE.Fortitude|HD/3	BONUS:SAVE|BASE.Reflex|HD/3	BONUS:SAVE|BASE.Will|HD/2+2	ABILITY:FEAT|AUTOMATIC|Toughness	BONUS:MISC|CR|1|PREHD:MIN=4	BONUS:MISC|CR|1|PREHD:MIN=6	BONUS:MISC|CR|1|PREHD:MIN=8	BONUS:MISC|CR|1|PREHD:MIN=11	BONUS:MISC|CR|1|PREHD:MIN=15	BONUS:MISC|CR|1|PREHD:MIN=18	KIT:1|NE			
																																		
#other																																		
Sane	VISIBLE:YES	PRERACE:1,Derro	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-6	LEVELADJUSTMENT:2																													
Lycanthrope (Animal Form)	VISIBLE:YES	PRETEMPLATE:1,Lycanthrope	ABILITY:Special Ability|AUTOMATIC|Lycanthrope ~ Curse of Lycanthropy|PRETEMPLATE:1,Natural Lycanthrope	SIZE:AnimalSize	LEGS:4	HANDS:0	DEFINE:LycanthropeDR|0	BONUS:VAR|LycanthropeDR|10|PRETEMPLATE:1,Natural Lycanthrope	BONUS:VAR|LycanthropeDR|5|PRETEMPLATE:1,Afflicted Lycanthrope	DR:LycanthropeDR/Silver	TEMPLATE:CHOOSE:TYPE=Lycanthrope Attacks	BONUS:COMBAT|AC|AnimalAC|TYPE=NaturalArmor	BONUS:HP|CURRENTMAX|-((AnimalCon/2)*(TL-AnimalHD))	BONUS:SLOTS|WEAPON|-2	BONUS:SLOTS|ARMOR|-1	BONUS:STAT|STR|AnimalStr	BONUS:STAT|DEX|AnimalDex	BONUS:STAT|CON|AnimalCon																		
Lycanthrope (Hybrid Form)	VISIBLE:YES	PRETEMPLATE:1,Lycanthrope	ABILITY:Special Ability|AUTOMATIC|Lycanthrope ~ Curse of Lycanthropy|PRETEMPLATE:1,Natural Lycanthrope	SIZE:max(AnimalSize,var("RACESIZE"))	DR:10/silver|PRETEMPLATE:1,Natural Lycanthrope	DR:5/silver|PRETEMPLATE:1,Afflicted Lycanthrope	TEMPLATE:CHOOSE:TYPE=Lycanthrope Hybrid Attacks	BONUS:COMBAT|AC|AnimalAC|TYPE=NaturalArmor	BONUS:HP|CURRENTMAX|-((AnimalCon/2)*(TL-AnimalHD))	BONUS:STAT|STR|AnimalStr	BONUS:STAT|DEX|AnimalDex	BONUS:STAT|CON|AnimalCon																						
																																		
Werebear Attacks	TYPE:Lycanthrope Attacks	VISIBLE:NO	PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Bear	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6																														
Wereboar Attacks	TYPE:Lycanthrope Attacks	VISIBLE:NO	PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Boar	NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8	BONUS:WEAPONPROF=Gore|DAMAGE|STR/2																													
Wererat Attacks	TYPE:Lycanthrope Attacks	VISIBLE:NO	PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Rat	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4	BONUS:WEAPONPROF=Bite|DAMAGE|STR/2																													
Weretiger Attacks	TYPE:Lycanthrope Attacks	VISIBLE:NO	PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Tiger	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8																														
Werewolf Attacks	TYPE:Lycanthrope Attacks	VISIBLE:NO	PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Wolf	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6	BONUS:WEAPONPROF=Bite|DAMAGE|STR/2																													
Dire Werewolf Attacks	TYPE:Lycanthrope Attacks	VISIBLE:NO	PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Dire Wolf	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8	BONUS:WEAPONPROF=Bite|DAMAGE|STR/2																													
Dire Wereboar Attacks	TYPE:Lycanthrope Attacks	VISIBLE:NO	PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Dire Boar	NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8	BONUS:WEAPONPROF=Gore|DAMAGE|STR/2																													
Hybrid Attacks (Small)	TYPE:Lycanthrope Hybrid Attacks	VISIBLE:NO	PRESIZEEQ:S	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4																														
Hybrid Attacks (Medium)	TYPE:Lycanthrope Hybrid Attacks	VISIBLE:NO	PREMULT:2,[PRESIZEEQ:M],[!PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Boar]	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6																														
Hybrid Attacks (Medium~Wereboar)	TYPE:Lycanthrope Hybrid Attacks	VISIBLE:NO	PREMULT:2,[PRESIZEEQ:M],[PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Boar]	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4|Gore,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6																														
Hybrid Attacks (Large)	TYPE:Lycanthrope Hybrid Attacks	VISIBLE:NO	PREMULT:2,[PRESIZEEQ:L],[!PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Boar]	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8																														
Hybrid Attacks (Large~Dire Wereboar)	TYPE:Lycanthrope Hybrid Attacks	VISIBLE:NO	PREMULT:2,[PRESIZEEQ:L],[PREABILITY:1,CATEGORY=Internal,Lycanthrope ~ Boar]	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Gore,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8																														
Hybrid Attacks (Huge)	TYPE:Lycanthrope Hybrid Attacks	VISIBLE:NO	PRESIZEEQ:H	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6																														
																																		
Bite ~ Claw (Fine)	VISIBLE:NO	PRESIZEEQ:F	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1																															
Bite ~ Claw (Diminutive)	VISIBLE:NO	PRESIZEEQ:D	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d2																															
Bite ~ Claw (Tiny)	VISIBLE:NO	PRESIZEEQ:T	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d2|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3																															
Bite ~ Claw (Small)	VISIBLE:NO	PRESIZEEQ:S	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4																															
Bite ~ Claw (Medium)	VISIBLE:NO	PRESIZEEQ:M	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6																															
Bite ~ Claw (Large)	VISIBLE:NO	PRESIZEEQ:L	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8																															
Bite ~ Claw (Huge)	VISIBLE:NO	PRESIZEEQ:H	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6																															
Bite ~ Claw (Gargantuan)	VISIBLE:NO	PRESIZEEQ:G	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d6																															
Bite ~ Claw (Colossal)	VISIBLE:NO	PRESIZEEQ:C	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,3d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6																															
Claw (Fine)	VISIBLE:NO	PRESIZEEQ:F	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1																															
Claw (Diminutive)	VISIBLE:NO	PRESIZEEQ:D	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1																															
Claw (Tiny)	VISIBLE:NO	PRESIZEEQ:T	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d2																															
Claw (Small)	VISIBLE:NO	PRESIZEEQ:S	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3																															
Claw (Medium)	VISIBLE:NO	PRESIZEEQ:M	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4																															
Claw (Large)	VISIBLE:NO	PRESIZEEQ:L	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6																															
Claw (Huge)	VISIBLE:NO	PRESIZEEQ:H	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8																															
