SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM1	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																			
																																						
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page						
Common	CATEGORY:Internal	TYPE:MinotaurSubrace.MinotaurBase			KEY:Minotaur ~ Common									BONUS:STAT|STR|8|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Common Minotaur	ABILITY:Minotaur Race Trait|AUTOMATIC|Minotaur ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MinotaurWeaponProficiency	ABILITY:Minotaur Race Trait|AUTOMATIC|Minotaur ~ Powerful Charge|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MinotaurPowerfulCharge	ABILITY:Minotaur Race Trait|AUTOMATIC|Minotaur ~ Natural Cunning|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MinotaurNaturalCunning	ABILITY:Minotaur Race Trait|AUTOMATIC|Minotaur ~ Scent|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MinotaurScent	ABILITY:Minotaur Race Trait|AUTOMATIC|Minotaur ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MinotaurLanguages	ABILITY:Minotaur Race Trait|AUTOMATIC|Minotaur ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.MinotaurFavoredClass			SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:OgreSubrace.OgreBase			KEY:Ogre ~ Common									BONUS:STAT|STR|10|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits					TEMPLATE:Common Ogre	ABILITY:Ogre Race Trait|AUTOMATIC|Ogre ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OgreWeaponProficiency	ABILITY:Ogre Race Trait|AUTOMATIC|Ogre ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OgreDarkvision	ABILITY:Ogre Race Trait|AUTOMATIC|Ogre ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OgreLanguages	ABILITY:Ogre Race Trait|AUTOMATIC|Ogre ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OgreFavoredClass				MOVE:Walk,40	SOURCEPAGE:MM1						
Merrow	CATEGORY:Internal	TYPE:OgreSubrace.AltSubraceChoice			KEY:Ogre ~ Merrow	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Ogre ~ Merrow],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|10|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits					TEMPLATE:Merrow Ogre	ABILITY:Ogre Race Trait|AUTOMATIC|Ogre ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OgreWeaponProficiency	ABILITY:Ogre Race Trait|AUTOMATIC|Ogre ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OgreDarkvision	ABILITY:Ogre Race Trait|AUTOMATIC|Ogre ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OgreLanguages	ABILITY:Ogre Race Trait|AUTOMATIC|Ogre ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OgreFavoredClass				MOVE:Walk,30,Swim,40	SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:OrcSubrace.OrcBase			KEY:Orc ~ Common									BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Common Orc	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcDarkvision	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Light Sensitivity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcLightSensitivity	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcLanguages	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcFavoredClass					SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:AasimarSubrace.AasimarBase			KEY:Aasimar ~ Common									BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Common Aasimar	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Spot Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarSpotSkillBonus	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarListenSkillBonus	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Daylight|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarDaylight	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Resistances|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarResistances	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarLanguages	ABILITY:Aasimar Race Trait|AUTOMATIC|Aasimar ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.AasimarFavoredClass			SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:TieflingSubrace.TieflingBase			KEY:Tiefling ~ Common									BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Tiefling	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Bluff Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingBluffSkillBonus	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Hide Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingHideSkillBonus	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Darkness|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingDarkness	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Resistances|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingResistances	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingLanguages	ABILITY:Tiefling Race Trait|AUTOMATIC|Tiefling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TieflingFavoredClass			SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:SahuaginSubrace.SahuaginBase			KEY:Sahuagin ~ Common									BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				TEMPLATE:Common Sahuagin	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginWeaponProficiency	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Blindsense|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginBlindsense	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Rake|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginRake	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Freshwater Sensitivity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginFreshwaterSensitivity	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Light Blindness|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginLightBlindness	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Speak with Sharks|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginSpeakWithSharks	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Water Dependent|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginWaterDependent	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginSkills	SOURCEPAGE:MM1	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginLanguages	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginFavoredClass	ABILITY:FEAT|AUTOMATIC|Multiattack			
Mutant	CATEGORY:Internal	TYPE:SahuaginSubrace.AltSubraceChoice		DESC:About one in two hundred sahuagin has four arms.	KEY:Sahuagin ~ Mutant	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Sahuagin ~ Mutant],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				TEMPLATE:Mutant Sahuagin	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginWeaponProficiency	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Blindsense|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginBlindsense	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Rake|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginRake	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Freshwater Sensitivity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginFreshwaterSensitivity	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Light Blindness|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginLightBlindness	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Speak with Sharks|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginSpeakWithSharks	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Water Dependent|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginWaterDependent	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginSkills	SOURCEPAGE:MM1	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginLanguages	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginFavoredClass	ABILITY:FEAT|AUTOMATIC|Multiattack			
Malenti	CATEGORY:Internal	TYPE:SahuaginSubrace.AltSubraceChoice.SahuaginLightBlindness		DESC:If a community of aquatic elves is located within 100 miles of a sahuagin community, about one in one hundred sahuagin looks just like an aquatic elf.	KEY:Sahuagin ~ Malenti	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Sahuagin ~ Malenti],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				TEMPLATE:Mutant Sahuagin	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Weapon Proficiency|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginWeaponProficiency	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Blindsense|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginBlindsense	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Rake|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginRake	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Freshwater Sensitivity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginFreshwaterSensitivity	ABILITY:Sahuagin Race Trait|AUTOMATIC|Malenti Sahuagin ~ Light Senitivity	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Speak with Sharks|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginSpeakWithSharks	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Water Dependent|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginWaterDependent	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginSkills	SOURCEPAGE:MM1	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginLanguages	ABILITY:Sahuagin Race Trait|AUTOMATIC|Sahuagin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SahuaginFavoredClass	ABILITY:FEAT|AUTOMATIC|Multiattack			
																																						
Common	CATEGORY:Internal	TYPE:SatyrSubrace.SatyrBase			KEY:Satyr ~ Common									BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits					TEMPLATE:Common Satyr	ABILITY:Satyr Race Trait|AUTOMATIC|Satyr ~ Pipes|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SatyrPipes	ABILITY:Satyr Race Trait|AUTOMATIC|Satyr ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SatyrSkill	ABILITY:Satyr Race Trait|AUTOMATIC|Satyr ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SatyrLanguages	ABILITY:Satyr Race Trait|AUTOMATIC|Satyr ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.SatyrFavoredClass	ABILITY:FEAT|AUTOMATIC|Alertness				SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:TroglodyteSubrace.TroglodyteBase			KEY:Troglodyte ~ Common									BONUS:STAT|DEX|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Common Troglodyte	ABILITY:Troglodyte Race Trait|AUTOMATIC|Troglodyte ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TroglodyteDarkvision	ABILITY:Troglodyte Race Trait|AUTOMATIC|Troglodyte ~ Stench|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TroglodyteStench	ABILITY:Troglodyte Race Trait|AUTOMATIC|Troglodyte ~ Skills|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TroglodyteSkillBonus	ABILITY:Troglodyte Race Trait|AUTOMATIC|Troglodyte ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TroglodyteLanguages	ABILITY:Troglodyte Race Trait|AUTOMATIC|Troglodyte ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TroglodyteFavoredClass	ABILITY:FEAT|AUTOMATIC|Multiattack			SOURCEPAGE:MM1						
																																						
Common	CATEGORY:Internal	TYPE:TrollSubrace.TrollBase			KEY:Troll ~ Common									BONUS:STAT|STR|12|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|12|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				TEMPLATE:Common Troll	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollDarkvision	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Rend|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollRend	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Regeneration|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollRegeneration	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Scent|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollScent	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollLanguages	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollFavoredClass		MOVE:Walk,30	SOURCEPAGE:MM1						
Scrag	CATEGORY:Internal	TYPE:TrollSubrace.AltSubraceChoice.TrollRegeneration		DESC:These cousins of the troll have the aquatic subtype.	KEY:Troll ~ Scrag	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Troll ~ Scrag],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|12|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|12|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits				TEMPLATE:Scrag Troll	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollDarkvision	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Rend|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollRend	ABILITY:Troll Race Trait|AUTOMATIC|Scrag Troll ~ Regeneration|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Scent|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollScent	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollLanguages	ABILITY:Troll Race Trait|AUTOMATIC|Troll ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.TrollFavoredClass		MOVE:Walk,20,Swim,40	SOURCEPAGE:MM1						
																																						
