SOURCELONG:Gozzilioni Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-09																																																																	
																																																																				
#MM2 aggiornato alla 3.5																																																																				
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	SORTKEY:			
Corollax			STARTFEATS:1	SIZE:T	MOVE:Walk,10,Fly,60	FACE:2.5	REACH:0	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1				BONUS:COMBAT|AC|2|TYPE=NaturalArmor						BONUS:STAT|STR|-10	BONUS:STAT|DEX|6		BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Claw|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d3		ABILITY:Internal|AUTOMATIC|Race Traits ~ Corollax						SR:12	DR:5/Cold Iron		MONSTERCLASS:Magical Beast:1	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:6,9		CR:1/2	SOURCEPAGE:MM2					
Corpse Gatherer			STARTFEATS:1	SIZE:G	MOVE:Walk,40,Burrow,10	FACE:20	REACH:20						BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|24	BONUS:STAT|DEX|-4			BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Climb|Jump|Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,1,2d12		ABILITY:Internal|AUTOMATIC|Race Traits ~ Corpse Gatherer						SR:30	DR:15/Magic and Bludgeoning		MONSTERCLASS:Undead:30	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:30,60		CR:19	SOURCEPAGE:MM2					
Crimson Death			STARTFEATS:1	SIZE:M	MOVE:Fly,30	FACE:5	REACH:5			KIT:1|NE										BONUS:STAT|DEX|10		BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Concentration|Hide|Knowledge (Nature)|Knowledge (Religion)|Listen|Search|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing.Touch.Incorporeal,*2,0		ABILITY:Internal|AUTOMATIC|Race Traits ~ Crimson Death									MONSTERCLASS:Undead:13	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead					HITDICEADVANCEMENT:26		CR:11	SOURCEPAGE:MM2					
Darktentacles			STARTFEATS:1	SIZE:L	MOVE:Walk,5,Swim,20	FACE:10	REACH:15	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|Tremorsense|60|TYPE=Base	KIT:1|CE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Concentration|Hide|Listen|Move Silently|Spot									LEGS:0	HANDS:12				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*12,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Darktentacles									MONSTERCLASS:Aberration:9	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:18,27		CR:7	SOURCEPAGE:MM2					
Deathbringer			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10						BONUS:COMBAT|AC|16|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4		BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Intimidate|Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Deathbringer									MONSTERCLASS:Undead:30	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:50,70,90		CR:17	SOURCEPAGE:MM2					
Demon (Abyssal Maw)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|6		BONUS:STAT|CON|2	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Intimidate|Jump|Listen|Spot|Swim									LEGS:4	HANDS:4	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Abyssal Maw									MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:4,6	LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:MM2					
Demon (Abyssal Skulker)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|2|TYPE=NaturalArmor							BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:Bluff|Climb|Diplomacy|Hide|Intimidate|Jump|Listen|Move Silently|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d2		ABILITY:Internal|AUTOMATIC|Race Traits ~ Abyssal Skulker									MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:4,6	LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:MM2					
Demon (Abyssal Ravager)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Jump|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Sting|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d4,SPROP=Poison		ABILITY:Internal|AUTOMATIC|Race Traits ~ Abyssal Ravager									MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:6,9	LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM2					
Demon (Jovoc)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Move Silently|Search|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Jovoc						SR:13	DR:5/Good or Cold Iron		MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM2					
Demon (Palrethee)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|2	BONUS:STAT|WIS|2				MONCSKILL:Bluff|Diplomacy|Hide|Intimidate|Knowledge (Arcana)|Listen|Search|Sense Motive|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Palrethees						SR:18	DR:10/Good		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil|Fire	TYPE:Outsider					HITDICEADVANCEMENT:12	LEVELADJUSTMENT:6	CR:8	SOURCEPAGE:MM2					
Demon (Zovvut)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,50	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|9|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d12		ABILITY:Internal|AUTOMATIC|Race Traits ~ Zovvut						SR:20	DR:10/Good		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:16		CR:9	SOURCEPAGE:MM2					
Demon (Jarilith)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60	FACE:10	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|14|TYPE=NaturalArmor						BONUS:STAT|STR|24	BONUS:STAT|DEX|18	BONUS:STAT|CON|16	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Balance|Climb|Concentration|Hide|Jump|Listen|Move Silently|Search|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Jarilith							DR:15/Good		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:23,30		CR:9	SOURCEPAGE:MM2					
Demon (Kelvezu)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|15|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|20	BONUS:STAT|CON|6	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Hide|Intimidate|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Sleight of Hand|Spellcraft|Spot									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Kelvezu						SR:26	DR:15/Good and Cold Iron		MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Tanar'ri|Chaotic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:24		CR:18	SOURCEPAGE:MM2					
Desmodu		FAVCLASS:Fighter	STARTFEATS:1	SIZE:L	MOVE:Walk,20,Climb,30	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|BlindsenseRange|120|TYPE=Base				BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|4				MONCSKILL:Balance|Climb|Handle Animal|Jump|Listen|Move Silently|Ride|Spot|Tumble|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Desmodu									MONSTERCLASS:Monstrous Humanoid:12	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid						LEVELADJUSTMENT:2	CR:9	SOURCEPAGE:MM2					
Desmodu (Hunting Bat)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,20,Climb,60	FACE:5	REACH:5			KIT:1|TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|14	BONUS:STAT|CON|2	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Desmodu Hunting Bat									MONSTERCLASS:Animal:4	RACETYPE:Animal	RACESUBTYPE:Desmodu Bat	TYPE:Animal					HITDICEADVANCEMENT:4,12		CR:3	SOURCEPAGE:MM2					
Desmodu (Guard Bat)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Climb,60	FACE:5	REACH:5			KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|12	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Move Silently|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Desmodu Guard Bat									MONSTERCLASS:Animal:4	RACETYPE:Animal	RACESUBTYPE:Desmodu Bat	TYPE:Animal					HITDICEADVANCEMENT:4,12		CR:3	SOURCEPAGE:MM2					
Desmodu (War Bat)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,20,Climb,40	FACE:10	REACH:10			KIT:1|TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|12	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Move Silently|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Desmodu War Bat									MONSTERCLASS:Animal:10	RACETYPE:Animal	RACESUBTYPE:Desmodu Bat	TYPE:Animal					HITDICEADVANCEMENT:16,30		CR:5	SOURCEPAGE:MM2					
Devil (Advespa)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,40	FACE:10	REACH:10			KIT:1|LE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-2					MONCSKILL:Balance|Hide|Jump|Listen|Move Silently|Search|Spot|Tumble									LEGS:2	HANDS:4				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,1d6|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Advespa						SR:15	DR:5/Silver or Good		MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Lawful|Evil	TYPE:Outsider					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:4	CR:3	SOURCEPAGE:MM2					
Devil (Amnizu)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,60	FACE:5	REACH:5			KIT:1|LE			BONUS:COMBAT|AC|11|TYPE=NaturalArmor						BONUS:STAT|STR|2		BONUS:STAT|CON|2	BONUS:STAT|INT|6	BONUS:STAT|WIS|4				MONCSKILL:Balance|Concentration|Diplomacy|Hide|Jump|Knowledge (The Planes)|Search|Sense Motive|Spellcraft|Spot|Swim|Tumble									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Touch|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Amnizu						SR:18			MONSTERCLASS:Outsider:9	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Lawful|Evil	TYPE:Outsider					HITDICEADVANCEMENT:18,27	LEVELADJUSTMENT:5	CR:7	SOURCEPAGE:MM2					
Devil (Malebranche)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,120	FACE:10	REACH:15			KIT:1|LE			BONUS:COMBAT|AC|17|TYPE=NaturalArmor						BONUS:STAT|STR|20	BONUS:STAT|DEX|-2	BONUS:STAT|CON|12		BONUS:STAT|WIS|-2				MONCSKILL:Balance|Bluff|Climb|Diplomacy|Intimidate|Jump|Listen|Move Silently|Search|Spot|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6	ABILITY:Internal|AUTOMATIC|Race Traits ~ Malebranche						SR:20	DR:10/Good		MONSTERCLASS:Outsider:16	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Lawful|Evil	TYPE:Outsider					HITDICEADVANCEMENT:32,48		CR:9	SOURCEPAGE:MM2					
Dinosaur (Cryptolidus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Swim,60	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Listen|Spot|Swim									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Cryptolidus									MONSTERCLASS:Animal:3	RACETYPE:Animal	RACESUBTYPE:Dinosaur|Aquatic	TYPE:Animal					HITDICEADVANCEMENT:6,9		CR:3	SOURCEPAGE:MM2					
Dinosaur (Allosaurus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:15	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Allosaurus									MONSTERCLASS:Animal:10	RACETYPE:Animal	RACESUBTYPE:Dinosaur	TYPE:Animal					HITDICEADVANCEMENT:20,30		CR:7	SOURCEPAGE:MM2					
Dinosaur (Ankylosaurus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,20	FACE:15	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|16|TYPE=NaturalArmor						BONUS:STAT|STR|18	BONUS:STAT|DEX|-4	BONUS:STAT|CON|16	BONUS:STAT|INT|-10	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Tail Slap|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Ankylosaurus									MONSTERCLASS:Animal:9	RACETYPE:Animal	RACESUBTYPE:Dinosaur	TYPE:Animal					HITDICEADVANCEMENT:18,27		CR:7	SOURCEPAGE:MM2					
Dinosaur (Quetzalcoatlus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,20,Fly,100	FACE:15	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|6				MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d10|Wing,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Quetzalcoatlus									MONSTERCLASS:Animal:10	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:20,30		CR:8	SOURCEPAGE:MM2					
Dinosaur (Seismosaurus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:C	MOVE:Walk,20	FACE:40	REACH:25	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|30	BONUS:STAT|DEX|-2	BONUS:STAT|CON|18	BONUS:STAT|INT|-10	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Tail Slap|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,4d10		ABILITY:Internal|AUTOMATIC|Race Traits ~ Seismosaurus									MONSTERCLASS:Animal:32	RACETYPE:Animal	RACESUBTYPE:Dinosaur	TYPE:Animal					HITDICEADVANCEMENT:64		CR:12	SOURCEPAGE:MM2					
Dinosaur (Spinosaurus)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40	FACE:20	REACH:20	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|9|TYPE=NaturalArmor						BONUS:STAT|STR|26	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Spinosaurus									MONSTERCLASS:Animal:20	RACETYPE:Animal	RACESUBTYPE:Dinosaur	TYPE:Animal					HITDICEADVANCEMENT:40,60		CR:13	SOURCEPAGE:MM2					
Dire Animal (Dire Horse)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Horse									MONSTERCLASS:Animal (Will):8	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:16,24		CR:4	SOURCEPAGE:MM2					
Dire Animal (Dire Elk)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:10		BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|14		BONUS:STAT|CON|10	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6|Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d4	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Elk									MONSTERCLASS:Animal (Will):12	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:16,36		CR:7	SOURCEPAGE:MM2					
Dire Animal (Dire Elephant)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,30	FACE:20	REACH:10		BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|30		BONUS:STAT|CON|20	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8|Stamp,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d8	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,4d6	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Elephant									MONSTERCLASS:Animal (Will):20	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:30,45		CR:10	SOURCEPAGE:MM2					
