SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net									
#											
# Name	OUTPUTNAME:	TYPE:	COST:	WT:	SOURCEPAGE:	Requires Modification?		Special Property			
Oregano		TYPE:Goods.Trade	COST:0.2	WT:0.06	SOURCEPAGE:AaEG						
Parsley		TYPE:Goods.Trade	COST:0.04	WT:0.06	SOURCEPAGE:AaEG						
Pepper		TYPE:Goods.Trade	COST:30	WT:0.06	SOURCEPAGE:AaEG						
Poppy Seed		TYPE:Goods.Trade	COST:8	WT:0.06	SOURCEPAGE:AaEG						
Rose Hips		TYPE:Goods.Trade	COST:5	WT:0.06	SOURCEPAGE:AaEG						
Rosemary		TYPE:Goods.Trade	COST:0.5	WT:0.06	SOURCEPAGE:AaEG						
Saffron		TYPE:Goods.Trade	COST:65	WT:0.06	SOURCEPAGE:AaEG						
Sage		TYPE:Goods.Trade	COST:0.1	WT:0.06	SOURCEPAGE:AaEG						
Salt		TYPE:Goods.Trade	COST:0.01	WT:0.06	SOURCEPAGE:AaEG						
Sweet Cicely		TYPE:Goods.Trade	COST:0.1	WT:0.06	SOURCEPAGE:AaEG						
Tarragon		TYPE:Goods.Trade	COST:1	WT:0.06	SOURCEPAGE:AaEG						
Thyme		TYPE:Goods.Trade	COST:0.1	WT:0.06	SOURCEPAGE:AaEG						
Turmeric		TYPE:Goods.Trade	COST:25	WT:0.06	SOURCEPAGE:AaEG						
Woodruff		TYPE:Goods.Trade	COST:0.1	WT:0.06	SOURCEPAGE:AaEG						
#Corns											
Barley		TYPE:Goods.Trade	COST:1	WT:1	SOURCEPAGE:AaEG						
Buckwheat		TYPE:Goods.Trade	COST:0.5	WT:1	SOURCEPAGE:AaEG						
Chick Peas		TYPE:Goods.Trade	COST:3	WT:1	SOURCEPAGE:AaEG						
Lentils		TYPE:Goods.Trade	COST:2	WT:1	SOURCEPAGE:AaEG						
Millet		TYPE:Goods.Trade	COST:0.7	WT:1	SOURCEPAGE:AaEG						
Oats		TYPE:Goods.Trade	COST:0.7	WT:1	SOURCEPAGE:AaEG						
Rice		TYPE:Goods.Trade	COST:5	WT:1	SOURCEPAGE:AaEG						
Rye		TYPE:Goods.Trade	COST:0.7	WT:1	SOURCEPAGE:AaEG						
Wheat		TYPE:Goods.Trade	COST:0.01	WT:1	SOURCEPAGE:AaEG						
#Flours											
Barley (Flours)		TYPE:Goods.Trade	COST:2	WT:1	SOURCEPAGE:AaEG						
Buckwheat (Flours)		TYPE:Goods.Trade	COST:1	WT:1	SOURCEPAGE:AaEG						
Rye (Flours)		TYPE:Goods.Trade	COST:1.5	WT:1	SOURCEPAGE:AaEG						
Wheat (Flours)		TYPE:Goods.Trade	COST:3	WT:1	SOURCEPAGE:AaEG						
#Fruit											
Apples		TYPE:Goods.Food	COST:1	WT:1	SOURCEPAGE:AaEG						
Apricots		TYPE:Goods.Food	COST:15	WT:1	SOURCEPAGE:AaEG						
Carrots		TYPE:Goods.Food	COST:1	WT:1	SOURCEPAGE:AaEG						
Cherries		TYPE:Goods.Food	COST:.5	WT:1	SOURCEPAGE:AaEG						
Currants		TYPE:Goods.Food	COST:.1	WT:1	SOURCEPAGE:AaEG						
Dates		TYPE:Goods.Food	COST:5	WT:1	SOURCEPAGE:AaEG						
Elderberries		TYPE:Goods.Food	COST:.1	WT:1	SOURCEPAGE:AaEG						
Figs		TYPE:Goods.Food	COST:7	WT:1	SOURCEPAGE:AaEG						
Green Beans		TYPE:Goods.Food	COST:.2	WT:1	SOURCEPAGE:AaEG						
Green Peas		TYPE:Goods.Food	COST:.2	WT:1	SOURCEPAGE:AaEG						
Mushrooms		TYPE:Goods.Food	COST:.2	WT:1	SOURCEPAGE:AaEG						
Onions		TYPE:Goods.Food	COST:.5	WT:1	SOURCEPAGE:AaEG						
Peaches		TYPE:Goods.Food	COST:15	WT:1	SOURCEPAGE:AaEG						
Pears		TYPE:Goods.Food	COST:5	WT:1	SOURCEPAGE:AaEG						
Prunes		TYPE:Goods.Food	COST:3	WT:1	SOURCEPAGE:AaEG						
Raisins		TYPE:Goods.Food	COST:1	WT:1	SOURCEPAGE:AaEG						
Tomatoes		TYPE:Goods.Food	COST:1	WT:1	SOURCEPAGE:AaEG						
#Nuts											
Almonds		TYPE:Goods.Food	COST:3	WT:1	SOURCEPAGE:AaEG						
Cashews		TYPE:Goods.Food	COST:20	WT:1	SOURCEPAGE:AaEG						
Chestnut		TYPE:Goods.Food	COST:1	WT:1	SOURCEPAGE:AaEG						
Hazenuts		TYPE:Goods.Food	COST:0.5	WT:1	SOURCEPAGE:AaEG						
Pine nuts		TYPE:Goods.Food	COST:10	WT:1	SOURCEPAGE:AaEG						
Pistachios		TYPE:Goods.Food	COST:15	WT:1	SOURCEPAGE:AaEG						
Walnuts		TYPE:Goods.Food	COST:0.3	WT:1	SOURCEPAGE:AaEG						
#Oils											
Olive oil		TYPE:Goods.Liquid	COST:5	WT:1	SOURCEPAGE:AaEG						
Almond Oil		TYPE:Goods.Liquid	COST:10	WT:1	SOURCEPAGE:AaEG						
Walnut Oil		TYPE:Goods.Liquid	COST:2	WT:1	SOURCEPAGE:AaEG						
Hazelnut Oil		TYPE:Goods.Liquid	COST:3	WT:1	SOURCEPAGE:AaEG						
Sesame Oil		TYPE:Goods.Liquid	COST:10	WT:1	SOURCEPAGE:AaEG						
Sunflower Oil		TYPE:Goods.Liquid	COST:0.3	WT:1	SOURCEPAGE:AaEG						
Safflower Oil		TYPE:Goods.Liquid	COST:0.2	WT:1	SOURCEPAGE:AaEG						
Rapeseed Oil		TYPE:Goods.Liquid	COST:0.1	WT:1	SOURCEPAGE:AaEG						
#Meats											
Beef (Corned)		TYPE:Goods.Food	COST:3	WT:1	SOURCEPAGE:AaEG						
Beef (Dried)		TYPE:Goods.Food	COST:5	WT:1	SOURCEPAGE:AaEG						
Beef (Jerked)		TYPE:Goods.Food	COST:7	WT:1	SOURCEPAGE:AaEG						
Beef (Sausage)		TYPE:Goods.Food	COST:2	WT:1	SOURCEPAGE:AaEG						
Beef (Smocked)		TYPE:Goods.Food	COST:4	WT:1	SOURCEPAGE:AaEG						
Buffalo (Dried)		TYPE:Goods.Food	COST:30	WT:1	SOURCEPAGE:AaEG						
Buffalo (Jerked)		TYPE:Goods.Food	COST:45	WT:1	SOURCEPAGE:AaEG						
Cod (Salted)		TYPE:Goods.Food	COST:5	WT:1	SOURCEPAGE:AaEG						
Cod (Smocked)		TYPE:Goods.Food	COST:7	WT:1	SOURCEPAGE:AaEG						
Herring (Pickled)		TYPE:Goods.Food	COST:3	WT:1	SOURCEPAGE:AaEG						
Herring (Salted)		TYPE:Goods.Food	COST:5	WT:1	SOURCEPAGE:AaEG						
Pork (Bacon)		TYPE:Goods.Food	COST:4	WT:1	SOURCEPAGE:AaEG						
Pork (Ham)		TYPE:Goods.Food	COST:5	WT:1	SOURCEPAGE:AaEG						
Pork (Salted)		TYPE:Goods.Food	COST:3	WT:1	SOURCEPAGE:AaEG						
Pork (Sausage)		TYPE:Goods.Food	COST:1	WT:1	SOURCEPAGE:AaEG						
Salmon (Salted)		TYPE:Goods.Food	COST:10	WT:1	SOURCEPAGE:AaEG						
Salmon (Smocked)		TYPE:Goods.Food	COST:15	WT:1	SOURCEPAGE:AaEG						
Sardines		TYPE:Goods.Food	COST:4	WT:1	SOURCEPAGE:AaEG						
#Exotic											
Chillis		TYPE:Goods.Food	COST:25	WT:1	SOURCEPAGE:AaEG						
Coffee		TYPE:Goods.Trade	COST:50	WT:1	SOURCEPAGE:AaEG						
Coconut		TYPE:Goods.Food	COST:50	WT:1	SOURCEPAGE:AaEG						
Hickory Nuts		TYPE:Goods.Food	COST:200	WT:1	SOURCEPAGE:AaEG						
Lotus		TYPE:Goods.Trade	COST:100	WT:0.06	SOURCEPAGE:AaEG						
Maple Sugar		TYPE:Goods.Food	COST:75	WT:1	SOURCEPAGE:AaEG						
Paprika		TYPE:Goods.Food	COST:30	WT:0.06	SOURCEPAGE:AaEG						
Pimento		TYPE:Goods.Food	COST:40	WT:0.06	SOURCEPAGE:AaEG						
Pineapple		TYPE:Goods.Food	COST:150	WT:1	SOURCEPAGE:AaEG						
Sarsaparilla		TYPE:Goods.Food	COST:10	WT:0.06	SOURCEPAGE:AaEG						
Tobacco		TYPE:Goods.Trade	COST:0.5	WT:1	SOURCEPAGE:AaEG						
Vanilla (ounce)		TYPE:Goods.Food	COST:75	WT:0.06	SOURCEPAGE:AaEG						
Walnuts (Black)		TYPE:Goods.Food	COST:100	WT:1	SOURCEPAGE:AaEG						
#Beer											
Dragonbite Bitter		TYPE:Goods.Food.Liquid	COST:15	WT:8.35	SOURCEPAGE:AaEG						
Dwarfhead Stout		TYPE:Goods.Food.Liquid	COST:30	WT:8.35	SOURCEPAGE:AaEG						
Mead (Elven)		TYPE:Goods.Food.Liquid	COST:60	WT:8.35	SOURCEPAGE:AaEG						
Golden Light Beer (Gnome)		TYPE:Goods.Food.Liquid	COST:10	WT:8.35	SOURCEPAGE:AaEG						
Thudrud Beer (Goblin)		TYPE:Goods.Food.Liquid	COST:2	WT:8.35	SOURCEPAGE:AaEG						
Pulsch Brown Ale		TYPE:Goods.Food.Liquid	COST:8	WT:8.35	SOURCEPAGE:AaEG						
#Wine											
Frostwine		TYPE:Goods.Food.Liquid	COST:40	WT:1	SOURCEPAGE:AaEG						
Aleeian Wine (Elven)		TYPE:Goods.Food.Liquid	COST:100	WT:1	SOURCEPAGE:AaEG						
Garnet Wine (Dwarven)		TYPE:Goods.Food.Liquid	COST:90	WT:1	SOURCEPAGE:AaEG						
Mushroom Wine (Poor)		TYPE:Goods.Food.Liquid	COST:20	WT:1	SOURCEPAGE:AaEG						
Mushroom Wine (Good)		TYPE:Goods.Food.Liquid	COST:135	WT:1	SOURCEPAGE:AaEG						
Spiderblood (Drow)		TYPE:Goods.Food.Liquid	COST:150	WT:1	SOURCEPAGE:AaEG						
#Spirit											
Frenzywater		TYPE:Goods.Food.Liquid	COST:15	WT:1	SOURCEPAGE:AaEG						
Moondrop (Elven)		TYPE:Goods.Food.Liquid	COST:220	WT:1	SOURCEPAGE:AaEG						
Kragg (Orc)		TYPE:Goods.Food.Liquid	COST:30	WT:1	SOURCEPAGE:AaEG						
											
#Alchemical											
Bladefire		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG						
Bullet (Acid)		TYPE:Goods.Alchemical.Ammunition.SlingStone	COST:10	WT:.6	SOURCEPAGE:AaEG						
Bullet (Flame)		TYPE:Goods.Alchemical.Ammunition.SlingStone	COST:20	WT:.6	SOURCEPAGE:AaEG						
Blullet (Priest's)		TYPE:Goods.Alchemical.Ammunition.SlingStone	COST:25	WT:.6	SOURCEPAGE:AaEG						
Candle (Focusing)		TYPE:Goods.Alchemical.Candle	COST:100	WT:1	SOURCEPAGE:AaEG			QUALITY:Shadowy Illumination|10 ft.	QUALITY:Duration|1 hr.		
Candle (Restful)		TYPE:Goods.Alchemical.Candle	COST:100	WT:1	SOURCEPAGE:AaEG			QUALITY:Shadowy Illumination|10 ft.	QUALITY:Duration|1 hr.		
Clearbreath		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG						
Darkvision Powder		TYPE:Goods.Alchemical.Vial	COST:10	WT:0.06	SOURCEPAGE:AaEG						
Defoliator		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:2d4 Hp damage to Plants					
Dehydratated Food		TYPE:Goods.Alchemical.Food.Resizable	COST:2	WT:.24	SOURCEPAGE:AaEG						
Dwarfblind		TYPE:Goods.Alchemical	COST:50	WT:1	SOURCEPAGE:AaEG						
Farflame Oil		TYPE:Goods.Alchemical.Flask	COST:2	WT:1	SOURCEPAGE:AaEG						
Fleetfoot		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG						
Ghostoil		TYPE:Goods.Alchemical.Flask	COST:50	WT:1	SOURCEPAGE:AaEG						
Gravebane		TYPE:Goods.Alchemical.Flask	COST:50	WT:1	SOURCEPAGE:AaEG	SPROP:Repels Undead					
Hawk's Ointment		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG						
Instant Rope		TYPE:Goods.Alchemical.Flask	COST:25	WT:1	SOURCEPAGE:AaEG						
Longbreath		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG						
Motelight		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:Distract					
Nature's Draught		TYPE:Goods.Alchemical.Vial	COST:50	WT:0	SOURCEPAGE:AaEG						
Polar Skin		TYPE:Goods.Alchemical.Flask	COST:25	WT:1	SOURCEPAGE:AaEG						
Signal Torch		TYPE:Goods.Alchemical	COST:1	WT:1	SOURCEPAGE:AaEG						
Sparkstone		TYPE:Goods.Alchemical	COST:50	WT:1	SOURCEPAGE:AaEG	SPROP:1d6 Hp in 5-ft radius					
Stonebreaker Acid		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:3d10 Hp damage to stone objects					
Verminbane		TYPE:Goods.Alchemical.Flask	COST:20	WT:1	SOURCEPAGE:AaEG						
Vicious Bleeder		TYPE:Goods.Alchemical.Flask	COST:50	WT:1	SOURCEPAGE:AaEG						
											
#Superior items											
Animal Training Pole		TYPE:Goods.General	COST:10	WT:3	SOURCEPAGE:AaEG	SPROP:+2 Circumstance bonus on attemps to teach an animal a task					
Cloak (Forester's)		TYPE:Goods.Clothing.Cape	COST:20	WT:3	SOURCEPAGE:AaEG	SPROP:+1 Circumstance bonus on Hide check made in Forest					
Crossbow Sight (Gnomish)		TYPE:Goods.General	COST:150	WT:1	SOURCEPAGE:AaEG	SPROP:Treat the target as 2 increments closer					
Listening Cone		TYPE:Goods.General	COST:20	WT:1	SOURCEPAGE:AaEG	SPROP:+1 Circumstance bonus on Listen checks made through a door or solid obstacles					
Backpack (Framed)		TYPE:Goods.General.Container	COST:50	WT:2	SOURCEPAGE:AaEG		CONTAINS:10%UNLIM|Any				
Robe (Desert)		TYPE:Goods.Clothing.Robe	COST:20	WT:2	SOURCEPAGE:AaEG	SPROP:+2 Circimstance bonus on Fortitude saves against exposure to high temperature					
Sheath (Boot)		TYPE:Goods.General.Container	COST:30	WT:0	SOURCEPAGE:AaEG		CONTAINS:UNLIM|Light=1				
Sheath (Wrist)		TYPE:Goods.General.Container	COST:20	WT:0	SOURCEPAGE:AaEG		CONTAINS:UNLIM|Dagger=1				
											
#Poison											
Poison (Alforna)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:75	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 11, Init.: 1d2 STR, Sec.: Fatigue. Craft DC 15.					
Poison (Banelar Essence)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:300	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 11, Init.: 2d4 CON, Sec.: Unconscious. Craft DC 15.					
Poison (Carrion Crawler Brain Juice)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:200	WT:0	SOURCEPAGE:DMG	SPROP:Contact DC 13, Init.:0, Sec.:3d6 CON.					
Poison (Black Adder Venom).MOD						SPROP:Craft DC 15.					
Poison (Bloodroot).MOD						SPROP:Craft DC 15.					
Poison (Blue Whinnis).MOD						SPROP:Craft DC 15.					
Poison (Choldrith Toxin)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1200	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 15, Init.:Paralysis, Sec.: 2d4 CON. Craft DC 20.					
Poison (Deathblade).MOD						SPROP:Craft DC 25.					
Poison (Fang Dragon Venom)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:300	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 15, Init.: 1 CON perm, Sec.: 0. Craft DC 20.					
Poison (Giant Wasp Poison).MOD						SPROP:Craft DC 20.					
Poison (Gray Whinnis)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:210	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 20, Init.: 1d4 CON, Sec.: Paralysis. Craft DC 20.					
Poison (Greenblood Oil).MOD						SPROP:Craft DC 15.					
Poison (Haluroot)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:15	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 13, Init.: 1d2 WIS | 1d2 WIS. Craft DC 15.					
Poison (Large Scorpion Venon).MOD						SPROP:Craft DC 20.					
Poison (Medium Spider Venom)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:150	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 14, Init.: 1d4 STR, Sec.: 1d6 STR. Craft DC 15.					
Poison (Purple Worm Poison).MOD						SPROP:Craft DC 20.					
Poison (Redek Vine Extract)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1500	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 17, Init.: 2d6 DEX, Sec.: 0. Craft DC 25.					
Poison (Rill Leaf)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1500	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 14, Init.: 1d2 CHA, Sec.: 1d4 CHA. Craft DC 15.					
Poison (Shadow Essence).MOD						SPROP:Craft DC 20.					
Poison (Shreef Oil)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:100	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 12, Init.: 1d2 STR 1d2 DEX, Sec.: 1d2 STR. Craft DC 15.					
Poison (Small Centipede Poison).MOD						SPROP:Craft DC 15.					
Poison (Vapid Leaf Extract)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:250	WT:0	SOURCEPAGE:AaEG	SPROP:Injury DC 16, Init.: Dazed (Euphoric), Sec.: 2d6 INT. Craft DC 20.					
Poison (Wyvern Poison)						SPROP:Craft DC 25.					
Poison (Aboleth Oil)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:2500	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 19, Init.: 0, Sec.: Transform. Craft DC 30.					
Poison (Anemis)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:750	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 16, Init.: 1d4 STR, Sec.: 2d4 STR. Craft DC 20.					
Poison (Black Lotus Extract).MOD						SPROP:Craft DC 35.					
Poison (Crippling Vine)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:180	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 13, Init.: 1d4 STR 1d4 CON, Sec.: 0. Craft DC 15.					
Poison (Dragon Bile).MOD						SPROP:Craft DC 30.					
Poison (Horror Weed Extract)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:600	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 20, Init.: 1 WIS, Sec.: 2d4 WIS. Craft DC 25.					
Poison (Malyss Root Paste).MOD						SPROP:Craft DC 20.					
Poison (Mesmer Paste)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:300	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 16, Init.: Dazzled, Sec.: 1d4 INT. Craft DC 20.					
Poison (Nitharit).MOD						SPROP:Craft DC 20.					
Poison (Sassone Leaf Residue).MOD						SPROP:Craft DC 20.					
Poison (Sleeping Weed)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:500	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 13, Init.: Slowed, Sec.: 1d4 DEX. Craft DC 15.					
Poison (Tennav Root)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:750	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 16, Init.: 1d6 DEX, Sec.: 2d6 DEX. Craft DC 25.					
Poison (Thever Paste)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1500	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 12, Init.: 0, Sec.: Blindness. Craft DC 25.					
Poison (Wraith Sheen)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:150	WT:0	SOURCEPAGE:AaEG	SPROP:Contact DC 16, Init.: 1d2 CON, Sec.: 1d2 CON. Craft DC 15.					
Poison (Adlevine Extract)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:150	WT:0	SOURCEPAGE:AaEG	SPROP:Ingested DC 14, Init.: 1d4 WIS gain +2 CON bonus, Sec.: 1d6 CON. Craft DC 20.					
Poison (Arsenic).MOD						SPROP:Craft DC 15.					
Poison (Cretel Leaf Residue)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:150	WT:0	SOURCEPAGE:AaEG	SPROP:Ingested DC 14, Init.: 1d4 CON gain +2 DEX bonus, Sec.: 1d6 CON. Craft DC 20.					
Poison (Culum Powder)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:100	WT:0	SOURCEPAGE:AaEG	SPROP:Ingested DC 12, Init.: 1 DEX, Sec.: 1d4 DEX. Craft DC 15.					
Poison (Dark Reaver Powder).MOD						SPROP:Craft DC 25.					
Poison (Faralin)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:150	WT:0	SOURCEPAGE:AaEG	SPROP:Ingested DC 14, Init.: 1d4 DEX gain +2 STR, Sec.: 1d6 CON. Craft DC 20.					
Poison (Id Moss).MOD						SPROP:Craft DC 15.					
Poison (Lich Dust).MOD						SPROP:Craft DC 20.					
Poison (Lockjaw)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:250	WT:0	SOURCEPAGE:AaEG	SPROP:Ingested DC 11, Init.: Can't Speak, Sec.: 2d6 CON. Craft DC 15.					
Poison (Oil of Taggit).MOD						SPROP:Craft DC 15.					
Poison (Retch)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:120	WT:0	SOURCEPAGE:AaEG	SPROP:Ingested DC 15, Init.: Nausea, Sec.: 1d4 CON. Craft DC 15.					
Poison (Striped Toadstool).MOD						SPROP:Craft DC 15.					
Poison (Asabi mist)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1000	WT:0	SOURCEPAGE:AaEG	SPROP:Inhaled DC 12, Init.: 1d4 CON, Sec.: 1d4 CON. Craft DC 20.					
Poison (Brain Dust)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1300	WT:0	SOURCEPAGE:AaEG	SPROP:Inhaled DC 12, Init.: Confusion , Sec.: 1d4 CON. Craft DC 20.					
Poison (Burn Othur Fumes).MOD						SPROP:Craft DC 25.					
Poison (Insanity Mist).MOD						SPROP:Craft DC 20.					
Poison (Raeliss Smoke)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:2000	WT:0	SOURCEPAGE:AaEG	SPROP:Inhaled DC 15, Init.: 1d6 CHA, Sec.: 1d6 CHA. Craft DC 25.					
Poison (Roshon Vapor)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:3100	WT:0	SOURCEPAGE:AaEG	SPROP:Inhaled DC 15, Init.: 1d4 INT, Sec.: 1d6 DEX 1 DEX perm. Craft DC 25.					
Poison (Scorcher Fumes)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:800	WT:0	SOURCEPAGE:AaEG	SPROP:Inhaled DC 18, Init.: Lose Scent, Sec.: 1d4 WIS. Craft DC 20.					
Poison (Thever Fumes)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:3000	WT:0	SOURCEPAGE:AaEG	SPROP:Inhaled DC 18, Init.: 0, Sec.: Blindness. Craft DC 35.					
Poison (Ungol Dust).MOD						SPROP:Craft DC 20.					
											
#Block: Transportation											
Launch		TYPE:Goods.Transportation.Container.Ships.WaterShip	COST:500	WT:0	SOURCEPAGE:AaEG		CONTAINS:10000|Any		SIZE:H		
Catamaran		TYPE:Goods.Transportation.Container.Ships.WaterShip	COST:2000	WT:0	SOURCEPAGE:AaEG		CONTAINS:10000|Any		SIZE:G		
Yacht		TYPE:Goods.Transportation.Container.Ships.WaterShip	COST:30000	WT:0	SOURCEPAGE:AaEG		CONTAINS:60000|Any		SIZE:C		
Ironclad		TYPE:Goods.Transportation.Container.Ships.WaterShip	COST:30000	WT:0	SOURCEPAGE:AaEG		CONTAINS:2000|Any		SIZE:C		
Gnome Submersible		TYPE:Goods.Transportation.Container.Ships.WaterShip	COST:80000	WT:0	SOURCEPAGE:AaEG		CONTAINS:40000|Any		SIZE:C		
Barge		TYPE:Goods.Transportation.Container.Ships.WaterShip	COST:6000	WT:0	SOURCEPAGE:AaEG		CONTAINS:200000|Any		SIZE:C		
Hang Glider		TYPE:Goods.Transportation.Ships.AirShip	COST:300	WT:0	SOURCEPAGE:AaEG				SIZE:L		
Ornithopter		TYPE:Goods.Transportation.Ships.AirShip	COST:4000	WT:0	SOURCEPAGE:AaEG				SIZE:L		
Zeppelin		TYPE:Goods.Transportation.Container.Ships.AirShip	COST:60000	WT:0	SOURCEPAGE:AaEG		CONTAINS:20000|Any		SIZE:C		
Dirigible		TYPE:Goods.Transportation.Container.Ships.AirShip	COST:35000	WT:0	SOURCEPAGE:AaEG		CONTAINS:10000|Any		SIZE:G		
Carriage (Huge)	OUTPUTNAME:Carriage, Huge	TYPE:Goods.Transportation.Container	COST:500	WT:400	SOURCEPAGE:AaEG		CONTAINS:500|Any		SIZE:H		
Cart (Large)	OUTPUTNAME:Cart, Large	TYPE:Goods.Transportation.Container	COST:15	WT:200	SOURCEPAGE:AaEG		CONTAINS:500|Any		SIZE:L		
Chariot (Single)	OUTPUTNAME:Chariot, Single	TYPE:Goods.Transportation	COST:100	WT:300	SOURCEPAGE:AaEG				SIZE:M		
Chariot (Double)	OUTPUTNAME:Chariot, Double	TYPE:Goods.Transportation	COST:400	WT:600	SOURCEPAGE:AaEG				SIZE:L		
Mobile Redbout		TYPE:Goods.Transportation.Container	COST:1500	WT:8000	SOURCEPAGE:AaEG		CONTAINS:1000|Any		SIZE:H		
Siege Tower (Large)	OUTPUTNAME:Siege Tower, Large	TYPE:Goods.SiegeEngine	COST:4000	WT:32000	SOURCEPAGE:AaEG	SPROP:5 man crew + 25 soldiers			SIZE:H		
Siege Tower (Small)	OUTPUTNAME:Siege Tower, Small	TYPE:Goods.SiegeEngine	COST:1000	WT:16000	SOURCEPAGE:AaEG	SPROP:1 man crew + 15 soldiers			SIZE:H		
Sled (Ice)		TYPE:Goods.Transportation.Container	COST:20	WT:300	SOURCEPAGE:AaEG		CONTAINS:1000|Any		SIZE:L		
Stagecoach		TYPE:Goods.Transportation.Container	COST:800	WT:750	SOURCEPAGE:AaEG	SPROP:1 man crew + 7 passengers	CONTAINS:1000|Any		SIZE:H		
Worg Warsled		TYPE:Goods.Transportation.Container	COST:400	WT:900	SOURCEPAGE:AaEG		CONTAINS:700|Any		SIZE:H		
Halfling Warwagon		TYPE:Goods.Transportation.Container	COST:800	WT:750	SOURCEPAGE:AaEG	SPROP:1 man crew + 7 passengers	CONTAINS:1000|Any		SIZE:H		
Siege Tower (WarWagon)	OUTPUTNAME:Siege Tower, War Wagon	TYPE:Goods.Transportation.Container	COST:2000	WT:1000	SOURCEPAGE:AaEG		CONTAINS:4000|Any		SIZE:G		
