SOURCELONG:Arms and Equipment Guide 3.0	SOURCESHORT:AaEG30	SOURCEWEB:http://www.gozzilioni.net
#																														
# Modifier Name		Unique Key	Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads
Mighty		KEY:WHIPSTR	NAMEOPT:NONAME	TYPE:Whip.Mighty	COST:0	VISIBLE:QUALIFY			SOURCEPAGE:AaEG30	PRETYPE:1,Mighty	BONUS:ITEMCOST|TYPE.Whip|100*%CHOICE|PREVARGT:%CHOICE,0	BONUS:ITEMCOST|TYPE.WhipDagger|25|PREVARGT:%CHOICE,0	BONUS:WEAPON|TOHIT|-2|PREVARGT:%CHOICE,STR	BONUS:WEAPON|DAMAGE|min(%CHOICE,STR)	SPROP:%CHOICE bonus to damage	TEMPVALUE:MIN=-5|MAX=100|TITLE=STR mod	ASSIGNTOALL:YES													
Eager	KEY:EAGE_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:grants a +2 bonus on its owner's initiative checks. Drawns as free action.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO		BONUS:COMBAT|INITIATIVE|2												
Everbright	KEY:EVER_BRIGHT_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:The weapon is immune to acid and rust attack, 2/day all in 20-ft radius must Reflex DC 14 or Blind 1d4 rounds.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO														
Everbright	KEY:EVER_BRIGHT_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:The weapon is immune to acid and rust attack, 2/day all in 20-ft radius must Reflex DC 14 or Blind 1d4 rounds.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Everbright	KEY:EVER_BRIGHT_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:The weapon is immune to acid and rust attack, 2/day all in 20-ft radius must Reflex DC 14 or Blind 1d4 rounds.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
Fierce	KEY:FIERCE	TYPE:Weapon	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:It allows the wielder to transfer some or all of his Dexterity bonus to damage rolls (reducing his Armor Class by the same amount). As a free action, the wielder chooses how to allocate his Dexterity bonus at the start of his turn, and the effect lasts until his next turn.	PRETYPE:2,Enhancement,Weapon									ASSIGNTOALL:NO														
Force	KEY:FORCE_A	TYPE:Ammunition	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Force damage.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO														
Force	KEY:FORCE_M	TYPE:Weapon.Melee.Thrown	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Force damage.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Force	KEY:FORCE_R	TYPE:Weapon.Ranged	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Force damage bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
Fortunate	KEY:FORTUNE	TYPE:Weapon	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1 luck on all saving throws.	PRETYPE:2,Enhancement,Weapon									ASSIGNTOALL:NO		BONUS:SAVE|ALL|1|TYPE=Luck												
Grasping	KEY:GRASP_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:It grants its wielder a +2 circumstance bonus on trip and disarm attempts.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Harmony	KEY:HARMONY_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:When flanking an opponent, the wielder of this weapon gains a +4 bonus on attacks rather than the normal +2 bonus for flanking.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Heartfinder	KEY:HEARTFIND_M	TYPE:Weapon.Melee.Thrown.Piercing	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Sneak Attack damage.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,Piercing							ASSIGNTOALL:NO		BONUS:VAR|SneakAttackDice|1	ABILITY:Special Ability|VIRTUAL|Sneak Attack											
Impact	KEY:IMPACT	TYPE:Weapon.Bludgeoning	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Threat range doubled.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,Bludgeoning							ASSIGNTOALL:NO		BONUS:EQMWEAPON|CRITRANGEDOUBLE|1|TYPE=NonStackingCrit												
Ki Focus	KEY:KI_FOCUS	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Can use ki attacks through weapon.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Knockback	KEY:KNOCKBACK_A	TYPE:Ammunition	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Fortitude save (DC 19) or be knocked back 10 feet.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO														
Knockback	KEY:KNOCKBACK_M	TYPE:Weapon.Melee.Thrown	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Fortitude save (DC 19) or be knocked back 10 feet.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Knockback	KEY:KNOCKBACK_R	TYPE:Weapon.Ranged	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Fortitude save (DC 19) or be knocked back 10 feet.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
Merciful	KEY:MERCIFUL_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:deals an extra 1d6 points of damage, and all damage it deals is nonlethal damage.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO														
Merciful	KEY:MERCIFUL_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:deals an extra 1d6 points of damage, and all damage it deals is nonlethal damage.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Merciful	KEY:MERCIFUL_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:deals an extra 1d6 points of damage, and all damage it deals is nonlethal damage.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
Precise	KEY:PRECISE_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Shot to an opponent engaged in melee without the standard -4 penalty	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Precise	KEY:PRECISE_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Shot to an opponent engaged in melee without the standard -4 penalty	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
Proficent	KEY:PROFICENT_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Negate non proficent penalty	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Proficent	KEY:PROFICENT_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Negate non proficent penalty	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
###TODO: CONTAINS:1|Bolt=100
Quick Loading	KEY:QUICK_LOAD_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Load up to 100 bolts as free action if hand or light crossbow, move equivalent action if heavy crossbow.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO		ITYPE:Container												
Radiant	KEY:RADIANT_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Daylight as the spell at will	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO		SPELLS:Radiant|TIMES=ATWILL|CASTERLEVEL=9|Daylight,14												
Radiant	KEY:RADIANT_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Daylight as the spell at will	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO		SPELLS:Radiant|TIMES=ATWILL|CASTERLEVEL=9|Daylight,14												
Radiant	KEY:RADIANT_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Daylight as the spell at will	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO		SPELLS:Radiant|TIMES=ATWILL|CASTERLEVEL=9|Daylight,14												
Screaming	KEY:SCREAM_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Sonic damage.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:STUN_A													
Screaming	KEY:SCREAM_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Sonic damage.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:STUN_M													
Screaming	KEY:SCREAM_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Sonic damage bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:STUN_R													
Seeking	KEY:SEEK_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:DMG	SPROP:Negates miss chance from concealment.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO														
Seeking	KEY:SEEK_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:DMG	SPROP:Negates miss chance from concealment.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
Shadowstrike	KEY:SHADOWSTRIKE_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:1/day reach the target 5-ft through his shadow.	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO														
Shadowstrike	KEY:SHADOWSTRIKE_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:1/day reach the target 5-ft through his shadow.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Shadowstrike	KEY:SHADOWSTRIKE_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:1/day reach the target 5-ft through his shadow.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO														
Shrinking	KEY:SHRINK	TYPE:Weapon	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:the weapon can shrink as the Shrink Item spell on command.	PRETYPE:2,Enhancement,Weapon									ASSIGNTOALL:NO														
Stunning	KEY:STUN_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Sonic damage plus stun (Fort DC 17).	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO	REPLACES:SCREAM_A													
Stunning	KEY:STUN_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Sonic damage plus stun (Fort DC 17).	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO	REPLACES:SCREAM_M													
Stunning	KEY:STUN_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:+1d6 Sonic damage plus stun (Fort DC 17) bestowed on ammunition.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO	REPLACES:SCREAM_R													
Sure Striking	KEY:SURE_STRIKE_A	TYPE:Ammunition	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Overcome any 5/magic damage reduction	PRETYPE:2,Enhancement,Ammunition									ASSIGNTOALL:NO													ASSIGNTOALL:NO	
Sure Striking	KEY:SURE_STRIKE_M	TYPE:Weapon.Melee	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Overcome any 5/magic damage reduction	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO													ASSIGNTOALL:NO	
Sure Striking	KEY:SURE_STRIKE_R	TYPE:Weapon.Ranged	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Overcome any 5/magic damage reduction	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown								ASSIGNTOALL:NO													ASSIGNTOALL:NO	
Sweeping	KEY:SWEEP_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:It grants its wielder a +4 circumstance bonus on STR check made in trip attempts.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														
Vicious	KEY:VICIOUS_M	TYPE:Weapon.Melee.Thrown	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:Deals extra 2d6 damage to target plus 1d6 damage to user.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown								ASSIGNTOALL:NO														

Int. Item (Two abilities at 12)	KEY:GEM_INT_ITEM_1	NAMEOPT:NOTHING	TYPE:Gem		COST:1000	VISIBLE:QUALIFY	ITYPE:Type1		REPLACES:GEM_INT_ITEM_2,GEM_INT_ITEM_3,GEM_INT_ITEM_4,GEM_INT_ITEM_5,GEM_INT_ITEM_6,GEM_INT_ITEM_7,GEM_INT_ITEM_8	SOURCEPAGE:DMG	PRETYPE:2,IntItem,Gem		!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8					SPROP:Empathy, 30' vision and hearing
Int. Item (Two abilities at 13)	KEY:GEM_INT_ITEM_2	NAMEOPT:NOTHING	TYPE:Gem		COST:2000	VISIBLE:QUALIFY	ITYPE:Type2		REPLACES:GEM_INT_ITEM_1,GEM_INT_ITEM_3,GEM_INT_ITEM_4,GEM_INT_ITEM_5,GEM_INT_ITEM_6,GEM_INT_ITEM_7,GEM_INT_ITEM_8	SOURCEPAGE:DMG	PRETYPE:2,IntItem,Gem		!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8					SPROP:Empathy, 60' vision and hearing
Int. Item (Two abilities at 14)	KEY:GEM_INT_ITEM_3	NAMEOPT:NOTHING	TYPE:Gem		COST:4000	VISIBLE:QUALIFY	ITYPE:Type3		REPLACES:GEM_INT_ITEM_1,GEM_INT_ITEM_2,GEM_INT_ITEM_4,GEM_INT_ITEM_5,GEM_INT_ITEM_6,GEM_INT_ITEM_7,GEM_INT_ITEM_8	SOURCEPAGE:DMG	PRETYPE:2,IntItem,Gem		!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8					SPROP:Speech, 120' vision and hearing
Int. Item (Two abilities at 15)	KEY:GEM_INT_ITEM_4	NAMEOPT:NOTHING	TYPE:Gem		COST:5000	VISIBLE:QUALIFY	ITYPE:Type4		REPLACES:GEM_INT_ITEM_1,GEM_INT_ITEM_2,GEM_INT_ITEM_3,GEM_INT_ITEM_5,GEM_INT_ITEM_6,GEM_INT_ITEM_7,GEM_INT_ITEM_8	SOURCEPAGE:DMG	PRETYPE:2,IntItem,Gem		!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8					SPROP:Speech, 60' darkvision and hearing
Int. Item (Two abilities at 16)	KEY:GEM_INT_ITEM_5	NAMEOPT:NOTHING	TYPE:Gem		COST:6000	VISIBLE:QUALIFY	ITYPE:Type5		REPLACES:GEM_INT_ITEM_1,GEM_INT_ITEM_2,GEM_INT_ITEM_3,GEM_INT_ITEM_4,GEM_INT_ITEM_6,GEM_INT_ITEM_7,GEM_INT_ITEM_8	SOURCEPAGE:DMG	PRETYPE:2,IntItem,Gem		!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8	BONUS:VAR|ItemEgo|1	SPROP:Speech (may read any language it speaks), 60' darkvision and hearing
Int. Item (Two abilities at 17)	KEY:GEM_INT_ITEM_6	NAMEOPT:NOTHING	TYPE:Gem		COST:9000	VISIBLE:QUALIFY	ITYPE:Type6		REPLACES:GEM_INT_ITEM_1,GEM_INT_ITEM_2,GEM_INT_ITEM_3,GEM_INT_ITEM_4,GEM_INT_ITEM_5,GEM_INT_ITEM_7,GEM_INT_ITEM_8	SOURCEPAGE:DMG	PRETYPE:2,IntItem,Gem		!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8	BONUS:VAR|ItemEgo|2	SPROP:Speech (may read any language it speaks), Telepathy, 120' darkvision and hearing
Int. Item (Two abilities at 18)	KEY:GEM_INT_ITEM_7	NAMEOPT:NOTHING	TYPE:Gem		COST:12000	VISIBLE:QUALIFY	ITYPE:Type7		REPLACES:GEM_INT_ITEM_1,GEM_INT_ITEM_2,GEM_INT_ITEM_3,GEM_INT_ITEM_4,GEM_INT_ITEM_5,GEM_INT_ITEM_6,GEM_INT_ITEM_8	SOURCEPAGE:DMG	PRETYPE:2,IntItem,Gem		!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8	BONUS:VAR|ItemEgo|3	SPROP:Speech (can read all languages and magic), Telepathy, 120' darkvision and blindsense and hearing
Int. Item (Two abilities at 19)	KEY:GEM_INT_ITEM_8	NAMEOPT:NOTHING	TYPE:Gem		COST:15000	VISIBLE:QUALIFY	ITYPE:Type8		REPLACES:GEM_INT_ITEM_1,GEM_INT_ITEM_2,GEM_INT_ITEM_3,GEM_INT_ITEM_4,GEM_INT_ITEM_5,GEM_INT_ITEM_6,GEM_INT_ITEM_7	SOURCEPAGE:DMG	PRETYPE:2,IntItem,Gem		!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8	BONUS:VAR|ItemEgo|3	SPROP:Speech (can read all languages and magic), Telepathy, 120' darkvision and blindsense and hearing

Vulnerability	KEY:VULNERABLE	TYPE:Armor	PLUS:1	VISIBLE:QUALIFY	SOURCEPAGE:AaEG30	SPROP:all critical rolls against the wearer are automatically successful (so every threat is a critical hit).	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]									ASSIGNTOALL:YES														
