SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																								
																											
###Block: AB																											
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus		
Electric Jolt				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Electricity	CLASSES:Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:You release a small stroke of electrical energy.	SOURCEPAGE:MoF30										
Elminster's Effulgent Epuration				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:One glowing sphere/level	DURATION:Until expended or 10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You create multiple floating silvery spheres, each 6 inches in diameter.	SOURCEPAGE:MoF30										
Energy Tranformation Field				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M, XP	CASTTIME:4 full rounds	RANGE:Close	TARGETAREA:40-ft radius spread	DURATION:Permanent	SAVEINFO:None	SPELLRES:Yes	DESC:You create a lingering zone of transformative magic that absorbs magic energy from magic items or spellcasting in order to power another spell tied to that location. Material Component: Three drops of your blood, an eye from any humanoid, and 5,000 gp worth of powdered diamond. XP Cost: 250 XP.	SOURCEPAGE:MoF30		COST:5000	XPCOST:250							
Explosive Cascade				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One 5-ft square/level, all of wich must be connected in one continuous path	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You cause a bright ball of flame to bound and skip across the battlefield, damaging targets within its area. Material Component: Bat guano, sulfur, and copper packed into a metal tube with one closed end.	SOURCEPAGE:MoF30										
Faith Healing				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Blackguard=1|Cleric=1|Paladin=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:Instantaneous	SAVEINFO:Will half (harmless)	SPELLRES:Yes	DESC:When laying your hand upon a living creature, you channel positive energy that cures 8 points of damage +1 point per caster level (up to +5).	SOURCEPAGE:MoF30										
Favor of Ilmater		VARIANTS:Divine Fortitude|Pact of Martyrdom		TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=4|Paladin=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One willing creature	DURATION:1 minute/level or Instantaneous	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:This spell has two possible effects.	SOURCEPAGE:MoF30										
Fiendform				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Evil	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, M	CASTTIME:1 action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hours/level	SAVEINFO:None	SPELLRES:No	DESC:As polymorph self (see polymorph self, page 239 of the Player's Handbook), except as noted above and as follows. Material Component: A bone from any fiendish creature, half-fiendish creature, demon, or devil.	SOURCEPAGE:MoF30	ITEM:Potion						TEMPBONUS:ANYPC|SKILL|Disguise|10|TYPE=Temporary			
Fire Spiders				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Fire	CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:240 fiery spiders that cover a 20-ft radius spread	DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You call forth a swarm of 240 fire elementals the size of common spiders. Material Component: A handful of rubies or ruby dust worth at least 500 gp.	SOURCEPAGE:MoF30		COST:500								
Firebrand				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 5-ft radius burst/level	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You create up to one mass of flame per level to explode upon the battlefield. Material Component: A flask of alchemist's fire.	SOURCEPAGE:MoF30										
Flame Dagger				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:A daggerlike beam	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:A 1-foot-long, blazing beam of red-hot fire springs forth from your hand. Material Component: A candle, not necessarily lit.	SOURCEPAGE:MoF30										
Force Ladder				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One ladder of force up to 60-ft long	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You create a transparent ladder made of force. Focus: A miniature silver ladder.	SOURCEPAGE:MoF30										
Forceward				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=3|Paladin=3	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:10 ft.	TARGETAREA:10-ft radius emanation centered on you.	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You create an unmoving, transparent sphere of force centered on your location.	SOURCEPAGE:MoF30										
Forcewave				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Wave of force affecting one creature.	DURATION:Instantaneous	SAVEINFO:Fortitude partial 	SPELLRES:Yes	DESC:You cause a wave of visible force resembling a crashing ocean wave to appear and immediately impact a single target. Focus: A small piece of string and a drop of water.	SOURCEPAGE:MoF30										
Fortunate Fate				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=7	COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level or until discharged	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:You surround the subject with an aura that immediately heals her if she suffers an attack that would kill her (reduce her hit points to -10 or below).	SOURCEPAGE:MoF30										
Gedlee's Electric Loop				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Electricity	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft radius burst.	DURATION:Instantaneous	SAVEINFO:Reflex half (see text)	SPELLRES:Yes	DESC:You create a small stroke of lightning that cycles through all creatures in the area. Material Component: A loop of copper wire and a magnet.	SOURCEPAGE:MoF30										
G'Elsewhere Chant				TYPE:Spell	SCHOOL:Transmutation	SUBSCHOOL:Teleportation	DESCRIPTOR:Sonic	CLASSES:Bard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature or object.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You teleport a target to a random, safe location up to 100 feet distant and visible to you.	SOURCEPAGE:MoF30										
Gemjump				TYPE:Spell	SCHOOL:Transmutation	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 full round	RANGE:Unlimited (see text)	TARGETAREA:You and objects and willing creatures totaling up to 50 lbs/level.	DURATION:Until triggered	SAVEINFO:None or Will negates (harmless, object)	SPELLRES:No or Yes	DESC:This spell teleports you to the location of a specially prepared gem. Focus: A rogue stone.	SOURCEPAGE:MoF30										
General of Undeath				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=8	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:You increase the number of Hit Dice of undead that you can control.	SOURCEPAGE:MoF30							TEMPVALUE:MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:PC|VAR|RebukeHDUndead|10*%CHOICE		
Ghorus Toth's Metal Melt				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Fire	CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Metal object weighting up to 5 lb/level	DURATION:1 round	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:You alter the physical properties of a metal object so that it runs like water. Material Component: A drop of mercury in a vial.	SOURCEPAGE:MoF30										
Ghostharp				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=0	COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Any object	DURATION:5 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You prepare an object that records and replays a song previously played or sung in its vicinity.	SOURCEPAGE:MoF30										
Glory of the Martyr				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Paladin=4	COMPS:V, S, F, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As shield other, except as noted above.	SOURCEPAGE:MoF30										
Ironguard (Greater)	OUTPUTNAME:Ironguard, Greater			TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You or a creature you touch is immune to nonmagical metal and magic metal with less than a +3 enhancement bonus. Material Component: A tiny shield of wood, glass, or Crystal. Focus: A small nugget of adamantine worth 100 gp.	SOURCEPAGE:MoF30		COST:100								
Mage Hand (Greater)	OUTPUTNAME:Mage Hand, Greater			TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One object or creature weigthing up to 10 pounds/level	DURATION:Concentration	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You point your finger at a target and can lift it and move it at will from a distance.	SOURCEPAGE:MoF30										
Great Thunderclap				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft/level-radius spread	DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:No	DESC:You create a loud noise equivalent to a peal of thunder and its accompanying shock wave. Focus: An iron bell.	SOURCEPAGE:MoF30										
Gutsnake				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:One magical snakelike tentacle	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You sprout a 15-foot-long tentacle from your stomach that can attack enemies. Focus: A fang from any reptile.	SOURCEPAGE:MoF30										
Handfire				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Light	CLASSES:Cleric=1|Druid=1|Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:You surround your hand with winking motes of light resembling a cluster of constantly renewed sparks.	SOURCEPAGE:MoF30										
Hand of Divinity		VARIANTS:Good|Evil		TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:See text	CLASSES:Blackguard=2|Cleric=2|Paladin=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 minute/level	SAVEINFO:Will negates (harmless); See text	SPELLRES:Yes	DESC:You give the subject a protective aura of divine energy that allows her a bonus on all saving throws.	SOURCEPAGE:MoF30										
Hand of Torm				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:See text	CLASSES:Cleric=4|Paladin=4	COMPS:V, S, DF	CASTTIME:1 minute	RANGE:10 ft.	TARGETAREA:10-ft radius emanation centered on you	DURATION:1 hour/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You create an immobile zone of warding that is permeable to those of your religion but repels all others.	SOURCEPAGE:MoF30										
Hardening				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One item of a volume no greater than 10 cu.ft/level.	DURATION:Permanent	SAVEINFO:None (object)	SPELLRES:Yes	DESC:This spell increases the hardness of materials (see Table 8-12: Substance Hardness and Hit Points, page 136 of the Player's Handbook).	SOURCEPAGE:MoF30										
Harmony				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	CLASSES:Bard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:Variable	SAVEINFO:None	SPELLRES:No	DESC:When you play your instrument, sing your song, recite your epic poem, or speak your words of encouragement, you fill your allies with greater confidence than normal.	SOURCEPAGE:MoF30										
Haunting Tune				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	CLASSES:Bard=3	COMPS:V, S	CASTTIME:1 full round	RANGE:Medium	TARGETAREA:1 target/level	DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Your song or poem causes a deep depression in intelligent creatures.	SOURCEPAGE:MoF30										
Healing Sting				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Druid=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one living creature	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You inflict 1d6 points of damage +1 point/level damage to a living creature and gain an equal amount of hit points. Material Component: Five dried wasp bodies.	SOURCEPAGE:MoF30										
Healing Touch				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Instantaneous	SAVEINFO:Will half (harmless); See text	SPELLRES:Yes	DESC:You transfer some of your life essence to another creature, healing it.	SOURCEPAGE:MoF30										
Herald's Call				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	CLASSES:Bard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:30-ft radius burst centered on you.	DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You produce a crowd-stopping shout that holds an air of authority others find difficult to ignore.	SOURCEPAGE:MoF30										
Holy Star				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Protective star of energy	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You create a glowing mote of energy that stays near your shoulder, providing light equal to a candle.	SOURCEPAGE:MoF30										
Horizikaul's Boom				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:You blast the target with loud and high-pitched sounds.	SOURCEPAGE:MoF30										
Horizikaul's Cough				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object	DURATION:Instantaneous	SAVEINFO:Will partial	SPELLRES:Yes	DESC:You create a brief but loud noise adjacent to the target.	SOURCEPAGE:MoF30										
Horizikaul's Versatile Vibration				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone	DURATION:Concentration, up to 1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You create a cone of powerful sound that can be used to attack or move objects or creatures. Focus: A hollow cone of brass and gold worth 50 gp.	SOURCEPAGE:MoF30		COST:50								
Hunter's Mercy				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:This transmutation makes a bow strike true.	SOURCEPAGE:MoF30										
Ice Dagger				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Cold	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Dagger of ice	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You create a dagger-shaped piece of ice that launches itself at a target within range as a grenadelike weapon. Material Component: A few drops of water made from melted ice.	SOURCEPAGE:MoF30										
Igedrazaar's Miasma				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:15-ft-radius burst	DURATION:1 round	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You conjure a cloud of foul-looking gray fog. Focus: Three polished gray stones.	SOURCEPAGE:MoF30										
Inferno				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Fire	CLASSES:Druid=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You cause one creature to burst into flames. Material Component: A gob of beeswax.	SOURCEPAGE:MoF30										
Infestation of Maggots				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Druid=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/2 levels	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:With a successful melee touch attack, you infest a target with maggotlike creatures. Material Component: A handful of dead, dried flies.	SOURCEPAGE:MoF30										
Iron Bones				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Sorcerer=4|Wizard=4	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Corporeal undead creature touched	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As stone bones, except the target creature's skeleton changes to iron.	SOURCEPAGE:MoF30					TEMPBONUS:ANYPC|COMBAT|AC|5|TYPE=NaturalArmor					
Ironguts				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You make a creature more able to fight the effects of poison.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|VAR|SpellIronguts|1|TYPE=Temporary			
Jaws of the Wolf				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=4	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more created wolves	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You turn small wooden carvings into wolves (one for every two caster levels) that appear between you and your opponents. Focus: One carving of a wolf for each that you create.	SOURCEPAGE:MoF30										
Kaupaer's Skittish Nerves				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:You enhance the target's reactions in combat, granting him a +5 bonus on initiative checks.	SOURCEPAGE:MoF30					TEMPBONUS:ANYPC|COMBAT|INITIATIVE|5					
Khelben's Suspended Silence				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One object	DURATION:Permanent or until discharged; 6 rounds (see text)	SAVEINFO:None (object)	SPELLRES:No	DESC:You imbue the touched object with a magical effect. Material Component: A feather and a handful of gem dust worth 50 gp.	SOURCEPAGE:MoF30		COST:50								
Kiss of the Vampire				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You draw upon the powers of unlife to give yourself abilities similar to those of a vampire. Material Component: A black onyx worth at least 50 gp that has been carved with the image of a fang-mouthed face.	SOURCEPAGE:MoF30		COST:50								
Know Greatest Enemy				TYPE:Spell	SCHOOL:Divination			CLASSES:Blackguard=3|Paladin=3	COMPS:V, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Quarter circle emanating from you to the extreme of the range.	DURATION:Concentration, up to 1 round/level	SAVEINFO:None; See Text	SPELLRES:Yes	DESC:This spell evaluates the creatures in the area and determines the relative power level of each.	SOURCEPAGE:MoF30										
Know Protection				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You learn many of the unusual defenses the target creature has.	SOURCEPAGE:MoF30										
Know Vulnerabilities				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=4|Cleric=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You learn any vulnerabilities and resistances the target creature has.	SOURCEPAGE:MoF30										
Laeral's Cutting Hand				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your hand	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You alter the structure of your hand so that it becomes as hard and sharp as a blade.	SOURCEPAGE:MoF30					TEMPBONUS:PC|COMBAT|TOHIT.Unarmed|2|TYPE=Enhancement					
Land Womb				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Druid=4|Ranger=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one other creature/level	DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You descend into a protective bubble in the earth below where you were standing.	SOURCEPAGE:MoF30										
Launch Bolt				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One crossbow bolt in your possession	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You cast this spell on a crossbow bolt, causing it to fly at a target of your choice as if you had fired it from a light crossbow.	SOURCEPAGE:MoF30										
Launch Item				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=1|Wizard=1	COMPS:S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One Fine item in your possession, weighting up to 10 lb	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You cause a Fine item in your possession to fly at great speed to a target or location you specify.	SOURCEPAGE:MoF30										
Life Bolt				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One ray/2 levels	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:You draw forth some of your own life force to create a beam of positive energy that harms undead.	SOURCEPAGE:MoF30										
Living Prints				TYPE:Spell	SCHOOL:Divination			CLASSES:Ranger=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You perceive tracks as if they had just been made.	SOURCEPAGE:MoF30										
Low-Light Vision				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Assassin=1|Ranger=1|Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:You give the subject creature low-light vision, the ability to see twice as far as a human in starlight, moonlight, torchlight, and similar conditions of poor illumination. Arcane Material Component: A small candle.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|VAR|HasLowLightVision|1|TYPE=Temporary			
Loyal Vassal				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Lawful	CLASSES:Paladin=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Up to one willing creature/3 levels touched	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You protect the target against mind-affecting effects, giving all affected creatures a +3 sacred bonus on saving throws against such attacks.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|VAR|SpellLoyalVassal|1|TYPE=Temporary			
Lutzaen's Frequent Jaunt				TYPE:Spell	SCHOOL:Transmutation	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=5|Wizard=5	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You and touched objects or other touched willing creatures	DURATION:1 round/2 levels	SAVEINFO:See text	SPELLRES:See Text	DESC:As dimension door, except as noted above and that you can transfer yourself once per round as a move-equivalent action that does not provoke an attack of opportunity.	SOURCEPAGE:MoF30										
Mace of Odo				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Cleric=3	COMPS:V, S, DF	CASTTIME:1 full round	RANGE:0 ft.	TARGETAREA:Mace of force	DURATION:1 round/level	SAVEINFO:Fortitude negates; See text	SPELLRES:Yes	DESC:You create a glowing mace of force that appears in your hand.	SOURCEPAGE:MoF30										
Camouflage (Mass)	OUTPUTNAME:Camouflage, Mass			TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=4|Ranger=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Any number of creatures, no two of wich can be more that 60-ft apart	DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:As camouflage, except the effect is mobile with the group.	SOURCEPAGE:MoF30									TEMPBONUS:ANYPC|SKILL|Hide|10|TYPE=Competence	
Teleport (Mass)	OUTPUTNAME:Teleport, Mass			TYPE:Spell	SCHOOL:Transmutation	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 full round	RANGE:Personal and touch	TARGETAREA:touched objects or touched willing creatures weighting up to 100 lb/level	DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:See Text	DESC:As teleport (see page 264 of the Player's Handbook), except as noted above.	SOURCEPAGE:MoF30										
Master Air				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You sprout a pair of insubstantial feathery or batlike (your choice) wings. Focus: A wing feather from any bird or the wing bone of any bat.	SOURCEPAGE:MoF30										
