SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																							
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE											
1				ABILITY:Spelldancer Class Feature|AUTOMATIC|Spelldancer ~ Spelldance|!PREABILITY:1,CATEGORY=ACF,TYPE.SpelldancerSpelldance																			
2				ABILITY:Spelldancer Class Feature|AUTOMATIC|Spelldancer ~ Enthralling Dance|!PREABILITY:1,CATEGORY=ACF,TYPE.SpelldancerEnthrallingDance																			
2				ABILITY:Spelldancer Class Feature|AUTOMATIC|Spelldancer ~ Evasion|!PREABILITY:1,CATEGORY=ACF,TYPE.SpelldancerEvasion																			
3				ABILITY:Spelldancer Class Feature|AUTOMATIC|Spelldancer ~ Cooperative Dance|!PREABILITY:1,CATEGORY=ACF,TYPE.SpelldancerCooperativeDancer																			
4				ABILITY:Spelldancer Class Feature|AUTOMATIC|Spelldancer ~ Sleep Dance|!PREABILITY:1,CATEGORY=ACF,TYPE.SpelldancerSleepDance																			
5				ABILITY:Spelldancer Class Feature|AUTOMATIC|Spelldancer ~ Confusing Dance|!PREABILITY:1,CATEGORY=ACF,TYPE.SpelldancerConfusingDance																			
#																							
1	ADD:SPELLCASTER|ANY																						
2	ADD:SPELLCASTER|ANY																						
3	ADD:SPELLCASTER|ANY																						
4	ADD:SPELLCASTER|ANY																						
5	ADD:SPELLCASTER|ANY																						
																							
CLASS:Spellfire Channeler	HD:4	TYPE:PC.Prestige	FACT:Abb|Sfc	MAXLEVEL:5	SOURCEPAGE:MoF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:SpellfireChannelerLVL|0	BONUS:VAR|SpellfireChannelerLVL|CL		BONUS:VAR|ClassBABPoor|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1								
CLASS:Spellfire Channeler	PRESKILL:1,Concentration=8	PRESKILL:2,Knowledge (Arcana)=2,Spellcraft=2	PREABILITY:2,CATEGORY=FEAT,Endurance,Spellfire Wielder																				
CLASS:Spellfire Channeler	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE.Craft|Disguise|Heal|Intimidate|Knowledge (arcana)|TYPE.Profession|Sense motive|spellcraft|Survival																					
1				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireChannelerProficiencies																			
#																							
1				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Drain Charged Item|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireChannelerDrainChargedItem																			
1				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Increased Storage|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireChannelerIncreasedStorage																			
2				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Improved Healing|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireChannelerImprovedHealing																			
3				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Weapon Focus|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireChannelerWeaponFocus																			
4				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Rapid Blast|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireChannelerRapidBlast																			
5				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Drain Permanent Item|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireDrainPermanentItem																			
6				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Flight|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireFlight																			
7				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Deflect Arrows|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireDeflectArrows																			
9				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Crown of Fire|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireCrownOfFire																			
10				ABILITY:Spellfire Channeler Class Feature|AUTOMATIC|Spellfire Channeler ~ Maelstrom of Fire|!PREABILITY:1,CATEGORY=ACF,TYPE.SpellfireMaelstromOfFire																			
																							
CLASS:War Wizard of Cormyr	HD:4	TYPE:PC.Prestige	FACT:Abb|WwC	MAXLEVEL:5	SOURCEPAGE:MoF	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:WarWizardOfCormyrLVL|0	BONUS:VAR|WarWizardOfCormyrLVL|CL		BONUS:VAR|ClassBABPoor|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1								
CLASS:War Wizard of Cormyr	PREALIGN:LG,LN,NG,TN	PRESKILL:1,Spellcraft=10	PREABILITY:2,CATEGORY=FEAT,Enlarge Spell,Widen Spell	PREABILITY:1,CATEGORY=FEAT,Martial Weapon Focus	PRETEXT:Able to cast 4rd-level arcane spells.																		
CLASS:War Wizard of Cormyr	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|TYPE.Profession|Spellcraft																					
1				ABILITY:War Wizard of Cormyr Class Feature|AUTOMATIC|War Wizard of Cormyr ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.WarWizardOfCormyrProficiencies																			
1				ABILITY:War Wizard of Cormyr Class Feature|AUTOMATIC|War Wizard of Cormyr ~ Spells per Day																			
#																							
1				ABILITY:War Wizard of Cormyr Class Feature|AUTOMATIC|War Wizard of Cormyr ~ Weapon Focus|!PREABILITY:1,CATEGORY=ACF,TYPE.WarWizardOfCormyrWeaponFocus																			
2				ABILITY:War Wizard of Cormyr Class Feature|AUTOMATIC|War Wizard of Cormyr ~ Metamagic Feat|!PREABILITY:1,CATEGORY=ACF,TYPE.WarWizardOfCormyrMetamagicFeat																			
3				ABILITY:War Wizard of Cormyr Class Feature|AUTOMATIC|War Wizard of Cormyr ~ Widen Spell|!PREABILITY:1,CATEGORY=ACF,TYPE.WarWizardOfCormyrWidenSpell																			
5				ABILITY:War Wizard of Cormyr Class Feature|AUTOMATIC|War Wizard of Cormyr ~ Enhanced Spell Area|!PREABILITY:1,CATEGORY=ACF,TYPE.WarWizardOfCormyrEnhancedSpellArea																			
#																							
1	ADD:SPELLCASTER|ANY																						
2	ADD:SPELLCASTER|ANY																						
3	ADD:SPELLCASTER|ANY																						
4	ADD:SPELLCASTER|ANY																						
5	ADD:SPELLCASTER|ANY																						
