SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-02
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	DESC:Beholder mage neither gain nor lose proficiency with any weapons, armor, or shields by gaining levels in this class.					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Spell Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.MageKillerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level, the character gains a bonus Spell Focus feat in one of the following schools: Conjuration, Evocation, Necromancy, or Transmutation. Every even-numbered level thereafter, the character gains another bonus Spell Focus feat in one of these schools, until at 10th level the magekiller has Spell Focus for all four schools listed.	KEY:Mage-Killer ~ Spell Focus									BONUS:ABILITYPOOL|Mage-Killer Spell Focus|(MageKillerLVL-2)/2																	SORTKEY:Class_Mage-Killer	SOURCEPAGE:MoF30	
Spell Focus Chooser	CATEGORY:Special Ability	TYPE:ClassFeatures.MageKillerClassFeatures.MageKillerSpellfocus.SpecialQuality	VISIBLE:YES	DESC:Choose a school from Conjuration, Evocation, Necromancy or Transmutation.	KEY:Mage-Killer ~ Spell Focus ~ Spell Focus Chooser														STACK:NO	MULT:YES	CHOOSE:SCHOOLS|Conjuration|Evocation|Necromancy|Transmutation	SELECT:1	ABILITY:FEAT|AUTOMATIC|Spell Focus (%LIST)								SORTKEY:Class_Mage-Killer	SOURCEPAGE:MoF30	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterAlchemistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Master alchemists gain no proficiency in any weapon or armor.	KEY:Master Alchemist ~ Weapon and Armor Proficiency																										SORTKEY:Class_Master_Alchemist	SOURCEPAGE:MoF30	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterAlchemistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A master alchemist's training focuses on magic. Thus, when a character gains a new level of master alchemist, she gains new spells per day as if she had also gained a level in whatever spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, and so on). If a character had more than one spellcasting class before she became a master alchemist, she must decide to which class she adds each level of master alchemist for purposes of determining spells per day when she adds the new level.	KEY:Master Alchemist ~ Spells per Day																										SORTKEY:Class_Master_Alchemist	SOURCEPAGE:MoF30	
Brew	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterAlchemistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The master alchemist has perfected the art of brewing potions. As such, she can brew two potions (totaling no more than 1,000 gp market value) in one day (an 8-hour period) instead of one.	KEY:Master Alchemist ~ Brew				DEFINE:BrewTimes|0					BONUS:VAR|BrewTimes|2+(MasterAlchemist/5)|YPE=Base																	SORTKEY:Class_Master_Alchemist	SOURCEPAGE:MoF30	ASPECT:NAME|Brew %1/day|BrewTimes
Brew Potion	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterAlchemistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 2nd level, the master alchemist's advanced study of alchemy and magic allows her to brew potions of 4th-level spells. The market price of such a potion is equal to 50 gp per spell level times the level of the caster. At 3rd the master alchemist can brew potions of 5th-level spells. At 4th the master alchemist can brew potions of 6th-level spells. At 7th the master alchemist can brew potions of 7th-level spells. At 8th the master alchemist can brew potions of 8th-level spells. At 10th the master alchemist can brew potions of 9th-level spells.	KEY:Master Alchemist ~ Brew Potion				DEFINE:BrewPotionLVL|0					BONUS:VAR|BrewPotionLVL|4|TYPE=Base	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistLVL,3	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistLVL,4	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistLVL,7	BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistLVL,8					BONUS:VAR|BrewPotionLVL|1|PREVARGTEQ:MasterAlchemistLVL,10								SORTKEY:Class_Master_Alchemist	SOURCEPAGE:MoF30	ASPECT:NAME|Brew Potion %1|BrewPotionLVL
Improved Identification	CATEGORY:Special Ability	TYPE:ClassFeatures.MasterAlchemistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 6th level, the master alchemist is so sure in her knowledge that she may use her Alchemy skill to identify potions and other such substances more quickly and simply than others. This master alchemist needs no alchemical equipment, spends no gp, and requires only 1 minute to identify such a substance. Add +10 to the normal DC required for identification. The master alchemist can't retry this improved identification (which means she can't take 20); if this identification fails, the master alchemist must use the normal identification rules as described under the Alchemy skill.	KEY:Master Alchemist ~ Improved Identification																										SORTKEY:Class_Master_Alchemist	SOURCEPAGE:MoF30	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Mystic wanderers gain no proficiency with any weapon or armor. Many of the mystic wanderer's abilities rely on her ability to fully utilize the movements of her body and her confidence in her appearance. When wearing any sort of armor or using a shield, her glory of the divine ability does not function and she cannot use any of her spell-like abilities.	KEY:Mystic Wanderer ~ Weapon and Armor Proficiency																										SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A mystic wanderer continues to study standard magic as well as pursuing her other studies. Thus, when a new mystic wanderer level is gained, the character gains new spells per day as if she had also gained a level in a divine spellcasting class she belonged to before becoming a mystic wanderer. He does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, and so on). If a character had more than one divine spellcasting class before she became a mystic wanderer, she must decide to which class she adds each level of mystic wanderer for purposes of determining spells per day when she adds the new level.	KEY:Mystic Wanderer ~ Spells per Day																										SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Glory of the Divine	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A mystic wanderer who wears no armor gains a sacred (or profane, if her patron deity is evil) bonus to AC equal to her Charisma bonus (if any).	KEY:Mystic Wanderer ~ Glory of the Divine				DEFINE:GloryOfTheDivineAC|0					BONUS:VAR|GloryOfTheDivineAC|max(CHA,0)|PREVARLT:var("COUNT[EQTYPE.ARMOR.IS.MEDIUM]"),1,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1	BONUS:COMBAT|AC|GloryOfTheDivineAC|TYPE=Sacred|PREDEITYALIGN:LG,NG,CG,LN,TN,CN	BONUS:COMBAT|AC|GloryOfTheDivineAC|TYPE=Profane|PREDEITYALIGN:LE,NE,CE															SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Sleep	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The mystic wanderer can use sleep once per day as a sorcerer equal to her mystic wanderer level plus her highest divine spellcaster level (DC = 11 + Cha modifier).	KEY:Mystic Wanderer ~ Sleep																		SPELLS:Innate|TIMES=1|CASTERLEVEL=MysticWandererLVL+Caster_Level_Highest__Divine|Sleep,11+CHA								SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 2nd level, a mystic wanderer can obtain a familiar, just as a sorcerer or wizard can. A mystic wanderer with sorcerer or wizard levels can treat her mystic wanderer levels as sorcerer or wizard levels for determining her familiar's natural armor, Intelligence, and special abilities.	KEY:Mystic Wanderer ~ Familiar									BONUS:VAR|FamiliarLVL|MysticWandererLVL									ABILITY:Special Ability|AUTOMATIC|Familiar								SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Lore of the Nature	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, the mystic wanderer gains a +2 competence bonus on all Profession (herbalist) and Knowledge (nature) checks.	KEY:Mystic Wanderer ~ Lore of the Nature									BONUS:SKILL|Profession (Herbalist),Knowledge (Nature)|2|TYPE=Competence																	SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Gem Magic	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A 3rd-level mystic wanderer learns the secret of gem magic, as described in the previous chapter. She gains the Attune Gem feat, and she can use the feat to store any spell she can cast, whether arcane or divine.	KEY:Mystic Wanderer ~ Gem Magic																		ABILITY:FEAT|AUTOMATIC|Attune Gem								SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Resist Charm	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 3rd level, the mystic wanderer gains a +2 sacred (or profane, if her patron deity is evil) bonus on saving throws against enchantment (charm) effects.	KEY:Mystic Wanderer ~ Resist Charm									BONUS:VAR|CharmResistanceBonus|2|TYPE=Sacred|PREDEITYALIGN:LG,NG,CG,LN,TN,CN	BONUS:VAR|CharmResistanceBonus|2|TYPE=Profane|PREDEITYALIGN:LE,NE,CE								ABILITY:Special Ability|AUTOMATIC|Resistance to Charm								SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Brew Potion	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The mystic wanderer gains the Brew Potion feat at 4th level.	KEY:Mystic Wanderer ~ Brew Potion																		ABILITY:FEAT|AUTOMATIC|Brew Potion								SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Suggestion	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 5th level, the mystic wanderer can use suggestion once per day as a sorcerer equal to her mystic wanderer level plus her highest divine spellcaster level (DC = 13 + Cha modifier).	KEY:Mystic Wanderer ~ Suggestion																		SPELLS:Innate|TIMES=1|CASTERLEVEL=MysticWandererLVL+Caster_Level_Highest__Divine|Sleep,13+CHA								SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Great Potion	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The 6th-level mystic wanderer can brew potions as if she had access to all 0- and 1stlevel sorcerer/wizard spells (even those not on her spell list). He need not have prepared the spell to brew the potion; instead, she must leave one spell slot (of the appropriate level) open when brewing a potion of a spell not on her spell list. He must still provide  any material components or focuses needed. At 8th-level mystic wanderer can brew potions as if she had access to all 2nd-level sorcerer/wizard spells. At 10th-level mystic wanderer can brew potions as if she had access to all 3rd-level sorcerer/wizard spells.	KEY:Mystic Wanderer ~ Great Potion				DEFINE:GreatPotionLVL|0					BONUS:VAR|GreatPotionLVL|1|TYPE=Base|PREVARGTEQ:MysticWandererLVL,6	BONUS:VAR|GreatPotionLVL|2|TYPE=Base|PREVARGTEQ:MysticWandererLVL,8	BONUS:VAR|GreatPotionLVL|3|TYPE=Base|PREVARGTEQ:MysticWandererLVL,10															SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	ASPECT:NAME|Great Potion %1/day|GreatPotionLVL
Charm Monster	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 7th level, the mystic wanderer can use charm monster once per day as a sorcerer equal to her mystic wanderer level plus her highest divine spellcaster level (DC = 14 + Cha modifier).	KEY:Mystic Wanderer ~ Charm Monster																		SPELLS:Innate|TIMES=1|CASTERLEVEL=MysticWandererLVL+Caster_Level_Highest__Divine|Charm Monster,14+CHA								SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Mass Charm	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The 9th-level mystic wanderer can use mass charm once per day as a sorcerer whose level is equal to her mystic wanderer level plus her highest divine spellcaster level (DC = 18 + Cha modifier).	KEY:Mystic Wanderer ~ Mass Charm																		SPELLS:Innate|TIMES=1|CASTERLEVEL=MysticWandererLVL+Caster_Level_Highest__Divine|Charm Monster (Mass),18+CHA								SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Timeless Body	CATEGORY:Special Ability	TYPE:ClassFeatures.MysticWandererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:After achieving 10th level, a mystic wanderer no longer suffers ability penalties for aging (see the Player's Handbook, Table 6-5: Aging Effects, page 93) and cannot be magically aged. Any penalties she may have already suffered, however, remain in place. Bonuses still accrue, and the mystic wanderer still dies of old age when her time is up.	KEY:Mystic Wanderer ~ Timeless Body																										SORTKEY:Class_Mystic_Wanderer	SOURCEPAGE:MoF30	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SpelldancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Spelldancers are proficient with all simple weapons. They are not proficient with any type of armor or shields.	KEY:Spelldancer ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SORTKEY:Class_Spelldancer	SOURCEPAGE:MoF30	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.SpelldancerClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Spelldancer ~ Spells per Day																										SORTKEY:Class_Spelldancer	SOURCEPAGE:MoF30	
Spelldance	CATEGORY:Special Ability	TYPE:ClassFeatures.SpelldancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Spelldancing is a means of increasing the effectiveness of a spell by performing a vigorous magical dance before casting. The spelldancer chooses one or more metamagic feats she knows to apply to a spell she wants to cast and begins her spelldancing. (Spells from the schools of Invocation and Necromancy can't be enhanced via spelldancing.) When she finishes spelldancing, she makes a Perform check with a DC of 10 + spell level (as modified by the metamagic feats). If she fails, the spell fizzles with no effect. If she succeeds, she casts the spell and it is modified by the selected metamagic feats (without the level of the spell being altered). For every spell level higher than normal that a metamagic feat alters a spell, one full round of spelldancing is required to alter the spell. The spelldancer dances the required number of rounds, and on her next action she may cast a spell with the chosen metamagic feat (if she doesn't cast a spell that round, the spelldancing effect is lost). For example, a spelldancer could choose to empower a bull's strength spell, spelldance for 2 full rounds (the spell level adjustment for Empower Spell), then cast bull's strength (as a standard action) with the benefits of Empower Spell. Still Spell and Quicken Spell can never be used in conjunction with spelldancing. A spelldancer needs to know the metamagic feat in question to spelldance the effects of that feat. Spelldancing requires extended motion. A spelldancing character has to move at least half her speed as part of her action on any round she spelldances. This movement is included in the full-round action of spelldancing, and means the spelldancer cannot take a 5-foot step on any round she spelldances. While spelldancing, the caster provokes attacks of opportunity normally, although she can still make Tumble checks to avoid attacks of opportunity. A spelldancer can safely spelldance a number of rounds per day equal to her Constitution modifier plus her spelldancer class level. Every spell she casts with spelldancing after that causes her to make a Fortitude save (DC 10 + total rounds spent spelldancing in the last day) to avoid taking 2 points of temporary Constitution damage and becoming fatigued (if already fatigued, the character becomes exhausted and can't spelldance again until only fatigued).	KEY:Spelldancer ~ Spelldance	DESC:%1 round/day.|SpelldanceDuration			DEFINE:SpelldanceDuration|0					BONUS:VAR|SpelldanceDuration|CON+SpelldancerLVL|TYPE=Base																	SORTKEY:Class_Spelldancer	SOURCEPAGE:MoF30	
Enthralling Dance	CATEGORY:Special Ability	TYPE:ClassFeatures.SpelldancerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a 2nd-level spelldancer can enthrall targets with a special dance. The effect is identical to the enthrall spell, except that it requires no vocal component and requires dancing as its somatic component. The DC to resist is equal to 10 + spelldancer level + Charisma modifier. The effect lasts as long as the spelldancer continues dancing (which is otherwise identical to spelldancing). At 4th level, the spelldancer can use her enthralling dance twice per day.	KEY:Spelldancer ~ Enthralling Dance	DESC:%1/day (Will DC %2).|EnthrallingDanceTimes|EnthrallingDanceDC			DEFINE:EntrhallingDanceTimes|0	DEFINE:EnthrallingDanceDC|0				BONUS:VAR|EnthrallingDanceDC|10+SpelldancerLVL+CHA|TYPE=Base	BONUS:VAR|EnthrallingDanceTimes|1	BONUS:VAR|EnthrallingDanceTimes|1|PREVARGTEQ:SpelldancerLVL,4															SORTKEY:Class_Spelldancer	SOURCEPAGE:MoF30	
Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.SpelldancerClassFeatures.SpecialQuality.Evasion	VISIBLE:YES	DESC:At 2nd level, a spelldancer gains evasion. If exposed to any effect that normally allows a character to attempt a Reflex saving throw for half damage (such as fireball), she takes no damage with a successful saving throw. Evasion can only be used if the spelldancer is wearing light armor or no armor.	KEY:Spelldancer ~ Evasion																										SORTKEY:Class_Spelldancer	SOURCEPAGE:MoF30	
Cooperative Dance	CATEGORY:Special Ability	TYPE:ClassFeatures.SpelldancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A 3rd-level spelldancer can coordinate with another dancing character to share some of the effort of casting spells with spelldancing. The assisting character must dance during the same rounds as the spelldancer and then make a Perform check; for every 10 points of the check, the "cost" of the spelldance is reduced by 1 round (to a maximum reduction of 3 rounds for a check result of 30 or greater). This doesn't decrease the number of rounds required for the spelldance; it simply means that not as many rounds are deducted from the spelldancer's total number of spelldancing rounds per day. The cooperative dance can't reduce the number of rounds of spelldancing "spent" by the spelldancer to less than one for any casting, and the spelldancer can only coordinate with one character per spelldance.	KEY:Spelldancer ~ Cooperative Dance																										SORTKEY:Class_Spelldancer	SOURCEPAGE:MoF30	
Sleep Dance	CATEGORY:Special Ability	TYPE:ClassFeatures.SpelldancerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a 4th-level spelldancer can dance in such a manner as to put nearby creatures to sleep. This requires 1 full round of dancing (as spelldancing), after which all creatures in a 30-foot-radius emanation fall into slumber as the sleep spell (Will negates, DC 10 + spelldancer level + Charisma modifier) for 1 minute per spelldancer level.	KEY:Spelldancer ~ Sleep Dance	DESC:%1/day (Will DC %2).|SleepDanceTimes|SleepDanceDC			DEFINE:SleepDanceTimes|0	DEFINE:SleepDanceDC|0				BONUS:VAR|SleepDanceDC|10+SpelldancerLVL+CHA|TYPE=Base	BONUS:VAR|SleepDanceTimes|1																SORTKEY:Class_Spelldancer	SOURCEPAGE:MoF30	
Confusing Dance	CATEGORY:Special Ability	TYPE:ClassFeatures.SpelldancerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The 5th-level spelldancer can confuse targets with a special dance once per day. This requires 1 full round of dancing (as spelldancing), after which all creatures within 15 feet of the spelldancer are affected as the confusion spell (Will negates, DC 10 + spelldancer level + Charisma modifier) for 1 round per spelldancer level.	KEY:Spelldancer ~ Confusing Dance	DESC:%1/day (Will DC %2).|ConfusingDanceTimes|ConfusingDanceDC			DEFINE:ConfusingDanceTimes|0	DEFINE:ConfusingDanceDC|0				BONUS:VAR|ConfusingDanceDC|10+SpelldancerLVL+CHA|TYPE=Base	BONUS:VAR|ConfusingDanceTimes|1																SORTKEY:Class_Spelldancer	SOURCEPAGE:MoF30	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Spellfire channelers are proficient with all simple weapons. They are not proficient with any type of armor or shields.	KEY:Spellfire Channeler ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	AUTO:WEAPONPROF|Spellfire							SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Drain Charged Item	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:As a standard action, a spellfire channeler can drain a single charge from a touched charged item (including single-use items such as potions and scrolls), converting the energy into a single stored spellfire energy level. A fully drained item has no magical properties (a potion becomes water, a scroll becomes blank paper). Only one feature of a multiple-use charged item (such as a scroll with several spells) can be drained per round. A creature gets to make a Will save (DC 10) to prevent one of its held or carried items from being drained.	KEY:Spellfire Channeler ~ Drain Charged Item																										SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Increased Storage	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The channeler's capacity for storing spellfire energy levels is multiplied by the listed value. However, spellfire energy levels in excess of the channeler's Constitution score is dangerous, with different effects depending upon the number of levels stored. Regardless of the number of spellfire energy levels stored, a channeler can voluntarily expend only a number of spellfire energy levels per round equal to her Constitution score. (Involuntary expenditure, such as that noted above, isn't limited in this way.)	KEY:Spellfire Channeler ~ Increased Storage				DEFINE:IncreasedStorageMultiplier|0					BONUS:VAR|IncreasedStorageMultiplier|(SpellfireChanneler+3)/2|TYPE=Base	BONUS:VAR|SpellfireReserve|(max(0,CON)*(IncreasedStorageMultiplier-1))																SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	ASPECT:NAME|Increased Storage|IncrfeasedStorageMultiplier
Improved Healing	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, the spellfire channeler can release stored spellfire energy levels to heal by touch. This restores 1d4+1 hit points per spellfire energy level expended (rather than the normal 2 points per spellfire energy level).	KEY:Spellfire Channeler ~ Improved Healing																										SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Weapon Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The channeler gains the Weapon Focus (spellfire) feat at 3rd level.	KEY:Spellfire Channeler ~ Weapon Focus																		ABILITY:FEAT|AUTOMATIC|Weapon Focus (Spellfire)								SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Rapid Blast	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 4th level, the spellfire channeler can release two blasts of spellfire as a standard action. This increases to three blasts per standard action at 8th level. Each blast after the first suffers a cumulative -2 penalty to attack rolls (-0 for the first blast, -2 for the second, and -4 for the third).	KEY:Spellfire Channeler ~ Rapid Blast									BONUS:VAR|SpellfireAttacks|SpellfireChanneler/4																	SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	ASPECT:NAME|Rapid Blast %1|(SpellfireChanneler/4)+1
Drain Permanent Item	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:The channeler can drain power from permanent magic items by touch as a standard action. An item that creates spell effects (such as boots of speed) loses that function for 24 hours, and the channeler gains spellfire energy levels equal to half the caster level of the item. A creature gets to make a Will save (DC 10) to prevent one of its held or carried items from being drained. An item with all its permanent abilities drained for the day is still a magic item (for purposes of making saving throws when damaged, and so on).	KEY:Spellfire Channeler ~ Drain Permanent Item																										SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Flight	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The channeler can expend spellfire energy levels to fly as the spell. Each spellfire energy level expended allows the channeler to fly for 1 minute. The flying channeler leaves a visible trail of light that fades after 1 round.	KEY:Spellfire Channeler ~ Flight																										SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Deflect Arrows	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The channeler gains the Deflect Arrows feat, although rather than using a hand, a single spellfire energy level is expended to knock the missile away. If the channeler has no spellfire energy levels available, she cannot use this ability.	KEY:Spellfire Channeler ~ Deflect Arrows																										SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Crown of Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:By expending 10 spellfire energy levels, a channeler can manifest the crown of fire, which appears as a halo of spellfire around her head and provides light equal to a daylight spell. The crown of fire gives her damage reduction 10/+1 and automatically melts all nonmagical weapons that strike her (after inflicting damage, if any). The crown of fire grants the channeler spell resistance 32 (as the spell resistance spell). Maintaining the crown of fire requires expending 10 spellfire energy levels each round, which can be done as a free action. The crown of fire does not interfere with the channeler's actions, including using other spellfire abilities.	KEY:Spellfire Channeler ~ Crown of Fire																										SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Maelstrom of Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireChannelerClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The channeler can release spellfire energy in all directions as a 20-foot-radius spread, dealing 1d6 damage per spellfire energy level expended to all creatures in the area (Reflex half, DC 10 + class level + Charisma modifier).	KEY:Spellfire Channeler ~ Maelstrom of Fire	DESC:Ref DC %1.|MaelstromOfFireDC			DEFINE:MaelstromOfFireDC|0					BONUS:VAR|MaelstromOfFireDC|10+SpellfireChannelerLVL+CHA																	SORTKEY:Class_Spellfire_Channeler	SOURCEPAGE:MoF30	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.WarWizardOfCormyrClassFeatures.SpecialQuality	VISIBLE:YES	DESC:War wizards gain no proficiency with any weapon or armor.	KEY:War Wizard of Cormyr ~ Weapon and Armor Proficiency																										SORTKEY:Class_War_Wizard_Of_Cormyr	SOURCEPAGE:MoF30	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.WarWizardOfCormyrClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A war wizard's training focuses on magic. Thus, when a character gains a new level of war wizard, she gains new spells per day as if she had also gained a level in whatever spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (increased familiar powers, metamagic or item creation feats, and so on). If a character had more than one spellcasting class before she became a war wizard, she must decide to which class she adds each level of war wizard for purposes of determining spells per day when she adds the new level.	KEY:War Wizard of Cormyr ~ Spells per Day																										SORTKEY:Class_War_Wizard_Of_Cormyr	SOURCEPAGE:MoF30	
Weapon Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.WarWizardOfCormyrClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The war wizard gains a free Weapon Focus feat for a martial weapon of her choice. She must be proficient with that weapon in order to apply this feat to it.	KEY:War Wizard of Cormyr ~ Weapon Focus									BONUS:ABILITYPOOL|War Wizard of Cormyr Weapon Focus|1																	SORTKEY:Class_War_Wizard_Of_Cormyr	SOURCEPAGE:MoF30	
Metamagic Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.WarWizardOfCormyrClassFeatures.SpecialQuality	VISIBLE:YES	DESC:War wizards focus their studies of spellcasting efficiency. In order to achieve that end, they develop expertise in a variety of metamagic techniques. At 2nd level and again at 4th level, the war wizard gains a bonus metamagic feat of her choice to add to her repertoire of knowledge.	KEY:War Wizard of Cormyr ~ Metamagic Feat									BONUS:ABILITYPOOL|War Wizard of Cormyr Feat|(WarWizardOfCormyrLVL/2)																	SORTKEY:Class_War_Wizard_Of_Cormyr	SOURCEPAGE:MoF30	
