SOURCELONG:Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.fantasyflightgames.com											
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE	
CLASS:Ministrel	HD:6	TYPE:NPC.Base.Orator	FACT:Abb|Min	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:MinistrelLVL|0	BONUS:VAR|MinistrelLVL|CL
CLASS:Ministrel	PRETEXT:In order to enter the minstrel class after 1st level, a character must have ranks in Perform equal to his total character level + 3. He must also spend at least a month on the road singing or telling stories at taverns, gathering local tales and legends, and living off the funds generated by his performances.												
CLASS:Ministrel	STARTSKILLPTS:6	CSKILL:Appraise|Bluff|Climb|Decipher Script|Diplomacy|Gather Information|Hide|Intimidate|Knowledge (Arcana)|Knowledge (Geography)|Knowledge (History)|Knowledge (Local)|Knowledge (Nobility and Royalty)|Listen|TYPE.Perform|Ride|Sense Motive|Sleight of Hand|Speak Language|Spot|Swim|Tumble											
1				ABILITY:Ministrel Class Feature|AUTOMATIC|Ministrel ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.MinistrelProficiencies									
#													
1				ABILITY:Ministrel Class Feature|AUTOMATIC|Ministrel ~ Inspiring Song|!PREABILITY:1,CATEGORY=ACF,TYPE.MinistrelInspiringSong									
3				ABILITY:Ministrel Class Feature|AUTOMATIC|Ministrel ~ Treasure Trove of Knowledge|!PREABILITY:1,CATEGORY=ACF,TYPE.MinistrelTreasureTroveOfKnowledge									
5				ABILITY:Ministrel Class Feature|AUTOMATIC|Ministrel ~ Captivating Performer|!PREABILITY:1,CATEGORY=ACF,TYPE.MinistrelCaptivatingPerformer									
													
CLASS:Physician	HD:6	TYPE:NPC.Base.Academic	FACT:Abb|Phy	MAXLEVEL:10	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:PhysicianLVL|0	BONUS:VAR|PhysicianLVL|CL
CLASS:Physician	PRETEXT:In order to enter the physician class after 1st level, a character must have ranks in Heal equal to his total character level + 3.												
CLASS:Physician	STARTSKILLPTS:4	CSKILL:Concentration|TYPE.Craft|Heal|Knowledge (Geography)|Knowledge (History)|Knowledge (Local)|TYPE.Profession|Speak Language											
1				ABILITY:Physician Class Feature|AUTOMATIC|Physician ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.PhysicianProficiencies									
#													
1				ABILITY:Physician Class Feature|AUTOMATIC|Physician ~ Healing Hands|!PREABILITY:1,CATEGORY=ACF,TYPE.PhysicianHealingHands									
5				ABILITY:Physician Class Feature|AUTOMATIC|Physician ~ Restore Health|!PREABILITY:1,CATEGORY=ACF,TYPE.PhysicianRestoreHealth									
10				ABILITY:Physician Class Feature|AUTOMATIC|Physician ~ Master Healer|!PREABILITY:1,CATEGORY=ACF,TYPE.PhysicianMasterHealer									
													
CLASS:Pit Fighter	HD:10	TYPE:NPC.Base.Laborer	FACT:Abb|Ptf	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:PitFighterLVL|0	BONUS:VAR|PitFighterLVL|CL
CLASS:Pit Fighter	PRETEXT:In order to enter the pit fighter class after 1st level, a character must have a base attack bonus of +3. He must also spend one month training in gladiatorial combat (either legitimate or illegal) to gain the necessary experience to enter this profession.												
CLASS:Pit Fighter	STARTSKILLPTS:2	CSKILL:Climb|Escape Artist|Intimidate|Jump|Swim|Tumble											
1				ABILITY:Pit Fighter Class Feature|AUTOMATIC|Pit Fighter ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.PitFighterProficiencies									
#													
1				ABILITY:Pit Fighter Class Feature|AUTOMATIC|Pit Fighter ~ Frenzy|!PREABILITY:1,CATEGORY=ACF,TYPE.PitFighterFrenzy									
3				ABILITY:Pit Fighter Class Feature|AUTOMATIC|Pit Fighter ~ Dirty Fighting|!PREABILITY:1,CATEGORY=ACF,TYPE.PitFighterDirtyFighting									
5				ABILITY:Pit Fighter Class Feature|AUTOMATIC|Pit Fighter ~ Fearless Frenzy|!PREABILITY:1,CATEGORY=ACF,TYPE.PitFighterFearlessFrenzy									
													
CLASS:Prospector	HD:8	TYPE:NPC.Base.Expert	FACT:Abb|Prp	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:ProspectorLVL|0	BONUS:VAR|ProspectorLVL|CL
CLASS:Prospector	PRETEXT:In order to enter the prospector class after 1st level, a character must have ranks in Search and Disable Device equal to his character level + 3.												
CLASS:Prospector	STARTSKILLPTS:6	CSKILL:Appraise|Climb|TYPE.Craft|Disable Device|Jump|Knowledge (Local)|Open Lock|TYPE.Profession|Ride|Search|Survival|Swim|Use Rope											
1				ABILITY:Prospector Class Feature|AUTOMATIC|Prospector ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ProspectorProficiencies									
#													
1				ABILITY:Prospector Class Feature|AUTOMATIC|Prospector ~ Trap Mastery|!PREABILITY:1,CATEGORY=ACF,TYPE.ProspectorTrapMastery									
3				ABILITY:Prospector Class Feature|AUTOMATIC|Prospector ~ Oiled Reflexes|!PREABILITY:1,CATEGORY=ACF,TYPE.ProspectorOiledReflexes									
5				ABILITY:Prospector Class Feature|AUTOMATIC|Prospector ~ Danger Sense|!PREABILITY:1,CATEGORY=ACF,TYPE.ProspectorDangerSense									
													
CLASS:Sage	HD:4	TYPE:NPC.Base.Academic	FACT:Abb|Sgr	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:SageLVL|0	BONUS:VAR|SageLVL|CL
CLASS:Sage	PRETEXT:In order to enter the sage class after 1st level, a character must have ranks in any three Knowledge skills equal to his total character level + 3.												
CLASS:Sage	STARTSKILLPTS:8	CSKILL:Concentration|TYPE.Knowledge|TYPE.Profession|Speak Language											
1				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SageProficiencies									
1				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Skill|!PREABILITY:1,CATEGORY=ACF,TYPE.ArtisanSkill									
#													
1				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Encyclopedic Knowledge|!PREABILITY:1,CATEGORY=ACF,TYPE.SageEncyclopedicKnowledge									
3				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Master of Forgotten Lore|!PREABILITY:1,CATEGORY=ACF,TYPE.SageMasterOfForgottenLore									
5				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Brilliant Insight|!PREABILITY:1,CATEGORY=ACF,TYPE.SageBrilliantInsight									
													
CLASS:Sewerjack	HD:12	TYPE:NPC.Base.Laborer	FACT:Abb|Sjk	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:SewerjackLVL|0	BONUS:VAR|SewerjackLVL|CL
CLASS:Sewerjack	PRETEXT:In order to enter the sewerjack class after 1st level, a character must have the Toughness feat. In addition, he must work in a city's sewer system as a laborer for at least two months. After this time, he acquires the experience and endurance necessary to enter this class.												
CLASS:Sewerjack	STARTSKILLPTS:4	CSKILL:Climb|TYPE.Craft|Escape Artist|Intimidate|Jump|TYPE.Profession|Survival|Swim											
1				ABILITY:Sewerjack Class Feature|AUTOMATIC|Sewerjack ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SewerjackProficiencies									
#													
1				ABILITY:Sewerjack Class Feature|AUTOMATIC|Sewerjack ~ Tough as Leather|!PREABILITY:1,CATEGORY=ACF,TYPE.SewerjackToughAsLeather									
3				ABILITY:Sewerjack Class Feature|AUTOMATIC|Sewerjack ~ Resiliency|!PREABILITY:1,CATEGORY=ACF,TYPE.SewerjackResiliency									
5				ABILITY:Sewerjack Class Feature|AUTOMATIC|Sewerjack ~ Disease Immunity|!PREABILITY:1,CATEGORY=ACF,TYPE.SewerjackDiseaseImmunity									
													
CLASS:Thief	HD:6	TYPE:NPC.Base.Expert	FACT:Abb|Thf	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:ThiefLVL|0	BONUS:VAR|ThiefLVL|CL
CLASS:Thief	PRETEXT:In order to enter the thief class after 1st level, a character must master the fundamental talents that this class possesses. The character must have ranks in Hide, Move Silently, Open Lock, and Sleight of Hand equal to his total level + 3.												
CLASS:Thief	STARTSKILLPTS:8	CSKILL:Appraise|Balance|Bluff|Climb|TYPE.Craft|Diplomacy|Escape Artist|Knowledge (Local)|Hide|Jump|Listen|Move Silently|Open Lock|TYPE.Profession|Search|Sense Motive|Sleight of Hand|Spot|Tumble											
1				ABILITY:Thief Class Feature|AUTOMATIC|Thief ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ThiefProficiencies									
#													
1				ABILITY:Thief Class Feature|AUTOMATIC|Thief ~ Sneak Attack|!PREABILITY:1,CATEGORY=ACF,TYPE.ThiefSneakAttack									
													
CLASS:Tracker	HD:8	TYPE:NPC.Base.Expert	FACT:Abb|Trk	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:TrackerLVL|0	BONUS:VAR|TrackerLVL|CL
CLASS:Tracker	PRETEXT:In order to enter the tracker class after 1st level, a character must have some talent for surviving in the wilderness. He must have the Track feat and ranks in Survival equal to his character level + 3. In addition, a character must spend at least one month in the wilderness, relying on nothing more than the supplies he can carry and his ability to survive off the wilds.												
CLASS:Tracker	STARTSKILLPTS:6	CSKILL:Climb|TYPE.Craft|Handle Animal|Heal|Jump|Knowledge (Local)|Knowledge (Nature)|Listen|Move Silently|TYPE.Profession|Ride|Spot|Survival|Swim|Use Rope											
1				ABILITY:Tracker Class Feature|AUTOMATIC|Tracker ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.TrackerProficiencies									
#													
1				ABILITY:Tracker Class Feature|AUTOMATIC|Tracker ~ Bonus feats|!PREABILITY:1,CATEGORY=ACF,TYPE.TrackerBonusFeats									
3				ABILITY:Tracker Class Feature|AUTOMATIC|Tracker ~ Hunter's Eye|!PREABILITY:1,CATEGORY=ACF,TYPE.TrackerHunterSEye									
													
CLASS:Veteran	HD:10	TYPE:NPC.Base.Laborer	FACT:Abb|Vet	MAXLEVEL:10	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:VeteranLVL|0	BONUS:VAR|VeteranLVL|CL
CLASS:Veteran	PRETEXT:In order to enter the veteran class after 1st level, a character must establish his skill with weapons and armor. He must have light and medium armor proficiency, along with proficiency with any three martial weapons. In addition he must have a base attack bonus of at least +1.												
CLASS:Veteran	STARTSKILLPTS:4	CSKILL:Climb|TYPE.Craft|Handle Animal|Intimidate|Jump|Ride|Swim											
1				ABILITY:Veteran Class Feature|AUTOMATIC|Veteran ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.VeteranProficiencies									
#													
1				ABILITY:Veteran Class Feature|AUTOMATIC|Veteran ~ Bonus Feats|!PREABILITY:1,CATEGORY=ACF,TYPE.VeteranBonsusFeats									
													
CLASS:Worker	HD:10	TYPE:NPC.Base.Laborer	FACT:Abb|Wrk	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:WorkerLVL|0	BONUS:VAR|WorkerLVL|CL
CLASS:Worker	PRETEXT:In order to enter the worker class after 1st level, a character must have a Strength score of 13 or higher. He must also spend at least one month toiling as a laborer on a major public works project, a lumber camp, or a similar site.												
CLASS:Worker	STARTSKILLPTS:2	CSKILL:Climb|TYPE.Craft|Jump|Swim											
1				ABILITY:Worker Class Feature|AUTOMATIC|Worker ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.WorkerProficiencies									
1				ABILITY:Worker Class Feature|AUTOMATIC|Worker ~ Skill|!PREABILITY:1,CATEGORY=ACF,TYPE.WorkerSkill									
													
1				ABILITY:Worker Class Feature|AUTOMATIC|Worker ~ Bonus Feats|!PREABILITY:1,CATEGORY=ACF,TYPE.WorkerBonsusFeats									

CLASS:Abomination	HD:8	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel()|TYPE=Base.REPLACE	FACT:ClassType|Monster	ROLE:Combat	DEFINE:AbominationLVL|0	BONUS:VAR|AbominationLVL|CL	BONUS:MISC|CR|floor((HD-BASEHD)/4)
CLASS:Abomination	PREVAREQ:AdvencementByClass,0	PRERACETYPE:Abomination													
CLASS:Abomination	STARTSKILLPTS:4	MODTOSKILLS:YES												

