SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																		
																																					
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page					
Desert	CATEGORY:Internal	TYPE:DwarfSubrace.AltSubraceChoice.DwarfStonecunning.DwarfCombatBonus.DwarfDodgeGiantBonus.DwarfCraftSkillBonus		DESC:Because of their skill with stone and engineering, dwarves are acknowledged masters of locating water and digging wells. The importance of water to desert peoples gives the dwarves both great wealth and great political power.	KEY:Dwarf ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Dwarf ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Desert Dwarf	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDarkvision	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfWeaponFamiliarity	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stability|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStability	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Poison Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfPoisonSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Spell Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfSpellSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Appraise Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAppraiseSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfLanguages	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfFavoredClass	ABILITY:Dwarf Race Trait|AUTOMATIC|Desert Dwarf ~ Combat Bonus|Desert Dwarf ~ Dodge Dragons Bonus	SOURCEPAGE:UA				
Desert	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice.ElfWeaponProficiency.ElfSkillBonus		DESC:In the desert, elves follow nomadic lifestyles. They herd horses, cattle, and goats across the sands, sleeping during the day and working or traveling at night. Their wandering takes them many places and puts them in contact with many cultures. As a result, they are welcome everywhere for the news and exotic trade goods they carry.	KEY:Elf ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Desert Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfRacialImmunity	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfLowLightVision	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfLanguages	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfFavoredClass	ABILITY:Elf Race Trait|AUTOMATIC|Desert Elf ~ Weapon Proficiency|Desert Elf ~ 2 Skill Bonus|Desert Elf ~ Skill Bonus				SOURCEPAGE:UA					
Desert	CATEGORY:Internal	TYPE:GnomeSubrace.AltSubraceChoice.GnomeRacialListenSkill.GnomeRacialAlchemySkill		DESC:Desert dwarves may dig and maintain wells, but desert gnomes pay for them. Desert gnomes establish and operate fortified trading posts around wells and oases, cultivating crops wherever possible and scouring the surrounding desert for the wealth of buried civilizations. Desert gnome outposts are rarely quiet, doing business both day and night.	KEY:Gnome ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Gnome ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Desert Gnome	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialVision	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeWeaponFamiliarity	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Illusion Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSaveBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Racial School DC Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeIllusionDC	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeAttacksBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeDodgeBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSpellLikeAbilities	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeLanguages	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeFavoredClass	ABILITY:Gnome Race Trait|AUTOMATIC|Desert Gnome ~ Skill Bonus	SOURCEPAGE:UA			
Desert	CATEGORY:Internal	TYPE:GoblinSubrace.AltSubraceChoice.GoblinDarkvision		DESC:Desert goblins are feared and reviled because their appearance often heralds the arrival of a horde of nomadic hobgoblins and bugbears. As the desert dwarf proverb puts it, "The only good thing about goblins is that once they arrive, you know they'll soon be gone." Desert goblins take up adventuring for many reasons. While most goblins are neutral evil, many have different beliefs and seek like-minded individuals outside the tribe. Some lack opportunities to advance, and they tire of living on the scraps of those with more authority or higher social position.	KEY:Goblin ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Goblin ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Desert Goblin	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Move Silently Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialMoveSilentlySkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Ride Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialRideSkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinLanguages	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinFavoredClass	ABILITY:Goblin Race Trait|AUTOMATIC|Desert Goblin ~ Skill Bonus				SOURCEPAGE:UA					
Desert	CATEGORY:Internal	TYPE:HalfElfSubrace.AltSubraceChoice.HalfElfSkillBonus		DESC:Desert elves often wed humans, just as their more common cousins do, producing desert half-elf children. These offspring often serve as diplomats and negotiators for either their human or elf communities, depending on where they live.	KEY:Half-Elf ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Half-Elf ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0																TEMPLATE:Desert Half-Elf	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfRacialImmunity	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfLowLightVision	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ 2 Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElf2SkillBonus	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Elven Blood|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfElvenBlood	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfLanguages	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfFavoredClass	ABILITY:Half-Elf Race Trait|AUTOMATIC|Desert Half-Elf ~ Skill Bonus|Desert Half-Elf ~ Sense Motive Skill Bonus		SOURCEPAGE:UA					
Desert	CATEGORY:Internal	TYPE:HalfOrcSubrace.AltSubraceChoice.HalfOrcDarkvision		DESC:The deserts of the world are harsh places, and ideal testing grounds for Gruumsh's chosen people. Many tribes of orcs live in isolated desert canyons or the ruins of ancient cities, now abandoned to the sands. Often their mutual dependence on sources of fresh water brings them into contact with desert-dwelling human barbarians. The resulting offspring, valued for their tenacity, courage, and combat prowess, are often welcome in places where full-blooded orcs are not.	KEY:Half-Orc ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Half-Orc ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Desert Half-Orc	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Orc Blood|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcOrcBlood	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcLanguages	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcFavoredClass	ABILITY:half-Orc Race Trait|AUTOMATIC|Desert Half-Orc ~ Low-Light Vision|Desert Half-Orc ~ Run					SOURCEPAGE:UA					
Desert	CATEGORY:Internal	TYPE:HalflingSubrace.AltSubraceChoice.HalflingSkillBonus		DESC:Like gnomes, half lings are most likely to be active during the day. Most other races regard them somewhat like cats, in that they appear whether invited or not, work at what they want when they want, and disappear without prior notice. A desert gnome proverb observes that "Halflings in your town are a source of trouble, but at least they don't tolerate competition".	KEY:Halfling ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Halfling ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Desert Halfling	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Fear Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFearSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingCombatBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingListenSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingLanguages	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFavoredClass	ABILITY:Halfling Race Trait|AUTOMATIC|Desert Halfling ~ Skill Bonus|Desert Halfling ~ 2 Skill Bonus		SOURCEPAGE:UA					
Desert	CATEGORY:Internal	TYPE:KoboldSubrace.AltSubraceChoice.KoboldRacialProfessionMinerSkill.KoboldFavoredClass		DESC:Desert kobolds live like scaly, intelligent rats, hiding in forgotten corners of settlements, living just over the dunes from trading posts, and always reappearing right after the residents think they've fi nally been killed off. Desert kobolds claim they were among the fi rst to settle the deserts, and that gnomes threw them out into the wilderness. Though their survival relies on goods available at oasis settlements and trading posts, desert kobolds hate the gnomes who often build and run such settlements. The life of a desert kobold is one of constant fear, which motivates them to build traps and fortifi cations and to ambush intruders. Some few kobolds, however, seek peace of mind through personal power and boon companions. These rare individuals become adventurers.	KEY:Kobold ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Kobold ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Desert Kobold	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldDarkvision	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Craft Trapmaking Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialCraftTrapmakingSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Search Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldRacialSearchSkill	ABILITY:Kobold Race Trait|AUTOMATIC|Kobold ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.KoboldLanguages	ABILITY:Kobold Race Trait|AUTOMATIC|Desert Kobold ~ Survival Skill Bonus|Desert Kobold ~ Favored Class				SOURCEPAGE:UA					
Desert	CATEGORY:Internal	TYPE:OrcSubrace.AltSubraceChoice.OrcDarkvision		DESC:Desert orcs are martial creatures who live for battle. Prowess in battle is their only measure of social standing, and they don't particularly care if weaker races get hurt when orcs test their skills. In fact, the chief difference between desert orcs and desert goblinoids is that the former never accept defeat-when desert orcs attack, they conquer or die trying. Desert orcs live in a perpetual state of war, participating in eternal night sorties from their isolated desert canyons and ancient ruined cities to attack settlements and expand their territory. Only the burning sun, and their weakness when in it, keeps them from ruling the desert with Gruumsh's iron fi st. Occasionally an individual orc questions the need for constant battle, or seeks strategies other than brute force. Such iconoclasts often leave their tribes-at least temporarily-to become adventurers.	KEY:Orc ~ Desert	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Orc ~ Desert],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|WIS|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Desert Orc	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Light Sensitivity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcLightSensitivity	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcLanguages	ABILITY:Orc Race Trait|AUTOMATIC|Orc ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.OrcFavoredClass	ABILITY:Orc Race Trait|AUTOMATIC|Desert Orc ~ Low-Light Vision|Desert Orc ~ Endurance										
																																					
Jungle	CATEGORY:Internal	TYPE:DwarfSubrace.AltSubraceChoice.DwarfDarkvision.DwarfStonecunning.DwarfCraftSkillBonus.DwarfFavoredClass		DESC:Because of their height, dwarves can duck under vegetation that impedes humans-yet they are stockier than gnomes or halflings, and able to bull through what they can't avoid. Hardy to a fault, jungle dwarves are explorers, pathfi nders, and traveling merchants.	KEY:Dwarf ~ Jungle	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Dwarf ~ Jungle],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Jungle Dwarf	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfWeaponFamiliarity	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stability|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStability	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Poison Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfPoisonSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Spell Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfSpellSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfCombatBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDodgeGiantBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Appraise Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAppraiseSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfLanguages	ABILITY:Dwarf Race Trait|AUTOMATIC|Jungle Dwarf ~ Skill Bonus|Jungle Dwarf ~ Spot Skill Bonus|Jungle Dwarf ~ Favored Class	SOURCEPAGE:UA				
Jungle	CATEGORY:Internal	TYPE:ElfSubrace.AltSubraceChoice.ElfWeaponProficiency.ElfSkillBonus		DESC:Jungle elves are somewhat more primal than their baseline counterparts. In many jungles, ancient elven cities have been swallowed up by the voracious encroachment of trees, vines, and animals, leaving just a shadowy remnant of the population to remember the former glories of their lost civilization.	KEY:Elf ~ Jungle	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Elf ~ Jungle],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Jungle Elf	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfRacialImmunity	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfLowLightVision	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfLanguages	ABILITY:Elf Race Trait|AUTOMATIC|Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.ElfFavoredClass	ABILITY:Elf Race Trait|AUTOMATIC|Jungle Elf ~ Weapon Proficiency|Jungle Elf ~ Knowledge (History) Skill Bonus|Jungle Elf ~ Skill Bonus				SOURCEPAGE:UA					
Jungle	CATEGORY:Internal	TYPE:GnomeSubrace.AltSubraceChoice.GnomeAttacksBonus.GnomeDodgeBonus.GnomeRacialListenSkill.GnomeRacialAlchemySkill		DESC:Jungle gnomes live in and along the mighty rivers that wind through the jungles. A gnome jungle town is often a collection of boats tied together across a river, with channels to allow passing vessels through (after they pay a toll, of course). Jungle gnomes are also seen traveling the rivers, trading what they can fi nd to those they meet along the way.	KEY:Gnome ~ Jungle	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Gnome ~ Jungle],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Jungle Gnome	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialVision	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeWeaponFamiliarity	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Illusion Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSaveBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Racial School DC Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeIllusionDC	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSpellLikeAbilities	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeLanguages	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeFavoredClass	ABILITY:Gnome Race Trait|AUTOMATIC|Jungle Gnome ~ Combat Bonus|Jungle Gnome ~ Skill Bonus|Jungle Gnome ~ Craft (Shipbuilding) Skill Bonus|Jungle Gnome ~ Use Rope Skill Bonus	SOURCEPAGE:UA					
Jungle	CATEGORY:Internal	TYPE:GoblinSubrace.AltSubraceChoice.GoblinDarkvision.GoblinRacialMoveSilentlySkill.GoblinFavoredClass		DESC:If monkeys were evil and could speak, they'd be a lot like jungle goblins. Jungle goblins are territorial, tree-dwelling savages with a sadistic streak a mile wide. Their skills at climbing and moving from tree to tree, combined with their cunning and vicious nature, cause even other goblinoids to respect them. Jungle goblins generally take up adventuring to gain personal power and serve their ambitions within their clans, or because they somehow lack the evil nature of the rest of their kind.	KEY:Goblin ~ Jungle	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Goblin ~ Jungle],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Jungle Goblin	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Ride Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialRideSkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinLanguages	ABILITY:Goblin Race Trait|AUTOMATIC|Jungle Goblin ~ Climb Skill Bonus|Jungle Goblin ~ Low-Light Vision|Jungle Goblin ~ Jump Skill Bonus						SOURCEPAGE:UA					
