SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Water Elemental Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Water Elementals.|BloodlineAffinity	KEY:Bloodline ~ Water Elemental Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fey Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Feys.|BloodlineAffinity	KEY:Bloodline ~ Fey Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fey Affinity +4	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Fey Affinity +4									BONUS:VAR|BloodlineAffinity|4|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fey Affinity +6	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Fey Affinity +6									BONUS:VAR|BloodlineAffinity|6|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Djinni Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Djinnis.|BloodlineAffinity	KEY:Bloodline ~ Djinni Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Djinni Affinity +4	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Djinni Affinity +4									BONUS:VAR|BloodlineAffinity|4|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Djinni Affinity +6	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Djinni Affinity +6									BONUS:VAR|BloodlineAffinity|6|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Efreeti Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Efreetis.|BloodlineAffinity	KEY:Bloodline ~ Efreeti Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Efreeti Affinity +4	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Efreeti Affinity +4									BONUS:VAR|BloodlineAffinity|4|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Efreeti Affinity +6	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Efreeti Affinity +6									BONUS:VAR|BloodlineAffinity|6|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Janni Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Jannis.|BloodlineAffinity	KEY:Bloodline ~ Janni Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Cloud Giant Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Cloud Giants.|BloodlineAffinity	KEY:Bloodline ~ Cloud Giant Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fire Giant Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Fire Giants.|BloodlineAffinity	KEY:Bloodline ~ Fire Giant Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Frost Giant Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Frost Giants.|BloodlineAffinity	KEY:Bloodline ~ Frost Giant Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Hill Giant Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Hill Giants.|BloodlineAffinity	KEY:Bloodline ~ Hill Giant Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Stone Giant Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Stone Giants.|BloodlineAffinity	KEY:Bloodline ~ Stone Giant Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Storm Giant Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Storm Giants.|BloodlineAffinity	KEY:Bloodline ~ Storm Giant Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Storm Giant Affinity +4	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Storm Giant Affinity +4									BONUS:VAR|BloodlineAffinity|4|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Storm Giant Affinity +6	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Storm Giant Affinity +6									BONUS:VAR|BloodlineAffinity|6|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Githyanki Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Githyankis.|BloodlineAffinity	KEY:Bloodline ~ Githyanki Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Githzerai Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Githzerais.|BloodlineAffinity	KEY:Bloodline ~ Githzerai Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Hag Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Hags.|BloodlineAffinity	KEY:Bloodline ~ Hag Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Lycanthrope Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Lycanthropes.|BloodlineAffinity	KEY:Bloodline ~ Lycanthrope Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Minotaur Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Minotaurs.|BloodlineAffinity	KEY:Bloodline ~ Minotaur Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Ogre Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Ogres.|BloodlineAffinity	KEY:Bloodline ~ Ogre Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Slaad Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Slaads.|BloodlineAffinity	KEY:Bloodline ~ Slaad Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Titan Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Titans.|BloodlineAffinity	KEY:Bloodline ~ Titan Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Titan Affinity +4	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Titan Affinity +4									BONUS:VAR|BloodlineAffinity|4|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Titan Affinity +6	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Titan Affinity +6									BONUS:VAR|BloodlineAffinity|6|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Troll Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Trolls.|BloodlineAffinity	KEY:Bloodline ~ Troll Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Vampire Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Vampires.|BloodlineAffinity	KEY:Bloodline ~ Vampire Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Vampire Affinity +4	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Vampire Affinity +4									BONUS:VAR|BloodlineAffinity|4|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Vampire Affinity +6	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Vampire Affinity +6									BONUS:VAR|BloodlineAffinity|6|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Yuan-Ti Affinity +2	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES	DESC:You gain +%1 bonus on all Bluff, Diplomacy, Gather Information, Intimidate, and Perform checks made to interact with Yuan-Tis.|BloodlineAffinity	KEY:Bloodline ~ Yuan-Ti Affinity +2									BONUS:VAR|BloodlineAffinity|2|TYPE=Base																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
# Bloodline Abilities																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Appraise Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Appraise Skill Bonus									BONUS:SKILL|Appraise|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Balance Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Balance Skill Bonus									BONUS:SKILL|Balance|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Bluff Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Bluff Skill Bonus									BONUS:SKILL|Bluff|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Climb Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Climb Skill Bonus									BONUS:SKILL|Climb|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Concentration Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Concentration Skill Bonus									BONUS:SKILL|Concentration|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Diplomacy Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Diplomacy Skill Bonus									BONUS:SKILL|Diplomacy|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Disguise Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Disguise Skill Bonus									BONUS:SKILL|Disguise|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Gather Information Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Gather Information Skill Bonus									BONUS:SKILL|Gather Information|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Heal Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Heal Skill Bonus									BONUS:SKILL|Heal|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Hide Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Hide Skill Bonus									BONUS:SKILL|Hide|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Intimidate Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Intimidate Skill Bonus									BONUS:SKILL|Intimidate|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Jump Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Jump Skill Bonus									BONUS:SKILL|Jump|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Listen Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Listen Skill Bonus									BONUS:SKILL|Listen|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Knowledge (The Planes) Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Knowledge (The Planes) Skill Bonus									BONUS:SKILL|Knowledge (The Planes)|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Knowledge Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Knowledge Skill Bonus									BONUS:SKILL|TYPE.Knowledge|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Move Silently Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Move Silently Skill Bonus									BONUS:SKILL|Move Silently|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Perform Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Perform Skill Bonus									BONUS:SKILL|TYPE.Perform|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Search Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Search Skill Bonus									BONUS:SKILL|Search|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Sense Motive Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Sense Motive Skill Bonus									BONUS:SKILL|Sense Motive|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Spot Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Spot Skill Bonus									BONUS:SKILL|Spot|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Swim Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Swim Skill Bonus									BONUS:SKILL|Swim|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Tumble Skill Bonus	CATEGORY:Special Ability	TYPE:BloodlineTraits.SpecialQuality	VISIBLE:YES		KEY:Bloodline ~ Tumble Skill Bonus									BONUS:SKILL|Tumble|BloodlineSkillCheck																		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
