SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																			
																																						
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										SOURCEPAGE:						
Call Lightning	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Call Lightning	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Call Lightning									SOURCEPAGE:PHB						
Calm Emotions	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Calm Emotions	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Calm Emotions									SOURCEPAGE:PHB						
Chain Lightning	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Chain Lightning	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Chain Lightning									SOURCEPAGE:PHB						
Charm Person	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Charm Person	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Charm Person									SOURCEPAGE:PHB						
Chill Touch	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Chill Touch	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Chill Touch									SOURCEPAGE:PHB						
Chromatic Orb	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Chromatic Orb	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Chromatic Orb									SOURCEPAGE:PHB						
Circle of Death	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Circle of Death	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Circle of Death									SOURCEPAGE:PHB						
Circle of Power	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Circle of Power	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Circle of Power									SOURCEPAGE:PHB						
Clairvoyance	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Clairvoyance	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Clairvoyance									SOURCEPAGE:PHB						
Clone	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Clone	PRECLASS:1,Bard=15																	SPELLKNOWN:CLASS|Bard=8|Clone									SOURCEPAGE:PHB						
Cloud of Daggers	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Cloud of Daggers	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Cloud of Daggers									SOURCEPAGE:PHB						
Cloudkill	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Cloudkill	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Cloudkill									SOURCEPAGE:PHB						
Color Spray	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Color Spray	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Color Spray									SOURCEPAGE:PHB						
Command	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Command	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Command									SOURCEPAGE:PHB						
Commune	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Commune	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Commune									SOURCEPAGE:PHB						
Commune with Nature	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Commune with Nature	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Commune with Nature									SOURCEPAGE:PHB						
Compelled Duel	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Compelled Duel	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Compelled Duel									SOURCEPAGE:PHB						
Comprehend Languages	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Comprehend Languages	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Comprehend Languages									SOURCEPAGE:PHB						
Compulsion	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Compulsion	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Compulsion									SOURCEPAGE:PHB						
Cone of Cold	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Cone of Cold	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Cone of Cold									SOURCEPAGE:PHB						
Confusion	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Confusion	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Confusion									SOURCEPAGE:PHB						
Conjure Animals	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Conjure Animals	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Conjure Animals									SOURCEPAGE:PHB						
Conjure Barrage	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Conjure Barrage	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Conjure Barrage									SOURCEPAGE:PHB						
Conjure Celestial	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Conjure Celestial	PRECLASS:1,Bard=13																	SPELLKNOWN:CLASS|Bard=7|Conjure Celestial									SOURCEPAGE:PHB						
Conjure Elemental	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Conjure Elemental	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Conjure Elemental									SOURCEPAGE:PHB						
Conjure Fey	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Conjure Fey	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Conjure Fey									SOURCEPAGE:PHB						
Conjure Minor Elementals	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Conjure Minor Elementals	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Conjure Minor Elementals									SOURCEPAGE:PHB						
Conjure Volley	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Conjure Volley	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Conjure Volley									SOURCEPAGE:PHB						
Conjure Woodland Beings	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Conjure Woodland Beings	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Conjure Woodland Beings									SOURCEPAGE:PHB						
Contact Other Plane	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Contact Other Plane	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Contact Other Plane									SOURCEPAGE:PHB						
Contagion	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Contagion	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Contagion									SOURCEPAGE:PHB						
Contingency	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Contingency	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Contingency									SOURCEPAGE:PHB						
Continual Flame	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Continual Flame	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Continual Flame									SOURCEPAGE:PHB						
Control Water	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Control Water	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Control Water									SOURCEPAGE:PHB						
Control Weather	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Control Weather	PRECLASS:1,Bard=15																	SPELLKNOWN:CLASS|Bard=8|Control Weather									SOURCEPAGE:PHB						
Cordon of Arrows	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Cordon of Arrows	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Cordon of Arrows									SOURCEPAGE:PHB						
Counterspell	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Counterspell	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Counterspell									SOURCEPAGE:PHB						
Create Food and Water	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Create Food and Water	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Create Food and Water									SOURCEPAGE:PHB						
Create or Destroy Water	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Create or Destroy Water	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Create or Destroy Water									SOURCEPAGE:PHB						
Create Undead	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Create Undead	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Create Undead									SOURCEPAGE:PHB						
Creation	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Creation	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Creation									SOURCEPAGE:PHB						
Crown of Madness	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Crown of Madness	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Crown of Madness									SOURCEPAGE:PHB						
Crusader's Mantle	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Crusader's Mantle	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Crusader's Mantle									SOURCEPAGE:PHB						
Cure Wounds	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Cure Wounds	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Cure Wounds									SOURCEPAGE:PHB						
Dancing Lights	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dancing Lights	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Dancing Lights									SOURCEPAGE:PHB						
Darkness	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Darkness	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Darkness									SOURCEPAGE:PHB						
Darkvision	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Darkvision	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Darkvision									SOURCEPAGE:PHB						
Daylight	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Daylight	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Daylight									SOURCEPAGE:PHB						
Death Ward	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Death Ward	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Death Ward									SOURCEPAGE:PHB						
Delayed Blast Fireball	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Delayed Blast Fireball	PRECLASS:1,Bard=13																	SPELLKNOWN:CLASS|Bard=7|Delayed Blast Fireball									SOURCEPAGE:PHB						
Demiplane	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Demiplane	PRECLASS:1,Bard=15																	SPELLKNOWN:CLASS|Bard=8|Demiplane									SOURCEPAGE:PHB						
Destructive Wave	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Destructive Wave	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Destructive Wave									SOURCEPAGE:PHB						
Detect Evil and Good	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Detect Evil and Good	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Detect Evil and Good									SOURCEPAGE:PHB						
Detect Magic	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Detect Magic	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Detect Magic									SOURCEPAGE:PHB						
Detect Poison and Disease	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Detect Poison and Disease	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Detect Poison and Disease									SOURCEPAGE:PHB						
Detect Thoughts	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Detect Thoughts	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Detect Thoughts									SOURCEPAGE:PHB						
Dimension Door	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dimension Door	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Dimension Door									SOURCEPAGE:PHB						
Disguise Self	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Disguise Self	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Disguise Self									SOURCEPAGE:PHB						
Disintegrate	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Disintegrate	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Disintegrate									SOURCEPAGE:PHB						
Dispel Evil and Good	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dispel Evil and Good	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Dispel Evil and Good									SOURCEPAGE:PHB						
Dispel Magic	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dispel Magic	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Dispel Magic									SOURCEPAGE:PHB						
Dissonant Whispers	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dissonant Whispers	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Dissonant Whispers									SOURCEPAGE:PHB						
Divination	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Divination	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Divination									SOURCEPAGE:PHB						
Divine Favor	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Divine Favor	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Divine Favor									SOURCEPAGE:PHB						
Divine Word	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Divine Word	PRECLASS:1,Bard=13																	SPELLKNOWN:CLASS|Bard=7|Divine Word									SOURCEPAGE:PHB						
Dominate Beast	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dominate Beast	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Dominate Beast									SOURCEPAGE:PHB						
Dominate Monster	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dominate Monster	PRECLASS:1,Bard=15																	SPELLKNOWN:CLASS|Bard=8|Dominate Monster									SOURCEPAGE:PHB						
Dominate Person	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dominate Person	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Dominate Person									SOURCEPAGE:PHB						
Drawmij's Instant Summons	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Drawmij's Instant Summons	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Drawmij's Instant Summons									SOURCEPAGE:PHB						
Dream	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Dream	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Dream									SOURCEPAGE:PHB						
Druidcraft	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Druidcraft	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Druidcraft									SOURCEPAGE:PHB						
Earthquake	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Earthquake	PRECLASS:1,Bard=15																	SPELLKNOWN:CLASS|Bard=8|Earthquake									SOURCEPAGE:PHB						
Eldritch Blast	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Eldritch Blast	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Eldritch Blast									SOURCEPAGE:PHB						
Elemental Weapon	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Elemental Weapon	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Elemental Weapon									SOURCEPAGE:PHB						
Enhance Ability	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Enhance Ability	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Enhance Ability									SOURCEPAGE:PHB						
Enlarge/Reduce	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Enlarge/Reduce	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Enlarge/Reduce									SOURCEPAGE:PHB						
Ensnaring Strike	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Ensnaring Strike	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Ensnaring Strike									SOURCEPAGE:PHB						
Entangle	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Entangle	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Entangle									SOURCEPAGE:PHB						
Enthrall	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Enthrall	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Enthrall									SOURCEPAGE:PHB						
Etherealness	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Etherealness	PRECLASS:1,Bard=13																	SPELLKNOWN:CLASS|Bard=7|Etherealness									SOURCEPAGE:PHB						
Evard's Black Tentacles	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Evard's Black Tentacles	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Evard's Black Tentacles									SOURCEPAGE:PHB						
Expeditious Retreat	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Expeditious Retreat	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Expeditious Retreat									SOURCEPAGE:PHB						
Eyebite	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Eyebite	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Eyebite									SOURCEPAGE:PHB						
Fabricate	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Fabricate	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Fabricate									SOURCEPAGE:PHB						
Faerie Fire	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Faerie Fire	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Faerie Fire									SOURCEPAGE:PHB						
False Life	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ False Life	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|False Life									SOURCEPAGE:PHB						
Fear	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Fear	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Fear									SOURCEPAGE:PHB						
Feather Fall	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Feather Fall	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Feather Fall									SOURCEPAGE:PHB						
Feeblemind	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Feeblemind	PRECLASS:1,Bard=15																	SPELLKNOWN:CLASS|Bard=8|Feeblemind									SOURCEPAGE:PHB						
Feign Death	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Feign Death	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Feign Death									SOURCEPAGE:PHB						
Find Familiar	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Find Familiar	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Find Familiar									SOURCEPAGE:PHB						
Find Steed	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Find Steed	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Find Steed									SOURCEPAGE:PHB						
Find the Path	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Find the Path	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Find the Path									SOURCEPAGE:PHB						
Find Traps	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Find Traps	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Find Traps									SOURCEPAGE:PHB						
Finger of Death	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Finger of Death	PRECLASS:1,Bard=13																	SPELLKNOWN:CLASS|Bard=7|Finger of Death									SOURCEPAGE:PHB						
Fireball	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Fireball	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Fireball									SOURCEPAGE:PHB						
Fire Bolt	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Fire Bolt	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Fire Bolt									SOURCEPAGE:PHB						
Fire Shield	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Fire Shield	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Fire Shield									SOURCEPAGE:PHB						
Fire Storm	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Fire Storm	PRECLASS:1,Bard=13																	SPELLKNOWN:CLASS|Bard=7|Fire Storm									SOURCEPAGE:PHB						
Flame Blade	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Flame Blade	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Flame Blade									SOURCEPAGE:PHB						
Flame Strike	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Flame Strike	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Flame Strike									SOURCEPAGE:PHB						
Flaming Sphere	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Flaming Sphere	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Flaming Sphere									SOURCEPAGE:PHB						
Flesh to Stone	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Flesh to Stone	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Flesh to Stone									SOURCEPAGE:PHB						
Fly	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Fly	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Fly									SOURCEPAGE:PHB						
Fog Cloud	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Fog Cloud	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Fog Cloud									SOURCEPAGE:PHB						
Forbiddance	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Forbiddance	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Forbiddance									SOURCEPAGE:PHB						
Forcecage	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Forcecage	PRECLASS:1,Bard=13																	SPELLKNOWN:CLASS|Bard=7|Forcecage									SOURCEPAGE:PHB						
Foresight	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Foresight	PRECLASS:1,Bard=17																	SPELLKNOWN:CLASS|Bard=9|Foresight									SOURCEPAGE:PHB						
Freedom of Movement	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Freedom of Movement	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Freedom of Movement									SOURCEPAGE:PHB						
Friends	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Friends	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=0|Friends									SOURCEPAGE:PHB						
Gaseous Form	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Gaseous Form	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Gaseous Form									SOURCEPAGE:PHB						
Gate	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Gate	PRECLASS:1,Bard=17																	SPELLKNOWN:CLASS|Bard=9|Gate									SOURCEPAGE:PHB						
Geas	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Geas	PRECLASS:1,Bard=9																	SPELLKNOWN:CLASS|Bard=5|Geas									SOURCEPAGE:PHB						
Gentle Repose	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Gentle Repose	PRECLASS:1,Bard=3																	SPELLKNOWN:CLASS|Bard=2|Gentle Repose									SOURCEPAGE:PHB						
Giant Insect	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Giant Insect	PRECLASS:1,Bard=7																	SPELLKNOWN:CLASS|Bard=4|Giant Insect									SOURCEPAGE:PHB						
Glibness	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Glibness	PRECLASS:1,Bard=15																	SPELLKNOWN:CLASS|Bard=8|Glibness									SOURCEPAGE:PHB						
Globe of Invulnerability	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Globe of Invulnerability	PRECLASS:1,Bard=11																	SPELLKNOWN:CLASS|Bard=6|Globe of Invulnerability									SOURCEPAGE:PHB						
Glyph of Warding	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Glyph of Warding	PRECLASS:1,Bard=5																	SPELLKNOWN:CLASS|Bard=3|Glyph of Warding									SOURCEPAGE:PHB						
Goodberry	CATEGORY:Internal	TYPE:Bard Magical Secret			KEY:Bard Magical Secret ~ Goodberry	PRECLASS:1,Bard=1																	SPELLKNOWN:CLASS|Bard=1|Goodberry									SOURCEPAGE:PHB						
