SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																																																				
#																																																						
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page												
Epic Will	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Deflect Arrows,Improved Unarmed Strike									PRESTAT:1,DEX=21	PRESTAT:1,WIS=19								DESC:You can deflect any ranged attacks (including spells that require ranged touch attacks) as if they were arrows. If deflecting a spell, add the spell level to the DC to deflect the attack.																	SOURCEPAGE:ELH												
Extend Life Span	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Add one-half the maximum result of your race's maximum age modifier to your normal middle age, old, and venerable age categories. For example, a human who took this feat would reach middle age at 58 years (rather than 38), old age at 73 years (instead of 53), and venerable age at 90 years (instead of 70). Calculate the character's maximum age using the new venerable number. This feat can't lower your current age category (for instance, if you're already middle age but the feat pushes the middle age category to above your current age, you don't revert to adulthood). Special: You can gain this feat multiple times. Its effects stack.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Familiar Spell	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,INT=25,CHA=25					PRETEXT:Int 25 (if your spellcasting is controlled by Intelligence) or Cha 25 (if your spellcasting is controlled by Charisma).				DESC:Choose one arcane spell you know of 8th level or lower, such as chain lightning or circle of death. Your familiar can now use this spell once per day as a spell- ike ability, at a caster level equal to your caster level. You cannot bestow a spell to your familiar if the spell normally has a material component cost of more than 1 gp or an XP cost.	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLTYPE=Arcane[KNOWN=YES;LEVELMAX=8]														SOURCEPAGE:ELH												
Fast Healing	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,CON=25									DESC:You gain fast healing 3, or your existing fast healing increases by 3. This feat does not stack with fast healing granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|FastHealing|3			SOURCEPAGE:ELH												
Fine Wild Shape	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Diminutive Wild Shape														PRETEXT:Ability to wild shape into a Diminutive animal.				DESC:You can use your wild shape to take the shape of a Fine animal.																	SOURCEPAGE:ELH												
Forge Epic Ring	CATEGORY:FEAT	TYPE:Epic.ItemCreation	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Forge Ring						PRESKILL:2,Knowledge (Arcana)=35,Spellcraft=35												DESC:You can forge magic rings that exceed the normal limits for such items (as stated in this book and in the DUNGEON MASTER's Guide). For instance, you could craft a ring of protection that granted a deflection bonus of greater than +5 or an item that required prerequisite spells of higher than 9th level. See Chapter 4: Epic Magic Items for examples of epic Rings.																	SOURCEPAGE:ELH												
Gargantuan Wild Shape	CATEGORY:FEAT	TYPE:Epic.Wild	VISIBLE:YES			PRELEVEL:MIN=21															PRETEXT:Ability to wild shape into a Huge animal.	PREVARGTEQ:WildShapeProgression,5			DESC:You can use your wild shape to take the shape of a Gargantuan animal.																	SOURCEPAGE:ELH												
Great Charisma	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Your Charisma increases by 1 point.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH	BONUS:STAT|CHA|1											
Great Constitution	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Your Constitution increases by 1 point.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH	BONUS:STAT|CON|1											
Great Dexterity	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Your Dexterity increases by 1 point.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH	BONUS:STAT|DEX|1											
Great Intelligence	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Your Intelligence increases by 1 point.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH	BONUS:STAT|INT|1											
Great Smiting	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,CHA=25					PREABILITY:1,CATEGORY=Special Ability,TYPE.Smite				DESC:Whenever you make a successful smite attack, add twice the appropriate level to damage (rather than just your level).	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:ABILITYPOOL|Great Smiting|1													SOURCEPAGE:ELH												
Great Strength	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Your Strength increases by 1 point.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH	BONUS:STAT|STR|1											
Great Wisdom	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Your Wisdom increases by 1 point.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH	BONUS:STAT|WIS|1											
Group Inspiration	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Bardic Music						PRESKILL:1,TYPE.Perform=30												DESC:The number of allies you can affect with your inspire competence or inspire greatness bardic music ability doubles. When inspiring competence in multiple allies, you can choose different skills to inspire for different allies. Special: A character can gain this feat multiple times. Its effects stack. Remember that two doublings equals a tripling, and so forth.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Hindering Song	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Deafening Song																		DESC:You can use song or poetics to hinder enemy spellcasters within a 30-foot spread from you. To successfully cast a spell within this area, a spellcaster must make a Concentration check as if she were casting defensively, and all such checks have a penalty equal to half your level. You can choose to exclude any characters from this effect (usually your allies). You may sing, play, or recite a hindering song while taking other mundane actions, but not magical ones (see the bard's inspire courage ability for more details). You may keep up the hindering song for a maximum of 10 rounds. Using the hindering song counts as one of your uses of song or poetics for the day.																	SOURCEPAGE:ELH												
Holy Strike	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Smite Evil														PREALIGN:LG,NG,CG				DESC:Any weapon you wield is treated as a holy weapon (it is good-aligned and deals an extra 2d6 points of damage against creatures of evil alignment). If the weapon already has an alignment, this feat has no effect on the weapon.																	SOURCEPAGE:ELH												
Ignore Material Component	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Eschew Materials						PRESKILL:1,Spellcraft=25								PRETEXT:Ability to cast 9th arcane or divine spells.				DESC:You may cast your spells without any material components. This feat does not affect the need for a focus or divine focus.																	SOURCEPAGE:ELH												
Improved Alignment-Based Casting	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21														PREDOMAIN:1,Chaos,Evil,Good,Law	PRETEXT:Ability to cast 9th divine spells.				DESC:Select an alignment-based domain (Chaos, I Evil, Good, or Law) to which you have access. You cast spells with that alignment descriptor at +3 caster level. Special: This benefit overrides (does not stack with) the granted powers of the Chaos, Evil, Good, and Law domains.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:ABILITYPOOL|Improved Alignment-Based Casting|1													SOURCEPAGE:ELH												
Improved Death Arrow	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Point Blank Shot,Precise Shot	PREABILITY:1,CATEGORY=Special Ability,Arcane Archer ~ Arrow of Death								PRESTAT:2,DEX=19,WIS=19									DESC:Add +2 to the DC of your arrows of death.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ArrowOfDeathDC|2			SOURCEPAGE:ELH												
Improved Aura of Courage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Paladin ~ Aura of Courage																		DESC:Your aura of courage grants a +8 morale bonus on saving throws against fear effects.														BONUS:VAR|AuraOfCourageBonus|4			SOURCEPAGE:ELH												
Improved Aura of Despair	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Blackguard ~ Aura of Despair																		DESC:Your aura of despair causes a -4 morale penalty on all saving throws.														BONUS:VAR|AuraOfDespairBonus|2			SOURCEPAGE:ELH												
Improved Combat Casting	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Combat Casting						PRESKILL:1,Concentration=25												DESC:You don't incur attacks of opportunity for casting spells when threatened.																	SOURCEPAGE:ELH												
Improved Combat Reflexes	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Combat Reflexes									PRESTAT:1,DEX=21									DESC:There is no limit to the number of attacks of opportunity you can make in one round. (You still can't make more than one attack of opportunity for a given opportunity.)																	SOURCEPAGE:ELH												
Improved Darkvision	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PREVISION:1,Darkvision=ANY				DESC:The range of your darkvision doubles. This feat does not stack with darkvision granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH	BONUS:VISION|Darkvision|60											
Improved Death Attack	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=Special Ability,Death Attack,Sneak Attack															PREVARGTEQ:SneakAttackDice,5			DESC:Add +2 to the DC of your death attack.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|DeathAttackDC|2			SOURCEPAGE:ELH												
Improved Elemental Wild Shape	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,WIS=25					PREABILITY:1,CATEGORY=Special Ability,Wild Shape	PREVARGTEQ:WildShapeProgression,6			DESC:See text.														BONUS:VAR|ImprovedWildShape|1			SOURCEPAGE:ELH												
Improved Favored Enemy	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PREABILITY:1,CATEGORY=Special Ability,Favored Enemy				DESC:See text.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ImprovedFavoredEnemyBonus|1			SOURCEPAGE:ELH	ASPECT:NAME|Improved Favored Enemy +%1|ImprovedFavoredEnemyBonus											
Improved Heighten Spell	CATEGORY:FEAT	TYPE:Epic.Metamagic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Heighten Spell						PRESKILL:1,Spellcraft=20												DESC:Heighten Spell, but there is no limit to the level to which you can heighten the spell.							ADDSPELLLEVEL:0										SOURCEPAGE:ELH												
Improved Ki Strike	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Ki Strike									PRESTAT:1,WIS=21						PREVARGTEQ:KiStrikeAdamantine,1			DESC:Your unarmed strikes are treated as epic magic weapons for the purpose of bypassing damage reduction.														BONUS:VAR|KiStrikeEpic|1			SOURCEPAGE:ELH												
Improved Low-Light Vision	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PREVISION:1,Low-Light=ANY				DESC:The range of your low-light vision doubles. This feat does not stack with low-light vision granted by magic items or nonpermanent magical effects.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|LowLightDistance|1			SOURCEPAGE:ELH												
Improved Manifestation	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PRETEXT:Ability to manifest powers of the normal maximum level in at least one psionic class.			DEFINE:ImprovedManifestationCount|0	DESC:When you select this feat, your metapsionic power point cost limit is increased by +2. For example, if you select this feat at 21st level, you could use metapsionic feats in conjunction with other powers so that you could spend a total of 22 power points on any single power. However, in order to manifest the power, your key ability score must be equal to or higher than the total power point cost minus 2. You must use this feat as a member of the class in which you can already manifest powers of the normal maximum level. For instance, a 5th-level psychic warrior/22ndlevel psion couldn't advance her power point cost limit in psychic warrior, because she can't manifest powers of the normal maximum level for a psychic warrior. But she could advance her power cost limit for her psion powers. Additionally, you gain 19 power point when first taking this feat.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|ImprovedManifestationCount|1			SOURCEPAGE:ELH	BONUS:ABILITYPOOL|Improved Manifestation|1											
Improved Manyshot	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES		PRETOTALAB:21	PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Manyshot,Point Blank Shot,Rapid Shot									PRESTAT:1,DEX=19									DESC:As Manyshot, but the number of arrows you can fire is limited only by your base attack bonus (two arrows, plus one arrow for every 5 points of base attack bonus above +6).																	SOURCEPAGE:ELH												
Improved Metamagic	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:4,CATEGORY=FEAT,TYPE.Metamagic						PRESKILL:1,Spellcraft=30												DESC:See text.																	SOURCEPAGE:ELH	ADDSPELLLEVEL:-1											
Improved Sneak Attack	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PREABILITY:1,CATEGORY=Special Ability,Sneak Attack	PREVARGTEQ:SneakAttackDice,8			DESC:See text.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	BONUS:VAR|SneakAttackDice|1													SOURCEPAGE:ELH												
Improved Spell Capacity	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PRETEXT:Ability to cast spells of the normal maximum spell level in at least one spellcasting class.				DESC:When you select this feat, you gain one spell slot per day of any level up to one level higher than the highest-level spell you can already cast in a particular class. For example, if you select this feat as a list-level wizard, you would gain one wizard spell slot of any spell level up to 10th. You must still have the requisite ability score (10 + spell level) in order to cast any spell stored in this slot. If you have a high enough ability modifier to gain one or more bonus spells for this spell level, you also gain the bonus spells for this spell level.	STACK:YES	MULT:YES	CHOOSE:SPELLLEVEL|SpellType=Arcane|0|MAXLEVEL+1|SpellType=Divine|0|MAXLEVEL+1														SOURCEPAGE:ELH	BONUS:SPELLCAST|%LIST|1											
Improved Spell Resistance	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PRESRGTEQ:1				DESC:Your spell resistance increases by +2.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH	BONUS:MISC|SR|2											
Improved Stunning Fist	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Improved Unarmend Strike,Stunning Fist									PRESTAT:2,DEX=19,WIS=19									DESC:Add +2 to the DC of your stunning attack.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|StunningFistDC|2			SOURCEPAGE:ELH												
Improved Whirlwind Attack	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:5,CATEGORY=FEAT,Dodge,Expertise,Mobility,Spring Attack,Whirlwind Attack									PRESTAT:1,INT=13	PRESTAT:1,DEX=23								DESC:As a standard action, you can make one melee attack for every five points of your base attack bonus (including your epic attack bonus; round fractions down). For example, if your base attack bonus plus epic attack bonus were +24, you could make four separate melee attacks as a single standard action. You can't attack any one opponent more than once as part of this action. These attacks (as well as all other attacks made until the start of your next turn) suffer a -4 penalty. When you use the Improved Whirlwind Attack feat, you also forfeit any bonus or extra attacks granted by other feats or abilities (such as Cleave or the haste spell). Since these attacks are made as part of a standard action, you can't take a 5-foot step between them.																	SOURCEPAGE:ELH												
Incite Rage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,CHA=25						PREVARGTEQ:GreaterRage,1			DESC:When you enter a rage, you can incite a barbarian rage in any or all allies within 60 feet. (Any ally who doesn't wish to become enraged is unaffected.) The ally gains +4 to Strength, +4 to Constitution, and a +2 morale bonus on Will saves, but takes a -2 penalty to AC, for as long as you remain raging. The rage of affected allies lasts a number of rounds equal to 3 + their Constitution modifier, regardless of whether they remain within 60 feet of you. This is otherwise identical with normal barbarian rage (including the fatigue at its end).																	SOURCEPAGE:ELH												
Infinite Deflection	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Combat Reflexes,Deflect Arrows,Improved Unarmed strike									PRESTAT:1,DEX=25									DESC:You may perform any number of deflections each round. See the Deflect Arrows feat in the Player's Handbook.																	SOURCEPAGE:ELH												
Inspire Excellence	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Bardic Music						PRESKILL:1,TYPE.Perform=30												DESC:You can use song or poetics to grant a bonus to one ability score to your allies. To be affected, an ally must hear the bard sing for 1 full round. The effect lasts as long as the bard sings and for 5 rounds after the bard stops singing (or 5 rounds after the ally can no longer hear the bard). While singing, the bard can fight but cannot cast spells, activate magic items by spell completion (such as scrolls), or activate magic items by command word (such as wands). Each ally to be inspired gains a +4 competence bonus to the same ability score, which you must choose before you begin inspiring. For instance, you could grant all allies a bonus to Strength, or all allies a bonus to Constitution, but you couldn't grant some allies a bonus to Strength and some a bonus to Constitution with the same performance. Inspire excellence is a supernatural, mind-affecting ability. Using this feat counts as one of your uses of song or poetics for the day.																	SOURCEPAGE:ELH												
Instant Reload	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Quick Draw,Rapid Reload,Weapon Focus																		DESC:You may fire the selected type of crossbow at your full normal attack rate. Effectively, you can reload your crossbow as fast as an archer can reload a bow. Reloading your crossbow does not provoke attacks of opportunity.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Weapon Focus]														SOURCEPAGE:ELH												
Intensify Spell	CATEGORY:FEAT	TYPE:Epic.Metamagic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Empower Spell,Maximize Spell						PRESKILL:1,Spellcraft=30								PRETEXT:Ability to cast 9th arcane or divine spells.				DESC:All variable, numeric effects of an intensified spell are maximized, then doubled. An intensified spell deals twice maximum damage, cures twice the maximum number of hit points, affects twice the maximum number of targets, and so forth, as appropriate. For example, an intensified horrid wilting spell would deal 16 points of damage per caster level (up to a maximum of 400 points of damage at 25th level). Saving throws and opposed rolls (such as the one you make when you cast dispel magic) are not affected. An intensified spell uses up a spell slot seven levels higher than the spell's actual level. You can't combine the effects of this feat with any other feat that affects the variable, numeric effects of a spell, such as Empower Spell or Maximize Spell.							ADDSPELLLEVEL:7										SOURCEPAGE:ELH												
Keen Strike	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Improved Critical (Unarmed Strike),Improved Unarmed Strike,Stunning Fist	PREABILITY:1,CATEGORY=Special Ability,Ki Strike								PRESTAT:2,STR=23,WIS=23						PREVARGTEQ:KiStrikeAdamantine,1			DESC:Your unarmed strike has a critical threat range of 18-20 and deals slashing damage. (At your option, any unarmed strike can deal bludgeoning damage instead, but cannot then take advantage of the enhanced threat range.) This ability doesn't stack with other abilities that expand your unarmed strike's threat range.																	SOURCEPAGE:ELH												
Lasting Inspiration	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,TYPE.Perform=25								PREABILITY:1,CATEGORY=Special Ability,Bard ~ Bardic Music				DESC:See text.																	SOURCEPAGE:ELH												
Legendary Climber	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:2,Balance=12,Climb=24			PRESTAT:1,DEX=21									DESC:You can ignore any check penalties applied for accelerated climbing or rapid climbing.																	SOURCEPAGE:ELH												
Legendary Commander	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Epic Leadership,Leadership						PRESKILL:1,Diplomacy=30			PRESTAT:1,CHA=25					PRETEXT:Must rule own kingdom and have a stronghold.				DESC:Multiply the number of followers of each level that you can lead by 10. Thus, a Leadership score of 25 would allow you to lead 1,350 1st-level followers, 130 2ndlevel followers, and so forth. This has no effect on cohorts.																	SOURCEPAGE:ELH												
Legendary Leaper	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Jump=24												DESC:You need only move 5 feet in a straight line to make a running jump.																	SOURCEPAGE:ELH												
Legendary Rider	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Ride=24												DESC:You don't take a penalty on Ride checks when riding a mount without a saddle (bareback). You never need to make a Ride check to guide a mount with your knees to use both hands in combat, to direct a war-trained mount to attack in battle, or to control an untrained mount in battle. Controlling an untrained mount in battle is a free action.																	SOURCEPAGE:ELH												
Legendary Tracker	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Track						PRESKILL:2,Knowledge (Nature)=30,Survival=30			PRESTAT:1,WIS=25									DESC:You can track creatures across water, underwater, or through the air by the minute disturbances they make and traces of their passage. This adds the surfaces of water, underwater, and air to the list of surfaces found under the Track feat in the Player's Handbook.																	SOURCEPAGE:ELH												
Legendary Wrestler	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Improved Unarmed Strike						PRESKILL:1,Escape Artist=15			PRESTAT:2,STR=21,DEX=21									DESC:You gain a +10 bonus on all grapple checks.									BONUS:COMBAT|TOHIT.Grapple|10								SOURCEPAGE:ELH												
Lingering Damage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Sneak Attack	PREABILITY:1,CATEGORY=Special Ability,Rogue Special Ability ~ Crippling Strike														PREVARGTEQ:SneakAttackDice,8			DESC:Any time you deal damage with a sneak attack, that target takes damage equal to your sneak attack bonus damage on your next turn as well.																	SOURCEPAGE:ELH												
Magical Beast Companion	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Knowledge (Nature)=24									PREVARGTEQ:WildShapeTimes,6			DESC:The following magical beasts are added to the lists of animal companions from which you can select.																	SOURCEPAGE:ELH	COMPANIONLIST:Animal Companion|Stirge,Darkmantle	COMPANIONLIST:Animal Companion|Hippogrif,Shocker Lizard|FOLLOWERADJUSTMENT:-3	COMPANIONLIST:Animal Companion|Cocktatrice,Ankheg,Displacer Beast,Griffon,Owlbear|FOLLOWERADJUSTMENT:-6	COMPANIONLIST:Animal Companion|Basilisk,Digester,Girallon,Spider Eater|FOLLOWERADJUSTMENT:-9	COMPANIONLIST:Animal Companion|Bulette,Chimera,Remorhaz|FOLLOWERADJUSTMENT:-12	COMPANIONLIST:Animal Companion|Gorgon,Gray Render|FOLLOWERADJUSTMENT:-15						
Magical Beast Wild Shape	CATEGORY:FEAT	TYPE:Epic.Wild	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Knowledge (Nature)=27			PRESTAT:1,WIS=25						PREVARGTEQ:WildShapeTimes,6			DESC:You can use your normal wild shape ability to take the form of a magical beast. The size limitation is the same as your limitation on animal size. You gain all supernatural abilities of the magical beast whose form you take.																	SOURCEPAGE:ELH												
Master Staff	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Craft Staff						PRESKILL:1,Spellcraft=15												DESC:When you activate a staff, you can substitute a spell slot instead of using a charge. The spell slot must be one you have not used for the day, though you may lose a prepared spell to emulate a wand charge (you may not lose prepared spells from your school of specialty, if any). The spell slot lost must be equal to or higher in level than the specific spell stored in the staff, including any levelincreasing metamagic enhancements. You cannot emulate a charge for a staff function that does not match a specific spell.																	SOURCEPAGE:ELH												
Master Wand	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Craft Wand						PRESKILL:1,Spellcraft=15												DESC:When you activate a wand, you can substitute a spell slot instead of using a charge. The spell slot must be one you have not used for the day, though you may lose a prepared spell to emulate a wand charge (you may not lose prepared spells from your school of specialty, if any). The spell slot lost must be equal to or higher in level than the spell stored in the wand, including any levelincreasing metamagic enhancements.																	SOURCEPAGE:ELH												
Mighty Rage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:2,STR=21,CON=21						PREVARGTEQ:RageTimes,5,MightyRage,1			DESC:When you rage, you gain a +8 bonus to Strength and Constitution and a +4 morale bonus on Will saves. (These bonuses replace the normal rage bonuses.)														BONUS:VAR|RageBonus|4			SOURCEPAGE:ELH												
Mobile Defense	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Dodge,Mobility,Spring Attack									PRESTAT:1,DEX=15						PREVARGTEQ:DefensiveStanceTimes,3			DESC:While in a defensive stance, you may take one 5-foot adjustment each round without losing the benefits the stance.																	SOURCEPAGE:ELH												
Multispell	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Quicken Spell														PRETEXT:Ability to cast 9th arcane or divine spells.				DESC:You may cast one additional quickened spell in a round.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Multiweapon Rend	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES		PRETOTALAB:9	PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Multiweapon Fighting									PRESTAT:1,DEX=15					PREHANDSGTEQ:3				DESC:If you hit an opponent with two or more weapons (wielded in different hands) in the same round, you may automatically rend the opponent. This rending deals additional damage equal to the base damage of the smallest weapon that hit plus 1 1/2 times your Strength modifier. You can only rend once per round, regardless of how many successful attacks you make.																	SOURCEPAGE:ELH	SERVESAS:ABILITY=FEAT|Two-Weapon Rend											
Music of the Gods	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Bardic Music						PRESKILL:1,TYPE.Perform=30			PRESTAT:1,CHA=25									DESC:Your bardic music can affect even those normally immune to mind-affecting effects. However, such creatures gain a +10 bonus on their Will saves to resist such effects.																	SOURCEPAGE:ELH												
