SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
																																	
Race Traits ~ Demodand (Shator)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemodandShatorRaceTrait|Immunity to Mind-Affecting|Scent|Immunity to Acid|Immunity to Cold|Immunity to Poison|Immunity to Fire	AUTO:LANG|Demodand|Abyssal|Infernal|Common										BONUS:VAR|Maneuverability|2|TYPE=Base	BONUS:COMBAT|AC|4|TYPE=Deflection	BONUS:VAR|DarkvisionRange|120|TYPE=Base									AUTO:WEAPONPROF|Guisarme								
Paralyzing Slime	CATEGORY:Special Ability	TYPE:DemodandShatorRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A shator's slime acts as a nerve toxin. Creatures struck in melee by a shator's claw or bite attack must make a Fortitude save (DC %1) or be paralyzed for 3d6 rounds. The shator can choose to spit a globule of slime as a ranged touch attack with a range of 30 feet, with the same effect.|ParalyzingSlimeDC	KEY:Demodand (Shator) ~ Paralyzing Slime				DEFINE:ParalyzingSlimeDC|0					BONUS:VAR|ParalyzingSlimeDC|DefaultDCCon	BONUS:VAR|ParalyzingSlimeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralyzing Slime)								ABILITY:Ability Focus|AUTOMATIC|Paralyzing Slime									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemodandShatorRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demodand (Shator) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Detect Magic|Clairaudience/Clairvoyance|Fear|Invisibility|Spider Climb|Tongues	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Cloudkill|Fog Cloud|Ray of Enfeeblement|Stinking Cloud	SPELLS:Innate|TIMES=2|CASTERLEVEL=16|Dispel Magic	SPELLS:Innate|TIMES=1|CASTERLEVEL=16|Charm Monster (Mass)						SOURCEPAGE:FF	
Spells	CATEGORY:Special Ability	TYPE:DemodandShatorRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A shator can cast arcane spells as an 8th-level sorcerer (spells/day 6/8/7/6/4; spells known 8/5/3/2/1; save DC 15 + spell level).	KEY:Demodand (Shator) ~ Spells																											SOURCEPAGE:FF	
Summon Demodand	CATEGORY:Special Ability	TYPE:DemodandShatorRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a shator can attempt to summon 1d2 shators with a 30%% chance of success (result of 71-100 on d%%) or either 1d4 kelubars or 1d6 farastus (shator's choice) with a 70%% chance of success (result of 31-100 on d%%).	KEY:Demodand (Shator) ~ Summon Demodand																											SOURCEPAGE:FF	
See Invisibility	CATEGORY:Special Ability	TYPE:DemodandShatorRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This ability functions like a see invisibility spell, except that it is always active and its range extends to the limit of the shator's vision.	KEY:Demodand (Shator) ~ See Invisibility									BONUS:VAR|HasSeeInvisibilityVision|1|TYPE=Base																		SOURCEPAGE:FF	
																																	
Race Traits ~ Demon (Alkilith)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonAlkilithRaceTrait											BONUS:VAR|TelepathyRange|100|TYPE=Base																			
Acid	CATEGORY:Special Ability	TYPE:DemonAlkilithRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Anyone struck by an alkilith's pseudopod must make a Fortitude save (DC %1) or take an additional 1d6 points of acid damage in the current round and each of the next 1d6 rounds. Additionally, each time a character fails a Fortitude save against this attack, one of his items is put at danger as if he had rolled a natural 1 on his saving throw (see Items Surviving after a Saving Throw in Chapter 10 of the Player's Handbook).|AcidDC	KEY:Demon (Alkilith) ~ Acid				DEFINE:AcidDC|0					BONUS:VAR|AcidDC|DefaultDCCon	BONUS:VAR|AcidDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Acid)								ABILITY:Ability Focus|AUTOMATIC|Acid									SOURCEPAGE:FF	
Cloudkill Form	CATEGORY:Special Ability	TYPE:DemonAlkilithRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a full-round action, an  alkilith can assume the form of a cloud of noxiousgreen vapor. The alkilith is gaseous (as if it were the target of a gaseous form spell) in this form, and anyone inside the cloud suffers as if from a cloudkill spell. Returning to its solid form is a full-round action. Caster level 11th; save DC 17 (also see cloudkill spell description).	KEY:Demon (Alkilith) ~ Cloudkill Form																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonAlkilithRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon (Alkilith) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=11|Contagion|Desecrate|Detect Magic|Dispel Magic|Enervation|Hold Monster|Magic Circle against Good|Stinking Cloud|Teleport (Greater) ~ Self only|Wall of Ice	SPELLS:Innate|TIMES=3|CASTERLEVEL=17|Cone of Cold|Unholy Blight								SOURCEPAGE:FF	
Amorphous	CATEGORY:Special Ability	TYPE:DemonAlkilithRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An alkilith is not subject to flanking or critical hits. It is immune to poison, sleep, paralysis, stunning, and polymorphing.	KEY:Demon (Alkilith) ~ Amorphous																		ABILITY:Special Ability|AUTOMATIC|Immunity To Critical Hits|Immunity To Flanking|Immunity to Poison|Immunity to Sleep|Immunity to Paralysis|Immunity to Stunning|Immunity to Polymorph									SOURCEPAGE:FF	
Command Ooze	CATEGORY:Special Ability	TYPE:DemonAlkilithRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:An alkilith can control the actions of any ooze within 60 feet as a free action. The ooze is allowed a Will save (DC 17) to resist.	KEY:Demon (Alkilith) ~ Command Ooze																											SOURCEPAGE:FF	
Immunities	CATEGORY:Special Ability	TYPE:DemonAlkilithRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Alkiliths are immune to harmful gases such as the effect of a stinking cloud spell and the stench ability of a monster. They only take half damage from bludgeoning Weapons (change DR).	KEY:Demon (Alkilith) ~ Immunities																											SOURCEPAGE:FF	
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:DemonAlkilithRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Once per day, an alkilith may attempt to summon 1 hezrou with a 50%% chance of success (result of 51-100 on d%%).	KEY:Demon (Alkilith) ~ Summon Tanar'ri																											SOURCEPAGE:FF	
																																	
Race Traits ~ Demon (Blood Fiend)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonBloodFiendRaceTrait|Resistance to Acid|Resistance to Cold|Immunity to Electricity|Resistance to Fire	AUTO:LANG|Abyssal										BONUS:VAR|Maneuverability|5|TYPE=Base	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,FireResistanceBonus|20|TYPE=Resistance																		
Blood Drain	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A blood fiend sucks blood from living victims when it hits with its bite attack. Each successful bite attack deals 1d4 points of Constitution drain.	KEY:Demon (Blood Fiend) ~ Blood Drain																											SOURCEPAGE:FF	
Dominate	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Like a vampire, a blood fiend can crush an opponent's will by looking into its eyes. This attack functions like a gaze attack, except that it is a standard action, and creatures merely looking at the blood fiend are not affected. Any creature within 30 feet that the blood fiend targets for the attack falls instantly under its influence as though by a dominate monster spell (caster level 18th; Will save DC %1).|DominateDC	KEY:Demon (Blood Fiend) ~ Dominate				DEFINE:DominateDC|0					BONUS:VAR|DominateDC|VampireDC	BONUS:VAR|DominateDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Dominate)								ABILITY:Ability Focus|AUTOMATIC|Dominate									SOURCEPAGE:FF	
Energy Drain	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature hit by a blood fiend's claw attack must succeed on a Fortitude saving throw (DC %1 or gain one negative level). For each negative level bestowed, the blood fiend heals 5 points of damage. If the amount of healing is more than the damage the creature has taken, it gains any excess as temporary hit points. If the negative level has not been removed (with a spell such as restoration) before 24 hours have passed, the afflicted opponent must succeed on a Fortitude save (DC %1) to remove it. Failure means the opponent's level (or Hit Dice) is reduced by one.|EnergyDrainDC	KEY:Demon (Blood Fiend) ~ Energy Drain				DEFINE:EnergyDrainDC|0					BONUS:VAR|EnergyDrainDC|DefaultDCCha	BONUS:VAR|EnergyDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Energy Drain)								ABILITY:Ability Focus|AUTOMATIC|Energy Drain									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon (Blood Fiend) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Detect Good|Detect Magic|Teleport (Greater) ~ Self only	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Chaos Hammer|Darkness|Unholy Blight	SPELLS:Innate|TIMES=1|CASTERLEVEL=18|Blasphemy|Desecrate							SOURCEPAGE:FF	
Alternate Form	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A blood fiend can assume the shape of a regular or fiendish dire bat, a dire wolf, a howler, or a nightmare as a standard action. The creature can remain in the assumed form indefinitely.	KEY:Demon (Blood Fiend) ~ Alternate Form																											SOURCEPAGE:FF	
Create Spawn	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An outsider of the evil subtype slain by a blood fiend's energy drain attack (negative levels equal to current Hit Dice, or drained below 1st level) rises as a blood fiend 1d4 days after death. The new blood fiend does not have any of the abilities it had in life.	KEY:Demon (Blood Fiend) ~ Create Spawn																											SOURCEPAGE:FF	
Fast Healing	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialQuality.Extraordinary.Fast Healing	VISIBLE:YES	DESC:A blood fiend heals 5 points of damage per round so long as it has at least 1 hit point. Fast healing does not restore hit points lost from starvation, thirst, or suffocation, and it does not allow a blood fiend to regrow or reattach lost body parts. If reduced to 0 hit points or lower, a blood fiend automatically assumes gaseous form and attempts to escape. Its fast healing begins as soon as it has rested anywhere (it is not limited to a coffin) for 1 hour. A dismissal, dispel evil, banishment, dictum, or holy word spell cast on it while its current hit points are below 1 destroys it utterly.	KEY:Demon (Blood Fiend) ~ Fast Healing									BONUS:VAR|FastHealing|5|TYPE=Base																		SOURCEPAGE:FF	
Gaseous Form	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At will, a blood fiend can assume gaseous form as a standard action. This ability functions like the gaseous form spell (caster level 5th), except that the blood fiend can remain gaseous indefinitely and has a fly speed of 20 feet (perfect).	KEY:Demon (Blood Fiend) ~ Gaseous Form																											SOURCEPAGE:FF	
Turn Resistance	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A blood fiend is treated as an undead with 6 more Hit Dice than it actually has for the purpose of turn, rebuke, command, or bolster attempts.	KEY:Demon (Blood Fiend) ~ Turn Resistance									BONUS:VAR|TurnResistanceBonus|6																		SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:DemonBloodFiendRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A blood fiend has a +8 racial bonus on Bluff, Hide, Listen, Move Silently, Search, Sense Motive, and Spot checks.	KEY:Demon (Blood Fiend) ~ Skill									BONUS:SKILL|Bluff,Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Demon (Klurichir)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonKlurichirRaceTrait	AUTO:LANG|Abyssal|Common|Celestial|Draconic|Ignan|Undercommon										BONUS:VAR|TelepathyRange|100|TYPE=Base																			
Fear Aura	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a free action, a klurichir can produce a fear effect. This ability functions like a fear spell (caster level 20th; save DC %1), except that it affects all creatures within a 30-foot radius around the klurichir. Any creature that makes a saving throw against the effect cannot be affected again by that klurichir's fear aura for one day. The save DC is Charismabased.|FearAuraDC	KEY:Demon (Kluirichir) ~ Fear Aura				DEFINE:FearAuraDC|0					BONUS:VAR|FearAuraDC|DefaultDCCha	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)								ABILITY:Ability Focus|AUTOMATIC|Fear Aura									SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a klurichir hits an opponent that is at least one size category smaller than itself with a pincer attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +37). If it gets a hold, it draws the grappled character toward its vorpal pincers and its mouth, where it can immediately attempt to attack the opponent with its vorpal pincers attack (at a +25 attack bonus). Thereafter, the klurichir can simply use its pincer to hold the opponent, taking no penalty on its grapple checks and not considered grappled itself (see Improvd Grapple, below). Each successful grapple check it makes during successive rounds automatically deals pincer damage and allows it to make a vorpal pincers attack and a bite attack on the victim.	KEY:Demon (Kluirichir) ~ Improved Grab																											SOURCEPAGE:FF	
Improved Grapple	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Normally, a creature engaged in a grapple that does not want to be considered grappled must take a -20 penalty on its grapple check. But the klurichir, while grappling with its pincers, is never considered grappled. It can conduct grapple attacks with its pincers normally without taking any penalties on other attacks, and it need not take the -20 penalty on grapple checks to be considered not grappling.	KEY:Demon (Kluirichir) ~ Improved Grapple																											SOURCEPAGE:FF	
Poison	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 2d4 STR, secondary damage 2d4 STR. The save DC is Constitution-based.|PoisonDC	KEY:Demon (Kluirichir) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:FF	
Rend	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If a klurichir hits a single target with both pincers, it latches onto the opponent's body and tears the flesh. This attack deals 2d6+13 points of damage. It typically uses this ability only against Huge and larger creatures, which it cannot grab.	KEY:Demon (Kluirichir) ~ Rend									BONUS:VAR|RendDice|2	BONUS:VAR|RendDieSize|6|TYPE=Base																	SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon (Kluirichir) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Blasphemy,17+CHA|Deeper Darkness|Desecrate|Detect Good|Detect Law|Dispel Good|Charm Monster (Mass)|Suggestion (Mass)|Pyrotechnics|Read Magic|Symbol|Telekinesis|Teleport (Greater) ~ Self only|Tongues ~ Self only|Unhallow|Unholy Aura|Unholy Blight|Wall of Fire	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Destruction|Enervation|Fire Storm|Implosion|Slay Living								SOURCEPAGE:FF	
Spells	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A klurichir can cast arcane spells as a 10th-level sorcerer (spells/day 6/8/8/7/6/4; spells known 9/5/4/3/ 2/1; save DC 16 + spell level). Klurichirs prefer abjuration and evocation spells above others.	KEY:Demon (Kluirichir) ~ Spells																											SOURCEPAGE:FF	
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a klurichir can automatically summon 4d10 quasits, 1d6 hezrous, 2 nalfeshnees, 2 glabrezus, 2 mariliths, or 2 balors (klurichir's choice).	KEY:Demon (Kluirichir) ~ Summon Tanar'ri																											SOURCEPAGE:FF	
Vorpal Pincers	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A klurichir can make a vorpal pincers attack against an opponent grappled in its pincers, once each round, if it makes a successful grapple check. Its vorpal pincers have an attack bonus of +25 and deal 2d6+13 points of damage with a successful attack. The pincers threaten a critical hit on a natural attack roll of 18-20 (including both their natural sharpness and the demon's Improved Critical feat). On a successful critical hit, the pincers sever the opponent's head from its body. Some creatures, such as many aberrations and most oozes, have no heads. Others, such as golems and undead creatures other than vampires, are not affected by the loss of their heads, but most creatures die when their heads are cut off.	KEY:Demon (Kluirichir) ~ Vorpal Pincers																											SOURCEPAGE:FF	
See Invisibility	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:This ability functions like a see invisibility spell, except that it is always active and its range extends to the limit of the klurichir's vision.	KEY:Demon (Kluirichir) ~ See Invisibility									BONUS:VAR|HasSeeInvisibilityVision|1|TYPE=Base																		SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:DemonKlurichirRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Klurichirs have a +8 racial bonus on Intimidate and Sense Motive checks and a +4 racial bonus on Move Silently checks.	KEY:Demon (Kluirichir) ~ Skill									BONUS:SKILL|Intimidate,Sense Motive|8|TYPE=Racial	BONUS:SKILL|Move Silently|4|TYPE=Racial																	SOURCEPAGE:FF	
																																	
Race Traits ~ Demon (Maurezhi)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonMaurezhiRaceTrait	AUTO:LANG|Abyssal										BONUS:VAR|TelepathyRange|100|TYPE=Base																			
Consume	CATEGORY:Special Ability	TYPE:DemonMaurezhiRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When a maurezhi slays a sentient living creature (Int 3 or higher) and consumes the body, it gains additional power from this grisly food. It must begin eating the corpse within 10 minutes of its death and requires 30 minutes to complete the consumption. If the maurezhi is interrupted during this process, it can't completely consume the corpse or gain the benefits. A creature that has been consumed by a maurezhi cannot be restored to life through any form of raising or resurrection that requires part of the corpse. A wish, miracle, or true resurrection spell can restore a consumed victim to life, but there is a 50%% chance that even such powerful magic will fail. There is no limit to the number of corpses a maurezhi can consume in this fashion, but it only advances (see below) by devouring the corpses of humanoids whose Hit Dice or levels are at least half its current Hit Dice. For example, a maurezhi of 13 Hit Dice can only advance by devouring the corpse of a character of at least 7th level. For each suitable humanoid corpse a maurezhi consumes,its Hit Dice, natural armor bonus, Strength, Intelligence, and base attack bonus each increase by +1. Its base saving throw bonuses improve according to its new Hit Dice. It gains additional skill points equal to 8 + its Intelligence modifier, and it spends these additional points on skills possessed by its victim (all of which are treated as class skills for the maurezhi). If the added Hit Die brings the maurezhi's total HD to a multiple of four, it gains a new feat as well, which it can choose from among the feats its previous victims had, assuming that it meets the prerequisites. In addition, the maurezhi gains access to the memories of the creature it has consumed, can speak any language that creature knew, and can assume that creature's form (see below). The maurezhi can reach a maximum of 20 Hit Dice through advancement. Its damage reduction, spell resistance, and Challenge Rating improve based on its Hit Dice, as shown on the table below.&nl;Maurezhi Total HD - Damage Reduction - Spell Resistance - CR&nl;5-7 - 10/Good - 19 - 9&nl;8-9 - 15/Good - 20 - 10&nl;10-14 - 15/Good and Cold Iron - 21 - 11&nl;15-19 - 15/Good and Cold Iron - 22 - 12&nl;20 - 20/Magic and Good and Cold Iron - 23 - 13	KEY:Demon (Maurezhi) ~ Consume				DEFINE:MaurezhiConsumeLVL|0					BONUS:VAR|MaurezhiConsumeLVL|OutsiderLVL	BONUS:MISC|SR|1|PREVARGTEQ:MaurezhiConsumeLVL,8	BONUS:MISC|SR|1|PREVARGTEQ:MaurezhiConsumeLVL,10	BONUS:MISC|SR|1|PREVARGTEQ:MaurezhiConsumeLVL,15	BONUS:MISC|SR|1|PREVARGTEQ:MaurezhiConsumeLVL,20					BONUS:MISC|CR|1|PREVARGTEQ:MaurezhiConsumeLVL,8	BONUS:MISC|CR|1|PREVARGTEQ:MaurezhiConsumeLVL,10	BONUS:MISC|CR|1|PREVARGTEQ:MaurezhiConsumeLVL,15	BONUS:MISC|CR|1|PREVARGTEQ:MaurezhiConsumeLVL,20	BONUS:COMBAT|AC|MaurezhiConsumeLVL-2|TYPE=NaturalArmor	BONUS:STAT|INT,STR|MaurezhiConsumeLVL-5				SOURCEPAGE:FF	
Paralysis	CATEGORY:Special Ability	TYPE:DemonMaurezhiRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any creature hit by a maurezhi's claw or bite attack must succeed on a Fortitude save (DC 10 + 1/2 maurezhi's HD + maurezhi's Con modifier) or be paralyzed for 1d6+4 minutes.|ParalysisDC	KEY:Demon (Maurezhi) ~ Paralysis				DEFINE:ParalysisDC|0					BONUS:VAR|ParalysisDC|DefaultDCCon	BONUS:VAR|ParalysisDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralysis)								ABILITY:Ability Focus|AUTOMATIC|Paralysis									SOURCEPAGE:FF	
Pounce	CATEGORY:Special Ability	TYPE:DemonMaurezhiRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a maurezhi charges, it can make a full attack even though it has moved.	KEY:Demon (Maurezhi) ~ Pounce																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonMaurezhiRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Death watch always active.	KEY:Demon (Maurezhi) ~ Spell-Like Abilties																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HD|Animate Dead|Blur|Cause Fear|Chill Touch|Death Knell|Hold Person|Invisibility	SPELLS:Innate|TIMES=3|CASTERLEVEL=HD|Fear								SOURCEPAGE:FF	
Assume Shape	CATEGORY:Special Ability	TYPE:DemonMaurezhiRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A maurezhi can take on the appearance of any humanoid creature whose corpse it has consumed. This ability function like the disguise self spell (DC 15, caster level 10th), except that the maurezhi can remain in the chosen form indefinitely. It can assume a new form or return to its own as a standard action.	KEY:Demon (Maurezhi) ~ Assume Shape																											SOURCEPAGE:FF	
Summon Creature	CATEGORY:Special Ability	TYPE:DemonMaurezhiRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:This ability functions like a summon monster spell of the appropriate level, except that it has only a limited chance of success. Once per day, a maurezhi can summon 1d4 ghouls with a 100%% chance of success, or 2d4 dretches with a 60%% chance of success (result of 41-100 on d%%). This works like the summon tanar'ri ability of other demons.	KEY:Demon (Maurezhi) ~ Summon Creature																											SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:DemonMaurezhiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A maurezhi has a +8 racial bonus on Jump checks. *When using its assume shape ability, a maurezhi receives an additional +12 circumstance bonus on Disguise checks (reflecting its access to the consumed form's memories as well as its physical alteration).	KEY:Demon (Maurezhi) ~ Skills									BONUS:SKILL|Jump|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Demon (Myrmyxicus)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonMyrmyxicusRaceTrait	AUTO:LANG|Abyssal										BONUS:VAR|TelepathyRange|100|TYPE=Base	BONUS:VAR|Maneuverability|2|TYPE=Base																		
Breath Weapon	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:Once per minute, a myrmyxicus can exhale a %1-foot cone of unholy black vapor. All creatures in this area must make a Reflex save (DC %4) or become nauseated. Good-aligned creatures take %2d%3 points of unholy damage as well (this damage is halved if the Reflex save is successful). Each round beyond the first that a good-aligned victim remains in contact with the vapor, he automatically takes 5d6 points of unholy damage. The vapor remains in the area for 1d6 rounds before it dissipates. The save DC is Constitution-based.|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Demon (Myrmyxicus) ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|40	BONUS:VAR|BreathWeaponDice|10	BONUS:VAR|BreathWeaponDamageDie|6|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:FF	
Charisma Drain	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An individual struck by a myrmyxicus's tail attack must make a Will save (DC %1) or permanently lose 1d6 points of Charisma (twice that amount on a critical hit). The myrmyxicus heals 5 points of damage (10 on a critical hit) whenever it drains Charisma, gaining any excess as temporary hit points.|CharismaDrainDC	KEY:Demon (Myrmyxicus) ~ Charisma Drain				DEFINE:CharismaDrainDC|0					BONUS:VAR|CharismaDrainDC|DefaultDCCha	BONUS:VAR|CharismaDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Charisma Drain)								ABILITY:Ability Focus|AUTOMATIC|Charisma Drain									SOURCEPAGE:FF	
Constrict	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialAttack.Extraordinary.Constrict	VISIBLE:YES	DESC:With a successful grapple check, a myrmyxicus can constrict a grabbed opponent, dealing 1d6+5 points of bludgeoning damage.	KEY:Demon (Myrmyxicus) ~ Constrict									BONUS:VAR|ConstrictDice|1	BONUS:VAR|ConstrictDieSize|6|TYPE=Base																	SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:DemonMyrmyxicusRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a myrmyxicus hits an opponent that is at least one size category smaller than itself with a tentacle attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +37). If it gets a hold, it also constricts on the same round. Thereafter, the myrmyxicus has the option to conduct the grapple normally, or simply use its tentacle to hold the opponent (-20 penalty on grapple check, but the myrmyxicus is not considered grappled).	KEY:Demon (Myrmyxicus) ~ Improved Grab																											SOURCEPAGE:FF	
