SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Speak with Dead Animals	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Starting at 4th level, a blighter can converse with dead animals. This ability functions like a speak with dead spell cast by a cleric of a level equal to the total of the character's druid and blighter levels, except that it affects only corpses of animal creatures. It is usable once per day.	KEY:Blighter ~ Speak with Dead Animals																		SPELLS:Innate|TIMES=1|CASTERLEVEL=BlighterLVL+DruidLVL|Speak with Dead								SORTKEY:Class_Blighter	SOURCEPAGE:CD				
Contagious Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 5th level and higher, a blighter can produce an effect like that of a contagious touch spell once per day. She gains one extra use per day of this ability for every two additional blighter levels she acquires.	KEY:Blighter ~ Contagious Touch				DEFINE:ContagiousTouchTimes|0					BONUS:VAR|ContagiousTouchTimes|(BlighterLVL-3)/2									SPELLS:Innate|TIMES=ContagiousTouchTimes|CASTERLEVEL=BlighterLVL|Contagious Touch								SORTKEY:Class_Blighter	SOURCEPAGE:CD				
Animate Dead Animals	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:This ability, gained at 6th level, functions like an animate dead spell, except that it affects only corpses of animal creatures and requires no material component. It is usable once per day.	KEY:Blighter ~ Animate Dead Animals																		SPELLS:Innate|TIMES=1|CASTERLEVEL=BlighterLVL|Animate Dead								SORTKEY:Class_Blighter	SOURCEPAGE:CD				
Unbond	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Beginning at 8th level, a blighter can temporarily separate a bonded animal or magical beast (such as an animal companion, familiar, or mount) from its master once per day. The target creature must be within 40 feet of both its master and the blighter. If the master fails a Will save (DC 10 + blighter level + blighter's Wis modifi er), the bond terminates as if the servitor had died, though this does not cause experience loss in the case of a familiar. Normally hostile creatures attack their masters but are otherwise unaffected. The bond returns after 1 minute per blighter level, restoring all benefi ts. Alternatively, the master can regain the servitor through the normal methods of acquisition.	KEY:Blighter ~ Unbond																										SORTKEY:Class_Blighter	SOURCEPAGE:CD				
Plague	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 10th level and higher, a blighter can spread disease over a large area. This ability functions like the contagious touch ability, except that no attack roll is required and it affects all targets the blighter designates within a 20-foot radius. Plague is usable once per day.	KEY:Blighter ~ Plague																										SORTKEY:Class_Blighter	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Church Inquisitor gain no weapon or armor proficiencies.	KEY:Church Inquisitor ~ Weapon and Armor Proficiency																										SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A church inquisitor continues advancing in divine spellcasting ability as well as learning the skills of inquisition. Thus, when a new church inquisitor level is gained, the character gains new divine spells per day (and spells known, if applicable) as if he had also gained a level in whatever divine spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefi t a character of that class would have gained (improved chance of controlling or rebuking undead, more frequent remove disease, and so on). This means that he adds the level of church inquisitor to the level of another divine spellcasting class the character has, then determines spells per day accordingly. If a character had more than one divine spellcasting class before he became a church inquisitor, the player must decide which class to assign each level of church inquisitor for the purpose of determining divine spells per day and spells known.	KEY:Church Inquisitor ~ Spells per Day																										SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Detect Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A church inquisitor can use detect evil at will as a spell-like ability.	KEY:Church Inquisitor ~ Detect Evil																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=ChurchInquisitorLVL|Detect Evil								SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Inquisition Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Upon adopting the church inquisitor class, a character gains access to the Inquisition domain, described in Chapter 7: Domains and Spells. The character gains the granted power associated with the domain (a +4 bonus on dispel checks) and can choose the spells in that domain as his daily domain spells.	KEY:Church Inquisitor ~ Inquisition Domain																										SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Immune to Charms	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A church inquisitor of 2nd level or higher is immune to all enchantment (charm) spells and effects.	KEY:Church Inquisitor ~ Immune to Charms																		ABILITY:Special Ability|AUTOMATIC|Immunity to Charm								SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Pierce Illusions	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 3rd level, the church inquisitor gains the supernatural ability to penetrate illusions and disguises at will. Whenever an inquisitor sees an illusion or disguise spell of any sort, he immediately makes a Will save to see through it. The inquisitor need not interact with or touch the illusion, visual contact is enough to give the Will save.	KEY:Church Inquisitor ~ Pierce Illusions																										SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Pierce Disguise	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The inquisitor has a +4 competence bonus on Spot checks against the Disguise skill.	KEY:Church Inquisitor ~ Pierce Disguise																										SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Immune to Compulsions	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A church inquisitor of 5th level or higher is immune to all compulsion spells and effects.	KEY:Church Inquisitor ~ Immune to Compulsions																		ABILITY:Special Ability|AUTOMATIC|Immunity to Compulsion								SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Force Shapechange	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A church inquisitor of 6th level or higher can force a creature into its natural form. The church inquisitor must make a successful melee touch attack against the creature. If the attack is successful, the church inquisitor makes a caster level check as if casting dispel magic against the shapechanging effect. The church inquisitor's +4 bonus on dispel checks (the Inquisition domain granted power) applies to this check. This ability undoes the effect of alter self, polymorph, shapechange, and alternate form abilities, whether exceptional, spell-like, or supernatural in nature. The affected creature cannot change its shape again for 1d6 rounds. The church inquisitor can use this ability at will.	KEY:Church Inquisitor ~ Force Shapechange																										SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Immune to Possession	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A church inquisitor of 8th level or higher has immunity to magic jar, soul bind, trap the soul, a ghost's malevolence ability, and all other spells or effects that displace or replace a character's life force. The character can still travel to the planes via astral projection, if so desired.	KEY:Church Inquisitor ~ Immune to Possession																										SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Discern Lies	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A church inquisitor of 9th level or higher can use discern lies as a spelllike ability three times per day.	KEY:Church Inquisitor ~ Discern Lies																		SPELLS:Innate|TIMES=3|CASTERLEVEL=ChurchInquisitorLVL|Discern Lies								SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Discern the Truth	CATEGORY:Special Ability	TYPE:ClassFeatures.ChurchInquisitorClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:By touching a creature that has lied to him, a church inquisitor of 10th level or higher can force the creature to tell the truth. The creature can make a Will save (DC 10 + the church inquisitor's level + the church inquisitor's Cha modifier) to resist this Mind-Affecting Compulsion effect. If the saving throw fails, the creature must speak the true version of the lie it uttered. The church inquisitor can use this ability 3 times/day.	KEY:Church Inquisitor ~ Discern the Truth	DESC:Will DC %1 %2/day.|DiscernTheTruthDC|DiscernTheTruthTimes			DEFINE:DiscernTheTruthDC|0	DEFINE:DiscernTheTruthTimes|0				BONUS:VAR|DiscernTheTruthDC|10+ChurchInquisitorLVL+CHA	BONUS:VAR|DiscernTheTruthTimes|3																SORTKEY:Class_Church_Inquisitor	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Consecrated harriers gain no weapon or armor proficiencies.	KEY:Consecrated Harrier ~ Weapon and Armor Proficiency																										SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A consecrated harrier gains the ability to cast a small number of divine spells. To cast a spell, the consecrated harrier must have a Wisdom score of at least 10 + the spell's level, so a consecrated harrier with a Wisdom of 10 or lower cannot cast spells. Consecrated harrier bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + Wis modifier. When the consecrated harrier gets 0 spells of a given level (for instance 0 1st-level spells at 1st level), the harrier gets only the bonus spells she would be entitled to based on her Wisdom score for that spell level. The consecrated harrier uses the ranger spell list, with the following additions: 1st-animate rope, calm emotions, command, disguise self, doom; 2nd-charm person, daylight, detect thoughts, hold person; 3rd-clairaudience/clairvoyance, death ward, discern lies, see invisibility; 4th-dismissal, dominate person, legend lore, mark of justice.	KEY:Consecrated Harrier ~ Spells				DEFINE:Caster_Level_Consecrated_Harrier|0	DEFINE:Caster_Level_BL_Consecrated_Harrier|0				BONUS:CASTERLEVEL|Consecrated Harrier|Caster_Level_Consecrated_Harrier	BONUS:VAR|Caster_Level_Consecrated_Harrier|ConsecratedHarrierLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Consecrated_Harrier|charbonusto("PCLEVEL","Consecrated Harrier")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Consecrated_Harrier+Caster_Level_BL_Consecrated_Harrier|TYPE=Base														SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Blessing of the Scripture	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:All consecrated harriers receive a +2 sacred bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when in pursuit of their church-assigned target. If the assigned target is a group, this bonus applies to the group's leader. They receive the same bonus on weapon (or unarmed) damage rolls against their targets. This bonus increases to +4 at 5th level, and to +6 at 10th level.	KEY:Consecrated Harrier ~ Blessing of the Scripture	DESC:+%1 bonus.|BlessingOfTheScriptureBonus			DEFINE:BlessingOfTheScriptureBonus|0					BONUS:VAR|BlessingOfTheScriptureBonus|(((ConsecratedHarrierLVL+5)/5)*2)																	SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD	ASPECT:Name|Blessing of the Scripture +%1|BlessingOfTheScriptureBonus	ASPECT:SkillBonus|+%1 sacred bonus on bluff, Listen, Sense Motive, Spot, and Survival checks when in pursuit of their church-assigned target. 	ASPECT:AttackBonus|+%1 sacred bonus on attack and damage rolls against their church-assigned target. 	
Detect Chaos	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A consecrated harrier can use detect chaos at will as a cleric of equal level.	KEY:Consecrated Harrier ~ Detect Chaos																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=ConsecratedHarrierLVL|Detect Chaos								SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Sanctified Sight	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 2nd level, a consecrated harrier receives a +4 bonus on all saves against illusions.	KEY:Consecrated Harrier ~ Sanctified Sight									BONUS:VAR|IllusionResistanceBonus|4									ABILITY:Special Ability|AUTOMATIC|Resistance to Illusion								SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Dispel Magic	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A 3rd-level consecrated harrier can use dispel magic as a spell-like ability. She may add her blessing of scripture bonus on dispel checks when using this spell-like ability. She may use this ability a number of times per day equal to her Wisdom modifier (minimum 1).	KEY:Consecrated Harrier ~ Dispel Magic				DEFINE:DispelMagicTimes|0					BONUS:VAR|DispelMagicTimes|max(1,WIS)									SPELLS:Innate|TIMES=DispelMagicTimes|CASTERLEVEL=ConsecratedHarrierLVL|Dispel Magic								SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Crushing Despair	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Starting at 4th level, a consecrated harrier can use crushing despair as a spell-like ability. She may use this ability a number of times per day equal to her Wisdom modifi er (minimum 1).	KEY:Consecrated Harrier ~ Crushing Despair				DEFINE:CrushingDespairTimes|0					BONUS:VAR|CrushingDespairTimes|max(1,WIS)									SPELLS:Innate|TIMES=CrushingDespairTimes|CASTERLEVEL=ConsecratedHarrierLVL|Crushing Despair								SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
False Vision	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A 6th-level consecrated harrier can use false vision as a spell-like ability. The effect must be centered on the consecrated harrier. She may use this ability a number of times per day equal to her Wisdom modifier (minimum 1).	KEY:Consecrated Harrier ~ False Vision				DEFINE:FalseVisionTimes|0					BONUS:VAR|FalseVisionTimes|max(1,WIS)									SPELLS:Innate|TIMES=FalseVisionTimes|CASTERLEVEL=ConsecratedHarrierLVL|False Vision								SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Implacable Hunt	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 8th level, if the consecrated harrier wounds a target and the target escapes, the consecrated harrier always knows the direction in which her target lies and the approximate distance (within 10%% of the total distance) between her and her target. If the target is within 50 feet, the consecrated harrier can pinpoint the target's precise location. This ability only works if the consecrated harrier and her target are on the same plane of existence. Implacable hunt can be used simultaneously against different targets, as long as each of those individual targets is part of a group that is, in total, the harrier's target for her current mission.	KEY:Consecrated Harrier ~ Implacable Hunt																										SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Faultless Hunt	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 10th level, a consecrated harrier who establishes an implacable hunt can intensify this to a faultless hunt, enabling her to locate her quarry even across planar boundaries. Unlike an implacable hunt, which can affect several individuals at the same time, only one faultless hunt against a single individual can be pursued at one time. For the consecrated harrier to begin a faultless hunt, she must abandon any faultless hunt that she is already conducting.	KEY:Consecrated Harrier ~ Faultless Hunt																										SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Code of Conduct	CATEGORY:Special Ability	TYPE:ClassFeatures.ConsecratedHarrierClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A consecrated harrier must make it known to her target who she is and why she is there at the time of the confrontation. She cannot sneak attack her target. She cannot slay her target on a battlefi eld without the target knowing who she is and why she is there. Consecrated harriers purposely word the requirements for conducting themselves vaguely, so that an individual consecrated harrier in the fi eld has some fl exibility. Harriers who fail to act according to their code of conduct must undertake an act of atonement before they can add any further levels of this class (see the atonement spell description, page 201 of the Player's Handbook).	KEY:Consecrated Harrier ~ Code of Conduct																										SORTKEY:Class_Consecrated_Harrier	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Contemplatives gain no weapon or armor proficiencies.	KEY:Contemplative ~ Weapon and Armor Proficiency																										SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A contemplative who was previously a spellcaster continues to gain access to more powerful divine magic while following the contemplative path. Thus, when a new contemplative level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in the spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefi t a character of that class would have gained (improved chance of controlling or rebuking undead, more frequent remove disease, and so on). This essentially means that she adds the level of contemplative to the level of whatever other spellcasting class the character has, then determines spells per day accordingly. For example, if Theresa, an 11th-level cleric, gains a level as a contemplative, she gains new spells as if she had risen to 12th level as a cleric, but uses the other contemplative aspects of level progression such as base attack bonus and save bonus. If she next gains a level as a cleric, making her a 12th-level cleric/1st-level contemplative, she gains spells as if she had risen to 13th level as a cleric. If a character had more than one divine spellcasting class before she became a contemplative, the player must decide which class to assign each level of contemplative for the purpose of determining divine spells per day and spells known. If the contemplative did not previously belong to a divine spellcasting class, she gains the ability to cast divine spells exactly as a cleric of her patron deity. Her spell progression is the same as that of a cleric.	KEY:Contemplative ~ Spells per Day																										SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Bonus Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Upon adopting the contemplative class, and again at 6th level, a character gains access to a bonus domain of her choice. The character can choose any domain made available by her deity or alignment. The character gains the granted power associated with the domain she chooses, and can select the spells in that domain as her daily domain spells.	KEY:Contemplative ~ Bonus Domain									BONUS:DOMAIN|NUMBER|1	BONUS:DOMAIN|NUMBER|1|PREVARGTEQ:ContemplativeLVL,6																SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Divine Health	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A contemplative has immunity to all diseases, including magical diseases such as mummy rot and lycanthropy.	KEY:Contemplative ~ Divine Health																		ABILITY:Special Ability|AUTOMATIC|Immunity To Disease								SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Slippery Mind	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a contemplative gains the ability to shrug off magical effects that would otherwise control or compel her. If a contemplative with resistant mind is affected by an enchantment and fails her saving throw, one round later she can attempt her saving throw again. She only gets this one extra chance to succeed on her saving throw.	KEY:Contemplative ~ Slippery Mind																		ABILITY:Special Ability|AUTOMATIC|Slippery Mind								SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Divine Wholeness	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 3rd level and higher, a contemplative can heal her own wounds, in addition to any other healing ability she may have. She can heal up to four times her contemplative level in hit points each day, and she can spread this healing out among several uses.	KEY:Contemplative ~ Divine Wholeness									BONUS:VAR|DivineWholenessHP|4*ContemplativeLVL									ABILITY:Special Ability|AUTOMATIC|Divine Wholeness								SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Divine Body	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level, a contemplative becomes immune to poisons of all kinds.	KEY:Contemplative ~ Divine Body																		ABILITY:Special Ability|AUTOMATIC|Immunity to Poison								SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Divine Soul	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 7th level, a contemplative gains spell resistance. Her spell resistance equals her class level + 15. In order to affect the contemplative with a spell, a spellcaster must roll the contemplative's spell resistance or higher on 1d20 + the spellcaster's level.	KEY:Contemplative ~ Divine Soul				DEFINE:ContemplativeSR|0					BONUS:VAR|ContemplativeSR|15+ContemplativeLVL									SR:ContemplativeSR								SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Eternal Body	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:After achieving 9th level, a contemplative no longer suffers ability penalties for aging and cannot be magically aged. (Penalties she has already suffered remain in place.) Bonuses still accrue, and the contemplative still dies of old age when her time is up.	KEY:Contemplative ~ Eternal Body																										SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Mystic Union	CATEGORY:Special Ability	TYPE:ClassFeatures.ContemplativeClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 10th level, a contemplative becomes a magical creature. She is forevermore treated as an outsider (native) rather than a humanoid for the purposes of spells and magical effects. Additionally, the contemplative gains damage resistance 10/magic.	KEY:Contemplative ~ Mystic Union																		TEMPLATE:Contemplative ~ Mystic Union								SORTKEY:Class_Contemplative	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine Crusader gain no weapon or armor proficiencies.	KEY:Divine Crusader ~ Weapon and Armor Proficiency																										SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Deity and Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Every divine crusader has a chosen deity. Sample deities are provided on Table 3-7: Deities, page 32 of the Player's Handbook, and also in Chapter 5 of this book. A divine crusader's chosen deity influences her alignment, what magic she can perform, her values, and how others see her. The character's alignment and her deity's alignment must match exactly. A divine crusader chooses one domain from among those offered by that deity to his or her clerics and gains the granted power of the domain. (If the domain granted power includes the addition of a skill or skills to the cleric class skill list, add it to the class skill list for the divine crusader instead.) The divine crusader also gains the ability to cast spells from that domain (see below).	KEY:Divine Crusader ~ Deity and Domain									BONUS:DOMAIN|NUMBER|1																	SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A divine crusader casts divine spells. She may only prepare and cast spells from her chosen domain (see above). Effectively, a divine crusader has a class spell list of only nine spells (one per spell level). To prepare or cast a spell, a divine crusader must have a Charisma score equal to at least 10 + the spell level. The diffi culty class for a saving throw against a divine crusader's spell is 10 + the spell level + the divine crusader's Cha modifi er. The divine crusader also gets bonus spells based on her Charisma. A divine crusader prepares and casts spells as a cleric, except that she cannot spontaneously cast cure or infl ict spells.	KEY:Divine Crusader ~ Spells																										SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The power of a divine crusader's alignment aura (see the detect evil spell on page 218 of the Player's Handbook) is equal to her class level, plus any class levels in other classes that possess such an aura (such as cleric or paladin).	KEY:Divine Crusader ~ Aura				DEFINE:AlignmentAura|0					BONUS:VAR|AlignmentAura|DivineCrusaderLVL									ABILITY:Special Ability|VIRTUAL|Aura of Chaos|PREDEITYALIGN:CG,CN,CE	ABILITY:Special Ability|VIRTUAL|Aura of Evil|PREDEITYALIGN:LE,NE,CE	ABILITY:Special Ability|VIRTUAL|Aura of Good|PREDEITYALIGN:LG,NG,CG	ABILITY:Special Ability|VIRTUAL|Aura of Law|PREDEITYALIGN:LG,LN,LE					SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Electricity Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A divine crusader gains resistance to electricity 5 at 3rd level. At 9th level, this increases to resistance 10.	KEY:Divine Crusader ~ Electricity Resistance									BONUS:VAR|DivineCrusaderElectricityResistance|5 	BONUS:VAR|DivineCrusaderElectricityResistance|5|PREVARGTEQ:DivineCrusaderLVL,9	BONUS:VAR|ElectricityResistanceBonus|DivineCrusaderElectricityResistance							ABILITY:Special Ability|AUTOMATIC|Resistance to Electricity								SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Weapon Specialization	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A divine crusader gains resistance to electricity 5 at 3rd level. At 9th level, this increases to resistance 10.	KEY:Divine Crusader ~ Weapon Specialization									BONUS:ABILITYPOOL|Divine Crusader Weapon Specialization|1																	SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Acid Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A divine crusader gains resistance to acid 5 at 6th level. At 9th level, this increases to resistance 10.	KEY:Divine Crusader ~ Acid Resistance									BONUS:VAR|DivineCrusaderAcidResistance|5 	BONUS:VAR|DivineCrusaderElectricityResistance|5|PREVARGTEQ:DivineCrusaderLVL,9	BONUS:VAR|AcidResistanceBonus|DivineCrusaderAcidResistance							ABILITY:Special Ability|AUTOMATIC|Resistance to Acid								SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Darkvision	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 7th-level divine crusader gains darkvision out to 60 feet. If the divine crusader already has darkvision, the radius of her existing darkvision increases by 30 feet.	KEY:Divine Crusader ~ Darkvision									BONUS:VAR|DarkvisionRange|60|TYPE=Base																	SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Perfect Self	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineCrusaderClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 10th level, a divine crusader completes her transformation into a creature of the planes. Her type changes to outsider (native). As a native outsider, the character can still be raised, reincarnated, or resurrected just as other living creatures can be, and remains native to the Material Plane. Additionally, the divine crusader gains damage reduction 10/magic.	KEY:Divine Crusader ~ Perfect Self																		TEMPLATE:Divine Crusader ~ Perfect Self								SORTKEY:Class_Divine_Crusader	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.DivineOracleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divine oracle gain no weapon or armor proficiencies.	KEY:Divine Oracle ~ Weapon and Armor Proficiency																										SORTKEY:Class_Divine_Oracle	SOURCEPAGE:CD				
