SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																																
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	BONUS:COMBAT|AC|	NATURALATTACKS:				FACE:	REACH:	ABILITY:Internal|AUTOMATIC|Race Traits ~ 			Stat bonus						MONCSKILL:	CR:	KIT:1|	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	LEGS:	HANDS:	SOURCEPAGE:MM3	KIT:1|	
Swarm (Dread Blossom Swarm)			STARTFEATS:1	SIZE:T	TYPE:Plant	RACETYPE:Plant	RACESUBTYPE:Extraplanar|Swarm	MONSTERCLASS:Plant:7	MOVE:Fly,60	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6,SPROP=Poison				FACE:10	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Dread Blosson Swarm)			BONUS:STAT|STR|-8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4			BONUS:STAT|CHA|-8	MONCSKILL:Hide|Listen|Spot	CR:6	KIT:1|TN			LEGS:4	HANDS:0	SOURCEPAGE:MM3	KIT:1|Swarm (Dread Blosson Swarm) Stats	
Drowned			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:20	MOVE:Walk,30,Swim,30	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Drowned			BONUS:STAT|STR|14	BONUS:STAT|DEX|2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2	MONCSKILL:Hide|Listen|Move Silently|Spot|Swim	CR:9	KIT:1|CE			LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Drowned Stats	
Dust Wight			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Earth	MONSTERCLASS:Undead:16	MOVE:Walk,20	BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dust Wight		DR:5/Adamantine	BONUS:STAT|STR|10	BONUS:STAT|DEX|-2		BONUS:STAT|INT|-2			MONCSKILL:Hide|Listen|Move Silently|Search|Spot	CR:7	KIT:1|CE	HITDICEADVANCEMENT:16,18,24		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Dust Wight Stats	
Elemental (Storm)			STARTFEATS:1	SIZE:S	TYPE:Elemental	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar	MONSTERCLASS:Elemental:2	MOVE:Walk,20,Fly,40	BONUS:COMBAT|AC|1|TYPE=NaturalArmor							ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental (Storm)									MONCSKILL:Listen|Spot	CR:0				LEGS:0	HANDS:2	SOURCEPAGE:MM3	KIT:1|Elemental (Storm) Stats	
Swarm (Ephemeral Swarm)			STARTFEATS:1	SIZE:T	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Incorporeal|Swarm	MONSTERCLASS:Undead:12	MOVE:Fly,30		NATURALATTACKS:Swarm,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,0,SPROP=Str damage				FACE:10	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Swarm (Ephemeral Swarm)				BONUS:STAT|DEX|8		BONUS:STAT|INT|-8		BONUS:STAT|CHA|8	MONCSKILL:Listen|Spot	CR:5				LEGS:0	HANDS:0	SOURCEPAGE:MM3	KIT:1|Swarm (Ephemeral Swarm) Stats	
Feral Yowler			STARTFEATS:1	SIZE:M	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:7	MOVE:Walk,50	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Feral Yowler			BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|16	BONUS:STAT|INT|-4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6	MONCSKILL:Hide|Listen|Move Silently|Spot	CR:5	KIT:1|CE	HITDICEADVANCEMENT:14,21		LEGS:4	HANDS:0	SOURCEPAGE:MM3	KIT:1|Feral Yowler Stats	
Geriviar			STARTFEATS:1	SIZE:H	TYPE:Giant	RACETYPE:Giant		MONSTERCLASS:Giant:26	MOVE:Walk,70	BONUS:COMBAT|AC|28|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*8,3d6				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Geriviar	SR:28	DR:10/Adamantine and Magic	BONUS:STAT|STR|22	BONUS:STAT|DEX|2	BONUS:STAT|CON|16		BONUS:STAT|WIS|6	BONUS:STAT|CHA|8	MONCSKILL:Climb|Escape Artist|Jump|Listen|Spot|Tumble|Use Rope	CR:19		HITDICEADVANCEMENT:40,78		LEGS:2	HANDS:4	SOURCEPAGE:MM3	KIT:1|Geriviar Stats	
Giant (Death)			STARTFEATS:1	SIZE:H	TYPE:Giant	RACETYPE:Giant		MONSTERCLASS:Giant:23	MOVE:Walk,50	BONUS:COMBAT|AC|14|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6				FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant (Death)			BONUS:STAT|STR|24	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|2	BONUS:STAT|WIS|10	BONUS:STAT|CHA|14	MONCSKILL:Concentration|Intimidate|Knowledge (Arcana)|Knowledge (History)|Knowledge (Religion)|Listen|Spellcraft|Spot|Survival	CR:16				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Giant (Death) Stats	
Giant (Eldritch)			STARTFEATS:1	SIZE:H	TYPE:Giant	RACETYPE:Giant		MONSTERCLASS:Giant:25	MOVE:Walk,50	BONUS:COMBAT|AC|13|TYPE=NaturalArmor					FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant (Eldritch)			BONUS:STAT|STR|32	BONUS:STAT|DEX|2	BONUS:STAT|CON|18	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2	MONCSKILL:Concentration|Diplomacy|Knowledge (Arcana)|Knowledge (Religion)|Knowledge (The Planes)|Listen|Sense Motive|Spellcraft|Spot	CR:15				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Giant (Eldritch) Stats	
Glaistig			STARTFEATS:1	SIZE:M	TYPE:Fey	RACETYPE:Fey		MONSTERCLASS:Fey:6	MOVE:Walk,30,Swim,50	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Glaistig		DR:5/Cold Iron	BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8	MONCSKILL:Bluff|Diplomacy|Disguise|Escape Artist|Hide|Intimidate|Knowledge (Nature)|Listen|Move Silently|Sense Motive|Spot|Swim|Use Rope	CR:6	KIT:1|CN		LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Glaistig Stats	
Gnoll (Flind)		FAVCLASS:Ranger	STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Gnoll	MONSTERCLASS:Humanoid:2	MOVE:Walk,30	BONUS:COMBAT|AC|2|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Gnoll (Flind)			BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|4				MONCSKILL:Listen|Spot	CR:2			LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Gnoll (Flind) Stats	
Goatfolk		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Monstrous Humanoid:3	MOVE:Walk,30	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Head Butt,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Goatfolk			BONUS:STAT|STR|4		BONUS:STAT|CON|2	BONUS:STAT|INT|-2	BONUS:STAT|WIS|-2		MONCSKILL:Intimidate|Listen|Spot	CR:2		HITDICEADVANCEMENT:6,9	LEVELADJUSTMENT:1	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Goatfolk Stats	
Golem (Alchemical)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):22	MOVE:Walk,20	BONUS:COMBAT|AC|16|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d8,SPROP=+2d6 acid				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Alchemical)	DR:10/Adamantine	DR:20/Slashing or Piercing	BONUS:STAT|STR|12	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-10		CR:11	KIT:1|TN	HITDICEADVANCEMENT:33,44		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Golem (Alchemical) Stats	SORTKEY:Golem_Alchemical
Golem (Gloom)				SIZE:L	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Evil|Incorporeal	MONSTERCLASS:Construct (Mindless):8	MOVE:Walk,30	BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8,SPROP=1d6 Cha				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Gloom)		DR:10/Good	BONUS:STAT|STR|8	BONUS:STAT|DEX|4				BONUS:STAT|CHA|4		CR:7	KIT:1|NE	HITDICEADVANCEMENT:12,16		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Golem (Gloom) Stats	SORTKEY:Golem_Gloom
Golem (Hangman)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):18	MOVE:Walk,30	BONUS:COMBAT|AC|16|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Hangman)		DR:10/Adamantine	BONUS:STAT|STR|16	BONUS:STAT|DEX|4				BONUS:STAT|CHA|-10		CR:13	KIT:1|TN	HITDICEADVANCEMENT:27,36		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Golem (Hangman) Stats	SORTKEY:Golem_Hangman
Golem (Mud)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):15	MOVE:Walk,20,Swim,20	BONUS:COMBAT|AC|13|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d10				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Mud)		DR:10/Adamantine and Bludgeoning	BONUS:STAT|STR|14	BONUS:STAT|DEX|-2				BONUS:STAT|CHA|-10		CR:11	KIT:1|TN	HITDICEADVANCEMENT:22,30		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Golem (Mud) Stats	SORTKEY:Golem_Mud
Golem (Prismatic)				SIZE:L	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Extraplanar|Good|Incorporeal	MONSTERCLASS:Construct (Mindless):20	MOVE:Fly,50	BONUS:COMBAT|AC|16|TYPE=NaturalArmor	NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,2,0,SPROP=Prismatic Touch				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Prismatic)		DR:10/Evil		BONUS:STAT|DEX|22						CR:18	KIT:1|NG	HITDICEADVANCEMENT:30,40		LEGS:0	HANDS:2	SOURCEPAGE:MM3	KIT:1|Golem (Prismatic) Stats	SORTKEY:Golem_Prismatic
Golem (Shadesteel)				SIZE:M	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Extraplanar	MONSTERCLASS:Construct (Mindless):18	MOVE:Walk,30,Fly,30	BONUS:COMBAT|AC|20|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Shadesteel)		DR:10/Adamantine	BONUS:STAT|STR|14	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-4	MONCSKILL:Hide|Move Silently	CR:11	KIT:1|TN	HITDICEADVANCEMENT:26,40,54		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Golem (Shadesteel) Stats	SORTKEY:Golem_Shadesteel
Golem (Shadesteel/Greater)				SIZE:L	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Extraplanar	MONSTERCLASS:Construct (Mindless):27	MOVE:Walk,30,Fly,30	BONUS:COMBAT|AC|22|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d10				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Shadesteel/Greater)		DR:15/Adamantine	BONUS:STAT|STR|24	BONUS:STAT|DEX|4				BONUS:STAT|CHA|-4	MONCSKILL:Hide|Move Silently	CR:14	KIT:1|TN	HITDICEADVANCEMENT:40,54		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Golem (Shadesteel/Greater) Stats	SORTKEY:Golem_Shadesteel_Greater
Golem (Web)				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):11	MOVE:Walk,30	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d10|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6,SPROP=Poison				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Golem (Web)		DR:10/Adamantine	BONUS:STAT|STR|10	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-8	MONCSKILL:Hide	CR:7	KIT:1|TN	HITDICEADVANCEMENT:16,22		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Golem (Web) Stats	SORTKEY:Golem_Web
Grimweird			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead		MONSTERCLASS:Undead:12	MOVE:Walk,20	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4,SPROP=Energy drain				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Grimweird			BONUS:STAT|STR|-6	BONUS:STAT|DEX|2		BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10	MONCSKILL:Bluff|Concentration|Diplomacy|Gather Information|Handle Animal|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Sense Motive|Spellcraft	CR:11	KIT:1|LE		LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Grimweird Stats	
Grisgol				SIZE:L	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):19	MOVE:Walk,30	BONUS:COMBAT|AC|19|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6,SPROP=1d8+5 Negative Energy plus paralysis				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Grisgol		DR:10/Piercing and Magic	BONUS:STAT|STR|8							CR:15	KIT:1|TN			LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Grisgol Stats	
Gulgar		FAVCLASS:Fighter	STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Earth	MONSTERCLASS:Monstrous Humanoid:10	MOVE:Walk,30	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Gore,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Gulgar		DR:10/Adamantine	BONUS:STAT|STR|10	BONUS:STAT|DEX|-4	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Handle Animal|Intimidate|Listen|Ride|Spot	CR:9			LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Gulgar Stats	
Harpoon Spider			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Aberration:5	MOVE:Walk,40,Climb,20	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8,SPROP=Poison|Fang,Weapon.Natural.Finesseable.Ranged.Piercing.Slashing,*2,1d4				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Harpoon Spider			BONUS:STAT|STR|6	BONUS:STAT|DEX|8	BONUS:STAT|CON|8	BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2	MONCSKILL:Balance|Climb|Hide|Jump|Spot|Tumble	CR:4		HITDICEADVANCEMENT:8,15		LEGS:8	HANDS:0	SOURCEPAGE:MM3	KIT:1|Harpoon Spider Stats	
Harssaf		FAVCLASS:Monk	STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Fire	MONSTERCLASS:Monstrous Humanoid:6	MOVE:Walk,30,Burrow,10	BONUS:COMBAT|AC|3|TYPE=NaturalArmor					FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Harssaf	SR:17	DR:5/Bludgeoning	BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|6			BONUS:STAT|CHA|2	MONCSKILL:Climb|Hide|Jump|Knowledge (Nature)|Listen|Move Silently|Spot	CR:5			LEVELADJUSTMENT:4	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Harssaf Stats	
Ironclad Mauler			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:15	MOVE:Walk,40	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,4d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ironclad Mauler			BONUS:STAT|STR|22	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2		MONCSKILL:Listen|Spot	CR:9		HITDICEADVANCEMENT:30,45		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Ironclad Mauler Stats	
Justicator			STARTFEATS:1	SIZE:L	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Lawful	MONSTERCLASS:Outsider:17	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|5|TYPE=NaturalArmor					FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Justicator	SR:24	DR:10/Chaotic	BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|8	BONUS:STAT|CHA|2	MONCSKILL:Concentration|Diplomacy|Heal|Intimidate|Knowledge (The Planes)|Knowledge (Religion)|Listen|Sense Motive|Spellcraft|Spot|Survival	CR:13	KIT:1|LN	HITDICEADVANCEMENT:23,34		LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Justicator Stats	
Knell Beetle				SIZE:L	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:12	MOVE:Walk,50,Burrow,10	BONUS:COMBAT|AC|15|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d8|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Knell Beetle			BONUS:STAT|STR|16		BONUS:STAT|CON|12				MONCSKILL:Balance|Jump|Listen|Spot	CR:10	KIT:1|TN			LEGS:12	HANDS:4	SOURCEPAGE:MM3	KIT:1|Knell Beetle Stats	
Knell Beetle (Lesser)				SIZE:M	TYPE:Vermin	RACETYPE:Vermin		MONSTERCLASS:Vermin:6	MOVE:Walk,40,Burrow,10	BONUS:COMBAT|AC|9|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d10|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Knell Beetle (Lesser)			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|8				MONCSKILL:Balance|Jump|Listen|Spot	CR:5	KIT:1|TN			LEGS:12	HANDS:4	SOURCEPAGE:MM3	KIT:1|Knell Beetle (Lesser) Stats	
Lhosk		FAVCLASS:Ranger	STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Monstrous Humanoid:8	MOVE:Walk,30,Climb,20	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Lhosk			BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Climb|Heal|Knowledge (Nature)|Survival	CR:4			LEVELADJUSTMENT:3	LEGS:8	HANDS:2	SOURCEPAGE:MM3	KIT:1|Lhosk Stats	
Lizardfolk (Blackscale)			STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Reptilian	MONSTERCLASS:Monstrous Humanoid:4	MOVE:Walk,40	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Lizardfolk (Blackscale)			BONUS:STAT|STR|8		BONUS:STAT|CON|4	BONUS:STAT|INT|-2		BONUS:STAT|CHA|-4	MONCSKILL:Balance|Jump|Spot|Swim	CR:3			LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Lizardfolk (Blackscale) Stats	
Lizardfolk (Poison Dusk)		FAVCLASS:Ranger	STARTFEATS:1	SIZE:S	TYPE:Monstrous Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Reptilian	MONSTERCLASS:Humanoid:1	MOVE:Walk,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d3				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Lizardfolk (Poison Dusk)				BONUS:STAT|DEX|2	BONUS:STAT|CON|2			BONUS:STAT|CHA|-2		CR:1/2			LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Lizardfolk (Poison Dusk) Stats	
Lumi		FAVCLASS:Cleric	STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar	MONSTERCLASS:Outsider:2	MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Lumi			BONUS:STAT|STR|2	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4		BONUS:STAT|WIS|4		MONCSKILL:Concentration|Diplomacy|Heal|Knowledge (The Planes)|Listen|Search|Sense Motive|Spot	CR:2				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Lumi Stats	
Lurking Strangler			STARTFEATS:1	SIZE:T	TYPE:Aberration	RACETYPE:Aberration		MONSTERCLASS:Aberration:2	MOVE:Walk,5,Fly,20		NATURALATTACKS:Lash,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*1,1d4				FACE:2,5	REACH:0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Lurking Strangler			BONUS:STAT|STR|-6	BONUS:STAT|DEX|8	BONUS:STAT|CON|2	BONUS:STAT|INT|-6			MONCSKILL:Hide|Listen|Search|Spot	CR:2		HITDICEADVANCEMENT:4,6		LEGS:0	HANDS:0	SOURCEPAGE:MM3	KIT:1|Lurking Strangler Stats	
Mastodon			STARTFEATS:1	SIZE:H	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:15	MOVE:Walk,40	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8|Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Piercing,*1,3d8			FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Mastodon			BONUS:STAT|STR|22		BONUS:STAT|CON|12	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-6	MONCSKILL:Listen|Spot	CR:9	KIT:1|TN	HITDICEADVANCEMENT:30,45		LEGS:4	HANDS:0	SOURCEPAGE:MM3	KIT:1|Mastodon Stats	
