SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																																													
#																																																
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page						
Deft Strike	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Combat Expertise	PREABILITY:1,CATEGORY=Special Quality,Sneak Attack					PRESKILL:1,Spot=10			PRESTAT:1,INT=13						PREVARGTEQ:SneakAttackDice,1			DESC:As a standard action, you can attempt to find a weak point in a visible target's armor. This requires a Spot check against a DC equal to your target's Armor Class. If you succeed, your next attack against that target (which must be made no later than your next turn) ignores the target's armor bonus and natural armor bonus to AC (including any enhancement bonuses to armor or natural armor). Other AC bonuses still apply normally. If you use a ranged weapon to deliver the attack, your opponent must be within 30 feet of you in order for you to benefit from this feat.																	SOURCEPAGE:Drac						
Dragon Cohort	CATEGORY:FEAT	TYPE:General	VISIBLE:YES			PRELEVEL:MIN=9															PRELANG:1,Draconic			DEFINE:DragonCohortScore|0	DESC:You gain a cohort selected from Table 3-14: Dragon Cohorts (page 139), just as you would by selecting the Leadership feat. However, you may treat the dragon's ECL as if it were 3 lower than indicated. See Dragons as Cohorts, page 138, for more information.														BONUS:VAR|DragonMaxCohortLVL|min((TL-2),(((DragonCohortScore+6)*7)/10)-4)			SOURCEPAGE:Drac	DEFINE:DragonMaxCohortLVL|0	DESC:Dragon Cohort Level=%1|DragonCohortLVL	ABILITY:Special Ability|AUTOMATIC|Dragon Cohort Score|Dragon Cohort	BONUS:VAR|DragonCohortScore|(TL+CHA)	BONUS:VAR|DragonCohortLVL|min(DragonCohortLVL,TL-2)	ASPECT:DragonCohortLVL|%1|DragonMaxCohortLVL
Dragon Familiar	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,CHA=13			PRETEXT:Ability to acquire a new familiar, compatible alignment.	PRECLASS:1,SPELLCASTER.Arcane=7	PRELANG:1,Draconic				DESC:When acquiring a new familiar, you can choose a wyrmling dragon.See Dragons as Familiars, page 141, for more information.																	SOURCEPAGE:Drac						
Dragon Hunter	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,WIS=13									DESC:You gain a +2 dodge bonus to Armor Class against attacks made by dragons and a +2 competence bonus on saving throws against the spells, attacks, and special abilities of dragons. Likewise, you gain a +2 competence bonus on any opposed check (such as a bull rush attempt or a grapple check) you make against a dragon.																	SOURCEPAGE:Drac						
Dragon Hunter Bravery	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Dragon Hunter									PRESTAT:1,WIS=13									DESC:You and all allies within 30 feet who can see you are treated as having +4 HD for the purposes of determining your resistance to the frightful presence of dragons. All creatures so affected also gain a +4 morale bonus on Will saves made to resist a dragon's frightful presence. Your animal companion, familiar, or special mount automatically succeeds on its Will save to resist the dragon's frightful presence if you succeed on yours (or if your effective Hit Dice total makes you immune).																	SOURCEPAGE:Drac						
Dragon Hunter Defense	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Dragon Hunter									PRESTAT:1,WIS=13									DESC:You gain the evasion ability against the breath weapons of dragons. (If a dragon's breath weapon allows a Reflex save for half damage, a successful save indicates that you take no damage.) Also, you gain a bonus equal to 1/2 your character level on all saving throws you make against the supernatural or spelllike abilities of dragons.																	SOURCEPAGE:Drac						
Dragon Steed	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Ride=8			PRESTAT:1,CHA=13					PRELANG:1,Draconic				DESC:You gain the service of a dragonnel (see page 150) as a steed. It serves loyally as long as you treat it fairly, much like a cohort.														BONUS:VAR|DragonSteedLVL|1			SOURCEPAGE:Drac						
Dragon Wild Shape	CATEGORY:FEAT	TYPE:General	VISIBLE:YES	KEY:Dragon Wild Shape ~ Lesser			PREABILITY:1,CATEGORY=Special Ability,Wild Shape						PRESKILL:1,Knowledge (Nature)=15			PRESTAT:1,WIS=19									DESC:You can use your wild shape ability to change into a Small or Medium dragon. You gain all the extraordinary and supernatural abilities of the dragon whose form you take, but not any spell-like abilities or spellcasting powers.																	SOURCEPAGE:Drac						
Dragonbane	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:6		PREABILITY:1,CATEGORY=FEAT,Dragonfoe									PRESTAT:1,INT=13									DESC:You may use a full-round action to make a single attack (melee or ranged) against a dragon with a +4 bonus on the attack roll. Such an attack deals an extra 2d6 points of damage if it hits. For a ranged attack, the dragon must be within 30 feet to gain the bonus to hit and the extra damage. Special: The bonus on the attack roll and the extra damage stack with the benefits provided by a weapon with the bane (dragons) special ability. In the case of a critical hit, the extra damage dice aren't multiplied.																	SOURCEPAGE:Drac						
Dragoncrafter	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Arcana)=2												DESC:You can create any dragoncraft item whose prerequisites you meet. Creating a dragoncraft item follows the normal rules for the Craft skill (see page 70 of the Player's Handbook). See Dragoncraft Items, page 116, for details.																	SOURCEPAGE:Drac						
Dragondoom	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:10		PREABILITY:2,CATEGORY=FEAT,Dragonbane,Dragonfoe									PRESTAT:1,INT=13									DESC:When you attack a dragon, the critical multiplier of your weapon improves as noted below. &nl;Normal Multiplier - New Multiplier&nl;x2 - x3&nl;x3 - x5&nl;x4 - x7																	SOURCEPAGE:Drac						
Dragonfoe	CATEGORY:FEAT	TYPE:General	VISIBLE:YES													PRESTAT:1,INT=13									DESC:You gain a +2 bonus on attack rolls against dragons and a +2 bonus on caster level checks made to overcome a dragon's spell resistance. Also, dragons take a -2 penalty on saving throws against your spells, spell-like abilities, and supernatural abilities.																	SOURCEPAGE:Drac						
Dragonfriend	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				!PREABILITY:1,CATEGORY=FEAT,Dragonthrall									PRESTAT:1,CHA=11					PRELANG:1,Draconic				DESC:You gain a +4 bonus on Diplomacy checks made to adjust the attitude of a dragon, and a +2 bonus on Ride checks made when you are mounted on a dragon. In addition, you gain a +4 bonus on saves against the frightful presence of good dragons.																	SOURCEPAGE:Drac						
Dragonsong	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (Arcana)=4			PRESTAT:1,CHA=13				PRELANG:1,Draconic	PRESKILL:1,TYPE.Perform=6				DESC:You gain a +2 bonus on Perform checks involving song, poetics, or any other verbal or spoken form of performance. In addition, the DC of any saving throw required by mind- ffecting effects based on your song or poetics (such as bardic music) is increased by +2.																	SOURCEPAGE:Drac						
Dragonthrall	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				!PREABILITY:1,CATEGORY=FEAT,Dragonfriend														PRELANG:1,Draconic				DESC:You gain a +4 bonus on any Bluff check made against a dragon, and a +2 bonus on Ride checks made when you are mounted on a dragon. You gain a +4 bonus on saves against the frightful presence of evil dragons. You take a -2 penalty on saves against enchantment spells and effects cast by dragons.																	SOURCEPAGE:Drac						
Frightful Presence	CATEGORY:FEAT	TYPE:General	VISIBLE:YES										PRESKILL:1,Intimidate=9			PRESTAT:1,CHA=15								DEFINE:FrightfulPresenceRange|0	DESC:You gain the use of the frightful presence ability.Whenever you attack or charge, all opponents within a radius of 30 feet who have fewer levels or Hit Dice than you become shaken for a number of rounds equal to 1d6 + your Cha modifier. The effect is negated by a Will save (DC 10 + 1/2 your character level + your Cha modifier). A successful save indicates that the opponent is immune to your frightful presence for 24 hours. This ability can't affect creatures with an Intelligence of 3 or lower, nor does it have any effect on dragons.														BONUS:VAR|FrightfulPresenceDC|10+(TL/2)+CHA			SOURCEPAGE:Drac	DESC:%1'ft Frightful Presence (Will DC %2)|FrightfulPresenceRange|FrightfulPresenceDC	DEFINE:FrightfulPresenceDC|0	BONUS:VAR|FrightfulPresenceRange|30			
Overhead Thrust	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:6		PREABILITY:2,CATEGORY=FEAT,Close-Quarters Fighting,Power Attack																		DESC:You can use a slashing or piercing weapon to make an attack of opportunity against a foe using an attack designed to batter you from above, such as an overrun, trample, power dive, or dragon crush attack. You cannot use this feat if you are flat-footed or already grappled. This feat does not grant you an additional attack of opportunity in a round, so the feat does not help you if you have no attacks of opportunity available. You gain a special attack modifier based on your opponent's size, as shown below. If your attack hits, you deal triple damage. &nl;Opponent Size - Bonus Colossal - +16&nl;Gargantuan - +12&nl;Huge - +8&nl;Large - +4&nl;Medium or smaller - +0&nl;Special: Any extra damage dice your attack deals (such as from a sneak attack ability or a weapon special ability) are not multiplied by this feat. If you score a critical hit with your attack, the extra damage you deal stacks with the extra damage from this feat. Add the damage multipliers together according to the standard rule (see Multiplying, page 304 of the Player's Handbook). For example, if your weapon deals double damage on a critical hit, any critical hit you score while also using this feat deals quadruple damage.																	SOURCEPAGE:Drac						
Sense Weakness	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Combat Expertise,Weapon Focus									PRESTAT:1,INT=13									DESC:Whenever you attack with a weapon with which you have selected the Weapon Focus feat, you may ignore up to 5 points of the target's damage reduction (regardless of the material or enhancement bonus of your weapon) or hardness. This benefit can't reduce the effective damage reduction or hardness of a target to less than 0.																	SOURCEPAGE:Drac						

CATEGORY=FEAT|Mounted Archery.MOD	TYPE:Dragonrider
CATEGORY=FEAT|Ride-By Attack.MOD	TYPE:Dragonrider
CATEGORY=FEAT|Spirited Charge.MOD	TYPE:Dragonrider
CATEGORY=FEAT|Trample.MOD	TYPE:Dragonrider
Weapon Focus (Lance)	CATEGORY:FEAT	TYPE:Dragonrider	VISIBLE:DISPLAY		KEY:Dragonrider~ Weapon Focus ~ Lance	PRECLASS:1,Dragonrider=1																	ABILITY:FEAT|AUTOMATIC|Weapon Focus (Lance)									SOURCEPAGE:Drac												
Weapon Specialization (Lance)	CATEGORY:FEAT	TYPE:Dragonrider	VISIBLE:DISPLAY		KEY:Dragonrider~ Weapon Specialization ~ Lance	PRECLASS:1,Dragonrider=1			PREABILITY:1,CATEGORY=FEAT,Weapon Focus										PREVARGTEQ:WeaponSpecializationQualify,1				ABILITY:FEAT|AUTOMATIC|Weapon Specialization (Lance)									SOURCEPAGE:Drac												
