SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																															
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 11th level, a dragon ascendant's spell resistance increases to 33.	KEY:Dragon Ascendant ~ Spell Resistance									BONUS:MISC|SR|DragonAscendantLVL																	SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Immortality	CATEGORY:Special Ability	TYPE:ClassFeatures.DragonAscendantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 12th-level dragon ascendant is actually a quasi-deity, and can no longer die from natural causes. It does not need to eat, sleep, or breathe. It can still be slain in physical or magical combat, and it is still subject to death from massive damage.	KEY:Dragon Ascendant ~ Immortality																										SORTKEY:Class_Dragon_Ascendant	SOURCEPAGE:Drac		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An elemental master gains no proficiency with any weapons, armor, or shields.	KEY:Elemental Master ~ Weapon and Armor Proficiency																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Element Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, an elemental master gains an additional attunement to the element type that corresponds to its subtype.	KEY:Elemental Master ~ Element Mastery																		ABILITY:Special Ability|AUTOMATIC|Elemental Master ~ Element Mastery ~ Air Mastery|PRERACE:1,RACESUBTYPE=Air,RACESUBTYPE=Electricity	ABILITY:Special Ability|AUTOMATIC|Elemental Master ~ Element Mastery ~ Earth Mastery|PRERACE:1,RACESUBTYPE=Earth	ABILITY:Special Ability|AUTOMATIC|Elemental Master ~ Element Mastery ~ Fire Mastery|PRERACE:1,RACESUBTYPE=Fire	ABILITY:Special Ability|AUTOMATIC|Elemental Master ~ Element Mastery ~ Water Mastery|PRERACE:1,RACESUBTYPE=Water	ABILITY:Special Ability|AUTOMATIC|Elemental Master ~ Element Mastery ~ Cold Mastery|PRERACE:1,RACESUBTYPE=Cold				SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Air Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Any airborne creature takes a -1 penalty on attack and damage rolls made against the dragon.	KEY:Elemental Master ~ Element Mastery ~ Air Mastery																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Earth Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The dragon gains a +1 bonus on attack and damage rolls if both it and its foe are touching the ground.	KEY:Elemental Master ~ Element Mastery ~ Earth Mastery																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Fire Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The dragon gains a +1 bonus on attack and damage rolls if both it and its foe are touching fire or using weapons with the flaming or flaming burst special abilities.	KEY:Elemental Master ~ Element Mastery ~ Fire Mastery																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Water Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The dragon gains a +1 bonus on its attack and damage rolls if both it and its opponent are touching water.	KEY:Elemental Master ~ Element Mastery ~ Water Mastery																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Cold Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The dragon gains a +1 bonus on attack and damage rolls if both it and its foe are touching ice or using weapons with the frost or icy burst special abilities.	KEY:Elemental Master ~ Element Mastery ~ Cold Mastery																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Element Command	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An elemental master can turn or destroy creatures of the elemental subtype opposed to its own subtype, just as a good cleric turns undead. It can rebuke or command creatures of its own elemental subtype, as an evil cleric rebukes undead. The dragon can use these abilities a total number of times per day equal to 3 + its Charisma modifier.	KEY:Elemental Master ~ Element Command									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ElementalMasterLVL|TYPE=Level.REPLACE	BONUS:ABILITYPOOL|Turn Air|1|TYPE=ClassAbility|PRERACE:1,RACESUBTYPE=Air	BONUS:ABILITYPOOL|Turn Earth|1|TYPE=ClassAbility|PRERACE:1,RACESUBTYPE=Earth	BONUS:ABILITYPOOL|Turn Fire|1|TYPE=ClassAbility|PRERACE:1,RACESUBTYPE=Fire	BONUS:ABILITYPOOL|Turn Water|1|TYPE=ClassAbility|PRERACE:1,RACESUBTYPE=Water					BONUS:ABILITYPOOL|Turn Cold|1|TYPE=ClassAbility|PRERACE:1,RACESUBTYPE=Cold	ABILITY:Special Ability|AUTOMATIC|Basic Turning							SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Energy Attunement	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An elemental master is attuned to the energy type that powers its breath weapon. Dragons with more than one breath weapon gain attunement to the one that deals energy damage, usually acid, cold, electricity, fire, or sonic energy. A dragon with multiple energy breath weapons can choose a single energy type it is attuned to. This ability grants the dragon no special powers, but determines the form of powers it gains later, including energy substitution, energy focus, energy burst, and energy storm.	KEY:Elemental Master ~ Energy Attunement																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Energy Substitution	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, an elemental master gains the ability to modify its spells that have an energy descriptor so that they use the dragon's attuned energy instead. The substituted spell works normally in all respects except the type of damage dealt.	KEY:Elemental Master ~ Energy Substitution																		ABILITY:FEAT|VIRTUAL|Energy Substitution (Sonic)|PRERACE:1,RACESUBTYPE=Air	ABILITY:FEAT|VIRTUAL|Energy Substitution (Acid)|PRERACE:1,RACESUBTYPE=Earth	ABILITY:FEAT|VIRTUAL|Energy Substitution (Fire)|PRERACE:1,RACESUBTYPE=Fire	ABILITY:FEAT|VIRTUAL|Energy Substitution (Electricity)|PRERACE:1,RACESUBTYPE=Water	ABILITY:FEAT|VIRTUAL|Energy Substitution (Cold)|PRERACE:1,RACESUBTYPE=Cold				SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Summon Elemental	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, starting at 2nd level, an elemental master can use its breath weapon to summon a Medium elemental corresponding to its elemental subtype. The dragon breathes as normal, but in the wake of its breath the elemental appears, attacking in the next round. If it chooses, the dragon can instead summon an adult arrowhawk (air or cold), average salamander (fire), adult tojanida (water), or average xorn (earth). This ability works like the summon nature's ally V spell, with the dragon's class level as its caster level. A dragon with the cold subtype can summon a Medium water elemental or an adult tojanida. At 5th level, an elemental master can summon one Large elemental or two Medium elementals. This ability works like the summon nature's ally VI spell. At 8th level, an elemental master can summon one Huge elemental, two Large elementals, or four Medium elementals. Instead, the dragon can summon one elder arrowhawk, noble salamander, elder tojanida, or elder xorn, or four Medium creatures of the appropriate kind. This ability works like the summon nature's ally VII spell. At 11th level, an elemental master can summon one greater elemental, two Huge elementals, or four Large or Medium elementals. This ability works like the summon nature's ally VIII spell.	KEY:Elemental Master ~ Summon Elemental																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Energy Focus	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, an elemental master adds 1 to the save DC of spells it casts with an energy descriptor corresponding to the dragon's attuned energy type. This bonus increases by +1 for every additional three levels the elemental master gains (+2 at 6th level, +3 at 9th level, and +4 at 12th level), and it stacks with the bonus from the Spell Focus feat.	KEY:Elemental Master ~ Energy Focus				DEFINE:EnergyFocusBonus|0					BONUS:VAR|EnergyFocusBonus|ElementalMasterLVL/3	BONUS:DC|DESCRIPTOR.Air|EnergyFocusBonus|PRERACE:1,RACESUBTYPE=Air	BONUS:DC|DESCRIPTOR.Earth|EnergyFocusBonus|PRERACE:1,RACESUBTYPE=Earth	BONUS:DC|DESCRIPTOR.Fire|EnergyFocusBonus|PRERACE:1,RACESUBTYPE=Fire	BONUS:DC|DESCRIPTOR.Water|EnergyFocusBonus|PRERACE:1,RACESUBTYPE=Water	BONUS:DC|DESCRIPTOR.Cold|EnergyFocusBonus|PRERACE:1,RACESUBTYPE=Cold												SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Energy Burst	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A 4th-level elemental master can create a burst of damaging energy around its body. The burst consists of energy corresponding to the dragon's attuned energy type and has a radius of 5 feet per class level of the dragon. Anything in the area takes 1d8 points of damage per class level of the dragon. A successful Reflex save (DC 10 + dragon's class level + its Con modifier) reduces the damage by half. Creating an energy burst counts as a use of the dragon's breath weapon. It cannot breathe or create another burst for 1d4 rounds after creating a burst.	KEY:Elemental Master ~ Energy Burst	DESC:%1-feet radius, Reflex DC %2.|EnergyBurstRadius|EnergyBurstDC			DEFINE:EnergyBurstRadius|0	DEFINE:EnergyBurstDC|0				BONUS:VAR|EnergyBurstDC|10+ElementalMasterLVL+CON	BONUS:VAR|EnergyBurstDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Energy Burst)	BONUS:VAR|EnergyBurstRadius|5*ElementalMaster															SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Energy Storm	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A 7th-level elemental master can surround itself with a vortex of swirling energy corresponding to the dragon's attuned energy type. The vortex extends from the dragon in an emanation with a radius of 5 feet per class level. The effect stops attacks with thrown weapons and projectiles. Such attacks fail if made by creatures inside the area, or if targeted at creatures within the area, or if their paths take them through the area. The storm deals 2 points of damage per class level to every unprotected creature within its area each round. The storm lasts for 1 round per class level (though the dragon can dismiss it as a move action), and counts as two uses of the dragon's breath weapon. The dragon cannot use its breath weapon (or its energy burst ability) while the storm is in place and for 2d4 rounds after it subsides.	KEY:Elemental Master ~ Energy Storm																										SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 10th level, an elemental master gains a spell-like ability associated with its elemental subtype.	KEY:Elemental Master ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Whirlwind|PRERACE:1,RACESUBTYPE=Air	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Earthquake|PRERACE:1,RACESUBTYPE=Earth	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Incendiary Cloud|PRERACE:1,RACESUBTYPE=Fire	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Horrid Wilting|PRERACE:1,RACESUBTYPE=Water	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Polar Ray|PRERACE:1,RACESUBTYPE=Cold				SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Elemental Qualities	CATEGORY:Special Ability	TYPE:ClassFeatures.ElementalMasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 12th-level elemental master is immune to poison, sleep effects, paralysis, and stunning. It is not subject to critical hits or flanking.	KEY:Elemental Master ~ Elemental Qualities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Poison|Immunity to Sleep|Immunity to Paralysis|Immunity to Stunning|Immunity To Critical Hits|Immunity To Flanking								SORTKEY:Class_Elemental_Master	SOURCEPAGE:Drac		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A hidecarved dragon gains no proficiency with any weapons, armor, or shields.	KEY:Hidecarved Dragon ~ Weapon and Armor Proficiency																										SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Increased Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A hidecarved dragon adds its class level to its natural spell resistance. Dragons without natural spell resistance do not gain spell resistance when they adopt this class. However, if a hidecarved dragon with no natural spell resistance ages to the point where it gains spell resistance, it adds its class level to the natural spell resistance it gains at its new age category.	KEY:Hidecarved Dragon ~ Increased Spell Resistance									BONUS:MISC|SR|HidecarvedDragonLVL|PRESRGTEQ:1																	SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Suppress Weakness	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, a hidecarved dragon gains Suppress Weakness (see page 74) as a bonus feat.	KEY:Hidecarved Dragon ~ Suppress Weakness																		ABILITY:FEAT|AUTOMATIC|Suppress Weakness								SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Poison Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a hidecarved dragon gains a +4 bonus on saving throws against poison.	KEY:Hidecarved Dragon ~ Poison Resistance									BONUS:VAR|PoisonResistanceBonus|4									ABILITY:Special Ability|AUTOMATIC|Resistance to Poison								SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Energy Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a hidecarved dragon gains resistance 10 to two energy types it is not already immune, vulnerable, or resistant to. The dragon can choose from resistance to acid, cold, electricity, fire, or sonic energy. For example, a gold hidecarved dragon could gain resistance to acid 10 and electricity 10.	KEY:Hidecarved Dragon ~ Energy Resistance									BONUS:ABILITYPOOL|Hidecarved Resistance|2																	SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Still Mind	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, a hidecarved dragon gains a +2 bonus on saving throws against spells and effects from the enchantment school.	KEY:Hidecarved Dragon ~ Still Mind									BONUS:VAR|EnchantmentResistanceBonus|2									ABILITY:Special Ability|AUTOMATIC|Resistance to Enchantment								SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Natural Armor	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, a hidecarved dragon's natural armor bonus increases by +2. At 8th level the increase becomes +4, and at 12th level it becomes +6.	KEY:Hidecarved Dragon ~ Natural Armor				DEFINE:NaturalArmorBonus|0					BONUS:COMBAT|AC|NaturalArmorBonus|TYPE=NaturalArmor.STACK	BONUS:VAR|NaturalArmorBonus|((HidecarvedDragonLVL/4)*2)																SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Increased Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level, the amount of a hidecarved dragon's natural damage reduction (the number before the slash) increases by 5, and its damage reduction can be overcome only by chaotic magic weapons. For example, a mature adult blue dragon/5th-level hidecarved dragon has damage reduction 15/magic and chaotic.	KEY:Hidecarved Dragon ~ Increased Damage Reduction									BONUS:MISC|DR|Chaos|5|PREVARGTEQ:DragonAgeCategory,5	BONUS:MISC|DR|Chaos|5|PREVARGTEQ:DragonAgeCategory,7	BONUS:MISC|DR|Chaos|5|PREVARGTEQ:DragonAgeCategory,9	BONUS:MISC|DR|Chaos|5|PREVARGTEQ:DragonAgeCategory,11	BONUS:MISC|DR|Chaos|5|PREVARGTEQ:HidecarvedDragonLVL,5													SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Extra Energy Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 6th level, a hidecarved ragon gains immunity to an energy type it was already resistant to. Its resistance to one other energy type it has resistance 10 against increases to 20, and it gains resistance 10 against a third energy type. For this third energy type, a dragon with the fire subtype cannot choose cold, and a dragon with the cold subtype cannot choose fire. The gold hidecarved dragon from the earlier example could become immune to electricity at 6th level, increase its acid resistance to 20, and gain resistance to sonic 10. At 12th level, a hidecarved dragon's energy resistances and immunities improve again. Its resistance 20 becomes immunity, its resistance 10 becomes resistance 20, and it gains resistance 10 to all other energy types (acid, cold, electricity, fire, and sonic) that it is not already immune or resistant to. The gold hidecarved dragon example, at 12th level, would have immunity to fire (naturally), electricity (since 6th level), and acid. It would have resistance to sonic 20 and cold 10.	KEY:Hidecarved Dragon ~ Extra Energy Immunity									BONUS:ABILITYPOOL|Hidecarved Immunity|1	BONUS:ABILITYPOOL|Hidecarved Resistance|2	BONUS:ABILITYPOOL|Hidecarved Immunity|1|PREVARGTEQ:HidecarvedDragonLVL,12	BONUS:ABILITYPOOL|Hidecarved Resistance|2|PREVARGTEQ:HidecarvedDragonLVL,12														SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Overcome Weakness	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 7th level, a hidecarved dragon gains Overcome Weakness (see page 72) as a bonus feat.	KEY:Hidecarved Dragon ~ Overcome Weakness																		ABILITY:FEAT|AUTOMATIC|Overcome Weakness								SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Death Ward	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 7th level, a hidecarved dragon gains the ability to use death ward on itself once per day as a cleric of its class level.	KEY:Hidecarved Dragon ~ Death Ward																		SPELLS:Innate|TIMES=1|CASTERLEVEL=HidecarvedDragonLVL|Death Ward								SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Wholeness of Body	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 9th level, a hidecarved dragon can cure its own wounds. It can cure up to three times its class level in hit points each day and can spread this healing out among several uses.	KEY:Hidecarved Dragon ~ Wholeness of Body	DESC:%1 hp/day|WholenessBody			DEFINE:WholenessBody|0					BONUS:VAR|WholenessBody|HidecarvedDragonLVL*3																	SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Poison Immunity	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, a hidecarved dragon gains immunity to poison of all kinds.	KEY:Hidecarved Dragon ~ Poison Immunity																		ABILITY:Special Ability|AUTOMATIC|Immunity To Poison								SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Superior Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.HidecarvedDragonClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 11th level, a hidecarved dragon's damage reduction can be overcome only by epic chaotic weapons. For example, a mature adult blue dragon/11th-level hidecarved dragon has damage reduction 15/epic and chaotic.	KEY:Hidecarved Dragon ~ Superior Damage Reduction									BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAgeCategory,5	BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAgeCategory,7	BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAgeCategory,9	BONUS:MISC|DR|Epic|5|PREVARGTEQ:DragonAgeCategory,11	BONUS:MISC|DR|Epic|5|PREVARGTEQ:HidecarvedDragonLVL,5													SORTKEY:Class_Hidecarved_Dragon	SOURCEPAGE:Drac		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredWarderOfBahamutClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A sacred warder gains no proficiency with any weapons, armor, or shields.	KEY:Sacred Warder of Bahamut ~ Weapon and Armor Proficiency																										SORTKEY:Class_Sacred_Warder_Of_Bahamut	SOURCEPAGE:Drac		
Divine Conversion	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredWarderOfBahamutClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a sacred warder loses any effective sorcerer level it had previously gained by virtue of its age and draconic variety. Its effective divine spellcasting level increases by the number of sorcerer levels it sacrificed, allowing the dragon to cast cleric spells much more effectively. These effective levels apply only to the dragon's spellcasting, not to other class abilities (such as turning undead or wild shape). For example, a very old gold dragon/1st-level cleric adopts the sacred warder of Bahamut prestige class. Its sorcerer caster level of 13th converts into thirteen effective cleric levels, giving the dragon the spellcasting ability of a 14th-level cleric.	KEY:Sacred Warder of Bahamut ~ Divine Conversion								ADD:SPELLCASTER|Cleric	BONUS:PCLEVEL|Cleric|DragonSpellcasterLVL-1	BONUS:PCLEVEL|Sorcerer|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterSorcerer	BONUS:PCLEVEL|Sorcerer/Cleric|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterSorcererCleric	BONUS:PCLEVEL|Kineticist (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionKineticist	BONUS:PCLEVEL|Telepath (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionTelepath					BONUS:PCLEVEL|Seer (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionClairsentience	BONUS:PCLEVEL|Nomad (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionPsychoportation	BONUS:PCLEVEL|Egoist (Psion)|(-1)*DragonSpellcasterLVL|PREABILITY:1,CATEGORY=Special Ability,TYPE.DragonSpellcasterPsionPsycometabolism	ABILITY:Internal|AUTOMATIC|Cleric Class					SORTKEY:Class_Sacred_Warder_Of_Bahamut	SOURCEPAGE:Drac		
Smite Evil Dragons	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredWarderOfBahamutClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a sacred warder of Bahamut of at least 2nd level may attempt to smite an evil dragon with one normal melee attack. It adds its Charisma bonus to its attack roll and deals 1 extra point of damage per class level. If the sacred warder accidentally smites a dragon that is not evil, or a creature that is not a dragon, the smite has no effect but it is still used up for that day. A sacred warder can smite any creature of the dragon type that has an evil alignment. At 6th level, a sacred warder may smite evil dragons twice per day, and at 10th level it can do so three times per day.	KEY:Sacred Warder of Bahamut ~ Smite Evil Dragons									BONUS:VAR|SmiteEvilDragonsLVL|SacredWarderOfBahamutLVL	BONUS:VAR|SmiteEvilDragonsToHit|max(CHA,0)|TYPE=Base	BONUS:VAR|SmiteEvilDragonsDamage|SacredWarderOfBahamutLVL|TYPE=Base	BONUS:VAR|SmiteEvilDragons|(((SacredWarderOfBahamut+2)/4))						ABILITY:Special Ability|VIRTUAL|Smite Evil Dragons								SORTKEY:Class_Sacred_Warder_Of_Bahamut	SOURCEPAGE:Drac		
Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredWarderOfBahamutClassFeatures.SpecialAttack	VISIBLE:YES	DESC:From 2nd level on, when a new sacred warder level is gained, the dragon gains new spells per day as if it had also gained a level in a divine spellcasting class it belonged to before it added the prestige class. It does not, however, gain any other benefit a character of that class would have gained (an improved chance of turning or rebuking undead, wild shape, and so on). This essentially means that the dragon adds the level of sacred warder to the level of whatever divine spellcasting class the dragon has, then determines spells per day and caster level accordingly. If the dragon had more than one divine spellcasting class before becoming a sacred warder, the dragon must decide to which class it adds each level of sacred warder for the purpose of determining spells per day. A very old gold dragon/1st-level cleric/2nd-level sacred warder has the spellcasting ability of a 15th-level cleric: 13 from divine conversion of its sorcerer spellcasting levels, 1 from its single cleric level, and 1 from its two levels in the prestige class. If a dragon advances an age category after taking levels in this class, the added levels of spellcasting ability are added to its effective divine spellcasting level. If the very old gold dragon in the example above lives to be ancient, its spellcasting level would increase by 2, so it would cast spells as a 17th-level cleric.	KEY:Sacred Warder of Bahamut ~ Spellcasting																										SORTKEY:Class_Sacred_Warder_Of_Bahamut	SOURCEPAGE:Drac		
Aura of Courage	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredWarderOfBahamutClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a sacred warder becomes immune to fear effects. In addition, the dragon's frightful presence ability alters so that it inspires allies as well as striking terror into enemies. Allies within the radius of the dragon's aura (30 feet x its age category) are unaffected by the dragon's frightful presence and receive a morale bonus on their saving throws against fear equal to the dragon's class level + its Cha modifier. Allies within the aura cannot be panicked by an evil dragon's frightful presence, regardless of their Hit Dice. Enemies within the aura are affected normally by the dragon's frightful presence.	KEY:Sacred Warder of Bahamut ~ Aura of Courage	DESC:+%1 morale bonus vs Fear|AuraOfCourageBonus			DEFINE:AuraOfCourageBonus|0					BONUS:VAR|AuraOfCourageBonus|SacredWarderOfBahamutLVL+CHA|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity To Fear								SORTKEY:Class_Sacred_Warder_Of_Bahamut	SOURCEPAGE:Drac		
Sacred Shield	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredWarderOfBahamutClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 7th level, a sacred warder gains the ability to surround itself with a protective aura that lasts 10 minutes and protects the dragon's body and equipment from attacks. The shield absorbs 10 points of damage per class level. Once the shield absorbs that much damage, it collapses. The damage can be from any source-weapons, spells, any energy type, and so on. Damage the dragon would not take anyway (fire damage against a gold dragon, for example, or weapon damage blocked by the dragon's damage reduction) does not count against the damage absorbed by the shield. The dragon can use this ability three times per day.	KEY:Sacred Warder of Bahamut ~ Sacred Shield																										SORTKEY:Class_Sacred_Warder_Of_Bahamut	SOURCEPAGE:Drac		
Area Sacred Shield	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredWarderOfBahamutClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 12th level, a sacred warder of Bahamut can extend its sacred shield to protect an area with a radius of 30 feet. The dragon can place the barrier anywhere within its line of sight, and can choose to make it mobile with respect to an unattended object or willing creature (including the dragon itself ). The shield blocks incoming attacks, but creatures inside the shield can still attack out through the shield.	KEY:Sacred Warder of Bahamut ~ Area Sacred Shield																										SORTKEY:Class_Sacred_Warder_Of_Bahamut	SOURCEPAGE:Drac		
