SOURCELONG:Monsters of Faerun 3.0	SOURCESHORT:MCMoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																													
																																
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Medium	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Snake (Viper)) ~ Medium																		TEMPLATE:Animal (Snake (Viper)) ~ Medium	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d3,SPROP=Poison								
Large	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Snake (Viper)) ~ Large									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Animal (Snake (Viper)) ~ Large	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d4,SPROP=Poison								
Huge	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Snake (Viper)) ~ Huge									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Animal (Snake (Viper)) ~ Huge	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d4,SPROP=Poison								
																																
Animal (Squid) Race Tracker	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:AnimalSquidAgeCategory|0	DEFINE:AnimalSquidSizeTracker|0																						SOURCEPAGE:MM1
CATEGORY=Special Ability|Animal (Squid) Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|Animal (Squid) ~ Medium|PREVAREQ:AnimalSquidAgeCategory,1	ABILITY:Internal|AUTOMATIC|Animal (Squid) ~ Large|PREVAREQ:AnimalSquidAgeCategory,2	ABILITY:Internal|AUTOMATIC|Animal (Squid) ~ Huge|PREVAREQ:AnimalSquidAgeCategory,3	ABILITY:Internal|AUTOMATIC|Animal (Squid) ~ Gargantuan|PREVAREQ:AnimalSquidAgeCategory,4						
Medium	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Squid) ~ Medium																		TEMPLATE:Animal (Squid) ~ Medium									
Large	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Squid) ~ Large									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Animal (Squid) ~ Large									
Huge	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Squid) ~ Huge									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Animal (Squid) ~ Huge									
Gargantuan	CATEGORY:Internal		VISIBLE:NO		KEY:Animal (Squid) ~ Gargantuan									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Animal (Squid) ~ Gargantuan									
																																
Monstrous Scorpion Race Tracker	CATEGORY:Special Ability	TYPE:SubTraitAbility							DEFINE:MonstrousScorpionAgeCategory|0	DEFINE:MonstrousScorpionSizeTracker|0																						SOURCEPAGE:MM1
CATEGORY=Special Ability|Monstrous Scorpion Race Tracker.MOD																							ABILITY:Internal|AUTOMATIC|Monstrous Scorpion ~ Small|PREVAREQ:MonstrousScorpionAgeCategory,1	ABILITY:Internal|AUTOMATIC|Monstrous Scorpion ~ Medium|PREVAREQ:MonstrousScorpionAgeCategory,2	ABILITY:Internal|AUTOMATIC|Monstrous Scorpion ~ Large|PREVAREQ:MonstrousScorpionAgeCategory,3	ABILITY:Internal|AUTOMATIC|Monstrous Scorpion ~ Huge|PREVAREQ:MonstrousScorpionAgeCategory,4	ABILITY:Internal|AUTOMATIC|Monstrous Scorpion ~ Gargantuan|PREVAREQ:MonstrousScorpionAgeCategory,5	ABILITY:Internal|AUTOMATIC|Monstrous Scorpion ~ Colossal|PREVAREQ:MonstrousScorpionAgeCategory,6				
Small	CATEGORY:Internal		VISIBLE:NO		KEY:Monstrous Scorpion ~ Small																		TEMPLATE:Monstrous Scorpion ~ Small									
Medium	CATEGORY:Internal		VISIBLE:NO		KEY:Monstrous Scorpion ~ Medium																		TEMPLATE:Monstrous Scorpion ~ Medium									
Large	CATEGORY:Internal		VISIBLE:NO		KEY:Monstrous Scorpion ~ Large									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Monstrous Scorpion ~ Large									
Huge	CATEGORY:Internal		VISIBLE:NO		KEY:Monstrous Scorpion ~ Huge									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Monstrous Scorpion ~ Huge									
Gargantuan	CATEGORY:Internal		VISIBLE:NO		KEY:Monstrous Scorpion ~ Gargantuan									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Monstrous Scorpion ~ Gargantuan									
Colossal	CATEGORY:Internal		VISIBLE:NO		KEY:Monstrous Scorpion ~ Colossal									BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))									TEMPLATE:Monstrous Scorpion ~ Colossal									
