SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
True Seeing	CATEGORY:Special Ability	TYPE:ClassFeatures.EyeOfHorusReClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A 10th-level eye of Horus-Re sees all things as they truly are, as though he were continually under the effect of a true seeing spell.	KEY:Eye of Horus-Re ~ True Seeing									BONUS:VAR|HasTrueSeeingVision|1|TYPE=Base																	SORTKEY:Class_Eye_Of_Horus_Re	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Hammers of Moradin are proficient with all simple and martial weapons, with all types of armor, and with shields.	KEY:Hammer of Moradin ~ Weapon and Armor Proficiency																										SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Aura of Courage	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Hammers of Moradin are proficient with all simple and martial weapons, with all types of armor, and with shields.	KEY:Hammer of Moradin ~ Aura of Courage	DESC:+%1 morale bonus vs Fear|AuraOfCourageBonus			DEFINE:AuraOfCourageBonus|0					BONUS:VAR|AuraOfCourageBonus|4|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity To Fear								SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Hammer Throw	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A hammer of Moradin may use his warhammer as a thrown weapon with a range increment of 20 feet. He takes no additional penalties for using the weapon in this fashion.	KEY:Hammer of Moradin ~ Hammer Throw																										SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Goblinkiller	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Beginning at 2nd level, the hammer of Moradin may imbue any warhammer with the goblinoid bane property as a move action. This ability may be used once per day, and the effect lasts a number of rounds equal to the hammer of Moradin's Charisma modifier.	KEY:Hammer of Moradin ~ Goblinkiller	DESC:%1/day %2 duration.|GoblinkillerTimes|GoblinkillerDuration			DEFINE:GoblinkillerTimes|0	DEFINE:GoblinkillerDuration|0				BONUS:VAR|GoblinkillerTimes|1|TYPE=Base	BONUS:VAR|GoblinkillerDuration|CHA|TYPE=Base																SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Hammer Return	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When the hammer of Moradin reaches 2nd level, any warhammer he throws gains the returning special ability. A returning warhammer flies through the air back to the hammer of Moradin, returning just before his next turn, so that it is ready to use again in that turn. Catching the warhammer when it comes back is a free action. If the hammer of Moradin can't catch it, or if he has moved since throwing it, the warhammer drops to the ground in the square from which it was thrown.	KEY:Hammer of Moradin ~ Hammer Return																										SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the hammer of Moradin gains damage reduction 2/-. His damage reduction increases to 4/- at 6th level, and to 6/- at 9th level.	KEY:Hammer of Moradin ~ Damage Reduction				DEFINE:HammerOfMoradinDR|0					BONUS:VAR|HammerOfMoradinDR|(HammerOfMoradinLVL/3)*2									DR:HammerOfMoradinDR/-								SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Powerful Grip	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the hammer of Moradin gains a bonus equal to one-half his Strength bonus (rounded down) on damage rolls when wielding a warhammer in melee. Thus, his bonus on damage rolls with this weapon equals 1-1/2 times his Strength bonus when he wields it in one hand and twice his Strength bonus when he wields it in two hands.	KEY:Hammer of Moradin ~ Powerful Grip									BONUS:WEAPONPROF=Warhammer|DAMAGEMULT:0|0.5	BONUS:WEAPONPROF=Warhammer|DAMAGEMULT:1|0.5	BONUS:WEAPONPROF=Warhammer|DAMAGEMULT:2|0.5															SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Far Shot	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, the hammer of Moradin gains the benefi t of the Far Shot feat when throwing his warhammer. This benefi t increases the range increment for his thrown hammer to 30 feet.	KEY:Hammer of Moradin ~ Far Shot																										SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Quake	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:By striking his warhammer violently against the ground (a standard action), a 4th-level or higher hammer of Moradin creates a shock wave that violently shakes the earth in front of him. Each creature touching the ground in a 60-foot cone from the point of impact must make a successful Refl ex save (DC 10 + hammer of Moradin level + hammer of Moradin's Str modifier) or be knocked prone.	KEY:Hammer of Moradin ~ Quake	DESC:Reflex DC %1|QuakeDC			DEFINE:QuakeDC|0					BONUS:VAR|QuakeDC|10+HammerOfMoradinLVL+STR|TYPE=Base	BONUS:VAR|QuakeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Quake)								ABILITY:Ability Focus|AUTOMATIC|Quake								SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Drowbasher	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When a 5th-level or higher hammer of Moradin uses the goblinkiller ability to imbue his warhammer with the goblinoid bane property, it also gains the drow bane property. This ability does not confer any additional uses per day of the goblinkiller ability and it does not extend the duration of the effect; it merely makes each use more versatile.	KEY:Hammer of Moradin ~ Drowbasher																										SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Power Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 5th level, the hammer of Moradin can strike his foe so hard that his blow leaves the opponent dazed. To use this ability, the hammer of Moradin makes a normal attack roll. (The player must declare that he is using this power before making the attack roll; thus, a miss ruins the attempt.) The attack deals normal damage if successful. In addition, any foe damaged by this attack must make a successful Fortitude saving throw (DC 10 + hammer of Moradin level + hammer of Moradin's Str modifier) or be dazed for 1 round. Constructs, oozes, plants, undead, incorporeal creatures, and creatures immune to critical hits cannot be dazed. This ability is usable twice per day at 5th level and four times per day at 10th level.	KEY:Hammer of Moradin ~ Power Strike	DESC:%1/day.|PowerStrikeTimes			DEFINE:PowerStrikeTimes|0					BONUS:VAR|PowerStrikeTimes|(HammerOfMoradinLVL/5)*2																	SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Chaoscrusher	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 7th level, the hammer of Moradin may imbue any warhammer with the axiomatic special ability as a move action. This ability may be used once per day, and the effect lasts a number of rounds equal to the hammer of Moradin's Charisma modifier.	KEY:Hammer of Moradin ~ Chaoscrusher	DESC:%1/day %2 duration.|ChaoscrusherTimes|ChaoscrusherDuration			DEFINE:ChaoscrusherTimes|0	DEFINE:ChaoscrusherDuration|0				BONUS:VAR|ChaoscrusherTimes|1|TYPE=Base	BONUS:VAR|ChaoscrusherDuration|CHA|TYPE=Base																SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Stalwart	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Hammers of Moradin are renowned for their ability to stand strong in the face of a hail of arrows, or wade into a throng of shrieking goblins and emerge untouched. At 7th level, the hammer of Moradin may add his base Will save modifier to his AC once per day as a free action. This benefi t lasts for 1 round per hammer of Moradin level.	KEY:Hammer of Moradin ~ Stalwart	DESC:%1/day +%2 AC.|StalwartTimes|StalwartBonus			DEFINE:StalwartTimes|0	DEFINE:StalwartBonus|0				BONUS:VAR|StalwartTimes|1|TYPE=Base	BONUS:VAR|StalwartBonus|WillSave																SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Giantslayer	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When an 8th-level or higher hammer of Moradin uses his goblinkiller ability, his warhammer gains the giant bane property in addition to the goblinoid bane and drow bane properties. This ability does not confer any additional uses per day of the goblinkiller ability and it does not extend the duration of the effect; it merely makes each use more versatile.	KEY:Hammer of Moradin ~ Giantslayer																										SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Thunder Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When the hammer of Moradin reaches 8th level, his blows are so mighty that armor not only offers little protection from them, but it also acts as a conduit for the force of the blow, causing his opponent even more pain. When wielding his warhammer, the hammer of Moradin gains a bonus on melee damage rolls equal to his foe's armor bonus (not including shield bonus or enhancement bonus). Thus, a hammer of Moradin striking a creature wearing a breastplate gains a +5 bonus on his damage roll.	KEY:Hammer of Moradin ~ Thunder Strike																										SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Power Throw	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 9th level, the hammer of Moradin can hurl his warhammer with such force that it plows on past creatures struck by it. When throwing his hammer, the hammer of Moradin makes a single ranged attack roll and checks the result against the AC of all creatures in a 60-foot straight line from his position. He then rolls damage against each creature that the weapon hits.	KEY:Hammer of Moradin ~ Power Throw																										SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Bones of the Earth	CATEGORY:Special Ability	TYPE:ClassFeatures.HammerOfMoradinClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:When the hammer of Moradin reaches 10th level, he gains a powerful blessing from Moradin himself. This benefi t functions like the shadow walk spell (caster level equals hammer of Moradin's divine caster level), except that rather than traveling along the edge of the Shadow Plane, the character travels along the edge of the Elemental Plane of Earth. Both the origin and destination points must be within 5 feet of solid, natural stone. This ability is usable once per day.	KEY:Hammer of Moradin ~ Bones of the Earth																		SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest__Divine|Shadow Walk								SORTKEY:Class_Hammer_Of_Moradin	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperAgentClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Harper agents are proficient with all simple weapons and with light armor.	KEY:Harper Agent ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Harper_Agent	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperAgentClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Beginning at 2nd level, when a new Harper agent level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in a spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefi t a character of that class would have gained (bonus metamagic or item creation feats, improved chance of turning or rebuking undead, and so on), except for an increased effective level of spellcasting. This essentially means that he adds the level of Harper agent to the level of some other spellcasting class the character has, then determines spells per day, spells known, and caster level accordingly. If a character had more than one spellcasting class before he became a Harper agent, he must decide to which class he adds each level of Harper agent for the purpose of determining spells per day and spells known 	KEY:Harper Agent ~ Spells per Day																										SORTKEY:Class_Harper_Agent	SOURCEPAGE:PgtF		
Harper Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperAgentClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, the Harper agent can access knowledge in the same manner as a bard can. This ability functions like the bardic knowledge ability, except that the bonus for the check equals the character's Harper agent level + her Int modifier. If the Harper agent has another such lore ability from another source (such as bard or loremaster levels), his Harper agent levels stack with levels of all other classes that grant such an ability for the purpose of Harper knowledge checks.	KEY:Harper Agent ~ Harper Knowledge									BONUS:VAR|HarperKnowledgeLVL|HarperAgentLVL	BONUS:VAR|BardicKnowledge|HarperAgentLVL								ABILITY:Special Ability|AUTOMATIC|Harper Knowledge								SORTKEY:Class_Harper_Agent	SOURCEPAGE:PgtF		
Deneir's Eye	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperAgentClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, the Harper agent gains a +3 sacred bonus on saving throws against glyphs, runes, and symbols.	KEY:Harper Agent ~ Deneir's Eye																										SORTKEY:Class_Harper_Agent	SOURCEPAGE:PgtF	ASPECT:SaveBonus|+3 sacred bonus on saving throws against glyphs, runes, and symbols.	
Lliira's Heart	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperAgentClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, the Harper agent gains a +2 sacred bonus on saving throws against compulsion and fear effects.	KEY:Harper Agent ~ Lliira's Heart									BONUS:VAR|CompulsionResistanceBonus,FearResistanceBonus|2|TYPE=Sacred									ABILITY:Special Ability|AUTOMATIC|Resistance To Fear|Resistance To Compulsion								SORTKEY:Class_Harper_Agent	SOURCEPAGE:PgtF		
Tymora's Smile	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperAgentClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 3rd level, a Harper agent gains a +2 luck bonus on any single saving throw of his choice once per day. This bonus can be added after the die is rolled and the success or failure of the save has been determined.	KEY:Harper Agent ~ Tymora's Smile																										SORTKEY:Class_Harper_Agent	SOURCEPAGE:PgtF		
Lurue's Voice	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperAgentClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 4th level, the Harper agent may use speak with animals (caster level equals Harper agent level) three times per day.	KEY:Harper Agent ~ Lurue's voice																		SPELLS:Innate|TIMES=3|CASTERLEVEL=HarperAgentLVL|Speak with Animals								SORTKEY:Class_Harper_Agent	SOURCEPAGE:PgtF		
Mystra's Boon	CATEGORY:Special Ability	TYPE:ClassFeatures.HarperAgentClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 5th level, the Harper agent gains a +2 sacred bonus on all saving throws against spells.	KEY:Harper Agent ~ Mystra's Boon																										SORTKEY:Class_Harper_Agent	SOURCEPAGE:PgtF	ASPECT:SaveBonus|+2 sacred bonus on all saving throws against spells.	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Hathrans gain proficiency with the whip, but not with any other weapons, nor with any armor or shields.	KEY:Hathran ~ Weapon and Armor Proficiency																		ABILITY:FEAT|AUTOMATIC|Exotic Weapon Proficiency (Whip)								SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new hathran level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in whatever spellcasting class granted her access to 4th-level spells before she added the prestige class. She does not, however, gain any other benefi t a character of that class would have gained (bonus metamagic or item creation feats, improved chance of turning or rebuking undead, and so on), except for an increased effective level of spellcasting. This essentially means that she adds the level of hathran to the level of whatever other spellcasting class granted her access to 4th-level spells, then determines spells per day, spells known, and caster level Accordingly. If a character had more than one spellcasting class that granted access to 4th-level spells before she became a hathran, she must decide to which class she adds each level of hathran for the purpose of determining spells per day and spells known. Additionally, a small number of spells are added to the hathran's class list for any spellcasting classes in which she can cast 4th-level spells.	KEY:Hathran ~ Spells per Day																										SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Leadership Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 1st level, the hathran gains a +2 bonus to her Leadership score for the purpose of recruiting a cohort, with the following restriction: The cohort must be Rashemi and must either be a female with the Ethran feat or a male with at least one level in barbarian.	KEY:Hathran ~ Leadership Bonus									BONUS:VAR|HathranCohortLVL|min(HathranLVL,TL-2)									ABILITY:Special Ability|AUTOMATIC|Hathran Cohort								SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Rashemi Spirit Magic	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A hathran's training in the unique magic of her homeland gives her uncanny versatility. Beginning at 1st level, a hathran who prepares spells may choose to spontaneously cast any spell she knows in place of any spell of the same level that she has prepared, even if it is not on the same spell list as the substituted one. If the hathran normally does not prepare spells, she may instead utilize metamagic feats without the additional casting time normally required, though a spell so altered still uses up a higher-level spell slot, as normal. The hathran must be within the boundaries of Rashemen to use this ability, and there is no limit to the number of times she may do so.	KEY:Hathran ~ Rashemi Spirit Magic																										SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Taboo	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality	VISIBLE:YES	DESC:In Rashemi society, the crafting of magic items is left strictly to male spellcasters. With the exception of the Scribe Scroll feat, no hathran may select item creation feats.	KEY:Hathran ~ Taboo																										SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Spirit Speech	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, the hathran gains the ability to speak to and understand any creature with the spirit subtype. This ability functions regardless of the language that the hathran and the spirit actually use to converse. The hathran also gains a +2 bonus on any Charisma-based skill or ability check s made when dealing with spirits.	KEY:Hathran ~ Spirit Speech																										SORTKEY:Class_Hathran	SOURCEPAGE:PgtF	ASPECT:SkillBonus|+2 bonus on any Charisma-based skill made when dealing with spirits.	
Awe of the Wychlaran	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 3rd level, the hathran radiates such power and authority that her fellow Rashemi fi nd it difficult to act against her. Any character from the Rashemen region whose character level is lower than or equal to that of the hathran takes a -2 penalty on attack rolls and opposed skill checks made against her. This penalty increases to -4 at 7th level and to -6 at 10th level.	KEY:Hathran ~ Awe of the Wychlaran	DESC:penalty -%1.|AweOfTheWychlaranBonus			DEFINE:AweOfTheWychlaranBonus|0					BONUS:VAR|AweOfTheWychlaranBonus|max(2,(((HathranLVL-1)/3)*2))																	SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Universal Spirit Magic	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the hathran's affinity for spirit magic is such that she can commune with spirits outside of Rashemen. Once per day, she may use her Rashemi spirit magic ability outside of Rashemen. The hathran can use this ability twice per day at 6th level and three times per day at 9th level.	KEY:Hathran ~ Universal Spirit Magic	DESC:%1/day.|SpiritMagicTimes			DEFINE:SpiritMagicTimes|0					BONUS:VAR|SpiritMagicTimes|HathranLVL/3																	SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Spirit Concordat	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, the hathran casts all spells in the planar ally spell chain at +1 caster level.	KEY:Hathran ~ Spirit Concordat									BONUS:CASTERLEVEL|SPELL.Planar Ally (Lesser)|1	BONUS:CASTERLEVEL|SPELL.Planar Ally|1	BONUS:CASTERLEVEL|SPELL.Planar Ally (Greater)|1															SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Circle Leader	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, the hathran can become a circle leader and act as the focus for Rashemi circle magic. See page 59 of the FORGOTTEN REALMS Campaign Setting for details on circle magic.	KEY:Hathran ~ Circle Leader																										SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Spirit Dominion	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 8th level, the hathran casts all spells in the planar binding spell chain at +1 caster level.	KEY:Hathran ~ Spirit Dominion									BONUS:CASTERLEVEL|SPELL.Planar Binding (Lesser)|1	BONUS:CASTERLEVEL|SPELL.Planar Binding|1	BONUS:CASTERLEVEL|SPELL.Planar Binding (Greater)|1															SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Great Circle Leader	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:By the time the hathran reaches 10th level, she has mastered the art of circle magic and can lead a great circle. A great circle can have a total of nine assistants instead of five.	KEY:Hathran ~ Great Circle Leader																										SORTKEY:Class_Hathran	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Incantatrixes gain no proficiency with any weapon, armor, or shield.	KEY:Incantatrix ~ Weapon and Armor Proficiency																										SORTKEY:Class_Incantatrix	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new incantatrix level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in whatever arcane spellcasting c lass g ranted h er access to 3 rd-level spells before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (bonus metamagic or item creation feats, bard or assassin abilities, and so on), except for an increased effective level of spellcasting. This essentially means that she adds the level of incantatrix to the level of whatever other arcane spellcasting class granted her access to 3rd-level spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one arcane spellcasting class that granted access to 3rd-level spells before she became an incantatrix, she must decide to which class she adds each level of incantatrix for the purpose of determining spells per day and spells known.	KEY:Incantatrix ~ Spells per Day																										SORTKEY:Class_Incantatrix	SOURCEPAGE:PgtF		
Bonus Metamagic Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, and again at 4th, 7th, and 10th level, the incantatrix may select any metamagic feat as a bonus feat. She must meet any prerequisites for a feat in order to select it.	KEY:Incantatrix ~ Bonus Feat				DEFINE:IncantatrixBonusFeats|0					BONUS:VAR|IncantatrixBonusFeats|(IncantatrixLVL+2)/3	BONUS:ABILITYPOOL|Incantatrix Feat|IncantatrixBonusFeats																SORTKEY:Class_Incantatrix	SOURCEPAGE:PgtF		
Focused Studies	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, the incantatrix gives up a school of magic so as to focus more on the remaining schools. She must choose a school of magic other than abjuration or divination as a prohibited school. This prohibited school is in addition to any others already chosen due to school specialization. Thus, a specialized wizard taking this prestige class has three prohibited schools instead of two.	KEY:Incantatrix ~ Focused Studies																										SORTKEY:Class_Incantatrix	SOURCEPAGE:PgtF		
Abjurer	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Abjuration	KEY:Incantatrix ~ Focused Studies ~ Abjurer																											SOURCEPAGE:PGtF		
Conjurer	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Conjuration	KEY:Incantatrix ~ Focused Studies ~ Conjurer																											SOURCEPAGE:PGtF		
Diviner	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Divination	KEY:Incantatrix ~ Focused Studies ~ Diviner																											SOURCEPAGE:PGtF		
Enchanter	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Enchantment	KEY:Incantatrix ~ Focused Studies ~ Enchanter																											SOURCEPAGE:PGtF		
Evoker	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Evocation	KEY:Incantatrix ~ Focused Studies ~ Evoker																											SOURCEPAGE:PGtF		
Illusionist	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Illusion	KEY:Incantatrix ~ Focused Studies ~ Illusionist																											SOURCEPAGE:PGtF		
Necromancer	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Necromancy	KEY:Incantatrix ~ Focused Studies ~ Necromancer																											SOURCEPAGE:PGtF		
Transmuter	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Transmutation	KEY:Incantatrix ~ Focused Studies ~ Transmuter																											SOURCEPAGE:PGtF		
Forbid Abjuration	CATEGORY:Special Ability	TYPE:IncantatrixClassFeatures.IncantatrixProhibitSchool		KEY:Incantatrix ~ Forbid Abjuration		!PRESUBCLASS:1,Incantatrix ~ Abjurer			DEFINE:IncantatrixProhibitAbjuration|0					BONUS:VAR|IncantatrixProhibitAbjuration|1																				
Forbid Conjuration	CATEGORY:Special Ability	TYPE:IncantatrixClassFeatures.IncantatrixProhibitSchool		KEY:Incantatrix ~ Forbid Conjuration		!PRESUBCLASS:1,Incantatrix ~ Conjurer			DEFINE:IncantatrixProhibitConjuration|0					BONUS:VAR|IncantatrixProhibitConjuration|1																				
Forbid Divination	CATEGORY:Special Ability	TYPE:IncantatrixClassFeatures.IncantatrixProhibitSchool		KEY:Incantatrix ~ Forbid Divination		!PRESUBCLASS:1,Incantatrix ~ Diviner			DEFINE:IncantatrixProhibitDivination|0					BONUS:VAR|IncantatrixProhibitDivination|1																				
Forbid Enchantment	CATEGORY:Special Ability	TYPE:IncantatrixClassFeatures.IncantatrixProhibitSchool		KEY:Incantatrix ~ Forbid Enchantment		!PRESUBCLASS:1,Incantatrix ~ Enchanter			DEFINE:IncantatrixProhibitEnchantment|0					BONUS:VAR|IncantatrixProhibitEnchantment|1																				
Forbid Evocation	CATEGORY:Special Ability	TYPE:IncantatrixClassFeatures.IncantatrixProhibitSchool		KEY:Incantatrix ~ Forbid Evocation		!PRESUBCLASS:1,Incantatrix ~ Evoker			DEFINE:IncantatrixProhibitEvocation|0					BONUS:VAR|IncantatrixProhibitEvocation|1																				
Forbid Illusion	CATEGORY:Special Ability	TYPE:IncantatrixClassFeatures.IncantatrixProhibitSchool		KEY:Incantatrix ~ Forbid Illusion		!PRESUBCLASS:1,Incantatrix ~ Illusionist			DEFINE:IncantatrixProhibitIllusion|0					BONUS:VAR|IncantatrixProhibitIllusion|1																				
