SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
					
STARTPACK:Mercantile Background Kit	TYPE:Feat	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PREABILITY:1,CATEGORY=FEAT,Merchantile Background
STARTPACK:Dwarf ~ Galena Mountains Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Urgrosh (Dwarven)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Galena Mountains Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Chainmail	EQMOD:MWORKA				
					
					
					
REGION:Golden Water					
STARTPACK:Human ~ Golden Water Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scimitar	EQMOD:MWORKW				
					
STARTPACK:Human ~ Golden Water Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Kukri	EQMOD:MWORKW				
					
STARTPACK:Human ~ Golden Water Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Human ~ Golden Water Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Cure Light Wounds]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:Great Dale					
STARTPACK:Human ~ Great Dale Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longbow	EQMOD:MWORKW				
					
STARTPACK:Human ~ Great Dale Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Shortbow	EQMOD:MWORKW				
					
STARTPACK:Human ~ Great Dale Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Healer's Kit					
GEAR:Antitoxin (Vial)	QTY:2				
GEAR:Arrows (20)					
					
STARTPACK:Gnome ~ Great Dale Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Mace (Light)	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Great Dale Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Great Dale Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Cure Light Wounds]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:Great Glacier					
STARTPACK:Human ~ Great Glacier Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Spear	EQMOD:MWORKW				
					
STARTPACK:Human ~ Great Glacier Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Javelin	EQMOD:MWORKW				
					
STARTPACK:Human ~ Great Glacier Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Hide	EQMOD:MWORKW				
GEAR:Potion (Cure Moderate Wounds)					
					
STARTPACK:Dwarf ~ Great Glacier Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Pick (Light)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Great Glacier Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Great Glacier Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Dog (Riding)					
GEAR:Hide	EQMOD:MWORKA				
TEMPLATE:Dwarf ~ Great Glacier Region B1 ~ Riding Dog
					
					
					
REGION:Great Rift					
STARTPACK:Dwarf ~ Great Rift Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Scroll (Bull's Strength/Arcane)					
GEAR:Thunderstone	QTY:5				
					
STARTPACK:Dwarf ~ Great Rift Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Mace (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Great Rift Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Waraxe (Dwarven)	EQMOD:MWORKW				
					
					
					
REGION:Halruaa					
STARTPACK:Human ~ Halruaa Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll (Web)					
GEAR:Scroll	EQMOD:SCROLL_ARCANE.SCROLL_MINOR.A_1USEMI|1	QTY:6			
					
STARTPACK:Human ~ Halruaa Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Sleep]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:High Forest					
STARTPACK:Elf ~ High Forest Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Elf ~ High Forest Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longbow	EQMOD:MWORKW				
					
STARTPACK:Elf ~ High Forest Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longbow (Composite)	EQMOD:BOWSTR|2				
					
					
					
REGION:Hordelands					
STARTPACK:Human ~ Hordelands Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Shortbow (Composite +0)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Hordelands Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Horse (Light)					
GEAR:Bit and Bridle					
GEAR:Saddle (Military)					
GEAR:Barding (Studded Leather)					
TEMPLATE:Human ~ Hordelands Region B1 ~ Light Horse
					
STARTPACK:Half-Orc ~ Hordelands Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Hordelands Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Hordelands Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Potion (Bull's Strength)					
					
STARTPACK:Orc ~ Hordelands Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Hordelands Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Hordelands Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Potion (Bull's Strength)					
					
					
					
REGION:Impiltur					
STARTPACK:Human ~ Impiltur Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Bastard)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Impiltur Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Morningstar	EQMOD:MWORKW				
					
STARTPACK:Human ~ Impiltur Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Thieves' Tools	EQMOD:MWORKI				
GEAR:Studded Leather	EQMOD:MWORKI				
					
					
					
REGION:Inner Sea					
STARTPACK:Elf ~ Inner Sea Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Trident	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Inner Sea Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Inner Sea Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longbow (Aquatic)					
					
					
					
REGION:Lake of Steam					
STARTPACK:Human ~ Lake of Steam Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scimitar	EQMOD:MWORKW				
					
STARTPACK:Human ~ Lake of Steam Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Human ~ Lake of Steam Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Glaive	EQMOD:MWORKW				
					
STARTPACK:Human ~ Lake of Steam Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Potion (Darkvision)					
					
STARTPACK:Human ~ Lake of Steam Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Potion (Invisibility)					
					
REGION:Lapaliiya					
STARTPACK:Human ~ Lapaliiya Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scimitar	EQMOD:MWORKW				
					
STARTPACK:Human ~ Lapaliiya Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Javelin	EQMOD:MWORKW				
					
STARTPACK:Human ~ Lapaliiya Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Potion (Invisibility)					
					
					
					
REGION:Lantan					
STARTPACK:Human ~ Lantan Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Pistol					
GEAR:Gunpowder (Horn)					
GEAR:Bullet (Firearm/10)					
					
STARTPACK:Human ~ Lantan Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Crossbow (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Lantan Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Pistol					
GEAR:Gunpowder (Horn)					
GEAR:Bullet (Firearm/10)	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Lantan Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Crossbow (Heavy)	EQMOD:MWORKW				
					
					
					
REGION:Luiren					
STARTPACK:Halfling ~ Luiren Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Halfling ~ Luiren Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Halfling ~ Luiren Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Shield (Heavy/Wood)	EQMOD:DARKWOOD_SHLD				
GEAR:Tanglefoot Bag	QTY:3				
					
					
					
					
REGION:Menzoberranyr					
STARTPACK:Elf ~ Menzoberranyr Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Crossbow (Hand)					
GEAR:Bolts (Crossbow/10)	EQMOD:MWORKW	QTY:2			
					
STARTPACK:Elf ~ Menzoberranyr Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Scroll	EQMOD:SCROLL_DIVINE.SCROLL_MINOR.A_1USEMI|2	QTY:2			
					
STARTPACK:Elf ~ Menzoberranyr Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Scroll	EQMOD:SCROLL_ARCANE.SCROLL_MINOR.A_1USEMI|2	QTY:2			
					
					
					
					
REGION:Moonsea					
STARTPACK:Human ~ Moonsea Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Moonsea Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Two-Bladed)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Moonsea Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Crossbow (Hand)					
GEAR:Poison (Greenblood Oil)					
					
STARTPACK:Half-Orc ~ Moonsea Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Moonsea Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Axe (Double/Orc)	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Moonsea Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Chain Shirt					
GEAR:Shield (Heavy/Steel)	EQMOD:MWORKA				
					
STARTPACK:Orc ~ Moonsea Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Moonsea Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Axe (Double/Orc)	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Moonsea Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Chain Shirt					
GEAR:Shield (Heavy/Steel)	EQMOD:MWORKA				
					
					
					
REGION:Moonshae Isles					
STARTPACK:Human ~ Moonshae Isles Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Arrows (20)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Moonshae Isles Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Handaxe	EQMOD:MWORKW				
					
STARTPACK:Human ~ Moonshae Isles Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Battleaxe	EQMOD:MWORKW				
					
STARTPACK:Human ~ Moonshae Isles Region B3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Greataxe	EQMOD:MWORKW				
					
					
					
REGION:Mulhorand					
STARTPACK:Human ~ Mulhorand Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sickle	EQMOD:MWORKW				
					
STARTPACK:Human ~ Mulhorand Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Human ~ Mulhorand Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Khopesh	EQMOD:MWORKW				
					
STARTPACK:Human ~ Mulhorand Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll	EQMOD:SCROLL_DIVINE.SCROLL_MINOR.A_1USEMI|2	QTY:2			
					
STARTPACK:Planetouched (Aasimar) ~ Mulhorand Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Aasimar) ~ Mulhorand Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Khopesh	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Aasimar) ~ Mulhorand Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Scroll (Restoration/Lesser)					
GEAR:Scroll (Spiritual Weapon)					
					
STARTPACK:Planetouched (Earth Genasi) ~ Mulhorand Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Earth Genasi)
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Earth Genasi) ~ Mulhorand Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Earth Genasi)
GEAR:Khopesh	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Earth Genasi) ~ Mulhorand Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Earth Genasi)
GEAR:Scroll (Restoration/Lesser)					
GEAR:Scroll (Spiritual Weapon)					
					
STARTPACK:Planetouched (Tiefling) ~ Mulhorand Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Tiefling)
GEAR:Falchion	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Tiefling) ~ Mulhorand Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Tiefling)
GEAR:Khopesh	EQMOD:MWORKW				
					
STARTPACK:Planetouched (Tiefling) ~ Mulhorand Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Tiefling)
GEAR:Scroll (Restoration/Lesser)					
GEAR:Scroll (Spiritual Weapon)					
					
					
					
					
REGION:Narfell					
STARTPACK:Human ~ Narfell Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Horse (Light)					
GEAR:Bit and Bridle					
GEAR:Saddle (Military)					
GEAR:Barding (Studded Leather)					
TEMPLATE:Human ~ Narfell Region A1 ~ Light Horse
					
STARTPACK:Human ~ Narfell Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Lance (Light)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Narfell Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longspear	EQMOD:MWORKW				
					
					
					
REGION:Nelanther Isles					
STARTPACK:Human ~ Nelanther Isles Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scimitar	EQMOD:MWORKW				
					
STARTPACK:Human ~ Nelanther Isles Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Dagger	EQMOD:MWORKW				
					
STARTPACK:Human ~ Nelanther Isles Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Pistol					
GEAR:Gunpowder (Horn)					
GEAR:Bullet (Firearm/10)					
					
					
					
REGION:North					
STARTPACK:Human ~ North Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Battleaxe	EQMOD:MWORKW				
					
STARTPACK:Human ~ North Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Mace (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Human ~ North Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Human ~ North Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Arrows (20)	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ North Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Banded Mail	EQMOD:MWORKA.SPIKE_A				
					
STARTPACK:Half-Orc ~ North Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Flail (Dire)	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ North Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ North Region B3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Axe (Double/Orc)	EQMOD:MWORKW				
					
STARTPACK:Orc ~ North Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Banded Mail	EQMOD:MWORKA.SPIKE_A				
					
STARTPACK:Orc ~ North Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Flail (Dire)	EQMOD:MWORKW				
					
STARTPACK:Orc ~ North Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Orc ~ North Region B3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Axe (Double/Orc)	EQMOD:MWORKW				
					
					
					
					
REGION:Oldonnar					
STARTPACK:Dwarf ~ Oldonnar Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Pick (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Oldonnar Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Mace (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Oldonnar Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Chainmail	EQMOD:MWORKA				
					
					
					
REGION:Rashemen					
STARTPACK:Human ~ Rashemen Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Human ~ Rashemen Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Greatsword	EQMOD:MWORKW				
					
STARTPACK:Human ~ Rashemen Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Detect Magic]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
STARTPACK:Human ~ Rashemen Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Light]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:Ride					
STARTPACK:Human ~ Ride Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Horse (Light)					
GEAR:Bit and Bridle					
GEAR:Saddle (Military)					
GEAR:Barding (Studded Leather)					
TEMPLATE:Human ~ Ride Region A1 ~ Light Horse
					
STARTPACK:Human ~ Ride Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Battleaxe	EQMOD:MWORKW				
					
					
					
REGION:Sembia					
STARTPACK:Human ~ Sembia Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
FUNDS:gp	QTY:300				
					
STARTPACK:Human ~ Sembia Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Rapier	EQMOD:MWORKW					
					
STARTPACK:Human ~ Sembia Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
