SOURCELONG:Forgotten Realms Campaign Setting 3.0	SOURCESHORT:FRCS30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-06
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Place magic	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The Hathran's ties to the land of Rashemen are so strong that when in her homeland, she can draw upon the power of the land and its spirits to allow her to cast spells without preparing them. When using place magic, she may cast any arcane spell she knows or any divine spell on her spell list. The spell uses spell slots as normal. Casting with plance magic is a full-round action. If the spell has a casting time of 1 action or longer, 1 full round is added to the casting time of the spell. If the hathran wishes to use a metamagic feat she knows on a place magic spell, 1 additional full round is added to the casting time of the spell. Note that when on her home soil, a hathran may use divine spell slots of the appropriate level to cast any of the spells on the hathran spell list, even if she doesn't know the spell as an arcane spell.	KEY:Hathran ~ Place Magic																										SORTKEY:Class_Hathran	SOURCEPAGE:FRCS30		
Fear	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A hathran can cast fear as a sorcerer of her highest spellcasting level. The ability is usable once per day at 3rd level, twice per day at 6th level, and three times per day at 8th level.	KEY:Hathran ~ Fear				DEFINE:HathranFearTimes|0					BONUS:VAR|HathranFearTimes|HathranLVL/3									SPELLS:Innate|TIMES=HathranFearTimes|CASTERLEVEL=Caster_Level_Highest|Fear								SORTKEY:Class_Hathran	SOURCEPAGE:FRCS30		
Circle Leader	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The hathran gains the ability to become a circle leader, who is the focus person for hathran circle magic. See chapter 2: Magic for a description of circle magic.	KEY:Hathran ~ Circle Leader																										SORTKEY:Class_Hathran	SOURCEPAGE:FRCS30		
Greater Command	CATEGORY:Special Ability	TYPE:ClassFeatures.HathranClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The hathran can cast a quickened greater command once per day as a sorcerer of her highest spellcasting level.	KEY:Hathran ~ Greater Command																		SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest|Command (Greater)								SORTKEY:Class_Hathran	SOURCEPAGE:FRCS30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Runecaster gain no proficiency in any weapon or armor.	KEY:runecaster ~ Weapon and Armor Proficiency																										SORTKEY:Class_Runecaster	SOURCEPAGE:FRCS30		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A runecaster's training focuses on divine spells. Thus, when a new runecaster level is gained, the character gains new spells per day as if he had also gained a level in whatever divine spellcasting class he belonged to before he added the prestige class. He does not, however gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, and so on). This essentially meanss that he adds the level of runecaster to the level of whatever other divine spellcasting class the character has, then determines spells per day accordingly. If a character had more than one divine spellcasting class before he became a runecaster, he must decide to which class he adds each level of runecaster for purposes of determining spells per day and caster level.	KEY:Runecaster ~ Spells per Day																										SORTKEY:Class_Runecaster	SOURCEPAGE:FRCS30		
Rune Craft	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add this bonus to the runecaster's Craft checks made to inscribe runes.	KEY:Runecaster ~ Rune Craft				DEFINE:RuneCraftBonus|0					BONUS:VAR|RuneCraftBonus|max(3,(RunecasterLVL+2)/3)																	SORTKEY:Class_Runecaster	SOURCEPAGE:FRCS30	ASPECT:SkillBonus|+%1 bonus to Craft skills made to inscribe runes.|RuneCraftBonus	ASPECT:Name|Rune Craft +%1|RuneCraftBonus
Improved Runecasting	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:As a runecaster rises in level, he can create runes that function more than once and have different means of being triggered. The extra features increse the cost of the rune, however, as shown on the table below.	KEY:Runecaster ~ Improved Runecasting																										SORTKEY:Class_Runecaster	SOURCEPAGE:FRCS30		
Rune Power	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:For runes created by the runecaster, add this value to the DC of all saves and attempts to erase, dispel, or disable the rune, and to caster level checks to overcome the spell resistance of a target.	KEY:Runecaster ~ Rune Power				DEFINE:RunePowerBonus|0					BONUS:VAR|RunePowerBonus|max(3,(RunecasterLVL+3)/4)																	SORTKEY:Class_Runecaster	SOURCEPAGE:FRCS30	ASPECT:Name|Rune Power +%1|RunePowerBonus	
Maximize Rune	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The runecaster can create runes that are maximized, as if under the effects of a Maximize Spell feat, without altering the level of the spell being used to create the rune. Maximize the rune adds +5 to the DC of the Craft check required to inscribe it.	KEY:Runecaster ~ Maximize Rune																										SORTKEY:Class_Runecaster	SOURCEPAGE:FRCS30		
Rune Chant	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Whenever the runecaster casts a divine spell, he may trace a rune in the air as an extra somatic component for the spell. This allows the runecaster to gain the benefit of his rune power ability for the spell. For spells with a casting time of 1 action, this increases the casting time to 1 full round. All other spells have their casting time increased by 1 round. This ability cannot be used on stilled spells, and it does not function with the maximize rune ability.	KEY:Runecaster ~ Rune Chant																										SORTKEY:Class_Runecaster	SOURCEPAGE:FRCS30		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Shadow adept gain no proficiency in any weapon or armor.	KEY:Shadow Adept ~ Weapon and Armor Proficiency																										SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A shadow adept's training focuses on magic. Thus, when a new shadow adept level is gained, the character gains new spells per day as if he had also gained a level in whatever divine spellcasting class he belonged to before he added the prestige class. He does not, however gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, and so on). This essentially meanss that he adds the level of shadow adept to the level of whatever other spellcasting class the character has, then determines spells per day accordingly. If a character had more than one spellcasting class before he became a shadow adept, he must decide to which class he adds each level of shadow adept for purposes of determining spells per day and caster level.	KEY:Shadow Adept ~ Spells per Day																										SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Shadow Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A shadow adept gains the Insidious Magic, Pewrnicious Magic and Tenacious Magic feats.	KEY:Shadow Adept ~ Shadow Feats																		ABILITY:FEAT|AUTOMATIC|Insidious Magic|Pernicious Magic|Tenacious Magic								SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Low-Light Vision	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A shadow adept gains low-light vision if he doesn't already have it.	KEY:Shadow Adept ~ Low-Light Vision									BONUS:VAR|HasLowLightVision|1|TYPE=Base																	SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Shadow Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add this value to a shadow adept's saving throws against spells from the schools of Enchantment, Illusion and Necromancy, and spells with the darkness descriptor.	KEY:Shadow Adept ~ Shadow Defense				DEFINE:ShadowDefenseBonus|0					BONUS:VAR|ShadowDefenseBonus|(ShadowAdeptLVL+3)/4	BONUS:VAR|EnchantmentResistanceBonus,IllusionResistanceBonus,NecromancyResistanceBonus,DarknessResistanceBonus|ShadowDefenseBonus								ABILITY:Special Ability|AUTOMATIC|Resistance to Enchantment|Resistance to Illusion|Resistance to Necromancy|Resistance To Darkness spells								SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30	ASPECT:Name|Shadow Defense +%1|ShadowDefenseBonus	
Darkvision	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Shadow adept can see in the dark as though he were permenently affected by a darkvision spell.	KEY:Shadow Adept ~ Darkvision									BONUS:VAR|DarkvisionRange|60|TYPE=Base																	SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Metamagic Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The shadow adept can choose any one metamagic feat.	KEY:Shadow Adept ~ Metamagic Feat									BONUS:ABILITYPOOL|Shadow Adept Metamagic Feat|1																	SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Spell Power	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Add this value to the DC fro saving throws and to caster level checks to overcome spell resistance for spells the shadow adept casts from the schools of Enchantment,m Illusion or Necromancy, and spells with the darkness descriptor. This stacks with other spell power effect that affect specified spells.	KEY:Shadow Adept ~ Spell Power				DEFINE:ShadowAdeptSpellPower|0					BONUS:VAR|ShadowAdeptSpellPower|ShadowAdeptLVL/3	BONUS:DC|SCHOOL.Enchantment|ShadowAdeptSpellPower|TYPE=ShadowAdept	BONUS:DC|SCHOOL.Illusion|ShadowAdeptSpellPower|TYPE=ShadowAdept	BONUS:DC|SCHOOL.Necromancy|ShadowAdeptSpellPower|TYPE=ShadowAdept	BONUS:DC|DESCRIPTOR.Darkness|ShadowAdeptSpellPower|TYPE=ShadowAdept	BONUS:VAR|OvercomeSpellResistanceBonus|ShadowAdeptSpellPower												SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Shield of Shadows	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A shadow adept can create a mobile disk of purple-black forces as a standard action. The shiedl of shadow has the effects of a shield spell and also provides three-quarters concealment (30%% miss chanche) against attacks from the other side of the shield. As with the shield spell, the shadow adept can change the defensive direction of the shield of shadow as a free action once per round on his turn. The shadow adept can see and reach through the shield, so it dows not proveide cover or concealment to opponenents. The shield of shadow lasts 1 round per caster level per day and need not to be used all at once. Creating or dismissing the shield of shadowsa is a standard action. At 8th level, the shield also grants spell resistance of 12+the character's shadow adept level on attacks against theshadow adept that originate from the other side of the shield, as if the shadow adept were under the effect of a spell resistance spell.	KEY:Shadow Adept ~ Shield of Shadows	DESC:SR %1.|ShieldOfShadowSR			DEFINE:ShieldOfShadowSR|0					BONUS:VAR|ShieldOfShadowSR|12+ShadowAdeptLVL																	SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Shadow Walk	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A shadow adept can cast the shadow walk spell once per day.	KEY:Shadow Adept ~ Shadow Walk																		SPELLS:Innate|TIMES=1|CASTERLEVEL=ShadowAdept|Shadow Walk								SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
Shadow Double	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Once per day, a shadow adept can use a standard action to create a double of himself woven from shadowstuff. The double has the ability scores, base AC, hit points, saves and attack bonuses as its creator, but not equipment (Any apparent clothing or equipment is nonfunctional). The double can attack the creator's enemies if given a weapon or items (since it can use anything its creator can or function as the target of a project image spell), duplicating the creator's actions and acting as the origin of the creator's spells when it is within direct line of sight. Mentally commanding the double is a free action. Using it as the originator of a spell counts as an action for the creator and the double. Causing the creator or the double to leave the plane they share dismisses the double. The double lasts 1 round per caster level. The death of the double does not affect the shadow adept or vice versa. The double still lasts to the end of its duration if its creator dies.	KEY:Shadow Adept ~ Shadow Double																										SORTKEY:Class_Shadow_Adept	SOURCEPAGE:FRCS30		
