SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10										
6				ABILITY:Fist of Raziel Class Feature|AUTOMATIC|Fist of Raziel ~ Sunder Evil Item|!PREABILITY:1,CATEGORY=ACF,TYPE.FistOfRazielSunderEvilItem									
10				ABILITY:Fist of Raziel Class Feature|AUTOMATIC|Fist of Raziel ~ Holy Martial Strike|!PREABILITY:1,CATEGORY=ACF,TYPE.FistOfRazielHolyMartialStrike									
#													
2	ADD:SPELLCASTER|Divine												
3	ADD:SPELLCASTER|Divine												
4	ADD:SPELLCASTER|Divine												
5	ADD:SPELLCASTER|Divine												
6	ADD:SPELLCASTER|Divine												
7	ADD:SPELLCASTER|Divine												
8	ADD:SPELLCASTER|Divine												
9	ADD:SPELLCASTER|Divine												
10	ADD:SPELLCASTER|Divine												
													
CLASS:Initiate of Pistis Sophia	HD:8	TYPE:PC.Prestige	FACT:Abb|Ips	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:InitiateOfPistisSophiaLVL|0	BONUS:VAR|InitiateOfPistisSophiaLVL|CL
CLASS:Initiate of Pistis Sophia	PREALIGN:LG	PRECHECKBASE:3,Fortitude=5,Reflex=5,Will=5	PRESKILL:1,Concentration=9	PREABILITY:3,CATEGORY=FEAT,Sacred Vow,Sanctify Ki Strike,Servant of the Heavens									
CLASS:Initiate of Pistis Sophia	STARTSKILLPTS:4	CSKILL:Balance|Climb|Concentration|TYPE=Craft|Diplomacy|Escape Artist|Hide|Jump|Knowledge (The Planes)|Knowledge (Religion)|Listen|Move Silently|TYPE=Perform|TYPE=Profession|Sense Motive|Spot|Swim|Tumble											
1				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaProficiencies									
#													
1				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Fist of the Heavens|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisFistOfTheHeavens									
1				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Monk Abilities|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisMonkAbilities									
2				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Detect Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisDetectEvil									
2				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Smite Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSmiteEvil									
3				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Uncanny Dodge|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaUncannyDodge									
4				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Electricity Resistance|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaElectricityResistance									
4				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Sacred Vow|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaSacredVow									
6				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Improved Uncanny Dodge|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaUncannyDodge									
9				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Improved Evasion|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaImprovedEvasion									
10				ABILITY:Initiate of Pistis Sophia Class Feature|AUTOMATIC|Initiate of Pistis Sophia ~ Celestial Transformation|!PREABILITY:1,CATEGORY=ACF,TYPE.InitiateOfPistisSophiaCelestialTransformation									
													
CLASS:Lion of Talsid	HD:8	TYPE:PC.Prestige	FACT:Abb|LoT	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:LionOfTalsidLVL|0	BONUS:VAR|LionOfTalsidLVL|CL
CLASS:Lion of Talsid	PREALIGN:NG	PREATT:4	PRESKILL:2,Knowledge (Nature)=9,Survival=9	PREABILITY:1,CATEGORY=FEAT,Favored of the Companions	PRESPELL:1,Summon Nature's Ally II	PREABILITY:1,CATEGORY=Internal,Animal Companion							
CLASS:Lion of Talsid	STARTSKILLPTS:4	CSKILL:Concentration|TYPE=Craft|Diplomacy|Handle Animal|Heal|Listen|Knowledge (Nature)|Ride|Spellcraft|Spot|Survival|Swim											
1				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidProficiencies									
1				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Spells per Day									
#													
1				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Animal Companion|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidAnimalCompanion									
1				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Lion's Courage|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidLionSCourage									
2				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Scent|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidScent									
3				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Wild Shape|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidWildShape									
4				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Exalted Companion|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidExaltedCompanion									
5				ABILITY:Lion of Talsid Class Feature|AUTOMATIC|Lion of Talsid ~ Lion's Pounce|!PREABILITY:1,CATEGORY=ACF,TYPE.LionOfTalsidLionSPounce									
#													
1	ADD:SPELLCASTER|Divine												
2	ADD:SPELLCASTER|Divine												
3	ADD:SPELLCASTER|Divine												
4	ADD:SPELLCASTER|Divine												
5	ADD:SPELLCASTER|Divine												
6	ADD:SPELLCASTER|Divine												
7	ADD:SPELLCASTER|Divine												
8	ADD:SPELLCASTER|Divine												
9	ADD:SPELLCASTER|Divine												
10	ADD:SPELLCASTER|Divine												
													
CLASS:Prophet of Erathaol	HD:8	TYPE:PC.Prestige	FACT:Abb|PoE	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:ProphetOfErathaolLVL|0	BONUS:VAR|ProphetOfErathaolLVL|CL
CLASS:Prophet of Erathaol	PREALIGN:LG	PRESKILL:1,Knowledge (Arcana)=5	PRESKILL:1,Spellcraft=10	PREABILITY:4,CATEGORY=FEAT,Sacred Vow,Servant of the Heavens,Spell Focus (Divination),Vow of Chastity	PREMULT:1,[PRESPELLTYPE:1,Arcane=4],[PRESPELLTYPE:1,Divine=4]								
CLASS:Prophet of Erathaol	STARTSKILLPTS:2	CSKILL:Concentration|TYPE=Craft|Heal|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Knowledge (Religion)|TYPE=Profession|Spellcraft											
1				ABILITY:Prophet of Erathaol Class Feature|AUTOMATIC|Prophet of Erathaol ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ProphetOfErathaolProficiencies									
2				ABILITY:Prophet of Erathaol Class Feature|AUTOMATIC|Prophet of Erathaol ~ Spells per Day									
#													
1				ABILITY:Prophet of Erathaol Class Feature|AUTOMATIC|Prophet of Erathaol ~ Ecstasy|!PREABILITY:1,CATEGORY=ACF,TYPE.ProphetOfErathaolEcstasy									
#													
2	ADD:SPELLCASTER|Divine												
3	ADD:SPELLCASTER|Divine												
4	ADD:SPELLCASTER|Divine												
5	ADD:SPELLCASTER|Divine												
6	ADD:SPELLCASTER|Divine												
7	ADD:SPELLCASTER|Divine												
8	ADD:SPELLCASTER|Divine												
9	ADD:SPELLCASTER|Divine												
10	ADD:SPELLCASTER|Divine												
													
CLASS:Risen Martyr	HD:12	TYPE:PC.Prestige	FACT:Abb|Rma	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:RysemMartyrLVL|0	BONUS:VAR|RysemMartyrLVL|CL
CLASS:Risen Martyr	PREALIGN:LG,NG,CG	PRECHECKBASE:3,Fortitude=2,Reflex=2,Will=2	PRESKILL:1,TYPE.Strength=9,TYPE.Dexterity=9,TYPE.Constitution=9,TYPE.Intelligence=9,TYPE.Wisdom=9,TYPE.Charisma=9	PRELANG:1,Celestial	PREABILITY:1,CATEGORY=FEAT,Nimbus of Light	PREABILITY:2,CATEGORY=FEAT,TYPE=Exalted	PRETEXT:Must have suffered martyrdom and must not have been returned to life.	PRETEMPLATE:1,Risen Martyr ~ Spiritual Body					
CLASS:Risen Martyr	STARTSKILLPTS:2	CSKILL:Concentration|Diplomacy|Gather Information|Heal|Knowledge (The Planes)|Knowledge (Religion)|Listen|Sense Motive|Spot											
1				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrProficiencies									
1				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Code of Conduct									
#													
1				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Charisma Score Increase|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrCharismaScoreIncrease									
1				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Deflection Bonus|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrDeflectionBonus									
1				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Holy Purpose|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrHolyPurpose									
2				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Bless|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrBless									
2				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Magic Circle against Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrMagicCircleAgainstEvil									
4				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Acid Immunity|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrAcidImmunity									
4				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Detect Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrDetectEvil									
5				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Protective Aura|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrProtectiveAura									
6				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Shield Other|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrShieldOther									
7				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Celestial Brilliance|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrCelestialBrilliance									
7				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Cold Immunity|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrColdImmunity									
8				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Holy Aura|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrHolyAura									
9				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Electricity Immunity|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrElectricityImmunity									
10				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Perfection|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrPerfection									
10				ABILITY:Risen Martyr Class Feature|AUTOMATIC|Risen Martyr ~ Final Ascension|!PREABILITY:1,CATEGORY=ACF,TYPE.RisenMartyrFinalAscension									
													
CLASS:Sentinel of Bharrai	HD:4	TYPE:PC.Prestige	FACT:Abb|SeB	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:SentinelOfBharraiLVL|0	BONUS:VAR|SentinelOfBharraiLVL|CL
CLASS:Sentinel of Bharrai	PREALIGN:LG,NG,CG	PRESKILL:3,Knowledge (Arcana)=8,Knowledge (Nature)=8,Spellcraft=8	PREABILITY:2,CATEGORY=FEAT,Sacred Vow,Vow of Obedience										
CLASS:Sentinel of Bharrai	STARTSKILLPTS:4	CSKILL:Craft (Alchemy)|Concentration|Decipher Script|Gather Information|Handle Animal|Heal|TYPE=Knowledge|TYPE=Profession|Speak Language|Spellcraft|Survival											
1				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiProficiencies									
1				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Spells per Day									
#													
1				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Nature-Friendly Spells|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiNatureFriendlySpells									
1				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Track|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiTrack									
2				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Energy Resistance|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiEnergyResistance									
3				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Bear Shape|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiBearShape									
3				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Quickened Call Lightning|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiQuickenedCallLightning									
5				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Nature's Veil|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiQuickenedNatureSVeil									
7				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Dire Bear Shape|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiDireBearShape									
7				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Ursinal's Touch|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiUrsinalSTouch									
9				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Cavalry of Dire Bears|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiCavalryOfDireBears									
10				ABILITY:Sentinel of Bharrai Class Feature|AUTOMATIC|Sentinel of Bharrai ~ Quickened Lightning Storm|!PREABILITY:1,CATEGORY=ACF,TYPE.SentinelOfBharraiQuickenedLightningStorm									
#													
1	ADD:SPELLCASTER|ANY												
2	ADD:SPELLCASTER|ANY												
3	ADD:SPELLCASTER|ANY												
4	ADD:SPELLCASTER|ANY												
5	ADD:SPELLCASTER|ANY												
6	ADD:SPELLCASTER|ANY												
7	ADD:SPELLCASTER|ANY												
8	ADD:SPELLCASTER|ANY												
9	ADD:SPELLCASTER|ANY												
10	ADD:SPELLCASTER|ANY												
													
CLASS:Skylord	HD:10	TYPE:PC.Prestige	FACT:Abb|Skl	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:SkylordLVL|0	BONUS:VAR|SkylordLVL|CL
CLASS:Skylord	PREALIGN:LG,NG,CG	PRERACE:1,RACESUBTYPE=Elf	PREATT:7	PRESKILL:2,Handle Animal=10,Ride=10	PREABILITY:1,CATEGORY=FEAT,Mounted Combat	PREFEAT:1,CATEGORY=FEAT,Mounted Archery,Ride-By Attack	PREABILITY:1,CATEGORY=FEAT,TYPE=Exalted	PRETEXT:must spend one week living and meditating atop a mountain.					
CLASS:Skylord	STARTSKILLPTS:2	CSKILL:Balance|Handle Animal|Heal|TYPE=Knowledge|Listen|Ride|Spot|Survival											
1				ABILITY:Skylord Class Feature|AUTOMATIC|Skylord ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SkylordProficiencies									
1				ABILITY:Skylord Class Feature|AUTOMATIC|Skylord ~ Spells per Day									
#													
1				ABILITY:Skylord Class Feature|AUTOMATIC|Skylord ~ Call Flying Mount|!PREABILITY:1,CATEGORY=ACF,TYPE.SkylordCallFlyingMount									
1				ABILITY:Skylord Class Feature|AUTOMATIC|Skylord ~ Eyes of the Eagle|!PREABILITY:1,CATEGORY=ACF,TYPE.SkylordEyesOfTheEagle									
2				ABILITY:Skylord Class Feature|AUTOMATIC|Skylord ~ Ride the Wind|!PREABILITY:1,CATEGORY=ACF,TYPE.SkylordRideTheWind									
3				ABILITY:Skylord Class Feature|AUTOMATIC|Skylord ~ Improved Mounted Combat|!PREABILITY:1,CATEGORY=ACF,TYPE.SkylordImprovedMountedCombat									
4				ABILITY:Skylord Class Feature|AUTOMATIC|Skylord ~ Deadly Charge|!PREABILITY:1,CATEGORY=ACF,TYPE.SkylordDeadlyCharge									
6				ABILITY:Skylord Class Feature|AUTOMATIC|Skylord ~ Storm Kinship|!PREABILITY:1,CATEGORY=ACF,TYPE.SkylordStormKinship									
#													
2	ADD:SPELLCASTER|ANY												
4	ADD:SPELLCASTER|ANY												
6	ADD:SPELLCASTER|ANY												
8	ADD:SPELLCASTER|ANY												
10	ADD:SPELLCASTER|ANY												
													
CLASS:Slayer of Domiel	HD:6	TYPE:PC.Prestige	FACT:Abb|SoD	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:SlayerOfDomielLVL|0	BONUS:VAR|SlayerOfDomielLVL|CL
CLASS:Slayer of Domiel	PREALIGN:LG	PRESKILL:2,Hide=8,Move Silently=8	PREABILITY:2,CATEGORY=FEAT,Sanctify Martial Strike,Servant of the Heavens	PREABILITY:2,CATEGORY=Special Ability,Sneak Attack,Evasion	PREVARGTEQ:SneakAttackDice,3								
CLASS:Slayer of Domiel	STARTSKILLPTS:4	CSKILL:Balance|Bluff|Climb|TYPE.Craft|Diplomacy|Disguise|Gather Information|Hide|Intimidate|Jump|Listen|Move Silently|Open Lock|Search|Sense Motive|Spot|Tumble|Use Magic Device|Use Rope											
CLASS:Slayer of Domiel	SPELLSTAT:WIS	FACT:SpellType|Divine	MEMORIZE:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Slayer of Domiel|CL								
1				ABILITY:Slayer of Domiel Class Feature|AUTOMATIC|Slayer of Domiel ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SlayerOfDomielProficiencies									
1				ABILITY:Slayer of Domiel Class Feature|AUTOMATIC|Slayer of Domiel ~ Spells									
#													
1				ABILITY:Slayer of Domiel Class Feature|AUTOMATIC|Slayer of Domiel ~ Death Touch|!PREABILITY:1,CATEGORY=ACF,TYPE.SlayerOfDomielDeathTouch									
1				ABILITY:Slayer of Domiel Class Feature|AUTOMATIC|Slayer of Domiel ~ Detect Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.SlayerOfDomielDetectEvil									
1				ABILITY:Slayer of Domiel Class Feature|AUTOMATIC|Slayer of Domiel ~ Sneak Attack|!PREABILITY:1,CATEGORY=ACF,TYPE.SlayerOfDomielSneakAttack									
2				ABILITY:Slayer of Domiel Class Feature|AUTOMATIC|Slayer of Domiel ~ Divine Grace|!PREABILITY:1,CATEGORY=ACF,TYPE.SlayerOfDomielDivineGrace									
6				ABILITY:Slayer of Domiel Class Feature|AUTOMATIC|Slayer of Domiel ~ Improved Evasion|!PREABILITY:1,CATEGORY=ACF,TYPE.SlayerOfDomielImprovedEvasion									
#													
1	CAST:0,0												
2	CAST:0,1												
3	CAST:0,1,0												
4	CAST:0,1,1												
5	CAST:0,1,1,0												
6	CAST:0,1,1,1												
7	CAST:0,2,1,1,0												
8	CAST:0,2,1,1,1												
9	CAST:0,2,2,1,1												
10	CAST:0,2,2,2,1												
													
CLASS:Stalker of Kharash	HD:8	TYPE:PC.Prestige	FACT:Abb|SoK	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:StalkerOfKharashLVL|0	BONUS:VAR|StalkerOfKharashLVL|CL
CLASS:Stalker of Kharash	PREALIGN:NG	PRESKILL:2,Hide=8,Move Silently=8	PREABILITY:3,CATEGORY=FEAT,Alertness,Favored of the Companions,Track										
CLASS:Stalker of Kharash	STARTSKILLPTS:6	CSKILL:Climb|Concentration|Handle Animal|Heal|Hide|Jump|Knowledge (Geography)|Knowledge (Nature)|Listen|Move Silently|Ride|Search|Spot|Survival|Swim|Use Rope											
1				ABILITY:Stalker of Kharash Class Feature|AUTOMATIC|Stalker of Kharash ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.StalkerOfKharashProficiencies									
1				ABILITY:Stalker of Kharash Class Feature|AUTOMATIC|Stalker of Kharash ~ Spells ~ Ranger|PRECLASS:1,Ranger=1
1				ABILITY:Stalker of Kharash Class Feature|AUTOMATIC|Stalker of Kharash ~ Spells ~ No Ranger|!PRECLASS:1,Ranger=1
#													
1	ADD:SPELLCASTER|Ranger			ABILITY:Stalker of Kharash Class Feature|AUTOMATIC|Stalker of Kharash ~ Scent of Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.StalkerOfKharashScentOfEvil									
2	ADD:SPELLCASTER|Ranger			ABILITY:Stalker of Kharash Class Feature|AUTOMATIC|Stalker of Kharash ~ Favored Enemy|!PREABILITY:1,CATEGORY=ACF,TYPE.StalkerOfKharashFavoredEnemy									
3	ADD:SPELLCASTER|Ranger
4	ADD:SPELLCASTER|Ranger			ABILITY:Stalker of Kharash Class Feature|AUTOMATIC|Stalker of Kharash ~ Hide in Plain Sight|!PREABILITY:1,CATEGORY=ACF,TYPE.StalkerOfKharashHideInPlainSight									
5	ADD:SPELLCASTER|Ranger			ABILITY:Stalker of Kharash Class Feature|AUTOMATIC|Stalker of Kharash ~ Track Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.StalkerOfKharashTrackEvil									
6	ADD:SPELLCASTER|Ranger			ABILITY:Stalker of Kharash Class Feature|AUTOMATIC|Stalker of Kharash ~ Smite Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.StalkerOfKharashSmiteEvil									
7	ADD:SPELLCASTER|Ranger
8	ADD:SPELLCASTER|Ranger
9	ADD:SPELLCASTER|Ranger
10	ADD:SPELLCASTER|Ranger

CLASS:Swanmay	HD:8	TYPE:PC.Prestige	FACT:Abb|Swn	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:SwanmayLVL|0	BONUS:VAR|SwanmayLVL|CL
CLASS:Swanmay	PREGENDER:Female	PREALIGN:LG,NG,CG	PRESKILL:2,Knowledge (Nature)=8,Survival=8	PRELANG:1,Sylvan	PREABILITY:2,CATEGORY=FEAT,Sacred Vow,Vow of Purity	PRESPELL:1,Speak with Animals	PREABILITY:1,CATEGORY=Special Ability,Wild Empathy	PREABILITY:1,CATEGORY=Guild Category,Swanmay	PRETEXT:knowingly or not, must perform a great service for another swanmay before she can join the order.				
