SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																								
																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Secure Corpse			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:stores one creature's corpse in your holy symbol		DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:Traps corpse inside holy symbol.	SOURCEPAGE:EXD									
Shield of the Archons			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, Archon	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Protective shield dissipates targeted magical attacks and grants +4 bonus on saving throws against magical areas and effects.	SOURCEPAGE:EXD									
Silvered Claws			TYPE:Divine	CLASSES:Druid=1|Ranger=1		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:One creature's natural attacks are treated as silvered weapons.	SOURCEPAGE:EXD									
Silvered Weapon			TYPE:Divine	CLASSES:Paladin=1|Ranger=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one weapon or projectile touched		DURATION:1 round/level	SAVEINFO:Fortitude negates (harmless,object)	SPELLRES:Yes	DESC:Transforms one weapon into a silvered weapon.	SOURCEPAGE:EXD									
Smite Heretic			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Conjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:you		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You gain a +2 sacred bonus on attack roll and deal extra damage with your smite evil ability when used against evil creature that cast divine spells.	SOURCEPAGE:EXD									
Spear of Valarian			TYPE:Divine	CLASSES:Druid=5|Ranger=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one nonmagical weapon touched		DURATION:1 round/level	SAVEINFO:Fortitude negates (harmless,object)	SPELLRES:Yes	DESC:Transforms a nonmagical weapon into a +1 silvered spear (+3 against magical beast, wichi take +2d6 points of damage)	SOURCEPAGE:EXD									
Spread of Contentment			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 hour	RANGE:Long	TARGETAREA:10-ft/level radius spread		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:Calms hostile creatures within 10-ft/level radius.	SOURCEPAGE:EXD									
Starmantle			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature touched		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Cloak of stars destroys nonmagical weapons on contact and allows wearer a DC 15 Reflex save to reduce damage from magic weapons by half.	SOURCEPAGE:EXD		COST:20							
Stars of Arvandor			TYPE:Arcane.Divine	CLASSES:Cleric=4|Druid=4|Ranger=4|Sorcerer,Wizard=3		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:up to one creature or object per round		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Tiny starburst each deal 1d8 damage (half nonlethal) or 1d8 damage (all lethal) to evil creatures.	SOURCEPAGE:EXD									
Sublime Revelry			TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:one creature/level, no two of wich can be more than 30-ft apart.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Targets immune to pain and mind-influencing effects, and take half damage from melee and ranged attacks.	SOURCEPAGE:EXD									
Sustain			TYPE:Divine	CLASSES:Cleric=4		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 round	RANGE:Touch	TARGETAREA:up to one living creature touched per two levels		DURATION:6 hours/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:EXD									
Sword of Conscience			TYPE:Divine	CLASSES:Cleric=4|Paladin=4		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	COMPS:V, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one evil creature		DURATION:Instantaneous; see text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Evil creature confesses crimes, take WIS damage.	SOURCEPAGE:EXD									
Telepathy Block			TYPE:Arcane.Divine	CLASSES:Bard=5|Cleric=5|Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:80-ft radius emanation, centered on a creature, object or point in space		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Blocks all telepathic communication within 80-ft radius.	SOURCEPAGE:EXD									
Tomb of Light			TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, M	CASTTIME:1 round	RANGE:Touch	TARGETAREA:evil extraplanar creature touched		DURATION:Concentration	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Entraps and harms evil extraplanar creatures.	SOURCEPAGE:EXD		COST:50							
Touch of Adamantine			TYPE:Arcane.Divine	CLASSES:Cleric=6|Druid=6|Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:weapon touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:Yes	DESC:Weapon gains the properties of an adamantine weapon.	SOURCEPAGE:EXD									
Unearthly Beauty			TYPE:Divine	CLASSES:Druid=8		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, Abstinence	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As Blinding Beauty, but creatures must save or die. Abstinence: abstain from sexual intercourse for one month.	SOURCEPAGE:EXD									
Vanishing Weapon			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:weapon touched		DURATION:1 minute/level	SAVEINFO:None; See text	SPELLRES:No	DESC:Weapons' touch dispels summoned or quasi-real creatures.	SOURCEPAGE:EXD									
Vengeance Halo			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF, Abstinence	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one good-aligned creature; see text.		DURATION:1 minute/level	SAVEINFO:See text	SPELLRES:No	DESC:Any creature that slays the spell's recipient takes 1d6/level damage. Abstinence: abstain from imbibing alcohol for 1 week..	SOURCEPAGE:EXD									
Vision of Heaven			TYPE:Divine	CLASSES:Cleric=1		SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one evil creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Evil creature is dazed for 1 round.	SOURCEPAGE:EXD									
Wages of Sin			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	COMPS:V, Abstinence	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:one evil creature/level		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Evil creatures attack other evil creatures. Abstinence: abstain from intoxicant and stimulants for 1 week.	SOURCEPAGE:EXD									
Warcry			TYPE:Arcane	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:30-ft	TARGETAREA:cone-shaped burst		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Creatures within a 30-ft cone cower for 1d4 rounds.	SOURCEPAGE:EXD									
Warding Gems			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Conjuration	SUBSCHOOL:Healing		COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:1 gem/3 caster levels		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates gems that stores healing energy, encircle the target, and release their healing power on command.	SOURCEPAGE:EXD		COST:500							
Winged Mount			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:special mount touched		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Your mount sprouts wings and gains a fly speed of 60-ft (good maneuverability).	SOURCEPAGE:EXD									
Yoke of Mercy			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Good|Mind-Affecting	COMPS:V, Abstinence	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one creature		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:No	DESC:Target deals nonlethal damage. Abstinence: you must not dealt damage, by spell or by any other meant, to another living creature within the last 8 hours.	SOURCEPAGE:EXD									
																											
Armageddon	KEY:Armageddon ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=9|Sanctified (Arcane/INT)=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Good	COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:2 or more summoned creature, no two of wich can be more than 30-ft apart		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Calls powerfull good outsiders to fight at your side. Sacrifice: one character level.	SOURCEPAGE:EXD									
Ayalla's Radiant Burst	KEY:Ayalla's Radiant Burst ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=2|Sanctified (Arcane/INT)=2		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:60-ft	TARGETAREA:Cone-shaped burst		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Evil creatures are blinded for 1 round and take 1d6 damage/2 levels. Sacrifice: 1d2 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=2|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d2 points of STR damage.
Brilliant Emanation	KEY:Brilliant Emanation ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=3|Sanctified (Arcane/INT)=3		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:Sacrifice	CASTTIME:1 standard action	RANGE:100-ft+10-ft/level	TARGETAREA:100-ft radius emanation + 10-ft radius/level		DURATION:1d4 rounds	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Reflective surfaces shed brilliant light that blinds evil creatures. Sacrifice: 1d3 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d3 points of STR damage.
Celestial Aspect	KEY:Celestial Aspect ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=3|Sanctified (Arcane/INT)=3		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature touched		DURATION:1 minute/level	SAVEINFO:Fortitude negates (harmless); See text	SPELLRES:Yes	DESC:Target gains one of four celestial poperties; sword archon's armblade, firre eyes, cervidal horns, or deva wings.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d3 points of STR damage.
Channel Celestial	KEY:Channel Celestial ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=7|Sanctified (Arcane/INT)=7		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, DF, Abstinence, Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and 1 willing celestial		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You invite a celestial (up to 12 HD). Abstinence: see text. Sacrifice: 1d3 points of STR and DEX damage	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR,DEX|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose STR and DEX damage	TEMPDESC:Sacrifice&colon; 1d3 points of STR and DEX damage.
Channel Celestial (Greater)	KEY:Channel Celestial (Greater) ~ Sanctified	OUTPUTNAME:Channel Celestial, Greater	TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=9|Sanctified (Arcane/INT)=9		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, DF, Abstinence, Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and 1 willing celestial		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:as Channel Celestial, but up to 24 HD. Abstinence: see text. Sacrifice: 1d6 points of STR and DEX damage	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR,DEX|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=6|TITLE=Choose STR and DEX damage	TEMPDESC:Sacrifice&colon; 1d6 points of STR and DEX damage.
Constricting Chains	KEY:Constricting Chains ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=7|Sanctified (Arcane/INT)=7		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, F, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Creature is entangled, unable to move and takes 3d6 nonlethal damage per round. Sacrifice: 1d2 points of STR drain.	SOURCEPAGE:EXD		COST:10					TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)	TEMPVALUE:MIN=1|MAX=2|TITLE=Choose STR drain	TEMPDESC:Sacrifice&colon; 1d2 points of STR drain
Cry of Ysgard	KEY:Cry of Ysgard ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=7|Sanctified (Arcane/INT)=7		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Good	COMPS:V, Sacrifice	CASTTIME:1 round	RANGE:Close	TARGETAREA:Calls 2d4 bariaur defenders of ysgard		DURATION:Instantaneous; see text	SAVEINFO:None	SPELLRES:No	DESC:Calls 2d4 bariaur defenders of Ysgard. Sacrifice: 1d3 points of STR drain.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose STR drain	TEMPDESC:Sacrifice&colon; 1d3 points of STR drain
Curtain of Light	KEY:Curtain of Light ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=5|Sanctified (Arcane/INT)=5		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Curtain of light whose area is up to one 5-ft square/level		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Curtain of light deals 2d4 damage to evil creatures out to 10-ft and 1d4 damage out to 20-ft. Passing through curtain deals 2d6+1/level damage to evil creatures.Sacrifice: 1d4 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=4|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d4 points of STR damage.
Diamond Spray	KEY:Diamond Spray ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=4|Sanctified (Arcane/INT)=4		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:60-ft	TARGETAREA:Cone-shaped burst		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Dazzles evil creatures for 2d6 rounds and deals 1d6 damage per level (max 10d6) to evil creatures.	SOURCEPAGE:EXD		COST:100							
Divine Inspiration	KEY:Divine Inspiration ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=1|Sanctified (Arcane/INT)=1		SCHOOL:Divination			COMPS:Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one creature touched		DURATION:1d4 rounds	SAVEINFO:None (harmless)	SPELLRES:No	DESC:Target gains è3 sacred bonus on attack toll against evil creature. Sacrifice: 1d2 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=2|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d2 points of STR damage.
Dragon Cloud	KEY:Dragon Cloud ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=8|Sanctified (Arcane/INT)=8		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Air	COMPS:V, S, Sacrifice	CASTTIME:1 round	RANGE:Special	TARGETAREA:one conjured dragon cloud		DURATION:1 minute + 1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Calls forth an elemental spirit that assume a cloudy, dragonlike form. Sacrifice: 1d3 points of CON damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|CON|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose CON damage	TEMPDESC:Sacrifice&colon; 1d3 points of CON damage.
Exalted Fury	KEY:Exalted Fury ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=9|Sanctified (Arcane/INT)=9		SCHOOL:Evocation		DESCRIPTOR:Good	COMPS:V, Sacrifice	CASTTIME:1 standard action	RANGE:40-ft	TARGETAREA:40-ft radius burst, centered on you		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:All creatures within 40-ft take damage equal to 50+your current hp, and you die. Sacrifice: you die. You can be raised or resurrected normally.	SOURCEPAGE:EXD									
Exalted Raiment	KEY:Exalted Raiment ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=6|Sanctified (Arcane/INT)=6		SCHOOL:Abjuration			COMPS:V, DF, Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:robe, garnment or outfit touched		DURATION:1 minute/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:Yes	DESC:Wearer gains +1 sacred bonus to AC per five acster levels, damage reduction 10/evil, SR 5+caster level, and immunity to CON damaged and CON drain. Sacrifice: 1d4 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=4|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d4 points of STR damage.
Hammer of Righteousness	KEY:Hammer of Righteousness ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=3|Sanctified (Arcane/INT)=3		SCHOOL:Evocation		DESCRIPTOR:Force|Good	COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:magic warhammer of force		DURATION:Instantaneous	SAVEINFO:Fortitude half	SPELLRES:Yes	DESC:Deals 1d6 ponts of damage per caster level, or 1d8 points of damage per caster level if the target is evil.Sacrifice: 1d3 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d3 points of STR damage.
Inquisition	KEY:Inquisition ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=5|Sanctified (Arcane/INT)=5		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:Sacrifice	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one creature with an intelligence of 6 or more		DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Compels target to divulge information thruthfully. Sacrifice: 1d4 points of CON damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|CON|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=4|TITLE=Choose CON damage	TEMPDESC:Sacrifice&colon; 1d4 points of CON damage.
Luminous Armor	KEY:Luminous Armor ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=2|Sanctified (Arcane/INT)=2		SCHOOL:Abjuration			COMPS:Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one good creature touched		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Shimmering light around target grants +5 armor bonus, dispels magical darkness and impose a -4 penalty on opponents' melee attacks. Sacrifice: 1d2 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|CON|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=2|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d2 points of STR damage.
Luminous Armor (Greater)	KEY:Luminous Armor (Greater) ~ Sanctified	OUTPUTNAME:Luminous Armor (Greater)	TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=4|Sanctified (Arcane/INT)=4		SCHOOL:Abjuration			COMPS:Sacrifice	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one good creature touched		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Shimmering light around target grants +8 armor bonus, dispels magical darkness and impose a -4 penalty on opponents' melee attacks. Sacrifice: 1d3 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|CON|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d3 points of STR damage.
Path of the Exalted	KEY:Path of the Exalted ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=3|Sanctified (Arcane/INT)=3		SCHOOL:Divination			COMPS:V, Abstinence	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:you		DURATION:1 decision; See text	SAVEINFO:None	SPELLRES:No	DESC:Caster receives divine guidance from higher power. Abstinence: abstain from casting Divination spells for 24 hours.	SOURCEPAGE:EXD									
Phieran's Resolve	KEY:Phieran's Resolve ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=3|Sanctified (Arcane/INT)=3		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF, Sacrifice	CASTTIME:1 standard action	RANGE:20-ft	TARGETAREA:one good creature/level in a 20-ft radius burst centered on you		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:+4 sacred bonus on saves against spells with the Evil descriptor. Sacrifice: 1d3 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|CON|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=3|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d3 points of STR damage.
Phoenix Fire	KEY:Phoenix Fire ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=7|Sanctified (Arcane/INT)=7		SCHOOL:Necromancy		DESCRIPTOR:Fire|Good	COMPS:V, S, F, Sacrifice	CASTTIME:1 standard action	RANGE:15-ft	TARGETAREA:15-ft radius spread, centered on you		DURATION:Instantaneous (see text)	SAVEINFO:Reflex half (see text)	SPELLRES:Yes	DESC:Evil creatures take 2d6 damage/caster level as you immolate yourself. Sacrifice: your death and the level you lose when you return to life.	SOURCEPAGE:EXD		COST:40							
Rain of Embers	KEY:Rain of Embers ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=7|Sanctified (Arcane/INT)=7		SCHOOL:Evocation		DESCRIPTOR:Fire|Good	COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:cylinder (40-ft radius, 120-ft high)		DURATION:1 round/level	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:Rain of divine fire deals 10d6 damage per round to evil creatures. Sacrifice: 1d2 points of STR drain.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)	TEMPVALUE:MIN=1|MAX=2|TITLE=Choose STR drain	TEMPDESC:Sacrifice&colon; 1d2 points of STR drain
Restore Soul's Treasure	KEY:Restore Soul's Treasure ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=8|Sanctified (Arcane/INT)=8		SCHOOL:Transmutation			COMPS:Sacrifice	CASTTIME:1 round	RANGE:Close	TARGETAREA:disintegrated remains of one item		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Restores a magic item destroyed by Soul's Treasure Lost spell. Sacrifice: 1d4 points of CON drain.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|CON|-1*(%CHOICE)	TEMPVALUE:MIN=1|MAX=4|TITLE=Choose CON drain	TEMPDESC:Sacrifice&colon; 1d4 points of CON drain
Sanctify the Wicked	KEY:Sanctify the Wicked ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=9|Sanctified (Arcane/INT)=9		SCHOOL:Necromancy		DESCRIPTOR:Good	COMPS:V, S, F, Sacrifice	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one evil creature		DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Traps evil creature in a diamond for one year, then releases it as a sanctified creature. Sacrifice: one character level.	SOURCEPAGE:EXD		COST:10000							
Sicken Evil	KEY:Sicken Evil ~ Sanctified		TYPE:Arcane.Divine	CLASSES:Sanctified (Divine/WIS)=5|Sanctified (Arcane/INT)=5		SCHOOL:Necromancy			COMPS:V, S, Sacrifice	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:20-ft radius emanation		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Evil creatures are sickened by your presence. Sacrifice: 1d4 points of STR damage.	SOURCEPAGE:EXD							TEMPBONUS:PC|STAT|STR|-1*(%CHOICE)|TYPE=Temporary	TEMPVALUE:MIN=1|MAX=4|TITLE=Choose STR damage	TEMPDESC:Sacrifice&colon; 1d4 points of STR damage.
