SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																																									
#																																												
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Divine Cleansing	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead																		DESC:As a standard action, you can spend one of your turn or rebuke undead attempts to grant all allies (including yourself) within a 60-foot burst a +2 sacred bonus on Fortitude saving throws for a number of rounds equal to your Charisma modifier.																	SOURCEPAGE:CW		
Divine Might	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead	PREABILITY:1,CATEGORY=FEAT,Power Attack								PRESTAT:1,STR=13									DESC:As a free action, spend one of your turn or rebuke undead attempts to add your Charisma bonus to your weapon damage for 1 full round.																	SOURCEPAGE:CW		
Divine Resistance	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead	PREABILITY:1,CATEGORY=FEAT,Divine Cleansing																	DESC:As a standard action, spend one of your turn or rebuke undead attempts to imbue all allies within a 60-foot burst (including yourself) with resistance to cold 5, electricity 5, and fi re 5. This resistance does not stack with similar resistances, such as those granted by spells or special abilities. The protection lasts for a number of rounds equal to your Charisma modifi er.																	SOURCEPAGE:CW		
Divine Shield	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead														PREPROFWITHSHIELD:1,TYPE.Shield				DESC:As a standard action, spend one of your turn/ rebuke undead attempts to channel energy into your shield, granting it a bonus equal to your Charisma modifier. This bonus applies to the shield's bonus to Armor Class and lasts for a number of rounds equal to half your character level.																	SOURCEPAGE:CW		
Divine Vigor	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead																		DESC:As a standard action, spend one of your turn or rebuke undead attempts to increase your base speed by 10 feet and gain +2 temporary hit points per character level. These effects last a number of minutes equal to your Charisma modifier.																	SOURCEPAGE:CW		
Sacred Vengeance	CATEGORY:FEAT	TYPE:Divine	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead																		DESC:As a free action, spend one of your turn undead attempts to add 2d6 points of damage to all your successful melee attacks against undead until the end of the current round.																	SOURCEPAGE:CW		
Cavalry Charger	CATEGORY:FEAT	TYPE:Tactical.Fighter	VISIBLE:YES		PRETOTALAB:6		PREABILITY:3,CATEGORY=FEAT,Mounted Combat,Spirited Charge,Trample																		DESC:The Cavalry Charger feat enables the use of three tactical maneuvers. Unhorse: To use this maneuver, you must be mounted and charge a mounted foe. If your charge attack hits, you may make a free bull rush attempt. If the bull rush attempt succeeds, you move your foe normally, but his mount remains where it was. Leaping Charge: To use this maneuver, you must be mounted and charge a foe at least one size category smaller than your mount. Make a Ride check at the conclusion of the move portion of the charge action. Prior to making the roll, determine the DC of the check: either DC 10 for a chance to deal 2 extra points of damage or DC 20 for a chance to deal 4 extra points of damage. If you fail this Ride check, you miss your target (no attack roll) and if you fail this Ride check by 5 or more, you miss your target and fall off your mount, landing in a square adjacent to the mount's space. Fell Trample: You can make mounted overrun attempts against more than one foe, resolving each attempt according to the rules on page 157 and 158 of the Player's Handbook. Your mount gets a hoof attack against each foe you successfully overrun.																	SOURCEPAGE:CW		
Combat Brute	CATEGORY:FEAT	TYPE:Tactical.Fighter	VISIBLE:YES		PRETOTALAB:6		PREABILITY:2,CATEGORY=FEAT,Improved sunder,Power Attack																		DESC:The Combat Brute feat enables the use of three tactical maneuvers. Advancing Blows: To use this maneuver, you must make a successful bull rush attempt against a foe. During the next round, all your attacks against that foe gain a +1 bonus on attack and damage rolls for each square your bull rush moved that foe. For example, if you pushed an orc back 10 (2 squares) feet with a bull rush, you would gain a +2 bonus on attack and damage rolls against that orc on the following round. Sundering Cleave: To use this maneuver, you must destroy a foe's weapon or shield with a successful sunder attempt (see page 158 of the Player's Handbook). If you do so, you gain an immediate additional melee attack against the foe. The additional attack is with the same weapon and at the same attack bonus as the attack that destroyed the weapon or shield. Momentum Swing: To use this maneuver, you must charge a foe in the first round, and you must make an attack using your Power Attack feat in the second round. The penalty you take on your attack roll must be -5 or worse. Your attacks during the second round gain a bonus equal to your attack roll penalty x 1-1/2, or x 3 if you're using a two-handed weapon or a one-handed weapon wielded in two hands. For instance, if you choose to take a -6 penalty on your attack roll, you can deal an extra 9 points of damage, or an extra 18 points if you're using a two-handed weapon or a one-handed weapon wielded in two hands.																	SOURCEPAGE:CW		
Elusive Target	CATEGORY:FEAT	TYPE:Tactical	VISIBLE:YES		PRETOTALAB:6		PREABILITY:2,CATEGORY=FEAT,Dodge,Mobility																		DESC:The Elusive Target feat enables the use of three tactical maneuvers. Negate Power Attack: To use this maneuver, you must designate a specifi c foe to be affected by your Dodge feat. If that foe uses the Power Attack feat against you, the foe gains no bonus on the damage roll but still takes the corresponding penalty on the attack roll. Diverting Defense: To use this maneuver, you must be flanked and you must designate one of the flanking attackers to be affected by your Dodge feat. The fi rst attack of the round from the designated attacker automatically misses you and may strike the other flanking foe instead; the attacking creature makes an attack roll normally, and its ally is considered fl atfooted. If the designated attacker is making a full attack against you, its second and subsequent attacks function normally. Cause Overreach: To use this maneuver, you must provoke an attack of opportunity from a foe by moving out of a threatened square. If the foe misses you, you can make a free trip attempt against this foe, and the foe does not get a chance to trip you if your attempt fails.																	SOURCEPAGE:CW		
Formation Expert	CATEGORY:FEAT	TYPE:Tactical.Fighter	VISIBLE:YES		PRETOTALAB:6																				DESC:The Formation Expert feat enables the use of three tactical maneuvers. You gain the benefi t of the feat even if you are fi ghting in formation with allies that do not have this feat. Lock Shields: To use this maneuver, you must have a ready shield, and adjacent allies on opposite sides of you must have ready shields. You gain a +1 bonus to Armor Class. Step into the Breach: To use this maneuver, you must be within a single move of an ally who falls in combat, and an ally must occupy every square between you and the fallen comrade. You can immediately take a single move action (as if you had readied an action to do so) to move into the square the fallen ally occupies. Wall of Polearms: To use this maneuver, you must be wielding a shortspear, longspear, trident, glaive, guisarme, halberd, or ranseur, and you must have adjacent allies wielding weapons identical to yours on opposite sides of you. You gain a +2 bonus on attack rolls.																	SOURCEPAGE:CW		
Giantbane	CATEGORY:FEAT	TYPE:Tactical.Fighter	VISIBLE:YES		PRETOTALAB:6								PRESKILL:1,Tumble=5								PRESIZELTEQ:M				DESC:The Giantbane feat enables the use of three tactical Maneuvers. Duck Underneath: To use this maneuver, you must have taken a total defense action, then have been attacked by a foe at least two size categories larger than you. You gain a +4 dodge bonus to your Armor Class, which stacks with the bonus for total defense. If that foe misses you, on your next turn, as a free action, you may make a DC 15 Tumble check. If the check succeeds, you move immediately to any unoccupied square on the opposite side of the foe (having successfully ducked underneath your foe). If there is no unoccupied square on the opposite side of the foe or you fail the Tumble check, you remain in the square you are in and have failed to duck underneath your foe. Death from Below: To use this maneuver, you must have successfully used the duck underneath maneuver. You may make an immediate single attack against the foe you ducked underneath. That foe is treated as fl at-footed, and you gain a +4 bonus on your attack roll. Climb Aboard: To use this maneuver, you must move adjacent to a foe at least two size categories larger than you. In the following round, you may make a DC 10 Climb check as a free action to clamber onto the creature's back or limbs (you move into one of the squares the creature occupies). The creature you're standing on takes a -4 penalty on attack rolls against you, because it can strike at you only awkwardly. If the creature moves during its action, you move along with it. The creature can try to shake you off by making a grapple check opposed by your Climb check. If the creature succeeds, you wind up in a random adjacent square.																	SOURCEPAGE:CW		
Raptor School	CATEGORY:FEAT	TYPE:Tactical	VISIBLE:YES		PRETOTALAB:6								PRESKILL:1,Jump=5			PRESTAT:1,WIS=13									DESC:The Raptor School feat enables the use of three tactical maneuvers. Eagle's Swoop: To use this maneuver, you must charge a foe or jump down on your enemy from at least 10 feet up (see page 77 of the Player's Handbook). Make a Jump check as a free action immediately before your next attack. Prior to making the roll, determine the DC of the check: either DC 15 for a chance to deal 2 extra points of damage or DC 25 for a chance to deal 4 extra points of damage. If you fail this Jump check, you miss your target, and if you fail this Jump check by 5 or more, you fall prone in an adjacent square. Falcon's Feathers: To use this maneuver, you must be wearing a cloak. As a standard action, you can whip the cloak around you in a distracting fashion. Make an attempt to feint in combat (see page 68 of the Player's Handbook), using your base attack bonus instead of your Bluff modifier. If you succeed, your target is treated as fl at-footed for the next melee attack you make against it. Hawk's Eye: To use this maneuver, you must spend at least 1 full round observing your foe. While doing so, you can take no other actions. The next melee attack you make against your foe gains a +2 bonus on the attack and damage rolls for every round you have just spent observing the foe, to a maximum bonus of +6 (for 3 consecutive full rounds of observation). If the target of your observation attacks you while you're observing, or if you don't make the melee attack within 3 rounds of the end of your observation, you don't get the benefi t of the feat.																	SOURCEPAGE:CW		
Shock Trooper	CATEGORY:FEAT	TYPE:Tactical.Fighter	VISIBLE:YES		PRETOTALAB:6		PREABILITY:1,CATEGORY=FEAT,Improved Bull Rush,Power Attack																		DESC:The Shock Trooper feat enables the use of three tactical maneuvers. Directed Bull Rush: To use this maneuver, you must make a successful bull rush attempt as part of a charge. For every square you push your foe back, you may also push that foe one square to the left or right. Domino Rush: To use this maneuver, you must make a successful bull rush attempt that forces a foe into the same square as another foe. You may make a free trip attempt against both foes at the same time, and neither foe gets a chance to trip you if your attempt fails. Heedless Charge: To use this maneuver, you must charge and make the attack at the end of the charge using your Power Attack feat. The penalty you take on your attack roll must be -5 or worse. In addition to normal charge modifi ers (which give you a -2 penalty to AC and a +2 bonus on the attack roll), you can assign any portion of the attack roll penalty from Power Attack to your Armor Class instead, up to a maximum equal to your base attack bonus.																	SOURCEPAGE:CW		
Sun School	CATEGORY:FEAT	TYPE:Tactical	VISIBLE:YES		PRETOTALAB:4		PREABILITY:1,CATEGORY=Special Ability,Flurry of Blows																		DESC:The Sun School feat enables the use of three tactical maneuvers. Inexorable Progress of Dawn: To use this maneuver, you must hit the same foe with the fi rst two unarmed attacks from a flurry of blows. If you do, your foe must move back 5 feet, and you may move 5 feet forward if you wish. This movement does not provoke an attack of opportunity for either character. Blinding Sun of Noon: To use this maneuver, you must successfully stun the same foe with an unarmed attack two rounds in a row. In addition to being stunned, that enemy is confused for 1d4 rounds thereafter. Flash of Sunset: To use this maneuver, you must move adjacent to a foe instantaneously, as with a dimension door spell or the monk's abundant step class feature. If you do so, you can immediately make a single attack at your highest attack bonus against that foe.																	SOURCEPAGE:CW		
Anvil of Thunder	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Improved Sunder,Power Attack,Two-Weapon Fighting	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Warhammer),Weapon Focus (Hammer (Light))	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Battleaxe),Weapon Focus (Handaxe),Weapon Focus (Waraxe (Dwarven))							PRESTAT:1,STR=13									DESC:If you hit the same creature with both your axe and your hammer in the same round, it must make a Fortitude saving throw (DC 10 + 1/2 your character level + your Str modifi er) or be dazed for 1 round.																	SOURCEPAGE:CW		
Bear Fang	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Power Attack,Two-Weapon Fighting	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Dagger)	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Battleaxe),Weapon Focus (Handaxe),Weapon Focus (Waraxe (Dwarven))							PRESTAT:1,STR=15									DESC:If you hit a creature with both your axe and your dagger in the same round, you deal normal damage with both weapons, and you can choose to immediately attempt to start a grapple as a free action without provoking an attack of opportunity, as if you had the improved grab ability. No initial touch attack is required. If you succeed on your grapple attempt, you drop your axe, but you immediately gain an additional attack against your grappled foe with your dagger at your highest base attack bonus (with the normal -4 penalty for attacking in a grapple). In subsequent rounds, you can use the dagger to attack while grappling at the normal penalty.																	SOURCEPAGE:CW		
Crescent Moon	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Improved Disarm,Improved Two-Weapon Fighting,Two-Weapon Fighting	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Dagger)	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Sword (Bastard)),Weapon Focus (Longsword),Weapon Focus (Scimitar),Weapon Focus (Sword (Short))																DESC:If you hit the same creature with both your sword and your dagger in the same round, you may make an immediate disarm attempt as a free action.																	SOURCEPAGE:CW		
Hammer's Edge	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Improved Bull Rush,Two-Weapon Fighting	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Sword (Bastard)),Weapon Focus (Longsword),Weapon Focus (Scimitar)	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Warhammer),Weapon Focus (Hammer (Light))							PRESTAT:1,STR=13									DESC:If you hit the same creature with both your sword and your hammer in the same round, it must make a Fortitude saving throw (DC 10 + 1/2 your character level + your Str modifi er) or fall prone.																	SOURCEPAGE:CW		
Hight Sword Low Axe	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Improved Trip,Two-Weapon Fighting	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Sword (Bastard)),Weapon Focus (Longsword),Weapon Focus (Scimitar),Weapon Focus (Sword (Short))	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Battleaxe),Weapon Focus (Handaxe),Weapon Focus (Waraxe (Dwarven))																DESC:If you hit the same creature with both your sword and your axe in the same round, you may make a free trip attempt against that foe. (If you succeed, you may immediately use your Improved Trip feat to gain an additional attack against your foe.)																	SOURCEPAGE:CW		
Lightning Mace	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Combat Reflexes,Two-Weapon Fighting,Weapon Focus (Mace (Light))																		DESC:Whenever you roll a threat on an attack roll while using a light mace in each hand, you gain an additional attack at that same attack bonus																	SOURCEPAGE:CW		
Net and Trident	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Exotic Weapon Proficiency (Net),Two-Weapon Fighting,Weapon Focus (Trident)									PRESTAT:1,DEX=15									DESC:As a full-round action, you can make a combined attack with your net and trident. First, you throw your net; if you hit and successfully control your foe by winning the opposed Strength check, you may immediately take a 5-foot step toward your opponent and make a full attack with your trident.																	SOURCEPAGE:CW		
Quick Staff	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:4,CATEGORY=FEAT,Combat Expertise,Dodge,Two-Weapon Fighting,Weapon Focus (Quarterstaff)																		DESC:When you use Combat Expertise to gain a dodge bonus while wielding a quarterstaff, you gain a dodge bonus 2 points higher than the penalty you take on your attack rolls. For example, if you take a -1 penalty on your attack rolls, you gain a +3 dodge bonus to your AC.																	SOURCEPAGE:CW		
Spinning Halberd	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Combat Reflexes,Two-Weapon Fighting,Weapon Focus (Halberd)																		DESC:When you make a full attack with your halberd, you gain a +1 dodge bonus to your Armor Class as well as an additional attack with the weapon at a -5 penalty. This attack deals points of bludgeoning damage equal to 1d6 + 1/2 your Strength modifi er.																	SOURCEPAGE:CW		
Three Mountains	CATEGORY:FEAT	TYPE:Style	VISIBLE:YES				PREABILITY:3,CATEGORY=FEAT,Cleave,Improved Bull Rush,Power Attack	PREABILITY:1,CATEGORY=FEAT,Weapon Focus (Mace (Heavy)),Weapon Focus (Morningstar),Weapon Focus (Greatclub)								PRESTAT:1,STR=13									DESC:If you strike the same creature twice in the same round with your heavy mace, morningstar, or greatclub, it must make a Fortitude saving throw (DC 10 + 1/2 your character level + your Str modifi er) or be nauseated by the pain for 1 round.																	SOURCEPAGE:CW		
Armor Skin	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1																			DESC:You gain a +1 natural armor bonus to Armor Class, or your existing natural armor bonus increases by +1.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE						BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE								SOURCEPAGE:CW		
Combat Archery	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1	PREABILITY:3,CATEGORY=FEAT,Dodge,Mobility,Point Blank Shot																		DESC:You do not provoke attacks of opportunity when fi ring a bow.																	SOURCEPAGE:CW		
Combat Insight	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES		PRETOTALAB:15	PREVARGTEQ:EpicCharacter,1	PREABILITY:2,CATEGORY=FEAT,Combat Expertise,Epic Prowess																		DESC:When wielding a melee weapon, add your Intelligence modifi er rather than your Strength modifi er to the weapon's damage rolls.									BONUS:COMBAT|DAMAGE.Melee|max(INT,STR)-STR								SOURCEPAGE:CW		
Damage Reduction	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1										PRESTAT:1,CON=21								DEFINE:DamageReductionDR|0	DESC:You gain damage reduction 3/-. This benefit doesn't stack with damage reduction granted by magic items or nonpermanent magical effects, but it does stack with damage reduction granted by permanent magical effects, class features, or this feat itself.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|DamageReductionDR|3|TYPE=Base.STACK			SOURCEPAGE:CW	DR:0/-	BONUS:DR|-|DamageReductionDR
Epic combat Expertise	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES		PRETOTALAB:21	PREVARGTEQ:EpicCharacter,1	PREABILITY:1,CATEGORY=FEAT,Combat Expertise									PRESTAT:1,INT=19									DESC:When you use the attack action or full attack action in melee, you can take a penalty of as much as -5 on your attack rolls and add the same number (+5 or less) as a dodge bonus to your Armor Class and to the Armor Class of an adjacent friendly creature. The changes to attack rolls and Armor Class last until your next action. The effect of this feat supersedes the effect of the Combat Expertise feat; you can't use both feats simultaneously to gain two dodge bonuses.																	SOURCEPAGE:CW		
Epic Prowess	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1																			DESC:Gain a +1 bonus on all attacks.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE						BONUS:COMBAT|TOHIT|1								SOURCEPAGE:CW		
Epic Toughness	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1																			DESC:You gain +30 hit points.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE								BONUS:HP|CURRENTMAX|30						SOURCEPAGE:CW		
Epic Weapon Focus	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1	PREABILITY:2,CATEGORY=FEAT,Weapon Focus,Greater Weapon Focus																		DESC:Add a +2 bonus on all attack rolls you make using the selected weapon. This bonus stacks with other bonuses on attack rolls, including the bonuses from Weapon Focus and Greater Weapon Focus.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Weapon Focus]													BONUS:WEAPONPROF=%LIST|TOHIT|2	SOURCEPAGE:CW		
Epic Sunder	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1	PREABILITY:3,CATEGORY=FEAT,Epic Prowess,Improved Sunder,Power Attack									PRESTAT:1,STR=25									DESC:When attacking an object, you may double any extra damage derived from Strength. When attempting to break an object with sudden force rather than dealing damage, you gain a +4 bonus on your Strength check.																	SOURCEPAGE:CW		
Legendary Rider	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1							PRESKILL:1,Ride=24												DESC:You don't take a penalty on Ride checks when riding a mount without a saddle (bareback). You never need to make a Ride check to control a mount in combat (and even controlling a mount  not trained for combat doesn't require an action).																	SOURCEPAGE:CW		
Perfect Two-Weapon Fighting	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1	PREABILITY:2,CATEGORY=FEAT,Greater Two-Weapon Fighting,Improved Two-Weapon Fighting,Two-Weapon Fighting									PRESTAT:1,DEX=25									DESC:When making a full attack, you can make as many attacks with your off-hand weapon as with your primary weapon, using the same base attack bonus. For example, a character with this feat and a base attack bonus of +18/+13/+8/+3 could make four attacks per round with his primary weapon and four attacks per round with his off-hand weapon, using the sazme set of base attack bonuses. You still take the normal penalties for fi ghting with two weapons.															BONUS:COMBAT|SECONDARYATTACKS|1		SOURCEPAGE:CW	SERVESAS:ABILITY=FEAT|Perfect Multiweapon Fighting	
Wield Oversized Weapon	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES		PRETOTALAB:21	PREVARGTEQ:EpicCharacter,1	PREABILITY:1,CATEGORY=FEAT,Monkey Grip									PRESTAT:1,STR=25									DESC:You can treat any weapon as if it were one size category smaller than normal and one category "lighter" for the purpose of determining the amount of effort it takes to wield. For instance, a halfl ing with this feat could wield a Medium short sword as a Small light weapon, or a human could wield an ogre's Large greatclub as a Medium twohanded weapon. The weapon still deals its normal amount of damage.																	SOURCEPAGE:CW	BONUS:WIELDCATEGORY|ALL|-1
#																																												
CATEGORY=FEAT|Combat Casting.MOD	TYPE:Hexblade																																											
CATEGORY=FEAT|Greater Spell Penetration.MOD	TYPE:Hexblade																																											
CATEGORY=FEAT|Spell Penetration.MOD	TYPE:Hexblade																																											
Greater Spell Focus (Enchantment)	CATEGORY:FEAT	TYPE:Hexblade	VISIBLE:DISPLAY		KEY:Hexblade ~ Greater Spell Focus ~ Enhancement	PRECLASS:1,Hexblade=1																	ABILITY:FEAT|AUTOMATIC|Greater Spell focus (Enhancement)									SOURCEPAGE:CW												
Greater Spell Focus (Necromancy)	CATEGORY:FEAT	TYPE:Hexblade	VISIBLE:DISPLAY		KEY:Hexblade ~ Greater Spell Focus ~ Necromancy	PRECLASS:1,Hexblade=1																	ABILITY:FEAT|AUTOMATIC|Greater Spell focus (Necromancy)									SOURCEPAGE:CW												
Greater Spell Focus (Transmutation)	CATEGORY:FEAT	TYPE:Hexblade	VISIBLE:DISPLAY		KEY:Hexblade ~ Greater Spell Focus ~ Transmutation	PRECLASS:1,Hexblade=1																	ABILITY:FEAT|AUTOMATIC|Greater Spell focus (Transmutation)									SOURCEPAGE:CW												
Spell Focus (Enchantment)	CATEGORY:FEAT	TYPE:Hexblade	VISIBLE:DISPLAY		KEY:Hexblade ~ Spell Focus ~ Enhancement	PRECLASS:1,Hexblade=1																	ABILITY:FEAT|AUTOMATIC|Spell focus (Enhancement)									SOURCEPAGE:CW												
Spell Focus (Necromancy)	CATEGORY:FEAT	TYPE:Hexblade	VISIBLE:DISPLAY		KEY:Hexblade ~ Spell Focus ~ Necromancy	PRECLASS:1,Hexblade=1																	ABILITY:FEAT|AUTOMATIC|Spell focus (Necromancy)									SOURCEPAGE:CW												
Spell Focus (Transmutation)	CATEGORY:FEAT	TYPE:Hexblade	VISIBLE:DISPLAY		KEY:Hexblade ~ Spell Focus ~ Transmutation	PRECLASS:1,Hexblade=1																	ABILITY:FEAT|AUTOMATIC|Spell focus (Transmutation)									SOURCEPAGE:CW												
#																																												
CATEGORY=FEAT|Far Shot.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Improved Precise Shot.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Manyshot.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Mounted Archery.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Mounted combat.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Point Blank Shot.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Precise Shot.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Rapid shot.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Ride-By Attack.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Shot on the Run.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Spirited Charge.MOD	TYPE:Ronin																																											
CATEGORY=FEAT|Trample.MOD	TYPE:Ronin																																											
