SOURCELONG:Gozzilioni Darkness and Dread	SOURCESHORT:DD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
													
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE	
CLASS:Ministrel	PRETEXT:In order to enter the minstrel class after 1st level, a character must have ranks in Perform equal to his total character level + 3. He must also spend at least a month on the road singing or telling stories at taverns, gathering local tales and legends, and living off the funds generated by his performances.												
CLASS:Ministrel	STARTSKILLPTS:6	CSKILL:Appraise|Climb|Decipher Script|Gather Information|Hide|Knowledge (Arcana)|Knowledge (Geography)|Knowledge (History)|Knowledge (Local)|Knowledge (Nobility and Royalty)|Listen|TYPE=Perform|Ride|Sense Motive|Sleight of Hand|Speak Language|Swim|Tumble											
1				ABILITY:Ministrel Class Feature|AUTOMATIC|Ministrel ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.MinistrelProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Orator ~ Skills									
#													
1				ABILITY:Ministrel Class Feature|AUTOMATIC|Ministrel ~ Inspiring Song|!PREABILITY:1,CATEGORY=ACF,TYPE.MinistrelInspiringSong									
3				ABILITY:Ministrel Class Feature|AUTOMATIC|Ministrel ~ Treasure Trove of Knowledge|!PREABILITY:1,CATEGORY=ACF,TYPE.MinistrelTreasureTroveOfKnowledge									
5				ABILITY:Ministrel Class Feature|AUTOMATIC|Ministrel ~ Captivating Performer|!PREABILITY:1,CATEGORY=ACF,TYPE.MinistrelCaptivatingPerformer									
													
CLASS:Physician	HD:6	TYPE:NPC.Base	FACT:Abb|Phy	MAXLEVEL:10	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:PhysicianLVL|0	BONUS:VAR|PhysicianLVL|CL
CLASS:Physician	PRETEXT:In order to enter the physician class after 1st level, a character must have ranks in Heal equal to his total character level + 3.												
CLASS:Physician	STARTSKILLPTS:4	CSKILL:TYPE=Craft|Heal											
1				ABILITY:Physician Class Feature|AUTOMATIC|Physician ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.PhysicianProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Academic ~ Skills									
#													
1				ABILITY:Physician Class Feature|AUTOMATIC|Physician ~ Healing Hands|!PREABILITY:1,CATEGORY=ACF,TYPE.PhysicianHealingHands									
5				ABILITY:Physician Class Feature|AUTOMATIC|Physician ~ Restore Health|!PREABILITY:1,CATEGORY=ACF,TYPE.PhysicianRestoreHealth									
10				ABILITY:Physician Class Feature|AUTOMATIC|Physician ~ Master Healer|!PREABILITY:1,CATEGORY=ACF,TYPE.PhysicianMasterHealer									
													
CLASS:Pit Fighter	HD:10	TYPE:NPC.Base	FACT:Abb|Ptf	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:PitFighterLVL|0	BONUS:VAR|PitFighterLVL|CL
CLASS:Pit Fighter	PRETEXT:In order to enter the pit fighter class after 1st level, a character must have a base attack bonus of +3. He must also spend one month training in gladiatorial combat (either legitimate or illegal) to gain the necessary experience to enter this profession.												
CLASS:Pit Fighter	STARTSKILLPTS:2	CSKILL:Escape Artist|Intimidate|Tumble											
1				ABILITY:Pit Fighter Class Feature|AUTOMATIC|Pit Fighter ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.PitFighterProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Laborer ~ Skills									
#													
1				ABILITY:Pit Fighter Class Feature|AUTOMATIC|Pit Fighter ~ Frenzy|!PREABILITY:1,CATEGORY=ACF,TYPE.PitFighterFrenzy									
3				ABILITY:Pit Fighter Class Feature|AUTOMATIC|Pit Fighter ~ Dirty Fighting |!PREABILITY:1,CATEGORY=ACF,TYPE.PitFighterDirtyFighting									
5				ABILITY:Pit Fighter Class Feature|AUTOMATIC|Pit Fighter ~ Fearless Frenzy|!PREABILITY:1,CATEGORY=ACF,TYPE.PitFighterFearlessFrenzy									
													
CLASS:Prospector	HD:8	TYPE:NPC.Base	FACT:Abb|Prp	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:ProspectorLVL|0	BONUS:VAR|ProspectorLVL|CL
CLASS:Prospector	PRETEXT:In order to enter the prospector class after 1st level, a character must have ranks in Search and Disable Device equal to his character level + 3.												
CLASS:Prospector	STARTSKILLPTS:6	CSKILL:Appraise|Climb|Disable Device|Jump|Open Lock|Ride|Search|Survival|Swim|Use Rope											
1				ABILITY:Prospector Class Feature|AUTOMATIC|Prospector ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ProspectorProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Expert ~ Skills			BONUS:VAR|SkillLVL|ProspectorLVL						
#													
1				ABILITY:Prospector Class Feature|AUTOMATIC|Prospector ~ Trap Mastery|!PREABILITY:1,CATEGORY=ACF,TYPE.ProspectorTrapMastery									
3				ABILITY:Prospector Class Feature|AUTOMATIC|Prospector ~ Oiled Reflexes|!PREABILITY:1,CATEGORY=ACF,TYPE.ProspectorOiledReflexes									
5				ABILITY:Prospector Class Feature|AUTOMATIC|Prospector ~ Danger Sense|!PREABILITY:1,CATEGORY=ACF,TYPE.ProspectorDangerSense									
													
CLASS:Sage	HD:4	TYPE:NPC.Base	FACT:Abb|Scr	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:SageLVL|0	BONUS:VAR|SageLVL|CL
CLASS:Sage	PRETEXT:In order to enter the sage class after 1st level, a character must have ranks in any three Knowledge skills equal to his total character level + 3.												
CLASS:Sage	STARTSKILLPTS:8	CSKILL:TYPE=Knowledge											
1				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SageProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Academic ~ Skills			BONUS:ABILITYPOOL|Sage Class Skill|2						
#													
1				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Encyclopedic Knowledge|!PREABILITY:1,CATEGORY=ACF,TYPE.SageEncyclopedicKnowledge									
3				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Master of Forgotten Lore|!PREABILITY:1,CATEGORY=ACF,TYPE.SageMasterOfForgottenLore									
5				ABILITY:Sage Class Feature|AUTOMATIC|Sage ~ Brilliant Insight|!PREABILITY:1,CATEGORY=ACF,TYPE.SageBrilliantInsight									
													
CLASS:Sewerjack	HD:12	TYPE:NPC.Base	FACT:Abb|Sjk	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:SewerjackLVL|0	BONUS:VAR|SewerjackLVL|CL
CLASS:Sewerjack	PRETEXT:In order to enter the sewerjack class after 1st level, a character must have the Toughness feat. In addition, he must work in a city's sewer system as a laborer for at least two months. After this time, he acquires the experience and endurance necessary to enter this class.												
CLASS:Sewerjack	STARTSKILLPTS:4	CSKILL:TYPE=Craft|Escape Artist|Intimidate|TYPE=Profession|Survival											
1				ABILITY:Sewerjack Class Feature|AUTOMATIC|Sewerjack ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SewerjackProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Laborer ~ Skills									
#													
1				ABILITY:Sewerjack Class Feature|AUTOMATIC|Sewerjack ~ Tough as Leather|!PREABILITY:1,CATEGORY=ACF,TYPE.SewerjackToughAsLeather									
3				ABILITY:Sewerjack Class Feature|AUTOMATIC|Sewerjack ~ Resiliency|!PREABILITY:1,CATEGORY=ACF,TYPE.SewerjackResiliency									
5				ABILITY:Sewerjack Class Feature|AUTOMATIC|Sewerjack ~ Disease Immunity|!PREABILITY:1,CATEGORY=ACF,TYPE.SewerjackDiseaseImmunity									
													
CLASS:Thief	HD:6	TYPE:NPC.Base	FACT:Abb|Thf	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:ThiefLVL|0	BONUS:VAR|ThiefLVL|CL
CLASS:Thief	PRETEXT:In order to enter the thief class after 1st level, a character must master the fundamental talents that this class possesses. The character must have ranks in Hide, Move Silently, Open Lock, and Sleight of Hand equal to his total level + 3.												
CLASS:Thief	STARTSKILLPTS:8	CSKILL:Appraise|Balance|Bluff|Climb|Diplomacy|Escape Artist|Hide|Jump|Listen|Move Silently|Open Lock|Search|Sense Motive|Sleight of Hand|Spot|Tumble											
1				ABILITY:Thief Class Feature|AUTOMATIC|Thief ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ThiefProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Expert ~ Skills			BONUS:VAR|SkillLVL|ProspectorLVL						
#													
1				ABILITY:Thief Class Feature|AUTOMATIC|Thief ~ Sneak Attack|!PREABILITY:1,CATEGORY=ACF,TYPE.ThiefSneakAttack									
													
CLASS:Tracker	HD:8	TYPE:NPC.Base	FACT:Abb|Trk	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:TrackerLVL|0	BONUS:VAR|TrackerLVL|CL
CLASS:Tracker	PRETEXT:In order to enter the tracker class after 1st level, a character must have some talent for surviving in the wilderness. He must have the Track feat and ranks in Survival equal to his character level + 3. In addition, a character must spend at least one month in the wilderness, relying on nothing more than the supplies he can carry and his ability to survive off the wilds.												
CLASS:Tracker	STARTSKILLPTS:6	CSKILL:Climb|Handle Animal|Heal|Jump|Knowledge (Nature)|Listen|Move Silently|Ride|Spot|Survival|Swim|Use Rope											
1				ABILITY:Tracker Class Feature|AUTOMATIC|Tracker ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.TrackerProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Expert ~ Skills									
#													
1				ABILITY:Tracker Class Feature|AUTOMATIC|Tracker ~ Bonus Feats|!PREABILITY:1,CATEGORY=ACF,TYPE.TrackerBonusFeats									
3				ABILITY:Tracker Class Feature|AUTOMATIC|Tracker ~ Hunter's Eye|!PREABILITY:1,CATEGORY=ACF,TYPE.TrackerHunterSEye									
													
CLASS:Veteran	HD:10	TYPE:NPC.Base	FACT:Abb|Vet	MAXLEVEL:10	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:VeteranLVL|0	BONUS:VAR|VeteranLVL|CL
CLASS:Veteran	PRETEXT:In order to enter the veteran class after 1st level, a character must establish his skill with weapons and armor. He must have light and medium armor proficiency, along with proficiency with any three martial weapons. In addition he must have a base attack bonus of at least +1.												
CLASS:Veteran	STARTSKILLPTS:4	CSKILL:TYPE=Craft|Handle animal|Intimidate|Ride											
1				ABILITY:Veteran Class Feature|AUTOMATIC|Veteran ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.VeteranProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Laborer ~ Skills									
#													
1				ABILITY:Veteran Class Feature|AUTOMATIC|Veteran ~ Bonus Feats|!PREABILITY:1,CATEGORY=ACF,TYPE.VeteranBonusFeats									
													
CLASS:Worker	HD:10	TYPE:NPC.Base	FACT:Abb|Wrk	MAXLEVEL:5	SOURCEPAGE:DD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Base	ROLE:Skill	DEFINE:WorkerLVL|0	BONUS:VAR|WorkerLVL|CL
CLASS:Worker	PRETEXT:In order to enter the worker class after 1st level, a character must have a Strength score of 13 or higher. He must also spend at least one month toiling as a laborer on a major public works project, a lumber camp, or a similar site.												
CLASS:Worker	STARTSKILLPTS:2	CSKILL:TYPE=Craft											
1				ABILITY:Veteran Class Feature|AUTOMATIC|Veteran ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.VeteranProficiencies									
1				ABILITY:Special Ability|AUTOMATIC|Laborer ~ Skills			BONUS:ABILITYPOOL|Worker Class Skill|4						
#													
1				ABILITY:Worker Class Feature|AUTOMATIC|Worker ~ Broad Back|!PREABILITY:1,CATEGORY=ACF,TYPE.WorkerBroadBack									

CLASS:Abomination	HD:8		TYPE:Monster	MAXLEVEL:NOLIMIT	SOURCEPAGE:DD	BONUS:COMBAT|BASEAB|classlevel()|TYPE=Base.REPLACE	BONUS:MISC|CR|floor((HD-BASEHD)/4)	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	FACT:ClassType|Monster
CLASS:Abomination	PRERACETYPE:Abomination
CLASS:Abomination	STARTSKILLPTS:4	MODTOSKILLS:YES
